Gene	GRCP	GLCP	TWAS_z
ENSG00000142765	0.962	0.964	   -0.791
ENSG00000188002	0.943	0.949	   -3.527
ENSG00000232995	0.691	0.942	    0.000
ENSG00000090621	0.371	0.937	    1.370
ENSG00000203809	0.861	0.915	   -7.414
ENSG00000187772	0.864	0.909	   -7.656
ENSG00000272950	0.749	0.895	   11.369
ENSG00000112282	0.661	0.876	    1.958
ENSG00000167702	0.438	0.873	    5.123
ENSG00000143631	0.806	0.826	    4.655
ENSG00000101639	0.794	0.812	    0.000
ENSG00000087085	0.769	0.808	    4.506
ENSG00000100376	0.662	0.801	   -3.086
ENSG00000157895	0.102	0.792	    0.869
ENSG00000125445	0.691	0.782	   -5.495
ENSG00000087087	0.579	0.776	    4.124
ENSG00000144401	0.460	0.768	   -4.378
ENSG00000169683	0.727	0.767	    5.021
ENSG00000125447	0.569	0.764	    5.379
ENSG00000228060	0.332	0.758	    4.926
ENSG00000131470	0.595	0.757	   -5.146
ENSG00000204308	0.635	0.752	   -2.839
ENSG00000122512	0.471	0.732	    0.914
ENSG00000023041	0.683	0.700	   -2.655
ENSG00000077782	0.681	0.695	   -4.202
ENSG00000284052	0.608	0.688	    4.326
ENSG00000177548	0.137	0.686	   -8.931
ENSG00000179627	0.632	0.667	   -5.578
ENSG00000184110	0.250	0.653	   -8.234
ENSG00000058453	0.370	0.650	   -1.455
ENSG00000232934	0.570	0.644	    0.705
ENSG00000258136	0.427	0.636	   -4.125
ENSG00000183765	0.265	0.625	   -3.917
ENSG00000251185	0.519	0.611	    1.757
ENSG00000224165	0.563	0.606	    4.144
ENSG00000122484	0.376	0.600	   -6.295
ENSG00000188603	0.295	0.583	    4.885
ENSG00000251454	0.506	0.583	   -1.672
ENSG00000204305	0.501	0.576	   -2.708
ENSG00000129214	0.513	0.575	   46.271
ENSG00000184730	0.226	0.564	    6.254
ENSG00000229043	0.428	0.563	   -1.445
ENSG00000279428	0.550	0.561	   -3.983
ENSG00000187954	0.554	0.561	    5.079
ENSG00000248646	0.508	0.556	    0.000
ENSG00000185591	0.393	0.535	   -4.403
