Gene	GRCP	GLCP	TWAS_z
ENSG00000142765	0.997	0.997	   -0.813
ENSG00000137869	0.831	0.983	   -7.794
ENSG00000100344	0.011	0.971	   -3.825
ENSG00000090621	0.935	0.966	    2.434
ENSG00000228060	0.942	0.959	    2.422
ENSG00000272950	0.935	0.958	   11.308
ENSG00000172965	0.853	0.938	   -1.435
ENSG00000167711	0.720	0.934	   -3.560
ENSG00000169683	0.885	0.931	    5.044
ENSG00000167716	0.605	0.929	    0.000
ENSG00000205352	0.911	0.924	   -4.144
ENSG00000188002	0.913	0.923	    2.546
ENSG00000118520	0.906	0.906	    0.954
ENSG00000243970	0.182	0.890	   -6.190
ENSG00000232995	0.567	0.849	   -0.450
ENSG00000272823	0.743	0.837	    4.175
ENSG00000112282	0.729	0.830	    0.000
ENSG00000204308	0.720	0.806	   -2.949
ENSG00000169062	0.793	0.795	   -4.044
ENSG00000187954	0.141	0.776	    5.263
ENSG00000087085	0.672	0.762	    4.210
ENSG00000101639	0.723	0.753	   -3.768
ENSG00000125447	0.613	0.716	    5.457
ENSG00000102858	0.221	0.707	    2.971
ENSG00000228022	0.615	0.700	    0.355
ENSG00000176890	0.695	0.698	    0.000
ENSG00000006453	0.294	0.684	  -11.055
ENSG00000254470	0.602	0.680	   -4.037
ENSG00000272588	0.623	0.669	   -1.187
ENSG00000142002	0.307	0.668	    3.279
ENSG00000198890	0.657	0.657	   -4.620
ENSG00000141380	0.642	0.655	    1.364
ENSG00000131242	0.592	0.638	    0.802
ENSG00000233448	0.599	0.625	    4.131
ENSG00000100154	0.129	0.615	   -3.676
ENSG00000144401	0.345	0.606	   -4.366
ENSG00000233232	0.515	0.605	    7.437
ENSG00000204301	0.258	0.597	   -2.237
ENSG00000237975	0.492	0.594	    3.574
ENSG00000116001	0.314	0.585	   -5.231
ENSG00000204305	0.578	0.578	   -4.152
ENSG00000241350	0.498	0.563	    4.214
ENSG00000115998	0.326	0.554	    0.000
ENSG00000023041	0.497	0.548	   -2.020
ENSG00000232934	0.545	0.545	    0.397
ENSG00000125445	0.534	0.536	   -5.345
ENSG00000186704	0.490	0.533	   -2.633
ENSG00000129933	0.011	0.525	    0.000
ENSG00000125457	0.288	0.524	   -2.079
ENSG00000110851	0.310	0.521	   -4.056
ENSG00000108591	0.430	0.499	    4.285
ENSG00000204314	0.396	0.493	   -3.493
ENSG00000188603	0.147	0.491	   -6.351
ENSG00000116005	0.259	0.487	   -2.094
ENSG00000087087	0.320	0.486	    4.208
ENSG00000250535	0.464	0.464	   -0.465
ENSG00000178381	0.269	0.463	    1.417
ENSG00000132386	0.075	0.460	   -0.655
ENSG00000167702	0.250	0.458	    5.058
ENSG00000187860	0.224	0.453	   -0.191
ENSG00000176473	0.431	0.450	   -5.954
ENSG00000107854	0.083	0.449	   -3.398
ENSG00000099995	0.185	0.447	   -0.484
ENSG00000099219	0.268	0.445	    0.402
ENSG00000251580	0.444	0.444	    0.613
ENSG00000106305	0.261	0.436	    1.453
ENSG00000165119	0.342	0.433	   -6.850
ENSG00000229043	0.340	0.431	   -2.508
ENSG00000236088	0.420	0.421	   -0.300
ENSG00000261766	0.217	0.417	    4.094
ENSG00000132155	0.351	0.403	   -1.390
ENSG00000126860	0.213	0.402	    4.300
ENSG00000142208	0.151	0.397	    1.794
ENSG00000106948	0.247	0.393	    0.831
ENSG00000112977	0.210	0.392	   -1.694
ENSG00000117115	0.008	0.391	   -1.625
ENSG00000106638	0.059	0.387	   -4.180
ENSG00000116473	0.166	0.386	    0.535
ENSG00000242435	0.289	0.385	   -2.194
ENSG00000095397	0.117	0.383	    2.207
ENSG00000158186	0.257	0.381	    6.015
ENSG00000166938	0.247	0.380	   -1.506
ENSG00000185040	0.232	0.373	   -2.332
ENSG00000178188	0.212	0.372	    5.745
ENSG00000122512	0.359	0.372	   -0.744
ENSG00000136810	0.196	0.357	   -2.581
ENSG00000142552	0.262	0.357	    6.722
ENSG00000204344	0.354	0.354	   -4.845
ENSG00000116678	0.288	0.352	   -4.084
ENSG00000198945	0.350	0.350	   -2.647
ENSG00000091542	0.136	0.349	    3.911
ENSG00000168876	0.095	0.342	   -5.405
ENSG00000143412	0.283	0.340	    1.245
ENSG00000144579	0.332	0.332	   -0.304
ENSG00000099999	0.144	0.325	    0.755
ENSG00000261655	0.314	0.324	   -4.001
ENSG00000104969	0.042	0.324	   -0.897
ENSG00000174444	0.219	0.320	    4.847
ENSG00000155545	0.271	0.319	    4.380
ENSG00000179021	0.149	0.317	   -4.507
ENSG00000188322	0.021	0.315	   -1.739
ENSG00000269892	0.280	0.314	    3.763
ENSG00000173531	0.220	0.314	   -0.284
ENSG00000224609	0.204	0.312	    3.539
ENSG00000197165	0.107	0.309	   -7.895
ENSG00000099956	0.187	0.299	   -0.162
ENSG00000134698	0.210	0.298	   -1.617
ENSG00000127884	0.296	0.296	   -2.151
ENSG00000203761	0.295	0.295	    0.824
ENSG00000108176	0.114	0.295	    1.959
ENSG00000104870	0.289	0.292	   -2.704
ENSG00000114107	0.085	0.291	    0.918
ENSG00000173726	0.279	0.290	    4.624
ENSG00000120008	0.255	0.285	    3.839
ENSG00000272892	0.115	0.285	    2.356
ENSG00000213901	0.224	0.285	    3.065
ENSG00000174446	0.150	0.283	    4.792
ENSG00000241468	0.203	0.279	    0.000
ENSG00000198156	0.042	0.273	   -7.792
ENSG00000214654	0.105	0.272	    3.791
ENSG00000138834	0.097	0.270	   -0.533
ENSG00000146574	0.266	0.266	   -1.172
ENSG00000125430	0.144	0.265	   -0.448
ENSG00000166359	0.264	0.264	    3.673
ENSG00000148832	0.264	0.264	    3.974
ENSG00000182109	0.092	0.263	   -6.172
ENSG00000152684	0.224	0.262	   -3.658
ENSG00000266171	0.060	0.261	    2.979
ENSG00000273295	0.248	0.261	   -4.024
ENSG00000152763	0.145	0.259	    4.287
ENSG00000224063	0.255	0.255	   -3.990
ENSG00000226752	0.201	0.255	    0.000
ENSG00000258666	0.084	0.246	    1.259
ENSG00000120088	0.026	0.242	    6.599
ENSG00000225282	0.235	0.241	   -4.327
ENSG00000133433	0.238	0.240	    0.965
ENSG00000100376	0.095	0.240	   -1.818
ENSG00000240972	0.232	0.235	   -4.112
ENSG00000218537	0.232	0.235	   -4.026
ENSG00000197915	0.234	0.234	    1.665
ENSG00000172006	0.205	0.233	    7.197
ENSG00000158552	0.227	0.230	   -3.961
ENSG00000124783	0.066	0.229	   -3.179
ENSG00000204310	0.154	0.229	    0.000
ENSG00000177410	0.197	0.225	    3.813
ENSG00000158220	0.057	0.225	   -6.131
ENSG00000240350	0.205	0.223	   -1.330
ENSG00000270424	0.137	0.222	   -8.233
ENSG00000255182	0.037	0.218	    2.979
ENSG00000196296	0.176	0.214	   -7.998
ENSG00000113621	0.213	0.213	   -4.583
ENSG00000172977	0.052	0.210	   -3.752
ENSG00000137411	0.124	0.210	    4.609
ENSG00000196712	0.035	0.210	   -4.079
ENSG00000143437	0.185	0.208	   -3.748
ENSG00000170846	0.207	0.208	   -1.658
ENSG00000224165	0.177	0.206	    4.228
ENSG00000152620	0.206	0.206	   -0.247
ENSG00000115226	0.001	0.206	   -7.053
ENSG00000204304	0.089	0.205	   -6.692
ENSG00000124587	0.192	0.202	    3.802
ENSG00000099977	0.183	0.193	   -3.919
ENSG00000126861	0.117	0.192	   -4.790
ENSG00000171462	0.081	0.190	   -2.225
ENSG00000164619	0.108	0.188	   -0.937
ENSG00000160075	0.151	0.186	    3.570
ENSG00000264635	0.031	0.184	    2.928
ENSG00000138031	0.145	0.182	   -2.151
ENSG00000082701	0.163	0.181	    3.615
ENSG00000230074	0.122	0.179	   -2.312
ENSG00000237126	0.105	0.178	   -3.545
ENSG00000179889	0.168	0.173	    0.275
ENSG00000272462	0.017	0.172	   -1.664
ENSG00000153976	0.105	0.169	   -0.290
ENSG00000258534	0.098	0.169	   -0.194
ENSG00000125520	0.105	0.166	   -3.649
ENSG00000265778	0.071	0.163	   -4.323
ENSG00000276754	0.038	0.162	    2.323
ENSG00000142230	0.086	0.162	    1.154
ENSG00000077782	0.106	0.162	   -2.834
ENSG00000146250	0.021	0.162	   -2.052
ENSG00000169689	0.161	0.161	    4.145
ENSG00000084710	0.076	0.161	    3.402
ENSG00000204052	0.019	0.161	   -2.582
ENSG00000109685	0.111	0.161	    3.611
ENSG00000266094	0.161	0.161	    3.715
ENSG00000236675	0.156	0.158	    1.887
ENSG00000103111	0.059	0.157	   -0.457
ENSG00000138760	0.010	0.157	   -1.181
ENSG00000162676	0.063	0.157	    6.592
ENSG00000258136	0.085	0.156	   -3.968
ENSG00000137441	0.108	0.156	   -0.878
ENSG00000232093	0.154	0.154	   -0.376
ENSG00000086696	0.153	0.154	   -0.935
ENSG00000102967	0.151	0.151	    0.000
ENSG00000185591	0.134	0.151	   -4.031
ENSG00000107262	0.119	0.150	    2.813
ENSG00000143036	0.143	0.149	   -0.700
ENSG00000183248	0.079	0.149	    3.286
ENSG00000134627	0.087	0.148	    1.014
ENSG00000187792	0.044	0.147	   -0.327
ENSG00000270210	0.132	0.144	   -2.698
ENSG00000185361	0.141	0.143	    0.593
ENSG00000167700	0.107	0.140	    1.854
ENSG00000158234	0.100	0.139	    5.727
ENSG00000279699	0.023	0.139	    0.000
ENSG00000244474	0.042	0.139	    2.702
ENSG00000142686	0.111	0.136	    3.551
ENSG00000105549	0.133	0.135	    3.655
ENSG00000132305	0.080	0.134	    3.146
ENSG00000239282	0.085	0.132	    0.000
ENSG00000075975	0.068	0.132	    3.891
ENSG00000141699	0.058	0.130	   -5.004
ENSG00000224424	0.120	0.130	   -3.625
ENSG00000149922	0.129	0.129	    1.817
ENSG00000261000	0.123	0.128	    3.464
ENSG00000037042	0.116	0.128	    3.710
ENSG00000213918	0.114	0.128	    0.289
ENSG00000140995	0.124	0.124	   -2.354
ENSG00000112394	0.122	0.122	    3.561
ENSG00000104835	0.122	0.122	   -1.821
ENSG00000245025	0.107	0.121	    1.378
ENSG00000241749	0.067	0.121	   -4.858
ENSG00000244510	0.053	0.120	    3.384
ENSG00000269486	0.102	0.120	   -1.333
ENSG00000116833	0.043	0.119	    2.481
ENSG00000229951	0.113	0.119	   -3.885
ENSG00000101361	0.117	0.118	   -1.121
ENSG00000115568	0.097	0.118	    3.435
ENSG00000214435	0.082	0.118	   -1.737
ENSG00000146477	0.079	0.118	   -3.757
ENSG00000108785	0.036	0.117	   -4.290
ENSG00000272604	0.115	0.117	   -0.788
ENSG00000146540	0.108	0.116	   -2.251
ENSG00000086232	0.057	0.116	   -3.311
ENSG00000178952	0.113	0.115	   -7.490
ENSG00000281831	0.072	0.115	   -3.702
ENSG00000075539	0.100	0.114	   -3.509
ENSG00000043143	0.013	0.114	   -3.198
ENSG00000110944	0.065	0.114	    3.630
ENSG00000214425	0.023	0.114	    0.000
ENSG00000196666	0.102	0.113	   -1.820
ENSG00000257727	0.059	0.113	    3.264
ENSG00000154359	0.086	0.112	    2.204
ENSG00000273080	0.079	0.111	    3.296
ENSG00000164967	0.111	0.111	    3.322
ENSG00000070444	0.109	0.109	   -1.851
ENSG00000222365	0.085	0.109	   -1.271
ENSG00000174343	0.105	0.109	    0.748
ENSG00000130177	0.102	0.109	   -3.574
ENSG00000143630	0.087	0.108	    0.000
ENSG00000160766	0.091	0.108	   -4.157
ENSG00000280213	0.062	0.108	   -2.024
ENSG00000270164	0.103	0.107	   -0.037
ENSG00000268355	0.102	0.107	    1.191
ENSG00000279168	0.044	0.107	    3.286
ENSG00000204650	0.041	0.107	    6.511
ENSG00000100883	0.082	0.106	   -4.004
ENSG00000230189	0.052	0.106	    3.381
ENSG00000161896	0.088	0.106	   -2.723
ENSG00000240163	0.081	0.106	    3.423
ENSG00000171700	0.105	0.105	    3.461
ENSG00000251661	0.101	0.104	   -3.591
ENSG00000124225	0.088	0.102	    3.508
ENSG00000170581	0.054	0.102	    0.077
ENSG00000198646	0.062	0.101	   -3.491
ENSG00000235560	0.096	0.101	    0.648
ENSG00000142875	0.062	0.101	   -3.200
ENSG00000124574	0.100	0.101	   -1.939
ENSG00000141526	0.101	0.101	    0.395
ENSG00000169592	0.080	0.100	    0.000
ENSG00000237923	0.047	0.100	   -2.454
ENSG00000126107	0.047	0.098	    0.199
ENSG00000257303	0.062	0.097	    0.000
ENSG00000204616	0.097	0.097	   -1.724
ENSG00000248019	0.090	0.097	    0.087
ENSG00000245937	0.094	0.096	   -3.348
ENSG00000143622	0.095	0.095	    3.598
ENSG00000118260	0.063	0.095	    4.260
ENSG00000173068	0.043	0.095	   -2.995
ENSG00000103351	0.092	0.095	   -2.940
ENSG00000040275	0.094	0.095	   -0.252
ENSG00000084734	0.000	0.094	    9.147
ENSG00000251417	0.071	0.093	    2.876
ENSG00000165209	0.065	0.093	    0.000
ENSG00000260008	0.010	0.092	    4.173
ENSG00000099992	0.054	0.091	    0.000
ENSG00000135469	0.053	0.091	   -3.431
ENSG00000225855	0.083	0.090	   -3.647
ENSG00000176912	0.090	0.090	    0.733
ENSG00000175105	0.035	0.090	    2.906
ENSG00000129245	0.002	0.090	  -28.665
ENSG00000182841	0.071	0.090	    2.662
ENSG00000215187	0.090	0.090	    0.000
ENSG00000237361	0.033	0.089	   -2.829
ENSG00000179406	0.060	0.089	    3.262
ENSG00000115091	0.077	0.089	   -3.072
ENSG00000177990	0.082	0.088	    1.959
ENSG00000226823	0.087	0.087	    3.366
ENSG00000225039	0.074	0.087	   -0.981
ENSG00000163521	0.087	0.087	   -1.243
ENSG00000177595	0.077	0.087	    3.089
ENSG00000273142	0.063	0.087	    1.813
ENSG00000131899	0.068	0.086	    2.677
ENSG00000140323	0.084	0.084	   -2.692
ENSG00000184110	0.015	0.083	   -7.876
ENSG00000233041	0.079	0.083	   -3.251
ENSG00000169885	0.080	0.083	   -3.548
ENSG00000185829	0.016	0.083	    2.648
ENSG00000160767	0.028	0.082	   -3.541
ENSG00000263503	0.029	0.082	    6.548
ENSG00000232615	0.074	0.082	    3.370
ENSG00000022567	0.079	0.081	   -3.219
ENSG00000169519	0.032	0.081	    1.414
ENSG00000245148	0.003	0.080	   -3.131
ENSG00000206341	0.079	0.080	   -0.906
ENSG00000103245	0.050	0.079	   -2.621
ENSG00000136816	0.063	0.079	   -0.539
ENSG00000198276	0.064	0.079	    1.495
ENSG00000163482	0.061	0.079	    3.524
ENSG00000171490	0.019	0.079	    0.575
ENSG00000137218	0.070	0.079	   -2.400
ENSG00000269994	0.036	0.078	    0.144
ENSG00000271119	0.068	0.078	    3.323
ENSG00000117500	0.031	0.078	   -2.982
ENSG00000176998	0.073	0.077	    0.000
ENSG00000233016	0.064	0.077	    2.793
ENSG00000183569	0.068	0.076	    2.148
ENSG00000233297	0.047	0.076	   -0.490
ENSG00000167984	0.073	0.076	    1.683
ENSG00000167601	0.076	0.076	    3.164
ENSG00000141458	0.055	0.076	    3.298
ENSG00000111412	0.075	0.076	   -1.237
ENSG00000114450	0.073	0.075	    0.279
ENSG00000170270	0.064	0.075	    1.992
ENSG00000122484	0.030	0.075	   -4.592
ENSG00000255328	0.074	0.075	   -0.493
ENSG00000126088	0.039	0.074	    0.000
ENSG00000076242	0.055	0.074	    2.810
ENSG00000107036	0.070	0.074	    3.670
ENSG00000143977	0.047	0.074	    0.000
ENSG00000141480	0.052	0.073	   -2.390
ENSG00000115084	0.068	0.073	   -3.196
ENSG00000149930	0.044	0.073	    3.661
ENSG00000174943	0.028	0.072	   -2.951
ENSG00000189077	0.046	0.072	   -3.221
ENSG00000163481	0.061	0.072	    3.396
ENSG00000161960	0.001	0.072	  -26.849
ENSG00000103253	0.036	0.071	   -1.675
ENSG00000109576	0.062	0.071	    0.000
ENSG00000250031	0.068	0.071	   -3.531
ENSG00000169692	0.022	0.071	    2.312
ENSG00000236444	0.021	0.071	   -1.668
ENSG00000088808	0.023	0.071	   -2.446
ENSG00000244657	0.042	0.070	    3.364
ENSG00000107798	0.067	0.070	   -3.079
ENSG00000170290	0.053	0.070	    0.119
ENSG00000232709	0.063	0.070	   -3.577
