Gene	GRCP	GLCP	TWAS_z
ENSG00000187867	0.957	0.957	    2.169
ENSG00000188002	0.937	0.945	    2.684
ENSG00000187954	0.586	0.929	    5.386
ENSG00000169683	0.875	0.928	    4.678
ENSG00000172009	0.573	0.926	    7.610
ENSG00000228060	0.905	0.922	    4.964
ENSG00000244474	0.680	0.912	   -6.349
ENSG00000240224	0.696	0.910	   -6.348
ENSG00000160973	0.596	0.895	   -5.091
ENSG00000169689	0.709	0.891	    5.124
ENSG00000272950	0.720	0.880	   11.465
ENSG00000167702	0.444	0.800	    5.212
ENSG00000243970	0.349	0.787	   -6.138
ENSG00000198890	0.750	0.786	   -7.255
ENSG00000167716	0.513	0.775	   -2.179
ENSG00000197894	0.112	0.762	    4.778
ENSG00000140455	0.593	0.752	   -6.981
ENSG00000244219	0.262	0.749	    1.899
ENSG00000142552	0.435	0.739	    0.000
ENSG00000144401	0.419	0.726	   -4.296
ENSG00000100376	0.589	0.713	   -2.208
ENSG00000178966	0.633	0.708	   -7.709
ENSG00000258666	0.493	0.685	    4.497
ENSG00000197915	0.618	0.666	   -1.521
ENSG00000169062	0.460	0.641	   -4.565
ENSG00000205808	0.620	0.620	   -2.936
ENSG00000023041	0.595	0.613	    0.000
ENSG00000187860	0.295	0.604	    1.613
ENSG00000176473	0.526	0.603	   -5.744
ENSG00000075131	0.406	0.599	   -0.633
ENSG00000125447	0.594	0.596	    4.642
ENSG00000125445	0.587	0.587	   -5.339
ENSG00000204308	0.517	0.570	   -2.739
ENSG00000232995	0.473	0.556	    0.594
ENSG00000168631	0.199	0.537	    5.465
ENSG00000104870	0.502	0.531	    0.000
ENSG00000091542	0.201	0.527	    3.977
ENSG00000142230	0.353	0.505	   -4.187
ENSG00000241350	0.317	0.491	    3.635
ENSG00000106638	0.021	0.476	   -3.873
ENSG00000242435	0.403	0.466	   -3.740
ENSG00000198945	0.438	0.438	   -0.625
ENSG00000233448	0.342	0.419	    3.949
ENSG00000198610	0.138	0.416	   -8.930
ENSG00000187855	0.210	0.409	   -3.971
ENSG00000178381	0.273	0.403	    3.401
ENSG00000221843	0.019	0.387	   11.410
ENSG00000117500	0.282	0.380	   -3.673
ENSG00000140107	0.299	0.377	    4.085
ENSG00000122512	0.373	0.373	    1.170
ENSG00000186704	0.236	0.350	   -2.754
ENSG00000196296	0.211	0.340	   -8.039
ENSG00000182109	0.139	0.334	   -6.132
ENSG00000157349	0.262	0.334	   -4.862
ENSG00000177628	0.272	0.330	    2.175
ENSG00000120008	0.213	0.327	    3.878
ENSG00000225282	0.321	0.327	   -3.815
ENSG00000230074	0.290	0.327	   -2.994
ENSG00000122008	0.326	0.326	    4.099
ENSG00000133433	0.316	0.325	   -1.775
ENSG00000148634	0.249	0.322	    5.606
ENSG00000178188	0.191	0.322	    1.353
ENSG00000240972	0.313	0.317	   -4.029
ENSG00000273295	0.313	0.317	   -4.025
ENSG00000172006	0.316	0.316	    7.187
ENSG00000168575	0.302	0.313	   -1.398
ENSG00000091536	0.033	0.313	   -2.428
ENSG00000108591	0.259	0.311	    2.804
ENSG00000115998	0.277	0.308	   -1.451
ENSG00000130177	0.185	0.306	   -3.720
ENSG00000251417	0.098	0.306	    6.734
ENSG00000218537	0.303	0.306	   -4.025
ENSG00000099974	0.301	0.303	    2.867
ENSG00000226752	0.242	0.301	   -3.484
ENSG00000263503	0.042	0.300	    6.540
ENSG00000184730	0.100	0.297	   -7.659
ENSG00000140105	0.140	0.297	    5.276
ENSG00000261442	0.107	0.293	   -4.462
ENSG00000272787	0.291	0.291	    0.000
ENSG00000106012	0.289	0.289	   -2.505
ENSG00000134627	0.102	0.286	   -4.103
ENSG00000179021	0.142	0.284	   -4.571
ENSG00000160075	0.194	0.273	    3.503
ENSG00000146250	0.253	0.271	   -2.839
ENSG00000266918	0.034	0.269	    1.956
ENSG00000229043	0.171	0.268	    0.000
ENSG00000185591	0.198	0.266	   -4.310
ENSG00000237361	0.197	0.257	   -3.658
ENSG00000117505	0.255	0.255	    3.747
ENSG00000124587	0.248	0.252	    3.780
ENSG00000152904	0.055	0.252	    2.708
ENSG00000270210	0.248	0.248	   -2.708
ENSG00000275807	0.102	0.248	    6.526
ENSG00000203896	0.063	0.241	    4.043
ENSG00000090621	0.072	0.239	    4.420
ENSG00000113161	0.163	0.236	    4.239
ENSG00000112640	0.171	0.232	    0.165
