Gene	GRCP	GLCP	TWAS_z
ENSG00000165449	0.882	0.999	   22.658
ENSG00000039560	0.452	0.975	   -0.464
ENSG00000226334	0.954	0.967	    0.052
ENSG00000108091	0.646	0.962	   -1.581
ENSG00000122376	0.685	0.887	   -8.135
ENSG00000021488	0.772	0.881	    7.534
ENSG00000130518	0.609	0.878	   -1.189
ENSG00000180257	0.427	0.870	   -4.532
ENSG00000009950	0.543	0.867	  -13.505
ENSG00000151914	0.622	0.851	    5.352
ENSG00000124789	0.370	0.849	    3.234
ENSG00000143850	0.543	0.848	    3.539
ENSG00000109113	0.508	0.837	    0.552
ENSG00000143153	0.684	0.833	    1.010
ENSG00000262888	0.716	0.805	   -1.949
ENSG00000260077	0.671	0.780	   -0.269
ENSG00000085788	0.383	0.755	   -6.765
ENSG00000278356	0.540	0.754	    0.000
ENSG00000109991	0.320	0.752	    4.152
ENSG00000171700	0.685	0.722	   -5.119
ENSG00000164938	0.428	0.711	   -5.522
ENSG00000114742	0.409	0.708	    4.698
ENSG00000174332	0.428	0.678	    6.393
ENSG00000171792	0.512	0.670	    0.000
ENSG00000085719	0.203	0.661	   -4.007
ENSG00000172059	0.510	0.623	    4.935
ENSG00000206573	0.388	0.616	   -2.543
ENSG00000167525	0.521	0.611	    0.162
ENSG00000182793	0.322	0.608	    5.355
ENSG00000169813	0.404	0.607	   -2.254
ENSG00000274080	0.223	0.606	  -13.603
ENSG00000101255	0.396	0.604	    3.874
ENSG00000198382	0.223	0.594	    4.885
ENSG00000279699	0.308	0.592	   -4.257
ENSG00000228782	0.590	0.590	    6.302
ENSG00000091732	0.325	0.581	    5.178
ENSG00000125124	0.313	0.575	    4.202
ENSG00000176623	0.562	0.574	    4.568
ENSG00000162994	0.569	0.569	    3.769
ENSG00000120899	0.557	0.569	   -3.183
ENSG00000204991	0.489	0.546	    1.127
ENSG00000137817	0.545	0.546	   -6.779
ENSG00000250412	0.082	0.546	    4.400
ENSG00000125510	0.449	0.545	   -4.830
ENSG00000175279	0.450	0.540	   -4.433
ENSG00000221963	0.525	0.525	   -1.327
ENSG00000145384	0.085	0.521	    4.438
ENSG00000233006	0.097	0.516	    5.958
ENSG00000120688	0.434	0.515	    4.462
ENSG00000134283	0.187	0.511	    4.195
ENSG00000144746	0.461	0.510	    5.690
ENSG00000005189	0.331	0.507	    6.025
ENSG00000274031	0.364	0.507	   -0.309
ENSG00000197943	0.371	0.502	    3.808
ENSG00000203327	0.493	0.493	    3.962
ENSG00000117505	0.255	0.487	   -4.937
ENSG00000121101	0.289	0.486	    5.942
ENSG00000188997	0.120	0.479	   -3.168
ENSG00000103227	0.469	0.469	    4.247
ENSG00000247400	0.423	0.466	   -3.817
ENSG00000124780	0.275	0.465	   -2.328
ENSG00000241563	0.318	0.455	    4.482
ENSG00000142494	0.353	0.431	   -4.588
ENSG00000273841	0.043	0.431	   -6.612
ENSG00000243955	0.271	0.431	    5.094
ENSG00000256546	0.177	0.430	    8.342
ENSG00000198945	0.103	0.426	   -2.105
ENSG00000165046	0.228	0.416	   -6.626
ENSG00000137218	0.406	0.406	    4.835
ENSG00000105376	0.365	0.405	   -4.044
ENSG00000259630	0.267	0.385	   -3.637
ENSG00000273619	0.211	0.384	    2.071
ENSG00000204120	0.378	0.379	   -4.644
ENSG00000235413	0.161	0.374	    5.989
ENSG00000198951	0.273	0.373	    4.559
ENSG00000273456	0.324	0.371	    8.264
ENSG00000134874	0.248	0.370	    6.006
ENSG00000283050	0.098	0.369	   -1.789
ENSG00000196950	0.252	0.367	   -3.884
ENSG00000116668	0.222	0.367	   -6.392
ENSG00000158805	0.357	0.357	    1.774
ENSG00000256162	0.345	0.354	    0.000
ENSG00000198860	0.334	0.352	    3.861
ENSG00000152942	0.074	0.352	   -5.974
ENSG00000120451	0.351	0.352	   -1.604
ENSG00000255455	0.336	0.351	   -0.679
ENSG00000066654	0.230	0.351	   -4.482
ENSG00000124067	0.351	0.351	   -5.371
ENSG00000249244	0.053	0.348	    4.100
ENSG00000167874	0.281	0.347	   -1.250
ENSG00000278224	0.175	0.346	   -1.034
ENSG00000127080	0.176	0.339	    0.000
ENSG00000183172	0.295	0.332	    2.403
ENSG00000205702	0.098	0.331	    4.932
ENSG00000141127	0.318	0.327	   -4.219
ENSG00000121989	0.231	0.324	    8.591
ENSG00000177700	0.318	0.323	    3.209
ENSG00000272892	0.184	0.321	    1.324
ENSG00000243236	0.090	0.320	   -2.776
ENSG00000163320	0.094	0.317	    0.250
ENSG00000114790	0.121	0.317	    6.041
ENSG00000280287	0.084	0.316	    5.967
ENSG00000158669	0.240	0.313	    0.000
ENSG00000272156	0.211	0.308	   -1.789
ENSG00000254461	0.264	0.307	   -9.348
ENSG00000170425	0.155	0.303	    0.000
ENSG00000108924	0.162	0.303	    8.654
ENSG00000204713	0.029	0.302	  -11.129
ENSG00000245958	0.101	0.296	   -1.714
ENSG00000198467	0.148	0.294	   -4.224
ENSG00000214435	0.289	0.289	    1.680
ENSG00000131165	0.269	0.286	   -1.270
ENSG00000250326	0.016	0.280	    0.000
ENSG00000166436	0.211	0.275	    0.677
ENSG00000107159	0.189	0.272	   -2.751
ENSG00000099256	0.222	0.272	    0.891
ENSG00000171488	0.199	0.271	    2.651
ENSG00000279833	0.174	0.270	    2.419
ENSG00000099917	0.207	0.267	   -2.495
ENSG00000151366	0.088	0.265	   -3.792
ENSG00000157800	0.263	0.264	   -1.823
ENSG00000233266	0.219	0.264	   -3.600
ENSG00000106723	0.150	0.262	    1.370
ENSG00000167785	0.203	0.259	   -3.546
ENSG00000226261	0.138	0.254	    8.737
ENSG00000012223	0.116	0.253	    4.799
ENSG00000132793	0.031	0.252	   -3.743
ENSG00000270083	0.114	0.251	    0.375
ENSG00000159461	0.184	0.251	   -4.170
ENSG00000174903	0.207	0.250	   -9.382
ENSG00000147535	0.112	0.248	   -6.796
ENSG00000181915	0.141	0.248	    1.754
ENSG00000280374	0.178	0.247	    0.130
ENSG00000204622	0.002	0.243	   -5.325
ENSG00000039319	0.135	0.240	   -3.640
ENSG00000189339	0.181	0.239	    0.000
ENSG00000102886	0.235	0.235	   -0.471
ENSG00000130522	0.145	0.233	    0.847
ENSG00000149485	0.186	0.232	   -3.289
ENSG00000244515	0.051	0.228	   -0.799
ENSG00000231064	0.005	0.223	  -14.456
ENSG00000122490	0.194	0.222	    4.249
ENSG00000114491	0.160	0.221	   -4.454
ENSG00000184990	0.154	0.219	   -2.409
ENSG00000259536	0.109	0.218	    3.592
ENSG00000116138	0.071	0.218	   -8.262
ENSG00000170412	0.151	0.215	    2.945
ENSG00000227638	0.067	0.210	   -1.930
ENSG00000259211	0.141	0.210	    3.546
ENSG00000089693	0.210	0.210	   -2.746
ENSG00000275437	0.149	0.210	   -3.957
ENSG00000127663	0.210	0.210	   -1.478
ENSG00000203791	0.047	0.209	    6.451
ENSG00000213398	0.074	0.208	   -2.511
ENSG00000183423	0.088	0.207	   -4.101
ENSG00000101161	0.102	0.206	   -2.414
ENSG00000244509	0.135	0.206	   -2.772
ENSG00000185100	0.088	0.206	   -0.580
ENSG00000117222	0.065	0.205	    5.460
ENSG00000086015	0.161	0.205	   -5.083
ENSG00000276073	0.168	0.203	    0.000
ENSG00000168496	0.087	0.203	   -3.153
ENSG00000168026	0.099	0.202	    4.205
ENSG00000142686	0.094	0.201	   -3.492
ENSG00000160606	0.154	0.198	    0.089
ENSG00000275888	0.050	0.198	    3.524
ENSG00000128891	0.190	0.195	    2.362
ENSG00000269300	0.191	0.191	   -3.559
ENSG00000176155	0.075	0.190	   -3.432
ENSG00000112992	0.168	0.189	   -3.902
ENSG00000261126	0.188	0.188	    1.984
ENSG00000227775	0.186	0.186	   -4.344
ENSG00000115596	0.180	0.185	    5.421
ENSG00000126746	0.183	0.184	    4.145
ENSG00000134824	0.053	0.183	    7.233
ENSG00000187240	0.122	0.182	    0.686
ENSG00000275426	0.062	0.181	   -0.783
ENSG00000241350	0.180	0.180	    3.865
ENSG00000176692	0.113	0.179	   -0.423
ENSG00000114554	0.118	0.177	   -2.017
ENSG00000213918	0.142	0.176	   -0.445
ENSG00000204977	0.072	0.174	    3.986
ENSG00000169903	0.074	0.174	   -2.317
ENSG00000123178	0.105	0.172	   -4.704
ENSG00000163832	0.040	0.171	   -5.704
ENSG00000118690	0.158	0.170	   -4.374
ENSG00000114450	0.125	0.170	   -3.916
ENSG00000108474	0.076	0.168	    3.817
ENSG00000272092	0.087	0.167	   -0.433
ENSG00000172244	0.074	0.166	   -3.876
ENSG00000140463	0.117	0.165	   -3.300
ENSG00000262312	0.036	0.163	   -0.025
