Gene	GRCP	GLCP	TWAS_z
ENSG00000165449	0.210	1.000	   -5.252
ENSG00000115596	0.963	0.988	    5.453
ENSG00000071626	0.833	0.963	    0.041
ENSG00000226334	0.946	0.961	   -0.995
ENSG00000127415	0.951	0.951	    2.947
ENSG00000149485	0.478	0.896	   -7.402
ENSG00000183011	0.699	0.888	    5.515
ENSG00000025039	0.868	0.868	   -0.288
ENSG00000122870	0.227	0.861	   -5.342
ENSG00000111846	0.492	0.856	   -0.685
ENSG00000260876	0.295	0.848	  -11.846
ENSG00000117505	0.533	0.846	   -6.269
ENSG00000122376	0.637	0.810	   -8.105
ENSG00000260077	0.500	0.801	   -1.113
ENSG00000116138	0.479	0.799	   -8.952
ENSG00000126746	0.793	0.793	    0.825
ENSG00000138246	0.738	0.787	    8.307
ENSG00000189266	0.569	0.786	    0.000
ENSG00000168427	0.504	0.781	   -3.134
ENSG00000107242	0.499	0.779	    5.877
ENSG00000132510	0.637	0.778	    3.296
ENSG00000171792	0.552	0.776	    2.956
ENSG00000272933	0.134	0.773	    5.167
ENSG00000239282	0.258	0.772	    2.844
ENSG00000188529	0.214	0.772	    0.000
ENSG00000198242	0.430	0.764	    0.000
ENSG00000164627	0.762	0.762	   -1.435
ENSG00000104447	0.693	0.757	    0.000
ENSG00000109113	0.455	0.742	    0.191
ENSG00000103194	0.514	0.737	   -4.308
ENSG00000144746	0.717	0.717	    5.102
ENSG00000159884	0.498	0.717	    1.031
ENSG00000171700	0.655	0.710	   -4.901
ENSG00000143382	0.532	0.705	    1.959
ENSG00000160606	0.427	0.679	    0.000
ENSG00000100994	0.445	0.651	    2.405
ENSG00000125510	0.638	0.638	   -4.837
ENSG00000134874	0.333	0.630	    6.123
ENSG00000167525	0.477	0.624	   -1.722
ENSG00000181915	0.279	0.621	    0.632
ENSG00000214941	0.584	0.620	   -4.352
ENSG00000180900	0.544	0.618	   -4.918
ENSG00000122378	0.387	0.610	    0.000
ENSG00000134825	0.293	0.609	    7.567
ENSG00000085788	0.546	0.596	   -6.879
ENSG00000142494	0.500	0.584	    2.549
