Gene	GRCP	GLCP	TWAS_z
ENSG00000115596	0.975	0.992	    5.473
ENSG00000226334	0.942	0.973	    0.000
ENSG00000283050	0.104	0.920	    3.643
ENSG00000122870	0.230	0.872	   -7.093
ENSG00000130518	0.543	0.871	    0.000
ENSG00000163406	0.107	0.862	    6.544
ENSG00000171792	0.542	0.818	    3.007
ENSG00000238120	0.553	0.791	   -5.016
ENSG00000144746	0.355	0.791	    0.000
ENSG00000233006	0.300	0.790	    7.084
ENSG00000223745	0.233	0.788	    6.236
ENSG00000122376	0.559	0.777	   -8.127
ENSG00000236998	0.442	0.761	    6.034
ENSG00000152939	0.336	0.758	    5.864
ENSG00000132205	0.745	0.745	   -4.579
ENSG00000189266	0.232	0.734	    0.000
ENSG00000219891	0.603	0.720	    7.702
ENSG00000009950	0.502	0.709	  -13.297
ENSG00000125510	0.570	0.676	   -4.892
ENSG00000204622	0.008	0.655	   -6.356
ENSG00000160606	0.374	0.611	    0.000
ENSG00000229029	0.416	0.602	    4.765
ENSG00000171700	0.600	0.600	   -4.833
ENSG00000167525	0.437	0.579	   -0.536
ENSG00000181915	0.372	0.579	    0.520
ENSG00000185499	0.337	0.556	  -16.898
ENSG00000149485	0.255	0.526	   -7.466
ENSG00000121101	0.245	0.518	    6.065
ENSG00000162994	0.509	0.509	    3.982
ENSG00000167476	0.352	0.508	   -3.064
ENSG00000085788	0.289	0.506	   -6.700
ENSG00000143457	0.035	0.504	    7.031
ENSG00000270820	0.323	0.499	    0.840
ENSG00000120451	0.494	0.496	   -1.729
ENSG00000149679	0.187	0.494	   -4.004
ENSG00000275426	0.470	0.470	   -0.351
ENSG00000243955	0.166	0.462	    5.053
ENSG00000114790	0.153	0.441	    6.340
ENSG00000205702	0.085	0.433	    4.936
ENSG00000175279	0.385	0.425	   -4.518
ENSG00000159884	0.253	0.424	    0.523
ENSG00000259298	0.133	0.418	   -5.631
ENSG00000245958	0.081	0.417	   -1.715
ENSG00000273456	0.362	0.416	    8.324
ENSG00000176623	0.247	0.409	    4.854
ENSG00000142494	0.312	0.402	    4.327
ENSG00000157800	0.252	0.397	    0.838
ENSG00000250569	0.067	0.391	    4.287
ENSG00000170425	0.345	0.391	    0.000
ENSG00000168026	0.232	0.390	    4.588
ENSG00000121989	0.212	0.389	    8.675
ENSG00000272156	0.272	0.384	   -1.850
ENSG00000132763	0.197	0.383	   -1.884
ENSG00000120899	0.377	0.383	   -4.187
ENSG00000221963	0.378	0.378	   -2.044
ENSG00000166347	0.094	0.365	    3.606
ENSG00000116138	0.201	0.365	   -8.982
ENSG00000122515	0.353	0.357	    4.376
ENSG00000103227	0.178	0.354	    3.828
ENSG00000188529	0.024	0.351	   -0.439
ENSG00000072682	0.189	0.350	    7.025
ENSG00000137218	0.242	0.347	    5.023
ENSG00000273619	0.249	0.347	    0.942
ENSG00000126746	0.342	0.342	    3.193
ENSG00000177096	0.153	0.339	    5.032
ENSG00000114450	0.185	0.337	   -1.863
ENSG00000203327	0.334	0.334	    3.945
ENSG00000280385	0.067	0.331	   -0.334
ENSG00000182628	0.119	0.330	   -1.683
ENSG00000111816	0.129	0.330	   -5.009
ENSG00000105889	0.198	0.328	    0.000
ENSG00000183172	0.234	0.308	    4.950
ENSG00000125124	0.278	0.308	   -0.255
