Gene	GRCP	GLCP	TWAS_z
ENSG00000115596	0.938	0.985	    5.426
ENSG00000250412	0.042	0.954	    4.423
ENSG00000122870	0.201	0.905	   -9.390
ENSG00000180535	0.504	0.881	   -7.797
ENSG00000226334	0.236	0.847	    0.000
ENSG00000261390	0.169	0.784	   -0.434
ENSG00000176623	0.167	0.776	    4.517
ENSG00000278356	0.462	0.743	   -2.334
ENSG00000130518	0.454	0.742	    3.364
ENSG00000259685	0.249	0.735	   -4.404
ENSG00000272871	0.302	0.716	    4.767
ENSG00000203791	0.075	0.650	    7.205
ENSG00000109534	0.196	0.641	   -4.092
ENSG00000121101	0.203	0.611	    6.064
ENSG00000204622	0.014	0.586	   -6.376
ENSG00000149485	0.214	0.582	   -6.880
ENSG00000167525	0.332	0.561	   -1.715
ENSG00000168291	0.508	0.545	    5.231
ENSG00000183172	0.196	0.528	    5.117
ENSG00000134825	0.237	0.507	    7.903
ENSG00000250569	0.133	0.504	    4.598
ENSG00000198951	0.208	0.498	    5.045
ENSG00000231064	0.122	0.496	   17.003
ENSG00000146477	0.203	0.495	    5.230
ENSG00000233006	0.275	0.485	    6.948
ENSG00000156170	0.103	0.474	    9.688
ENSG00000188305	0.144	0.473	   -2.835
ENSG00000144746	0.297	0.451	    2.338
ENSG00000244515	0.058	0.450	    0.000
ENSG00000245958	0.071	0.446	    0.317
ENSG00000283050	0.069	0.444	   -2.175
ENSG00000107159	0.298	0.441	   -4.897
ENSG00000276073	0.212	0.437	    1.116
ENSG00000169696	0.051	0.435	    3.523
ENSG00000187013	0.004	0.415	   -6.203
ENSG00000220614	0.272	0.404	    8.245
ENSG00000280486	0.088	0.404	    0.000
ENSG00000185219	0.270	0.402	    4.454
ENSG00000180245	0.151	0.388	   -4.064
ENSG00000162994	0.369	0.369	    3.937
ENSG00000214941	0.259	0.369	    0.000
ENSG00000275426	0.362	0.362	   -1.956
ENSG00000085788	0.161	0.345	   -6.737
ENSG00000163406	0.074	0.336	    7.039
ENSG00000102967	0.003	0.331	   -0.390
ENSG00000155906	0.210	0.327	    3.796
ENSG00000273493	0.162	0.318	   -2.639
ENSG00000249244	0.051	0.315	    4.210
ENSG00000198860	0.288	0.315	    4.115
ENSG00000159461	0.230	0.311	   -3.899
ENSG00000223561	0.067	0.304	    3.776
ENSG00000115604	0.109	0.299	   -3.865
ENSG00000219891	0.239	0.297	   -1.064
ENSG00000131126	0.233	0.288	    3.744
ENSG00000120451	0.284	0.284	    3.806
ENSG00000100347	0.158	0.282	   -6.133
ENSG00000174332	0.167	0.275	    6.555
ENSG00000166436	0.147	0.273	    0.299
ENSG00000232710	0.044	0.271	    4.318
ENSG00000179021	0.064	0.265	    3.635
ENSG00000205702	0.037	0.265	    5.634
ENSG00000101460	0.263	0.263	    8.287
ENSG00000158234	0.104	0.263	   -4.388
ENSG00000267280	0.187	0.261	    0.812
ENSG00000177096	0.097	0.261	    5.022
ENSG00000275413	0.049	0.255	   -3.837
ENSG00000141027	0.068	0.252	    3.751
ENSG00000134056	0.013	0.249	    5.849
ENSG00000006607	0.236	0.247	   -6.135
ENSG00000116771	0.096	0.235	   -9.171
ENSG00000121797	0.142	0.227	    4.865
ENSG00000172795	0.102	0.227	   -4.357
ENSG00000121068	0.169	0.225	   -4.279
ENSG00000231084	0.051	0.223	   -6.059
ENSG00000137731	0.095	0.221	   -0.392
ENSG00000140395	0.215	0.215	    4.613
ENSG00000189339	0.210	0.210	    0.000
ENSG00000270409	0.056	0.207	    1.707
ENSG00000272156	0.097	0.203	   -2.194
ENSG00000100614	0.044	0.190	    2.962
ENSG00000124641	0.157	0.190	    3.455
ENSG00000132383	0.113	0.190	   -3.682
ENSG00000115602	0.079	0.183	   -1.373
ENSG00000145692	0.075	0.181	   -3.414
ENSG00000171206	0.022	0.181	    4.707
ENSG00000146205	0.042	0.178	   -8.202
ENSG00000157214	0.073	0.177	   -3.578
ENSG00000138107	0.010	0.175	   -4.041
ENSG00000183853	0.110	0.171	    0.084
ENSG00000230641	0.170	0.170	    4.718
ENSG00000273456	0.139	0.169	    8.270
ENSG00000105143	0.156	0.167	    3.664
ENSG00000120688	0.147	0.164	    4.475
ENSG00000008988	0.069	0.157	    3.620
ENSG00000236485	0.041	0.156	   -2.376
ENSG00000255507	0.036	0.155	   -1.720
ENSG00000132600	0.013	0.155	   -4.726
ENSG00000178852	0.015	0.154	    5.541
ENSG00000181915	0.153	0.153	    1.403
ENSG00000260236	0.035	0.151	    6.651
ENSG00000178966	0.090	0.150	    3.593
ENSG00000198160	0.052	0.149	   -3.453
ENSG00000171858	0.067	0.145	   -4.082
ENSG00000168026	0.041	0.140	    4.692
ENSG00000115947	0.054	0.136	   -6.289
ENSG00000179428	0.107	0.136	   -0.015
ENSG00000132837	0.076	0.135	   -3.488
ENSG00000055044	0.019	0.135	    8.074
ENSG00000111530	0.041	0.135	   -3.356
ENSG00000164989	0.057	0.132	   -4.167
ENSG00000103227	0.030	0.132	    2.667
ENSG00000103485	0.117	0.132	    0.355
ENSG00000188997	0.023	0.131	   -2.870
ENSG00000248518	0.073	0.131	   -0.458
ENSG00000130005	0.023	0.131	    2.844
ENSG00000254352	0.089	0.129	   -3.637
ENSG00000148814	0.062	0.128	    3.137
ENSG00000039560	0.017	0.125	    8.647
ENSG00000236814	0.024	0.124	   -0.474
ENSG00000114054	0.091	0.123	    4.305
ENSG00000120437	0.053	0.123	   -3.456
ENSG00000186704	0.036	0.123	    0.329
ENSG00000198467	0.071	0.122	   -4.255
ENSG00000167005	0.098	0.122	    0.001
ENSG00000228701	0.085	0.121	   -3.772
ENSG00000112041	0.104	0.121	   -3.268
ENSG00000259562	0.108	0.119	    4.164
ENSG00000242435	0.092	0.118	    2.167
ENSG00000131435	0.064	0.112	   -2.576
ENSG00000170234	0.066	0.112	   -3.971
ENSG00000254973	0.020	0.112	   -3.952
ENSG00000116138	0.044	0.110	   -9.253
ENSG00000169592	0.047	0.110	   -2.655
ENSG00000255201	0.023	0.108	    1.716
ENSG00000119820	0.026	0.107	   -6.629
ENSG00000168356	0.046	0.107	    4.526
ENSG00000113494	0.022	0.104	    0.108
ENSG00000012223	0.035	0.104	    4.260
ENSG00000111203	0.062	0.104	    0.612
ENSG00000243069	0.039	0.104	   -2.158
ENSG00000163904	0.025	0.101	   -2.651
ENSG00000154874	0.003	0.101	   -3.491
ENSG00000229618	0.032	0.100	    0.935
ENSG00000273619	0.090	0.099	   -0.454
ENSG00000131165	0.087	0.099	    5.407
ENSG00000125124	0.051	0.099	    1.221
ENSG00000244119	0.098	0.099	   -2.188
ENSG00000270210	0.031	0.099	    3.844
ENSG00000244414	0.044	0.098	   -3.730
ENSG00000135914	0.042	0.098	    0.828
ENSG00000176978	0.070	0.095	   -0.445
ENSG00000165476	0.032	0.092	   -4.248
ENSG00000272950	0.092	0.092	    6.073
ENSG00000160602	0.049	0.091	   -0.320
ENSG00000241350	0.042	0.089	    2.972
ENSG00000164978	0.085	0.088	   -3.616
ENSG00000248184	0.052	0.088	   -1.174
ENSG00000189266	0.023	0.088	   -0.526
ENSG00000227775	0.003	0.088	   -4.112
ENSG00000239519	0.029	0.088	   -3.502
ENSG00000134444	0.017	0.088	    0.878
ENSG00000124780	0.047	0.087	    5.758
ENSG00000154856	0.071	0.086	   -4.108
ENSG00000247400	0.053	0.083	   -5.263
ENSG00000204977	0.041	0.083	    4.105
ENSG00000182628	0.083	0.083	   -4.492
ENSG00000146476	0.043	0.082	    4.237
ENSG00000013573	0.038	0.082	    0.000
ENSG00000115461	0.049	0.081	    4.790
ENSG00000137269	0.044	0.081	    4.582
ENSG00000122376	0.054	0.079	   -7.876
ENSG00000261126	0.026	0.079	    2.100
ENSG00000116906	0.039	0.078	   -3.501
ENSG00000154803	0.032	0.077	   -3.723
ENSG00000164346	0.040	0.076	    3.083
ENSG00000169689	0.076	0.076	   -3.273
ENSG00000183020	0.074	0.074	    1.149
ENSG00000152256	0.019	0.074	   -0.498
ENSG00000279452	0.065	0.074	    3.519
ENSG00000119523	0.010	0.074	   -3.077
ENSG00000112149	0.036	0.073	   -1.008
ENSG00000188529	0.005	0.073	   -0.345
ENSG00000147535	0.024	0.073	   -7.462
ENSG00000258983	0.043	0.072	   -3.266
ENSG00000124789	0.036	0.072	   -0.860
ENSG00000085063	0.065	0.071	    2.110
ENSG00000213640	0.050	0.071	   -2.583
ENSG00000163378	0.001	0.069	    2.867
ENSG00000213077	0.008	0.069	   -3.263
ENSG00000226816	0.029	0.069	    3.021
ENSG00000182722	0.023	0.069	   -2.055
ENSG00000134202	0.017	0.069	    3.289
ENSG00000011295	0.022	0.067	   -3.570
ENSG00000271825	0.027	0.067	    4.312
ENSG00000165046	0.022	0.067	   -6.586
ENSG00000275074	0.048	0.066	   -3.162
ENSG00000176155	0.008	0.066	   -1.672
ENSG00000154127	0.020	0.066	    5.003
ENSG00000259495	0.055	0.065	   -4.020
ENSG00000177239	0.023	0.065	   -3.633
ENSG00000225731	0.023	0.065	    0.555
ENSG00000164010	0.060	0.065	    0.000
ENSG00000233448	0.039	0.064	   -3.902
ENSG00000276116	0.039	0.064	   -4.395
ENSG00000242419	0.064	0.064	    4.054
ENSG00000092850	0.015	0.064	   -3.705
ENSG00000167264	0.021	0.063	   -2.997
ENSG00000063854	0.056	0.062	    3.473
ENSG00000140350	0.062	0.062	    1.546
ENSG00000277287	0.015	0.061	    3.169
ENSG00000240445	0.002	0.061	   -0.205
ENSG00000164347	0.028	0.060	    3.066
ENSG00000174177	0.033	0.059	    3.311
ENSG00000170185	0.011	0.059	    1.027
ENSG00000196653	0.039	0.058	    3.909
ENSG00000167711	0.014	0.058	   -1.839
ENSG00000152348	0.051	0.058	    3.143
ENSG00000244754	0.028	0.058	   -3.532
ENSG00000106605	0.058	0.058	   -1.013
ENSG00000164938	0.006	0.058	    3.130
ENSG00000198691	0.017	0.057	   -3.604
ENSG00000204217	0.028	0.057	   -0.986
ENSG00000123159	0.057	0.057	   -0.627
ENSG00000105856	0.037	0.056	    3.752
ENSG00000280374	0.018	0.056	    0.108
ENSG00000261505	0.029	0.056	   -0.224
ENSG00000117151	0.031	0.055	    1.280
ENSG00000175164	0.041	0.055	    3.258
ENSG00000187048	0.022	0.055	    3.143
ENSG00000231443	0.016	0.054	   -1.576
ENSG00000138686	0.023	0.054	   -3.985
ENSG00000105926	0.030	0.054	   -1.405
ENSG00000203804	0.013	0.053	   -3.421
ENSG00000197302	0.050	0.053	   -1.844
ENSG00000183011	0.035	0.053	    5.402
ENSG00000253878	0.007	0.051	    3.581
ENSG00000149679	0.015	0.051	   -2.949
ENSG00000160886	0.047	0.051	    3.126
ENSG00000231784	0.024	0.051	    1.719
ENSG00000160606	0.024	0.050	    5.045
ENSG00000171695	0.005	0.050	    0.456
ENSG00000198039	0.019	0.049	   -2.743
