Gene	GRCP	GLCP	TWAS_z
ENSG00000226334	0.939	0.971	   -6.960
ENSG00000176623	0.324	0.920	    4.719
ENSG00000146477	0.399	0.862	    6.217
ENSG00000143995	0.319	0.856	   -4.856
ENSG00000115109	0.719	0.854	    0.000
ENSG00000156170	0.392	0.785	    9.861
ENSG00000229352	0.192	0.777	   -3.299
ENSG00000057252	0.428	0.760	    3.044
ENSG00000149485	0.186	0.759	   -1.357
ENSG00000259685	0.399	0.749	   -5.429
ENSG00000278356	0.471	0.731	    0.000
ENSG00000180535	0.520	0.726	   -1.548
ENSG00000167525	0.437	0.723	   -0.207
ENSG00000134825	0.422	0.722	    7.623
ENSG00000144746	0.695	0.702	    5.595
ENSG00000196700	0.526	0.700	    4.776
ENSG00000124780	0.352	0.646	    6.091
ENSG00000121101	0.260	0.619	    6.046
ENSG00000273209	0.116	0.605	   -6.997
ENSG00000072736	0.478	0.593	   -4.703
ENSG00000114650	0.339	0.563	   -6.594
ENSG00000130518	0.001	0.559	   -1.312
ENSG00000085788	0.355	0.545	   -6.865
ENSG00000127080	0.238	0.534	   -2.384
ENSG00000134874	0.207	0.526	    6.169
ENSG00000158234	0.349	0.512	   -4.586
ENSG00000233006	0.323	0.508	    6.985
ENSG00000012223	0.336	0.508	    4.982
ENSG00000279699	0.351	0.503	   -0.751
ENSG00000228782	0.416	0.503	    6.302
ENSG00000186340	0.486	0.486	   -0.512
ENSG00000162994	0.485	0.485	    4.084
ENSG00000280374	0.215	0.484	   -4.311
ENSG00000273456	0.386	0.473	    8.277
ENSG00000275426	0.465	0.466	   -0.349
ENSG00000237159	0.369	0.462	    4.438
ENSG00000172795	0.223	0.458	   -4.186
ENSG00000183172	0.217	0.453	    4.104
ENSG00000176155	0.067	0.452	   -3.446
ENSG00000117505	0.204	0.449	   -8.428
ENSG00000198951	0.244	0.445	    4.079
ENSG00000183020	0.130	0.442	    0.760
ENSG00000137713	0.286	0.440	    5.848
ENSG00000198860	0.327	0.433	    4.214
ENSG00000122870	0.176	0.431	   -9.286
ENSG00000137218	0.429	0.429	    4.775
ENSG00000159461	0.319	0.418	   -4.296
ENSG00000271825	0.223	0.412	    4.380
ENSG00000230521	0.412	0.412	    0.000
ENSG00000181915	0.344	0.400	    4.828
ENSG00000214941	0.331	0.399	   -4.130
ENSG00000188997	0.096	0.397	    0.204
ENSG00000155906	0.235	0.394	    3.768
ENSG00000280486	0.050	0.392	    3.469
ENSG00000104904	0.135	0.387	    3.794
ENSG00000167264	0.314	0.381	   -6.095
ENSG00000171703	0.216	0.378	    3.992
ENSG00000170876	0.305	0.378	    4.237
ENSG00000250412	0.046	0.375	    4.336
ENSG00000231084	0.098	0.367	   -5.958
ENSG00000235718	0.194	0.367	   -6.688
ENSG00000247400	0.340	0.366	    0.000
ENSG00000120451	0.365	0.365	   -0.314
ENSG00000177096	0.202	0.360	    4.960
ENSG00000206573	0.306	0.360	    4.309
ENSG00000239282	0.268	0.358	   -1.233
