Gene	GRCP	GLCP	TWAS_z
ENSG00000165449	0.918	1.000	    7.365
ENSG00000261390	0.208	0.995	    3.957
ENSG00000156170	0.553	0.991	    9.891
ENSG00000142765	0.985	0.985	    0.117
ENSG00000227021	0.198	0.896	   -4.720
ENSG00000174332	0.588	0.889	    3.733
ENSG00000176623	0.312	0.875	    4.740
ENSG00000262185	0.751	0.846	   -0.917
ENSG00000138246	0.699	0.820	    8.262
ENSG00000130518	0.566	0.815	   -0.503
ENSG00000163406	0.202	0.806	    6.949
ENSG00000123384	0.079	0.781	   -9.671
ENSG00000197375	0.206	0.771	    5.531
ENSG00000188827	0.736	0.736	    0.119
ENSG00000161664	0.161	0.732	    4.684
ENSG00000229352	0.151	0.727	   -4.070
ENSG00000099953	0.279	0.718	   -2.048
ENSG00000236295	0.274	0.704	   -4.359
ENSG00000172795	0.307	0.702	   -4.185
ENSG00000167525	0.403	0.700	   -0.269
ENSG00000149485	0.358	0.697	    2.627
ENSG00000180257	0.646	0.685	   -5.329
ENSG00000270951	0.046	0.676	   -0.611
ENSG00000125510	0.336	0.654	   -3.640
ENSG00000085788	0.479	0.611	   -6.820
ENSG00000161654	0.504	0.609	    3.406
ENSG00000279833	0.417	0.608	    0.000
ENSG00000180900	0.523	0.589	   -4.913
ENSG00000111605	0.393	0.585	    4.000
ENSG00000183423	0.216	0.582	   -4.057
ENSG00000244757	0.432	0.581	    4.102
ENSG00000011638	0.219	0.580	    0.000
ENSG00000121236	0.189	0.577	    0.821
ENSG00000021488	0.164	0.571	    4.514
ENSG00000223745	0.072	0.565	    6.569
ENSG00000185262	0.046	0.561	    0.000
ENSG00000125319	0.041	0.559	    4.711
ENSG00000262888	0.457	0.556	   -4.182
ENSG00000215704	0.241	0.554	   -9.127
ENSG00000241563	0.351	0.549	    4.448
ENSG00000163904	0.099	0.547	    5.263
ENSG00000173171	0.011	0.543	  -13.953
ENSG00000253878	0.107	0.529	   10.034
ENSG00000102897	0.244	0.521	   -1.676
ENSG00000134824	0.053	0.518	   -5.979
ENSG00000198242	0.255	0.517	   -0.206
ENSG00000172379	0.387	0.512	    3.692
ENSG00000164967	0.319	0.511	   -4.394
ENSG00000270083	0.167	0.510	   -0.134
ENSG00000115884	0.075	0.501	   -4.101
ENSG00000249244	0.054	0.494	    2.679
ENSG00000213918	0.474	0.474	    5.001
ENSG00000168591	0.038	0.470	    4.865
ENSG00000168291	0.469	0.469	    5.009
ENSG00000171700	0.224	0.466	   -3.600
ENSG00000144746	0.463	0.463	    0.000
ENSG00000099956	0.152	0.462	   -2.112
ENSG00000257225	0.259	0.443	    3.109
ENSG00000262312	0.105	0.441	    0.044
ENSG00000206573	0.324	0.439	    4.309
ENSG00000159461	0.285	0.435	   -2.128
ENSG00000283050	0.070	0.435	    4.228
ENSG00000005189	0.285	0.435	   -2.890
ENSG00000183020	0.111	0.433	    0.466
ENSG00000274031	0.259	0.427	   -0.376
ENSG00000273456	0.362	0.423	    8.176
ENSG00000281189	0.045	0.412	    2.995
ENSG00000122515	0.317	0.401	    2.998
ENSG00000188215	0.323	0.396	    4.243
ENSG00000134490	0.104	0.395	   -4.174
ENSG00000137218	0.393	0.393	    4.633
ENSG00000134825	0.160	0.389	    7.510
ENSG00000163684	0.023	0.386	    3.875
ENSG00000105926	0.145	0.385	    0.000
ENSG00000157933	0.253	0.377	   -2.316
ENSG00000116138	0.073	0.377	   -8.545
ENSG00000132906	0.085	0.375	   -7.474
ENSG00000205702	0.075	0.370	    3.118
ENSG00000228265	0.123	0.370	   -2.364
ENSG00000237751	0.286	0.367	   -6.782
ENSG00000180535	0.190	0.363	   -8.092
ENSG00000231460	0.266	0.361	   -0.263
ENSG00000100197	0.093	0.355	    1.573
ENSG00000227370	0.093	0.354	    1.520
ENSG00000166797	0.131	0.353	    4.842
ENSG00000149716	0.147	0.352	    5.205
ENSG00000116035	0.043	0.351	   -5.919
ENSG00000231804	0.107	0.347	    4.933
ENSG00000012223	0.146	0.341	    4.886
ENSG00000246174	0.096	0.335	    3.572
ENSG00000105376	0.128	0.327	   -1.398
ENSG00000204120	0.142	0.326	   -4.062
ENSG00000152484	0.223	0.324	    4.761
ENSG00000281332	0.095	0.323	   -1.171
ENSG00000254561	0.231	0.321	   -6.541
ENSG00000214941	0.312	0.321	   -4.272
ENSG00000170425	0.267	0.319	    0.335
ENSG00000118263	0.170	0.309	    4.388
ENSG00000115286	0.087	0.308	   -4.850
ENSG00000166743	0.174	0.308	    4.516
ENSG00000137185	0.260	0.308	   11.189
ENSG00000198860	0.106	0.303	    3.743
ENSG00000223561	0.070	0.300	    4.249
ENSG00000125124	0.247	0.300	    2.999
ENSG00000278356	0.177	0.299	   -0.692
ENSG00000185499	0.111	0.298	  -17.592
ENSG00000245958	0.068	0.295	   -0.701
ENSG00000241770	0.061	0.292	    2.392
ENSG00000189319	0.021	0.285	   -5.728
ENSG00000028528	0.075	0.281	   -3.488
ENSG00000075413	0.162	0.278	   -5.749
ENSG00000175279	0.182	0.276	   -4.415
ENSG00000168137	0.099	0.272	    1.974
ENSG00000066933	0.084	0.271	    6.663
ENSG00000189339	0.234	0.270	    1.765
ENSG00000170004	0.267	0.267	    4.889
ENSG00000107159	0.266	0.267	   -4.346
ENSG00000233006	0.027	0.266	    6.741
ENSG00000121068	0.021	0.263	   -3.550
ENSG00000114742	0.109	0.253	    4.226
ENSG00000214435	0.250	0.250	    2.554
ENSG00000143153	0.168	0.250	   -0.379
ENSG00000183172	0.209	0.249	    3.519
ENSG00000204977	0.078	0.245	    4.007
ENSG00000158234	0.068	0.243	   -4.062
ENSG00000247400	0.178	0.243	   -1.651
ENSG00000076685	0.054	0.240	    2.246
ENSG00000213347	0.104	0.240	    0.000
ENSG00000144524	0.200	0.238	    4.545
ENSG00000101255	0.063	0.232	    2.537
ENSG00000206560	0.062	0.229	    4.601
ENSG00000136982	0.110	0.228	   -3.699
ENSG00000137817	0.081	0.227	   -6.479
ENSG00000228782	0.020	0.224	   -5.516
ENSG00000203804	0.018	0.222	   -3.712
ENSG00000121989	0.141	0.220	    8.620
ENSG00000227782	0.084	0.219	    0.823
ENSG00000175311	0.191	0.219	   -0.513
ENSG00000172209	0.049	0.217	   -4.051
ENSG00000229029	0.130	0.217	    4.408
ENSG00000132383	0.200	0.214	   -3.905
ENSG00000272871	0.183	0.213	    4.354
ENSG00000231107	0.112	0.213	    1.529
ENSG00000184990	0.123	0.212	   -2.434
ENSG00000129083	0.084	0.211	    3.901
ENSG00000198553	0.084	0.210	    4.074
ENSG00000175931	0.083	0.208	   -3.712
ENSG00000182224	0.156	0.208	    5.599
ENSG00000272086	0.156	0.206	   -3.875
ENSG00000157800	0.183	0.206	   -1.576
ENSG00000196950	0.073	0.202	   -3.447
ENSG00000076003	0.132	0.200	   -4.395
ENSG00000163320	0.063	0.199	    0.325
ENSG00000279465	0.046	0.199	   -1.093
ENSG00000280374	0.098	0.198	   -2.589
ENSG00000157214	0.076	0.197	   -3.068
ENSG00000167984	0.055	0.197	    0.102
ENSG00000103485	0.110	0.195	    1.127
ENSG00000168026	0.194	0.195	    4.384
ENSG00000069424	0.171	0.193	    1.280
ENSG00000276931	0.054	0.192	    1.989
ENSG00000123178	0.096	0.191	    0.000
ENSG00000149679	0.090	0.190	   -1.880
ENSG00000006016	0.190	0.190	   -0.572
ENSG00000166450	0.099	0.189	   -2.908
ENSG00000271161	0.021	0.186	    6.658
ENSG00000022567	0.117	0.186	    3.963
ENSG00000274414	0.100	0.184	   -5.532
ENSG00000142409	0.115	0.182	    4.211
ENSG00000237037	0.073	0.181	    2.481
ENSG00000114446	0.020	0.180	    3.277
ENSG00000214820	0.068	0.179	    4.039
ENSG00000122870	0.036	0.179	   -9.520
ENSG00000164466	0.067	0.179	    2.344
ENSG00000255455	0.108	0.177	   -1.478
ENSG00000167487	0.171	0.177	   -1.316
ENSG00000231389	0.176	0.176	    5.557
ENSG00000197903	0.059	0.176	   13.249
ENSG00000248394	0.047	0.176	    3.668
ENSG00000157404	0.107	0.175	    1.444
ENSG00000243176	0.026	0.173	    4.154
ENSG00000115602	0.073	0.173	    0.923
ENSG00000135766	0.018	0.171	   -3.034
ENSG00000035681	0.148	0.171	   -1.407
ENSG00000158865	0.066	0.170	   -2.943
ENSG00000279774	0.055	0.170	   -3.450
ENSG00000229635	0.139	0.170	    5.851
ENSG00000259488	0.044	0.169	   -2.252
ENSG00000009950	0.022	0.166	    0.870
ENSG00000011295	0.061	0.165	   -4.266
ENSG00000149927	0.110	0.162	    3.461
ENSG00000279039	0.059	0.162	   -3.431
ENSG00000104432	0.092	0.160	   -3.525
ENSG00000254485	0.027	0.158	    2.706
ENSG00000270210	0.084	0.158	    3.268
ENSG00000260236	0.062	0.157	    7.022
ENSG00000266904	0.154	0.157	    1.782
ENSG00000089693	0.142	0.157	    3.245
ENSG00000088888	0.156	0.156	   -3.884
ENSG00000188529	0.004	0.156	   -3.562
ENSG00000166347	0.102	0.155	   -3.630
ENSG00000130203	0.044	0.154	    0.286
ENSG00000198945	0.154	0.154	    0.000
ENSG00000008988	0.069	0.153	    3.595
ENSG00000112812	0.056	0.152	   11.986
ENSG00000265678	0.019	0.151	   -1.576
ENSG00000230074	0.016	0.150	    3.313
ENSG00000254352	0.095	0.148	   -3.648
ENSG00000275426	0.142	0.148	   -1.875
ENSG00000186591	0.086	0.148	   -1.954
ENSG00000125618	0.014	0.147	   -1.905
ENSG00000180245	0.086	0.147	   -3.837
ENSG00000187957	0.037	0.144	    3.779
