Gene	GRCP	GLCP	TWAS_z
ENSG00000115596	0.948	0.990	    5.437
ENSG00000156170	0.240	0.989	    9.800
ENSG00000122870	0.199	0.913	   -9.308
ENSG00000176623	0.270	0.906	    4.695
ENSG00000185499	0.283	0.897	  -16.526
ENSG00000239282	0.630	0.885	    1.995
ENSG00000223865	0.311	0.861	    4.131
ENSG00000146477	0.475	0.861	    4.908
ENSG00000132510	0.647	0.858	   -3.690
ENSG00000262185	0.784	0.846	    0.732
ENSG00000130518	0.562	0.804	    0.000
ENSG00000057252	0.360	0.764	    0.000
ENSG00000122376	0.470	0.755	   -8.310
ENSG00000253878	0.317	0.744	   10.403
ENSG00000180535	0.322	0.719	   -1.936
ENSG00000134825	0.302	0.710	    7.376
ENSG00000163684	0.141	0.681	    4.301
ENSG00000260077	0.428	0.676	   -1.252
ENSG00000104904	0.510	0.674	    4.289
ENSG00000143995	0.082	0.673	   -4.238
ENSG00000144746	0.344	0.672	    5.468
ENSG00000137269	0.038	0.671	    4.604
ENSG00000198276	0.346	0.613	    4.638
ENSG00000274080	0.046	0.603	  -13.313
ENSG00000229618	0.200	0.602	    4.026
ENSG00000279699	0.436	0.600	   -4.795
ENSG00000142765	0.594	0.594	   -0.040
ENSG00000215006	0.112	0.590	   -6.496
ENSG00000223561	0.109	0.582	    4.254
ENSG00000250412	0.038	0.580	    4.210
ENSG00000106018	0.413	0.563	    4.360
ENSG00000101546	0.412	0.544	   -4.695
ENSG00000185630	0.048	0.539	    6.134
ENSG00000121101	0.180	0.534	    5.917
ENSG00000231389	0.019	0.534	    5.255
ENSG00000172059	0.230	0.532	   -0.452
ENSG00000123124	0.128	0.532	    4.864
ENSG00000196700	0.356	0.493	    3.217
ENSG00000243955	0.177	0.485	   -5.247
ENSG00000198951	0.202	0.484	    3.739
ENSG00000213918	0.483	0.484	    5.001
ENSG00000271825	0.188	0.482	    4.442
ENSG00000180245	0.313	0.475	   -4.342
ENSG00000233006	0.243	0.473	    6.852
ENSG00000120688	0.437	0.468	    4.477
ENSG00000171703	0.235	0.467	    0.040
ENSG00000228782	0.340	0.457	    6.305
ENSG00000158234	0.311	0.450	   -4.593
ENSG00000177096	0.187	0.426	    4.990
ENSG00000273456	0.354	0.415	    8.270
ENSG00000085788	0.265	0.407	   -6.718
ENSG00000255455	0.403	0.404	    3.055
ENSG00000170234	0.238	0.398	   -0.742
ENSG00000183172	0.203	0.395	    3.593
ENSG00000175279	0.325	0.387	   -4.348
ENSG00000280486	0.156	0.383	    2.138
ENSG00000188997	0.090	0.381	   -2.335
ENSG00000166743	0.190	0.381	    4.414
ENSG00000275437	0.258	0.378	   -4.397
ENSG00000269387	0.319	0.377	   -3.379
ENSG00000167874	0.268	0.377	    0.248
ENSG00000280374	0.155	0.372	   -0.861
ENSG00000138246	0.322	0.372	    8.257
ENSG00000198860	0.237	0.357	    4.110
ENSG00000123159	0.202	0.355	   -0.157
ENSG00000137218	0.262	0.352	    4.911
ENSG00000214941	0.288	0.349	   -1.434
ENSG00000170425	0.088	0.348	    0.000
ENSG00000122515	0.127	0.345	    3.576
ENSG00000137185	0.291	0.344	    2.596
ENSG00000260807	0.106	0.338	    3.739
ENSG00000205702	0.037	0.335	    3.855
ENSG00000189266	0.099	0.334	    1.414
ENSG00000148814	0.197	0.333	    3.231
ENSG00000159461	0.216	0.331	   -4.314
ENSG00000011295	0.081	0.325	   -3.942
ENSG00000137033	0.079	0.321	    3.831
ENSG00000089177	0.206	0.315	    3.468
