Gene	GRCP	GLCP	TWAS_z
ENSG00000250412	0.051	0.983	    4.503
ENSG00000156170	0.270	0.981	    9.845
ENSG00000226334	0.927	0.964	    3.540
ENSG00000259685	0.343	0.931	   -2.105
ENSG00000279699	0.523	0.886	   -0.971
ENSG00000163406	0.224	0.869	    7.008
ENSG00000176623	0.328	0.869	    4.770
ENSG00000122376	0.567	0.864	   -8.184
ENSG00000185499	0.403	0.833	  -16.913
ENSG00000276790	0.184	0.767	   -6.007
ENSG00000138246	0.634	0.742	    8.258
ENSG00000260077	0.410	0.735	   -2.422
ENSG00000104904	0.499	0.723	    4.322
ENSG00000183011	0.527	0.721	    5.557
ENSG00000167525	0.424	0.715	   -1.654
ENSG00000146477	0.182	0.711	    5.835
ENSG00000272871	0.280	0.686	    5.018
ENSG00000180535	0.176	0.679	   -7.005
ENSG00000223561	0.162	0.664	    4.240
ENSG00000180245	0.363	0.641	   -4.241
ENSG00000213801	0.402	0.598	   -5.878
ENSG00000124780	0.327	0.565	    6.144
ENSG00000149485	0.549	0.565	   -4.911
ENSG00000228782	0.284	0.553	    6.318
ENSG00000121101	0.214	0.538	    6.160
ENSG00000105926	0.207	0.531	    1.599
ENSG00000175279	0.371	0.528	   -4.377
ENSG00000163431	0.112	0.509	   -5.453
ENSG00000177096	0.192	0.462	    5.010
ENSG00000213918	0.458	0.458	    5.732
ENSG00000270409	0.130	0.453	    2.048
ENSG00000151364	0.047	0.452	    3.709
ENSG00000205702	0.091	0.449	    2.868
ENSG00000233006	0.227	0.441	    6.854
ENSG00000283050	0.074	0.439	   -1.790
ENSG00000183172	0.202	0.436	    5.209
ENSG00000275426	0.431	0.433	   -0.456
ENSG00000158234	0.181	0.429	   -4.422
ENSG00000280374	0.223	0.427	    0.000
ENSG00000188997	0.093	0.422	   -2.700
ENSG00000273456	0.270	0.421	    8.360
ENSG00000273493	0.198	0.413	   -1.024
ENSG00000127080	0.232	0.408	   -3.458
ENSG00000137033	0.069	0.403	    3.795
ENSG00000159461	0.283	0.400	   -4.302
ENSG00000257818	0.218	0.393	    1.404
ENSG00000259630	0.276	0.391	    0.171
ENSG00000085788	0.197	0.391	   -6.640
ENSG00000276073	0.217	0.376	    1.116
ENSG00000214941	0.305	0.375	   -4.079
ENSG00000280486	0.097	0.375	    2.826
ENSG00000012223	0.190	0.358	    4.849
ENSG00000229352	0.015	0.351	    0.129
ENSG00000111605	0.195	0.340	   -0.522
ENSG00000273619	0.138	0.337	    4.394
ENSG00000233878	0.335	0.335	   -4.738
ENSG00000011295	0.111	0.320	   -4.092
ENSG00000138686	0.257	0.317	   -4.083
ENSG00000116771	0.240	0.317	   -8.903
ENSG00000213347	0.104	0.311	    0.000
ENSG00000120451	0.306	0.306	    1.924
ENSG00000178177	0.073	0.301	   -3.727
ENSG00000114742	0.134	0.298	    4.833
ENSG00000170425	0.246	0.296	   -2.003
ENSG00000280399	0.112	0.289	    4.244
ENSG00000168826	0.143	0.286	    3.884
ENSG00000169592	0.121	0.283	   -3.455
ENSG00000179428	0.133	0.281	    0.000
ENSG00000118690	0.116	0.280	   -4.705
ENSG00000055044	0.038	0.276	    8.218
ENSG00000167612	0.153	0.273	   -1.200
ENSG00000147535	0.090	0.270	   -6.677
ENSG00000166743	0.181	0.268	   -2.860
ENSG00000275437	0.160	0.268	   -4.083
ENSG00000231607	0.032	0.265	    3.797
ENSG00000179021	0.059	0.262	    3.624
ENSG00000188305	0.185	0.262	   -2.726
ENSG00000100614	0.048	0.243	    3.791
ENSG00000272966	0.097	0.241	    8.512
ENSG00000272156	0.179	0.236	   -1.983
ENSG00000196812	0.136	0.235	   12.030
ENSG00000198860	0.097	0.227	    3.581
ENSG00000006607	0.066	0.224	   -7.923
ENSG00000189339	0.216	0.216	    0.846
ENSG00000258811	0.119	0.212	    3.576
ENSG00000108349	0.103	0.205	    0.169
ENSG00000067225	0.077	0.197	   -5.995
ENSG00000198553	0.105	0.196	    4.184
ENSG00000112041	0.176	0.195	   -3.268
ENSG00000197943	0.080	0.190	    3.887
ENSG00000168291	0.019	0.188	    4.265
ENSG00000166192	0.038	0.184	    6.792
ENSG00000260236	0.042	0.183	    6.715
ENSG00000197312	0.065	0.182	    0.319
ENSG00000227543	0.145	0.182	   -1.002
ENSG00000122515	0.122	0.179	    4.074
ENSG00000143153	0.120	0.178	    0.405
ENSG00000223313	0.081	0.178	    3.467
ENSG00000128218	0.025	0.170	   -0.933
ENSG00000183020	0.141	0.167	    3.732
ENSG00000182472	0.129	0.167	    0.000
ENSG00000273302	0.002	0.167	   -4.590
ENSG00000204622	0.046	0.166	   -8.046
ENSG00000233266	0.159	0.166	   -3.750
ENSG00000267127	0.071	0.165	    2.722
ENSG00000278356	0.096	0.161	   -0.083
ENSG00000127418	0.159	0.159	    3.995
ENSG00000116138	0.084	0.158	   -9.152
ENSG00000276754	0.006	0.157	   -1.595
ENSG00000108474	0.057	0.157	    3.586
ENSG00000267280	0.036	0.156	   -2.316
ENSG00000254352	0.098	0.154	   -3.650
ENSG00000223552	0.037	0.152	    4.770
ENSG00000227370	0.013	0.151	    1.068
ENSG00000121966	0.058	0.150	    2.035
ENSG00000237781	0.004	0.147	    4.972
ENSG00000249328	0.075	0.146	    0.882
ENSG00000137135	0.009	0.143	   -2.802
ENSG00000198155	0.090	0.143	    3.713
ENSG00000168385	0.043	0.141	    2.298
ENSG00000231064	0.003	0.140	   15.572
ENSG00000198756	0.055	0.139	   -0.818
ENSG00000244513	0.004	0.138	   -4.790
ENSG00000130518	0.083	0.138	    0.000
ENSG00000228701	0.093	0.137	   -0.165
ENSG00000196950	0.069	0.136	   -4.004
ENSG00000106018	0.067	0.136	    4.266
ENSG00000226261	0.054	0.134	    8.292
ENSG00000167103	0.011	0.132	   -7.416
ENSG00000165476	0.037	0.131	   -5.610
ENSG00000113494	0.037	0.131	    1.647
ENSG00000088854	0.052	0.131	    3.715
ENSG00000078246	0.003	0.129	   -2.342
ENSG00000272086	0.087	0.129	   -4.091
ENSG00000250326	0.037	0.127	   -6.410
ENSG00000132510	0.093	0.126	    5.716
ENSG00000198951	0.058	0.125	    1.622
ENSG00000232710	0.011	0.124	    4.881
ENSG00000115604	0.082	0.124	    2.111
ENSG00000164978	0.117	0.123	   -4.064
ENSG00000109534	0.045	0.123	   -3.426
ENSG00000137204	0.035	0.122	   -8.522
ENSG00000242435	0.067	0.122	    3.206
ENSG00000125124	0.072	0.121	    3.861
ENSG00000250892	0.062	0.120	    3.500
ENSG00000244414	0.056	0.120	   -3.769
ENSG00000008988	0.066	0.119	    3.651
ENSG00000119801	0.074	0.117	   -3.383
ENSG00000176155	0.032	0.117	   -1.833
ENSG00000103485	0.115	0.115	    0.322
ENSG00000137713	0.035	0.115	    3.395
ENSG00000164938	0.013	0.114	    0.000
ENSG00000235169	0.078	0.114	    3.826
ENSG00000115602	0.081	0.114	   -1.375
ENSG00000283375	0.088	0.113	   -2.510
ENSG00000239282	0.070	0.113	    1.544
ENSG00000217643	0.048	0.112	   -3.455
ENSG00000245958	0.078	0.112	   -2.178
ENSG00000181472	0.054	0.110	   -4.502
ENSG00000168496	0.047	0.110	   -3.260
ENSG00000228812	0.025	0.110	    3.130
ENSG00000260057	0.028	0.109	   -1.888
ENSG00000101161	0.071	0.108	   -0.080
ENSG00000275784	0.009	0.108	   -2.061
ENSG00000172795	0.045	0.107	   -1.968
ENSG00000236814	0.019	0.105	    0.000
ENSG00000206560	0.046	0.104	    4.988
ENSG00000278000	0.060	0.104	   -3.958
ENSG00000013573	0.036	0.103	    3.211
ENSG00000230772	0.067	0.103	    4.887
ENSG00000157214	0.081	0.103	   -3.631
ENSG00000241563	0.060	0.103	    4.887
ENSG00000275413	0.029	0.103	   -3.802
ENSG00000099814	0.052	0.101	   -3.429
ENSG00000251491	0.052	0.100	    1.990
ENSG00000144746	0.060	0.099	    0.556
ENSG00000203804	0.053	0.099	   -2.547
ENSG00000272950	0.059	0.098	    5.998
ENSG00000138119	0.006	0.097	   -2.315
ENSG00000233597	0.016	0.096	    0.000
ENSG00000176978	0.066	0.096	   -2.552
ENSG00000249244	0.047	0.095	    4.461
ENSG00000138778	0.070	0.094	   -4.568
ENSG00000260891	0.046	0.094	   -1.462
ENSG00000172244	0.041	0.094	   -3.544
ENSG00000146205	0.006	0.093	   -8.125
ENSG00000137221	0.014	0.093	   -8.725
ENSG00000114107	0.038	0.093	    3.823
ENSG00000243069	0.047	0.091	   -3.278
ENSG00000115596	0.086	0.090	    5.398
ENSG00000261126	0.035	0.089	    2.050
ENSG00000261505	0.048	0.089	   -0.219
ENSG00000162994	0.088	0.088	    2.647
ENSG00000101546	0.037	0.088	   -4.781
ENSG00000227775	0.004	0.088	   -4.119
ENSG00000197355	0.056	0.087	   -3.626
ENSG00000233818	0.005	0.087	   -8.581
ENSG00000141027	0.027	0.087	    3.156
ENSG00000165752	0.042	0.086	    0.000
ENSG00000257621	0.085	0.086	   -1.055
ENSG00000241350	0.043	0.086	    3.289
ENSG00000167785	0.027	0.085	   -3.136
ENSG00000198276	0.065	0.085	    4.526
ENSG00000021488	0.029	0.084	    6.880
ENSG00000266909	0.030	0.083	    3.153
ENSG00000123124	0.033	0.082	    4.740
ENSG00000249201	0.076	0.082	   -1.225
ENSG00000163684	0.014	0.082	    4.991
ENSG00000105552	0.045	0.082	    3.333
ENSG00000128891	0.044	0.081	    3.462
ENSG00000085063	0.081	0.081	    0.000
ENSG00000196072	0.022	0.081	    4.176
ENSG00000239218	0.015	0.080	   -6.311
ENSG00000167264	0.067	0.080	   -2.608
ENSG00000198160	0.030	0.079	    0.649
ENSG00000136244	0.041	0.078	   -3.567
ENSG00000169710	0.048	0.078	    1.080
ENSG00000116906	0.043	0.078	   -3.725
ENSG00000275371	0.030	0.077	   -2.852
ENSG00000260439	0.025	0.077	    2.560
ENSG00000121068	0.011	0.076	   -0.068
ENSG00000152939	0.012	0.076	    1.534
ENSG00000120438	0.035	0.076	   -3.466
ENSG00000253878	0.006	0.076	   -4.853
ENSG00000164695	0.063	0.076	    0.160
ENSG00000227638	0.018	0.075	    0.600
ENSG00000281920	0.055	0.075	    4.329
ENSG00000248184	0.049	0.075	   -0.495
ENSG00000186704	0.018	0.074	    0.116
ENSG00000169689	0.072	0.073	   -3.258
ENSG00000126746	0.073	0.073	    3.867
ENSG00000164346	0.038	0.073	    3.083
ENSG00000203791	0.071	0.071	    6.497
ENSG00000231871	0.005	0.071	    0.989
ENSG00000167771	0.024	0.069	    4.889
ENSG00000234572	0.069	0.069	    3.444
ENSG00000170634	0.026	0.069	    1.773
ENSG00000141127	0.026	0.069	   -2.228
ENSG00000213640	0.047	0.069	   -2.573
ENSG00000149084	0.068	0.068	   -2.794
ENSG00000100170	0.014	0.068	   -5.353
ENSG00000275074	0.050	0.068	   -3.189
ENSG00000189298	0.032	0.068	   11.244
ENSG00000268996	0.042	0.068	    3.142
ENSG00000164933	0.035	0.067	   -1.244
ENSG00000184990	0.036	0.066	   -2.401
ENSG00000261308	0.016	0.066	    6.631
ENSG00000164010	0.058	0.066	   -0.680
ENSG00000174021	0.066	0.066	   -3.246
ENSG00000119574	0.029	0.066	   -0.485
ENSG00000009950	0.008	0.065	   -1.618
ENSG00000197747	0.018	0.065	    0.000
ENSG00000231460	0.060	0.064	    1.146
ENSG00000244509	0.064	0.064	    2.281
ENSG00000075413	0.036	0.064	   -4.941
ENSG00000235903	0.023	0.064	    2.199
ENSG00000174332	0.039	0.064	   -2.799
ENSG00000265678	0.009	0.063	    3.389
ENSG00000105143	0.045	0.063	    3.390
ENSG00000159063	0.022	0.063	   -2.583
ENSG00000213658	0.059	0.063	   -0.445
ENSG00000133059	0.017	0.063	   -5.131
ENSG00000259488	0.016	0.063	   -2.821
ENSG00000258983	0.045	0.062	   -3.278
ENSG00000204977	0.027	0.062	    4.290
ENSG00000273044	0.054	0.062	    3.876
ENSG00000186446	0.033	0.062	    3.065
ENSG00000214562	0.062	0.062	    3.444
ENSG00000214435	0.037	0.062	    1.680
ENSG00000256274	0.014	0.062	   -2.384
ENSG00000133812	0.029	0.062	    0.190
ENSG00000261713	0.014	0.062	    1.604
ENSG00000152348	0.050	0.061	    3.135
ENSG00000281469	0.014	0.061	    8.625
ENSG00000101003	0.041	0.061	    5.012
ENSG00000225447	0.022	0.061	   -3.268
ENSG00000169964	0.040	0.061	    3.967
ENSG00000244515	0.030	0.060	    0.000
ENSG00000160951	0.038	0.060	    3.520
ENSG00000279565	0.043	0.060	    1.171
ENSG00000149930	0.037	0.060	   -1.672
ENSG00000114054	0.053	0.059	    3.417
ENSG00000225498	0.027	0.059	   -3.088
ENSG00000100528	0.046	0.059	   -3.134
ENSG00000196653	0.043	0.059	    3.817
ENSG00000146453	0.034	0.058	   -2.695
ENSG00000137992	0.022	0.057	   -2.757
ENSG00000142765	0.057	0.057	   -0.411
ENSG00000111321	0.057	0.057	    1.025
ENSG00000090263	0.029	0.056	    2.884
ENSG00000263276	0.033	0.056	    4.957
ENSG00000231784	0.033	0.056	    1.992
ENSG00000260261	0.027	0.056	    0.000
ENSG00000114446	0.008	0.056	    3.309
ENSG00000131165	0.048	0.055	    4.029
ENSG00000152763	0.025	0.055	    2.996
ENSG00000105793	0.012	0.055	   -3.090
ENSG00000106603	0.054	0.054	   -3.647
ENSG00000188529	0.004	0.054	    0.000
ENSG00000174749	0.021	0.054	    0.000
ENSG00000081853	0.021	0.054	    3.391
ENSG00000279663	0.023	0.053	    3.028
ENSG00000141526	0.018	0.053	    0.552
ENSG00000083807	0.029	0.053	   -2.943
ENSG00000137996	0.019	0.053	    2.765
ENSG00000248092	0.014	0.053	   -2.018
ENSG00000151366	0.011	0.052	   -3.052
ENSG00000253537	0.051	0.051	    0.287
ENSG00000111450	0.017	0.051	   -0.049
ENSG00000105976	0.029	0.051	    2.922
ENSG00000177628	0.001	0.051	   15.288
ENSG00000106723	0.011	0.051	    0.590
ENSG00000279833	0.007	0.051	   -1.965
ENSG00000197008	0.040	0.051	    3.113
ENSG00000130764	0.033	0.051	    1.390
ENSG00000103351	0.051	0.051	    4.298
ENSG00000243955	0.012	0.049	    4.448
ENSG00000092850	0.018	0.049	   -3.892
ENSG00000182722	0.018	0.048	   -2.850
ENSG00000149292	0.035	0.048	    0.000
ENSG00000042317	0.039	0.048	    0.000
ENSG00000255507	0.011	0.048	    0.153
ENSG00000111215	0.009	0.048	    2.367
ENSG00000144524	0.031	0.047	   -0.853
ENSG00000144852	0.023	0.047	    3.127
ENSG00000124920	0.020	0.047	    6.773
ENSG00000066654	0.027	0.047	    5.926
ENSG00000234719	0.039	0.047	    2.997
ENSG00000198039	0.020	0.046	   -2.749
ENSG00000131153	0.046	0.046	   -3.505
ENSG00000203721	0.008	0.046	   -5.386
ENSG00000125319	0.008	0.045	    4.767
ENSG00000109576	0.036	0.045	    0.000
ENSG00000006459	0.015	0.045	   -3.439
ENSG00000231464	0.023	0.045	   -3.214
ENSG00000149923	0.004	0.045	   -1.698
ENSG00000198046	0.041	0.045	   -3.177
ENSG00000225806	0.004	0.044	   -2.339
ENSG00000271868	0.044	0.044	   -2.900
ENSG00000171903	0.014	0.044	    0.553
ENSG00000088836	0.005	0.044	    1.319
ENSG00000279283	0.030	0.044	    3.127
ENSG00000062282	0.009	0.044	    1.918
ENSG00000112110	0.023	0.044	   -3.448
ENSG00000134809	0.021	0.043	    0.000
ENSG00000122025	0.010	0.043	    0.233
