Gene	GRCP	GLCP	TWAS_z
ENSG00000138246	0.879	1.000	    8.286
ENSG00000156170	0.560	0.994	    9.938
ENSG00000079785	0.992	0.992	   -4.896
ENSG00000039560	0.762	0.991	    0.653
ENSG00000226334	0.949	0.975	    0.000
ENSG00000185499	0.351	0.964	  -16.647
ENSG00000180257	0.941	0.959	   -5.782
ENSG00000163638	0.884	0.940	   -5.121
ENSG00000241684	0.872	0.939	   -5.049
ENSG00000009950	0.902	0.927	  -13.770
ENSG00000167525	0.528	0.917	   -1.722
ENSG00000242779	0.734	0.915	   -5.697
ENSG00000183011	0.500	0.899	    3.106
ENSG00000089693	0.706	0.898	    0.000
ENSG00000182986	0.712	0.868	   -5.649
ENSG00000132510	0.710	0.852	   -3.749
ENSG00000213793	0.701	0.851	   -4.990
ENSG00000144746	0.252	0.840	    4.237
ENSG00000082497	0.488	0.829	   -4.643
ENSG00000170954	0.599	0.821	   -3.661
ENSG00000250569	0.286	0.818	    4.335
ENSG00000181915	0.795	0.814	   -5.638
ENSG00000132205	0.814	0.814	   -4.577
ENSG00000213742	0.811	0.811	   -0.570
ENSG00000121481	0.542	0.786	    3.555
ENSG00000126746	0.773	0.773	   -0.328
ENSG00000213801	0.616	0.771	   -5.182
ENSG00000219891	0.647	0.757	    4.775
ENSG00000188312	0.377	0.743	   -1.417
ENSG00000125510	0.572	0.738	   -4.787
ENSG00000189266	0.311	0.725	    0.000
ENSG00000233006	0.188	0.725	    6.909
ENSG00000152939	0.053	0.725	    5.648
ENSG00000172059	0.466	0.718	    0.000
ENSG00000203706	0.512	0.713	   -3.998
ENSG00000179912	0.069	0.705	  -20.009
ENSG00000260077	0.700	0.700	   -0.927
ENSG00000152942	0.303	0.688	   -5.605
ENSG00000107159	0.496	0.677	   -5.550
ENSG00000137135	0.540	0.663	   -4.872
ENSG00000114742	0.355	0.661	    4.643
ENSG00000131435	0.580	0.660	    0.000
ENSG00000235413	0.133	0.660	    5.917
ENSG00000036672	0.196	0.656	    0.552
ENSG00000270951	0.044	0.650	    1.422
ENSG00000230074	0.628	0.629	    0.842
ENSG00000091732	0.410	0.617	    5.191
ENSG00000198740	0.596	0.611	   -5.618
ENSG00000171792	0.559	0.608	    0.000
ENSG00000103194	0.447	0.594	    2.934
ENSG00000104904	0.266	0.589	    3.906
ENSG00000127663	0.216	0.587	   -4.588
ENSG00000160606	0.374	0.584	    5.172
ENSG00000082781	0.137	0.580	   -4.683
ENSG00000171700	0.580	0.580	   -4.450
ENSG00000134490	0.257	0.579	   -4.133
ENSG00000241563	0.435	0.578	    4.511
ENSG00000182628	0.249	0.576	    0.000
ENSG00000137185	0.360	0.566	    1.819
ENSG00000122515	0.556	0.566	    4.119
ENSG00000115607	0.111	0.550	   -3.841
ENSG00000059377	0.234	0.545	   -4.002
ENSG00000150907	0.198	0.542	   -4.063
ENSG00000262655	0.472	0.539	    4.596
ENSG00000106034	0.537	0.537	   -4.051
ENSG00000159596	0.537	0.537	   -2.688
ENSG00000106025	0.536	0.536	   -4.077
ENSG00000105926	0.307	0.530	    0.000
ENSG00000167264	0.508	0.530	   -5.484
ENSG00000162994	0.526	0.526	    3.986
ENSG00000203327	0.524	0.524	    3.614
ENSG00000071243	0.523	0.523	   -4.054
ENSG00000221963	0.522	0.522	    4.227
ENSG00000238120	0.327	0.517	   -4.789
ENSG00000177200	0.071	0.517	    3.490
ENSG00000272269	0.182	0.515	    3.453
ENSG00000269293	0.286	0.510	   11.899
ENSG00000159884	0.298	0.509	    1.037
ENSG00000228782	0.501	0.504	    6.279
ENSG00000178934	0.341	0.496	   -3.425
ENSG00000272625	0.493	0.493	   -4.205
ENSG00000273456	0.426	0.491	    8.210
ENSG00000283050	0.088	0.486	    0.188
ENSG00000116771	0.275	0.484	   -8.948
ENSG00000239282	0.260	0.476	    5.779
ENSG00000115825	0.243	0.475	   -3.841
ENSG00000250412	0.081	0.473	    4.498
ENSG00000184983	0.212	0.467	   -0.893
ENSG00000197943	0.342	0.464	    3.726
ENSG00000101782	0.166	0.462	   -3.286
ENSG00000178917	0.328	0.460	    4.446
ENSG00000100298	0.354	0.460	   -2.775
ENSG00000156973	0.250	0.460	    4.385
ENSG00000142494	0.459	0.459	   -0.249
ENSG00000121101	0.273	0.457	    5.994
ENSG00000120899	0.375	0.453	   -4.140
ENSG00000085788	0.232	0.453	   -5.765
ENSG00000175279	0.416	0.451	   -4.360
ENSG00000225806	0.024	0.447	   -0.207
ENSG00000168026	0.240	0.441	    4.462
ENSG00000247400	0.384	0.439	   -1.140
ENSG00000103227	0.426	0.428	    4.354
ENSG00000196526	0.180	0.427	    5.010
ENSG00000280374	0.272	0.423	    1.263
ENSG00000109113	0.238	0.421	   -1.791
ENSG00000104228	0.238	0.417	   -3.872
ENSG00000259630	0.311	0.413	    0.000
ENSG00000159461	0.338	0.406	   -3.467
ENSG00000256546	0.370	0.405	   -8.697
ENSG00000198860	0.326	0.404	    0.446
ENSG00000214941	0.400	0.402	   -4.171
ENSG00000101003	0.155	0.393	    4.471
ENSG00000249244	0.079	0.393	    4.372
ENSG00000028528	0.315	0.392	   -1.582
ENSG00000107863	0.306	0.391	    0.000
ENSG00000118369	0.115	0.389	    0.815
ENSG00000189339	0.382	0.388	    0.487
ENSG00000175105	0.078	0.388	   -3.434
ENSG00000115828	0.217	0.387	   -3.805
ENSG00000147535	0.145	0.385	   -6.900
ENSG00000091592	0.071	0.378	   -0.181
ENSG00000112149	0.374	0.378	    0.625
ENSG00000196700	0.305	0.377	    4.764
ENSG00000099256	0.306	0.376	   -1.986
ENSG00000134077	0.314	0.374	    0.000
ENSG00000245958	0.125	0.368	    0.000
ENSG00000213963	0.172	0.367	   -1.996
ENSG00000272092	0.265	0.366	    0.000
ENSG00000099889	0.364	0.365	   -3.134
ENSG00000183597	0.359	0.362	   -0.902
ENSG00000158220	0.268	0.360	    4.299
ENSG00000081148	0.203	0.355	    4.136
ENSG00000213918	0.202	0.354	    0.094
ENSG00000143153	0.257	0.351	    2.166
ENSG00000260022	0.195	0.350	    2.872
ENSG00000138600	0.154	0.349	   -6.178
ENSG00000279699	0.210	0.347	    0.212
ENSG00000144792	0.091	0.347	    4.025
ENSG00000233554	0.344	0.344	    1.611
ENSG00000148814	0.250	0.343	    4.063
ENSG00000273102	0.137	0.343	    5.663
ENSG00000130518	0.214	0.341	   -2.561
ENSG00000198382	0.108	0.340	    4.879
ENSG00000171206	0.093	0.333	    4.832
ENSG00000141576	0.329	0.329	   -4.775
ENSG00000213398	0.208	0.328	   -5.213
ENSG00000133105	0.125	0.327	   -3.805
ENSG00000141127	0.282	0.326	   -4.034
ENSG00000120451	0.321	0.323	    0.000
ENSG00000274943	0.166	0.321	    3.824
ENSG00000116918	0.248	0.316	    4.967
ENSG00000066654	0.166	0.311	   -2.865
ENSG00000158805	0.308	0.308	    0.880
ENSG00000171488	0.308	0.308	    3.757
ENSG00000078246	0.095	0.306	    3.451
ENSG00000169223	0.233	0.306	    6.771
ENSG00000260807	0.178	0.304	   -0.802
ENSG00000204120	0.134	0.304	   -4.035
ENSG00000183172	0.259	0.302	    2.442
ENSG00000011021	0.253	0.301	    2.943
ENSG00000206573	0.300	0.301	   -4.181
ENSG00000183020	0.135	0.298	   -1.351
ENSG00000188529	0.029	0.297	   -0.446
ENSG00000168356	0.103	0.296	    4.190
ENSG00000196950	0.295	0.296	   -3.438
ENSG00000125124	0.292	0.293	    0.879
ENSG00000134874	0.210	0.292	    5.938
ENSG00000254554	0.271	0.292	    3.496
ENSG00000179428	0.166	0.292	    0.000
ENSG00000283959	0.223	0.290	    0.179
ENSG00000124067	0.256	0.288	   -5.309
ENSG00000257252	0.252	0.286	    4.475
ENSG00000170425	0.055	0.285	   -0.845
ENSG00000253767	0.240	0.284	    0.000
ENSG00000143947	0.284	0.284	   -2.132
ENSG00000226261	0.217	0.282	    8.510
ENSG00000136244	0.167	0.277	    0.000
ENSG00000163528	0.276	0.276	   -1.844
ENSG00000080546	0.130	0.274	    4.658
ENSG00000171940	0.260	0.273	   -4.698
ENSG00000197670	0.264	0.273	   -4.815
ENSG00000148680	0.161	0.272	   -1.288
ENSG00000181555	0.019	0.271	    6.415
ENSG00000178177	0.202	0.271	    6.314
ENSG00000235169	0.201	0.270	    3.560
ENSG00000147548	0.109	0.269	   -0.366
ENSG00000134825	0.268	0.268	    7.274
ENSG00000114491	0.160	0.266	   -2.298
ENSG00000272156	0.200	0.265	   -1.892
ENSG00000122877	0.118	0.263	   -5.615
ENSG00000275393	0.178	0.261	    3.932
ENSG00000164967	0.241	0.259	   -1.867
ENSG00000061938	0.257	0.257	    2.571
ENSG00000081665	0.061	0.257	    0.694
ENSG00000186448	0.159	0.255	    4.140
ENSG00000185100	0.218	0.255	   -1.365
ENSG00000213988	0.101	0.251	   -3.310
ENSG00000177096	0.249	0.250	   -1.183
ENSG00000256229	0.110	0.250	   -3.367
ENSG00000130764	0.176	0.248	    3.650
ENSG00000198553	0.151	0.247	    4.257
ENSG00000272966	0.177	0.247	    8.138
ENSG00000164543	0.139	0.246	   -2.959
ENSG00000180628	0.167	0.245	   -3.563
ENSG00000006459	0.242	0.244	   -4.019
ENSG00000260439	0.171	0.242	    0.000
ENSG00000164916	0.037	0.241	   -0.025
ENSG00000166347	0.108	0.241	    0.994
ENSG00000275437	0.221	0.239	   -3.989
ENSG00000103066	0.086	0.234	   -5.714
ENSG00000092847	0.192	0.233	    4.171
ENSG00000166436	0.179	0.233	    0.456
ENSG00000114745	0.167	0.231	    4.380
ENSG00000228265	0.134	0.229	   -0.080
ENSG00000219133	0.157	0.229	   -4.696
ENSG00000241749	0.069	0.228	    4.184
ENSG00000112183	0.156	0.228	    2.680
ENSG00000138468	0.170	0.228	    3.514
ENSG00000197124	0.075	0.227	   -3.334
ENSG00000267383	0.224	0.225	   -3.791
ENSG00000233461	0.224	0.224	    3.962
ENSG00000275426	0.019	0.224	   -2.265
ENSG00000039319	0.113	0.223	   -3.660
ENSG00000099917	0.221	0.222	    1.672
ENSG00000080824	0.047	0.222	   -5.443
ENSG00000233448	0.220	0.220	   -3.970
ENSG00000261126	0.200	0.220	    2.063
ENSG00000162585	0.017	0.218	    3.217
ENSG00000117505	0.182	0.218	   -4.823
ENSG00000175893	0.057	0.215	    2.275
ENSG00000132383	0.114	0.215	   -1.762
ENSG00000104427	0.118	0.214	    3.463
ENSG00000075426	0.027	0.214	    1.341
ENSG00000244509	0.105	0.214	    1.090
ENSG00000072736	0.015	0.213	    2.079
ENSG00000239218	0.035	0.211	   -6.606
ENSG00000168826	0.210	0.210	    3.121
ENSG00000164466	0.167	0.209	    0.491
ENSG00000121989	0.190	0.207	    8.806
ENSG00000076003	0.185	0.206	   -4.785
ENSG00000272438	0.165	0.206	    1.267
ENSG00000134686	0.151	0.203	    4.032
ENSG00000105792	0.076	0.201	    3.543
ENSG00000177830	0.165	0.200	   -3.998
ENSG00000115947	0.029	0.199	    7.566
ENSG00000254352	0.129	0.197	   -3.512
ENSG00000198586	0.031	0.197	    4.515
ENSG00000140534	0.163	0.196	    2.487
