Gene	GRCP	GLCP	TWAS_z
ENSG00000255320	0.793	0.926	    5.633
ENSG00000183011	0.670	0.882	    5.523
ENSG00000132170	0.339	0.857	   -6.372
ENSG00000171792	0.546	0.823	   -0.261
ENSG00000205356	0.387	0.803	    7.644
ENSG00000233441	0.438	0.791	   -5.099
ENSG00000213801	0.588	0.776	   -5.618
ENSG00000164938	0.145	0.745	   -3.106
ENSG00000185262	0.057	0.657	    2.893
ENSG00000137135	0.542	0.647	   -4.859
ENSG00000228110	0.392	0.577	   -4.679
ENSG00000250326	0.184	0.548	    2.982
ENSG00000228782	0.514	0.517	    6.302
ENSG00000167525	0.478	0.515	   -1.782
ENSG00000162994	0.512	0.512	    4.023
ENSG00000271086	0.094	0.497	    2.423
ENSG00000241563	0.391	0.496	    4.450
ENSG00000124789	0.339	0.458	    3.771
ENSG00000166347	0.103	0.446	    3.541
ENSG00000167476	0.362	0.442	    0.000
ENSG00000115850	0.324	0.433	    4.957
ENSG00000273456	0.376	0.431	    8.288
ENSG00000269892	0.015	0.430	    2.441
ENSG00000253878	0.036	0.426	    9.578
ENSG00000262655	0.355	0.423	    1.116
ENSG00000159461	0.321	0.417	    0.000
ENSG00000137204	0.313	0.416	   -9.198
ENSG00000159884	0.249	0.415	    0.000
ENSG00000233554	0.414	0.414	    9.276
ENSG00000103227	0.407	0.409	    4.445
ENSG00000134824	0.203	0.406	    7.242
ENSG00000099956	0.278	0.394	   -0.617
ENSG00000159596	0.253	0.373	   -3.092
ENSG00000134825	0.169	0.372	    6.978
ENSG00000137731	0.349	0.366	    4.771
ENSG00000249244	0.073	0.365	    4.474
ENSG00000250412	0.057	0.364	    4.506
ENSG00000223745	0.061	0.363	    5.709
ENSG00000086062	0.165	0.360	    0.169
ENSG00000278356	0.209	0.327	   -0.002
ENSG00000132906	0.162	0.326	   -9.325
ENSG00000066654	0.219	0.325	   -4.449
ENSG00000100344	0.093	0.325	   -1.668
ENSG00000125124	0.295	0.313	   -4.811
ENSG00000204120	0.307	0.307	   -4.565
ENSG00000272264	0.272	0.307	   -3.038
ENSG00000129646	0.007	0.305	    3.157
ENSG00000169220	0.304	0.304	    7.386
ENSG00000183172	0.252	0.299	    4.934
ENSG00000166797	0.285	0.285	    4.835
ENSG00000164466	0.160	0.279	    2.162
ENSG00000104228	0.214	0.278	    0.000
ENSG00000244691	0.104	0.277	   -0.744
ENSG00000275426	0.273	0.276	   -2.041
ENSG00000127418	0.262	0.275	   -0.781
ENSG00000203327	0.272	0.272	    4.022
ENSG00000196950	0.138	0.272	   -3.644
ENSG00000271989	0.211	0.269	   -4.389
ENSG00000163406	0.076	0.266	    1.980
ENSG00000171940	0.250	0.265	   -4.698
ENSG00000105376	0.198	0.258	   -3.880
ENSG00000177103	0.256	0.256	   -3.635
ENSG00000264577	0.149	0.255	   -1.410
ENSG00000107882	0.051	0.247	   -5.075
ENSG00000106723	0.088	0.244	    4.886
ENSG00000283050	0.083	0.244	    1.909
ENSG00000245958	0.074	0.244	    0.000
ENSG00000272871	0.081	0.244	    4.030
ENSG00000011295	0.092	0.242	   -4.025
ENSG00000181915	0.242	0.242	    0.586
ENSG00000136982	0.126	0.240	   -2.703
ENSG00000116771	0.195	0.238	   -8.698
ENSG00000114648	0.203	0.229	    6.859
ENSG00000126070	0.071	0.225	   -3.369
ENSG00000171033	0.110	0.225	   -3.656
ENSG00000189339	0.177	0.222	    4.136
ENSG00000011021	0.062	0.221	    2.886
ENSG00000165029	0.198	0.217	   -7.305
ENSG00000280046	0.163	0.216	    5.029
ENSG00000214941	0.079	0.213	   -4.088
ENSG00000022567	0.072	0.212	    3.450
ENSG00000106635	0.064	0.205	    1.274
ENSG00000168356	0.134	0.202	    4.375
ENSG00000273366	0.186	0.198	    0.000
ENSG00000213918	0.178	0.198	   -0.083
ENSG00000279039	0.091	0.194	   -2.799
ENSG00000273619	0.114	0.193	   -0.341
ENSG00000187866	0.013	0.192	   -2.120
ENSG00000212195	0.123	0.192	    5.368
ENSG00000275437	0.138	0.189	   -4.326
ENSG00000214435	0.167	0.181	    0.000
ENSG00000167106	0.088	0.181	    3.000
ENSG00000101546	0.091	0.177	    0.062
ENSG00000008988	0.077	0.177	    3.614
ENSG00000183020	0.072	0.176	   -2.183
ENSG00000242199	0.054	0.172	   -4.375
ENSG00000130702	0.025	0.171	    3.309
ENSG00000176623	0.170	0.170	    3.754
ENSG00000238280	0.034	0.166	    5.006
ENSG00000275784	0.140	0.165	    0.000
ENSG00000145217	0.164	0.164	    2.054
ENSG00000261291	0.100	0.163	    4.007
ENSG00000158805	0.162	0.162	    1.387
ENSG00000111816	0.140	0.161	    5.398
ENSG00000153933	0.090	0.161	    3.076
ENSG00000276073	0.135	0.161	    1.116
ENSG00000089693	0.140	0.159	    0.000
ENSG00000167770	0.154	0.159	   -5.303
ENSG00000235413	0.028	0.158	    5.427
ENSG00000178966	0.128	0.156	    3.874
ENSG00000277453	0.121	0.156	   -3.580
ENSG00000238061	0.008	0.152	    2.283
ENSG00000224728	0.047	0.150	    1.633
ENSG00000039560	0.049	0.149	    8.401
ENSG00000104427	0.116	0.146	   -3.669
ENSG00000174943	0.054	0.146	    3.393
ENSG00000157214	0.083	0.144	   -3.497
ENSG00000241350	0.124	0.144	    3.858
ENSG00000186652	0.111	0.144	    1.320
ENSG00000090382	0.049	0.141	    0.291
ENSG00000121060	0.083	0.139	    0.000
ENSG00000231607	0.068	0.139	   -1.376
ENSG00000141027	0.068	0.139	    0.000
ENSG00000228701	0.098	0.135	   -2.368
ENSG00000106603	0.055	0.133	   -3.917
ENSG00000158669	0.025	0.131	    0.000
ENSG00000121101	0.046	0.130	    5.860
ENSG00000267383	0.124	0.127	   -3.615
ENSG00000198160	0.038	0.127	   -3.274
ENSG00000185561	0.125	0.126	    1.307
ENSG00000138769	0.066	0.125	    1.976
ENSG00000196421	0.027	0.124	    3.647
ENSG00000043591	0.105	0.124	   -3.307
ENSG00000163684	0.024	0.124	    4.017
ENSG00000176124	0.053	0.123	   -2.311
ENSG00000114790	0.046	0.123	    5.459
ENSG00000172059	0.095	0.121	   -1.328
ENSG00000255507	0.038	0.120	    0.619
ENSG00000250569	0.035	0.120	    4.331
ENSG00000176155	0.061	0.120	   -3.446
ENSG00000205018	0.080	0.117	    0.100
ENSG00000120451	0.104	0.116	   -2.062
ENSG00000258701	0.091	0.109	   -3.950
ENSG00000109113	0.055	0.108	   -2.052
ENSG00000179021	0.029	0.108	    3.648
ENSG00000263276	0.020	0.108	   -4.881
ENSG00000075239	0.081	0.108	   -3.303
ENSG00000165923	0.086	0.108	   -4.808
ENSG00000112992	0.076	0.105	   -3.340
ENSG00000137218	0.046	0.105	    4.626
ENSG00000171421	0.074	0.104	   -0.080
ENSG00000178917	0.066	0.103	    4.368
ENSG00000165066	0.010	0.102	   -2.438
ENSG00000006607	0.052	0.101	   -7.855
ENSG00000088727	0.033	0.101	    6.985
ENSG00000233461	0.075	0.100	    4.539
ENSG00000128641	0.065	0.098	   -3.224
ENSG00000254352	0.095	0.098	    1.899
ENSG00000246560	0.091	0.098	   -3.822
ENSG00000066933	0.064	0.097	    6.452
ENSG00000177830	0.018	0.096	   -4.325
ENSG00000237765	0.040	0.095	    3.116
ENSG00000180376	0.053	0.095	   -3.245
ENSG00000145386	0.063	0.095	    2.319
ENSG00000108349	0.054	0.094	    0.600
ENSG00000169682	0.086	0.093	   -0.283
ENSG00000224856	0.018	0.092	   -5.992
ENSG00000196653	0.063	0.092	    2.321
ENSG00000230301	0.023	0.091	   -3.003
ENSG00000156973	0.041	0.091	    3.802
ENSG00000178425	0.017	0.090	    3.093
ENSG00000160606	0.029	0.089	   -2.237
ENSG00000131373	0.034	0.089	   -0.240
ENSG00000100614	0.051	0.088	    3.126
ENSG00000214293	0.048	0.088	   -3.868
ENSG00000146477	0.040	0.088	   -3.612
ENSG00000254198	0.062	0.087	   -3.037
ENSG00000196700	0.087	0.087	    4.570
ENSG00000267197	0.086	0.086	    3.348
ENSG00000072682	0.006	0.084	    7.259
ENSG00000227638	0.021	0.084	    4.471
ENSG00000103067	0.019	0.082	   -4.772
ENSG00000141127	0.024	0.082	   -3.966
ENSG00000169592	0.034	0.081	   -1.753
ENSG00000114054	0.079	0.081	    3.585
