Gene	GRCP	GLCP	TWAS_z
ENSG00000156170	0.395	0.981	    9.927
ENSG00000226334	0.924	0.964	    3.649
ENSG00000122870	0.217	0.916	   -8.939
ENSG00000130518	0.576	0.899	   -1.189
ENSG00000183011	0.597	0.859	    5.478
ENSG00000143850	0.467	0.853	    3.619
ENSG00000243955	0.173	0.722	    5.218
ENSG00000132510	0.476	0.690	   -2.378
ENSG00000203791	0.111	0.688	    7.442
ENSG00000125510	0.533	0.671	   -4.847
ENSG00000280383	0.219	0.670	   -4.358
ENSG00000134317	0.480	0.666	   -3.636
ENSG00000144746	0.643	0.645	    4.259
ENSG00000279699	0.289	0.613	   -1.755
ENSG00000085788	0.460	0.607	   -6.877
ENSG00000233006	0.238	0.593	    6.889
ENSG00000122378	0.163	0.560	    0.000
ENSG00000158234	0.218	0.554	   -4.472
ENSG00000109991	0.139	0.543	    2.817
ENSG00000100994	0.021	0.538	    4.405
ENSG00000149485	0.523	0.523	    0.000
ENSG00000278356	0.297	0.520	   -1.082
ENSG00000127418	0.518	0.518	    5.365
ENSG00000251586	0.478	0.513	   -1.738
ENSG00000167525	0.400	0.512	   -1.680
ENSG00000239282	0.314	0.511	    0.000
ENSG00000005189	0.270	0.509	    6.013
ENSG00000197375	0.232	0.501	   -5.427
ENSG00000189266	0.121	0.496	   -0.633
ENSG00000165449	0.148	0.489	  -18.235
ENSG00000162994	0.465	0.468	    3.768
ENSG00000171700	0.294	0.467	   -4.793
ENSG00000274031	0.231	0.461	   -0.303
ENSG00000163462	0.021	0.459	  -13.227
ENSG00000213742	0.177	0.457	    4.643
ENSG00000241563	0.318	0.452	    4.403
ENSG00000185262	0.298	0.450	    2.424
ENSG00000270820	0.342	0.444	   -0.201
ENSG00000250569	0.097	0.442	    4.606
ENSG00000112149	0.280	0.429	   -1.363
ENSG00000176771	0.187	0.423	   -4.495
ENSG00000120899	0.391	0.421	   -4.251
ENSG00000099956	0.156	0.420	    0.000
ENSG00000137713	0.297	0.417	    5.995
