Gene	GRCP	GLCP	TWAS_z
ENSG00000138246	0.903	0.999	    8.255
ENSG00000115596	0.973	0.994	    5.456
ENSG00000185499	0.309	0.974	  -16.370
ENSG00000130518	0.666	0.964	    0.000
ENSG00000132170	0.616	0.959	   -6.733
ENSG00000226334	0.928	0.944	   -1.213
ENSG00000143595	0.836	0.940	    0.732
ENSG00000254855	0.784	0.933	    5.092
ENSG00000122870	0.282	0.933	   -8.790
ENSG00000171843	0.388	0.926	    0.198
ENSG00000144746	0.725	0.913	    5.099
ENSG00000163406	0.289	0.910	    7.018
ENSG00000174332	0.630	0.901	    6.574
ENSG00000183011	0.722	0.900	    5.503
ENSG00000132510	0.741	0.900	    0.000
ENSG00000262888	0.712	0.827	   -3.396
ENSG00000137135	0.562	0.817	   -0.856
ENSG00000278356	0.559	0.813	   -0.319
ENSG00000280383	0.692	0.813	   -5.161
ENSG00000120688	0.768	0.801	    4.475
ENSG00000109113	0.467	0.785	   -1.502
ENSG00000239282	0.574	0.769	   -4.231
ENSG00000100994	0.380	0.766	    5.341
ENSG00000171792	0.605	0.766	    0.000
ENSG00000118690	0.200	0.764	   -1.303
ENSG00000160606	0.475	0.759	   -1.808
ENSG00000115825	0.748	0.748	    0.000
ENSG00000125510	0.575	0.734	   -4.857
ENSG00000171700	0.444	0.727	   -4.844
ENSG00000149485	0.606	0.699	   -7.402
ENSG00000189266	0.076	0.684	   -0.892
ENSG00000116138	0.163	0.681	   -9.016
ENSG00000250569	0.207	0.671	    4.510
ENSG00000085788	0.597	0.665	   -6.847
ENSG00000134825	0.302	0.659	    7.238
ENSG00000233006	0.373	0.643	    2.322
ENSG00000243444	0.112	0.627	    0.818
ENSG00000270820	0.446	0.614	   -2.181
ENSG00000163935	0.322	0.595	  -11.252
ENSG00000142494	0.481	0.571	    0.000
ENSG00000127415	0.367	0.570	   -1.049
ENSG00000088727	0.279	0.569	   -6.920
ENSG00000147535	0.265	0.568	   -6.863
ENSG00000254088	0.152	0.566	    4.434
ENSG00000112149	0.376	0.553	    0.000
ENSG00000197375	0.343	0.552	   -5.694
ENSG00000162994	0.552	0.552	    4.076
ENSG00000203327	0.548	0.548	    3.882
ENSG00000228782	0.504	0.528	    6.303
ENSG00000273841	0.250	0.523	   -5.692
ENSG00000273456	0.459	0.523	    8.225
ENSG00000012223	0.296	0.522	    4.781
ENSG00000134222	0.128	0.522	    2.553
ENSG00000177200	0.141	0.519	    4.182
ENSG00000109534	0.226	0.516	   -4.093
ENSG00000137218	0.416	0.512	    4.789
ENSG00000235436	0.505	0.506	   -3.683
ENSG00000124780	0.412	0.497	    0.000
ENSG00000177096	0.244	0.484	    4.889
ENSG00000158234	0.177	0.483	   -4.224
ENSG00000175279	0.451	0.478	   -4.332
ENSG00000157800	0.367	0.477	   -1.286
ENSG00000141127	0.333	0.474	   -4.514
ENSG00000159461	0.351	0.471	   -4.308
ENSG00000198860	0.346	0.470	    4.065
ENSG00000114742	0.309	0.463	    4.551
ENSG00000149679	0.293	0.455	   -4.285
ENSG00000167525	0.304	0.455	   -1.726
ENSG00000180257	0.081	0.450	   -4.294
ENSG00000143669	0.177	0.431	    0.079
ENSG00000184232	0.430	0.430	    6.525
ENSG00000184983	0.229	0.416	   -0.867
ENSG00000103227	0.413	0.414	    4.255
ENSG00000071626	0.278	0.408	    1.517
ENSG00000117222	0.235	0.407	    5.496
ENSG00000072736	0.210	0.402	    4.719
ENSG00000259630	0.348	0.401	    0.000
ENSG00000186448	0.189	0.397	    4.208
ENSG00000280374	0.217	0.394	    0.431
ENSG00000198276	0.323	0.393	    4.551
ENSG00000170425	0.373	0.390	    0.000
ENSG00000275426	0.352	0.384	   -2.197
ENSG00000188305	0.061	0.384	   -1.774
ENSG00000126746	0.380	0.380	    3.256
ENSG00000271390	0.366	0.380	    0.224
ENSG00000250326	0.095	0.378	    1.570
ENSG00000226742	0.372	0.373	   -2.784
ENSG00000205702	0.108	0.371	    5.755
ENSG00000196950	0.266	0.369	   -3.875
ENSG00000247400	0.324	0.367	   -1.083
ENSG00000176623	0.275	0.352	    4.821
ENSG00000181555	0.027	0.351	    6.447
ENSG00000125124	0.316	0.350	    3.162
ENSG00000275437	0.326	0.349	   -4.058
ENSG00000106723	0.147	0.348	    5.009
ENSG00000120451	0.344	0.346	   -1.698
ENSG00000134874	0.208	0.345	    6.048
ENSG00000134490	0.254	0.341	   -4.042
ENSG00000204120	0.218	0.337	   -3.972
ENSG00000198951	0.166	0.335	    2.794
ENSG00000197943	0.192	0.334	    3.677
ENSG00000249244	0.073	0.334	    4.420
ENSG00000021488	0.234	0.333	    4.166
ENSG00000127418	0.319	0.333	    4.127
ENSG00000172795	0.270	0.330	   -4.065
ENSG00000272156	0.231	0.329	   -1.041
ENSG00000169223	0.256	0.328	    7.412
ENSG00000089123	0.156	0.321	   -0.255
ENSG00000114054	0.248	0.319	    4.552
ENSG00000283399	0.217	0.319	   -0.683
ENSG00000106018	0.189	0.318	    3.336
ENSG00000076201	0.148	0.317	   -6.797
ENSG00000168356	0.160	0.317	   -1.518
ENSG00000183172	0.273	0.314	    5.115
ENSG00000086062	0.085	0.313	    2.353
ENSG00000120899	0.293	0.313	   -3.379
ENSG00000245958	0.093	0.312	    4.504
ENSG00000233878	0.189	0.311	   -2.772
ENSG00000236675	0.006	0.310	    2.332
ENSG00000253406	0.288	0.307	    0.657
ENSG00000122515	0.282	0.301	    4.213
ENSG00000040199	0.290	0.300	    0.000
ENSG00000121989	0.179	0.296	    8.599
ENSG00000198945	0.296	0.296	    0.000
ENSG00000171940	0.291	0.295	   -4.695
ENSG00000177103	0.288	0.288	   -4.687
ENSG00000137185	0.284	0.284	   11.846
ENSG00000279699	0.282	0.282	    0.777
ENSG00000132793	0.018	0.280	   -3.233
ENSG00000099917	0.206	0.279	    2.324
ENSG00000189339	0.238	0.276	    0.097
ENSG00000166743	0.190	0.273	    0.960
ENSG00000229029	0.163	0.271	    4.598
ENSG00000105926	0.249	0.266	   -3.789
ENSG00000213347	0.155	0.261	    7.398
ENSG00000271086	0.039	0.261	   -3.317
ENSG00000131165	0.231	0.261	   -1.443
ENSG00000260077	0.229	0.258	    0.338
ENSG00000276931	0.235	0.254	    2.678
ENSG00000171885	0.242	0.251	    4.527
ENSG00000279833	0.162	0.250	    0.000
ENSG00000224843	0.164	0.249	    4.287
ENSG00000214293	0.248	0.249	   -2.198
ENSG00000076003	0.214	0.249	   -4.768
ENSG00000178425	0.137	0.245	    0.900
ENSG00000022567	0.157	0.244	    3.712
ENSG00000274031	0.117	0.243	   -0.299
ENSG00000197670	0.230	0.235	   -4.686
ENSG00000221963	0.211	0.233	   -1.992
ENSG00000184990	0.181	0.231	    0.000
ENSG00000122376	0.184	0.231	   -9.528
ENSG00000236814	0.060	0.230	   -0.985
ENSG00000269300	0.176	0.228	   -3.558
ENSG00000101773	0.141	0.225	    2.196
ENSG00000168026	0.220	0.220	    4.504
ENSG00000204977	0.129	0.219	    4.192
ENSG00000188895	0.144	0.217	   -4.864
ENSG00000166436	0.202	0.217	    0.028
ENSG00000181915	0.216	0.216	    5.022
ENSG00000164938	0.010	0.216	   -2.513
ENSG00000157214	0.100	0.214	   -3.608
ENSG00000270409	0.058	0.213	    2.098
ENSG00000279794	0.213	0.213	   -0.082
ENSG00000185100	0.129	0.211	   -1.488
ENSG00000206503	0.074	0.211	   -4.993
ENSG00000135914	0.170	0.210	    4.123
ENSG00000177192	0.193	0.208	   -3.765
ENSG00000260236	0.075	0.205	    6.640
ENSG00000179428	0.141	0.202	    0.000
ENSG00000170634	0.121	0.202	   -1.840
ENSG00000144747	0.036	0.202	   -5.708
ENSG00000149716	0.173	0.200	    5.113
ENSG00000104432	0.116	0.200	   -3.603
ENSG00000177830	0.092	0.199	   -3.731
