Gene	GRCP	GLCP	TWAS_z
ENSG00000138246	0.898	0.998	    8.239
ENSG00000115596	0.970	0.993	    5.476
ENSG00000142765	0.988	0.988	    0.973
ENSG00000185499	0.874	0.979	  -17.007
ENSG00000280032	0.745	0.935	   -5.940
ENSG00000170954	0.780	0.934	   -2.982
ENSG00000009950	0.408	0.934	  -13.183
ENSG00000198538	0.788	0.923	   -4.687
ENSG00000242779	0.600	0.917	   -5.609
ENSG00000272491	0.887	0.896	    0.865
ENSG00000189190	0.736	0.891	   -0.919
ENSG00000130518	0.586	0.877	    0.000
ENSG00000182986	0.764	0.869	   -6.985
ENSG00000183011	0.679	0.867	    5.565
ENSG00000180900	0.695	0.836	    4.406
ENSG00000204604	0.568	0.834	   -6.420
ENSG00000268225	0.287	0.832	   -5.225
ENSG00000171467	0.420	0.825	    0.525
ENSG00000096092	0.305	0.819	    4.924
ENSG00000109113	0.498	0.813	    0.028
ENSG00000171700	0.745	0.795	   -4.788
ENSG00000233006	0.342	0.793	    0.799
ENSG00000120688	0.739	0.785	    4.488
ENSG00000111206	0.590	0.784	    0.000
ENSG00000206503	0.036	0.783	   -5.988
ENSG00000189266	0.315	0.781	    0.000
ENSG00000250412	0.103	0.777	    4.562
ENSG00000152939	0.420	0.774	   -5.590
ENSG00000269646	0.557	0.767	   -5.728
ENSG00000125510	0.649	0.755	   -4.854
ENSG00000144746	0.731	0.731	    3.878
ENSG00000233554	0.714	0.731	   -2.577
ENSG00000124789	0.359	0.725	    0.000
ENSG00000278356	0.595	0.723	    4.461
ENSG00000174332	0.413	0.723	    6.290
ENSG00000213793	0.699	0.700	   -6.903
ENSG00000138756	0.225	0.691	   -5.096
ENSG00000171792	0.551	0.684	    0.000
ENSG00000117505	0.543	0.681	    8.999
ENSG00000213801	0.680	0.680	   -5.596
ENSG00000100994	0.601	0.680	    3.315
ENSG00000216775	0.296	0.671	    5.155
ENSG00000132906	0.482	0.667	   -8.589
ENSG00000180257	0.638	0.663	   -5.442
ENSG00000072736	0.531	0.657	   -4.939
ENSG00000134825	0.503	0.653	    7.180
ENSG00000112149	0.473	0.653	   -0.631
ENSG00000118690	0.152	0.640	   -4.633
ENSG00000030110	0.233	0.636	    0.000
ENSG00000203804	0.204	0.632	   -3.705
ENSG00000085788	0.518	0.629	   -6.904
ENSG00000167525	0.513	0.618	   -1.560
ENSG00000158220	0.300	0.615	   -4.465
ENSG00000198729	0.407	0.591	    3.673
ENSG00000130702	0.525	0.586	    1.632
ENSG00000126746	0.582	0.582	    2.098
ENSG00000228782	0.581	0.581	    6.308
ENSG00000250569	0.161	0.570	    4.456
ENSG00000279700	0.151	0.565	    6.401
ENSG00000103227	0.565	0.565	    4.430
ENSG00000175279	0.450	0.565	   -4.419
ENSG00000166347	0.160	0.559	    2.513
ENSG00000132170	0.418	0.557	   -6.167
ENSG00000162994	0.548	0.548	    3.768
ENSG00000114742	0.343	0.547	    4.591
ENSG00000147535	0.276	0.547	   -6.803
ENSG00000203327	0.546	0.546	    4.068
ENSG00000283646	0.365	0.544	    4.938
ENSG00000164715	0.168	0.533	   -7.241
ENSG00000101255	0.528	0.528	    2.589
ENSG00000127080	0.383	0.518	   -1.678
ENSG00000135472	0.508	0.512	    1.738
ENSG00000124780	0.431	0.512	    5.038
ENSG00000251442	0.186	0.512	   -5.012
ENSG00000241563	0.471	0.506	    4.406
ENSG00000164967	0.465	0.505	   -2.834
ENSG00000178934	0.431	0.503	   -4.139
ENSG00000099953	0.324	0.497	    0.000
ENSG00000280046	0.382	0.495	    4.167
ENSG00000204120	0.386	0.493	   -4.133
ENSG00000198860	0.349	0.491	    0.626
ENSG00000142494	0.485	0.486	    2.636
ENSG00000005187	0.244	0.485	    6.005
ENSG00000197943	0.379	0.483	    3.912
ENSG00000235436	0.470	0.470	   -4.137
ENSG00000273456	0.383	0.469	    8.289
ENSG00000275437	0.303	0.469	   -4.495
ENSG00000205076	0.431	0.465	    0.000
ENSG00000153094	0.193	0.456	    4.430
ENSG00000138119	0.423	0.454	   -4.203
ENSG00000247400	0.388	0.454	    0.000
ENSG00000012223	0.361	0.450	    4.891
ENSG00000243955	0.243	0.447	    5.015
ENSG00000120899	0.440	0.440	   -4.422
ENSG00000226332	0.358	0.434	    1.586
ENSG00000184232	0.425	0.430	    6.712
ENSG00000204977	0.288	0.429	    4.258
ENSG00000129514	0.344	0.425	   -1.563
ENSG00000223561	0.131	0.424	    4.247
ENSG00000160602	0.280	0.423	    5.125
ENSG00000214941	0.417	0.421	   -4.170
ENSG00000122870	0.131	0.420	   -4.301
ENSG00000184983	0.245	0.420	   -0.926
ENSG00000259630	0.353	0.417	    0.000
ENSG00000121481	0.215	0.416	    0.114
ENSG00000115464	0.298	0.414	   -3.224
ENSG00000279794	0.371	0.413	    0.000
ENSG00000149716	0.222	0.411	    5.224
ENSG00000121101	0.287	0.409	    5.816
ENSG00000086062	0.409	0.409	    0.176
ENSG00000148634	0.260	0.408	    6.642
ENSG00000105376	0.211	0.407	   -3.885
ENSG00000271825	0.226	0.405	    4.360
ENSG00000108387	0.195	0.403	   -6.313
ENSG00000096717	0.209	0.399	    0.000
ENSG00000137218	0.233	0.397	   -0.556
ENSG00000087076	0.391	0.396	    3.978
ENSG00000206573	0.257	0.394	   -4.115
ENSG00000170425	0.333	0.392	    0.000
ENSG00000207554	0.344	0.390	   -3.654
ENSG00000205702	0.216	0.382	    4.264
ENSG00000110583	0.315	0.381	   -5.157
