Gene	GRCP	GLCP	TWAS_z
ENSG00000144746	0.782	0.936	    0.000
ENSG00000138675	0.847	0.911	   -5.907
ENSG00000164512	0.137	0.860	    6.596
ENSG00000278356	0.616	0.856	   -2.236
ENSG00000078246	0.604	0.828	    0.854
ENSG00000233006	0.293	0.810	    6.923
ENSG00000172795	0.463	0.801	   -4.137
ENSG00000228782	0.390	0.792	    6.321
ENSG00000198242	0.494	0.788	    0.000
ENSG00000121236	0.414	0.665	    4.917
ENSG00000171792	0.473	0.649	    2.051
ENSG00000125124	0.365	0.633	   -1.517
ENSG00000103194	0.401	0.605	   -4.375
ENSG00000171700	0.532	0.599	   -4.974
ENSG00000012223	0.425	0.593	    4.944
ENSG00000162994	0.590	0.590	    4.033
ENSG00000175175	0.270	0.581	    6.041
ENSG00000084734	0.095	0.569	  -21.094
ENSG00000273456	0.466	0.564	    8.273
ENSG00000261126	0.455	0.561	    3.496
ENSG00000175279	0.434	0.561	   -4.371
ENSG00000130518	0.371	0.528	    0.000
ENSG00000163935	0.262	0.518	  -14.694
ENSG00000122025	0.197	0.485	   -4.040
ENSG00000183172	0.273	0.483	    5.072
ENSG00000170425	0.441	0.469	    0.018
ENSG00000167106	0.017	0.463	   -4.949
ENSG00000237707	0.359	0.453	   -4.683
ENSG00000095713	0.441	0.447	    4.643
ENSG00000167525	0.383	0.441	   -1.519
ENSG00000205702	0.135	0.423	    5.116
ENSG00000115977	0.333	0.417	    2.343
ENSG00000164853	0.304	0.415	   13.067
ENSG00000167476	0.088	0.406	    2.265
ENSG00000205076	0.320	0.403	    1.499
ENSG00000121380	0.403	0.403	   -3.917
ENSG00000261308	0.224	0.397	   -2.156
ENSG00000283297	0.300	0.392	    4.676
ENSG00000085788	0.209	0.384	   -6.841
ENSG00000245958	0.106	0.381	   -0.403
ENSG00000158467	0.239	0.373	   -0.080
ENSG00000283646	0.159	0.371	    5.204
ENSG00000005513	0.171	0.366	    0.210
ENSG00000227775	0.358	0.359	   -4.421
ENSG00000147535	0.147	0.357	   -6.775
ENSG00000143384	0.033	0.353	   -3.857
ENSG00000224796	0.174	0.353	   -2.404
ENSG00000267607	0.292	0.352	   -4.154
ENSG00000243955	0.154	0.349	    4.725
ENSG00000279833	0.085	0.346	   -2.484
ENSG00000149927	0.286	0.334	   -3.885
ENSG00000105376	0.228	0.331	   -3.702
ENSG00000116039	0.121	0.331	    2.028
ENSG00000198945	0.328	0.328	   -0.408
ENSG00000273619	0.176	0.328	   -0.380
ENSG00000010932	0.286	0.320	    4.188
ENSG00000168427	0.223	0.319	   -0.321
ENSG00000075413	0.172	0.310	   -5.428
ENSG00000122870	0.094	0.309	   -9.199
ENSG00000146205	0.164	0.309	   -8.041
ENSG00000198756	0.191	0.307	   -0.780
ENSG00000234378	0.100	0.305	   -2.449
ENSG00000241563	0.223	0.304	    4.348
ENSG00000166436	0.223	0.301	    0.443
ENSG00000249231	0.015	0.300	    2.833
ENSG00000165046	0.125	0.300	   -6.658
ENSG00000272871	0.060	0.297	    3.929
ENSG00000281538	0.015	0.289	    3.032
ENSG00000115687	0.018	0.289	   -1.049
ENSG00000167085	0.068	0.287	    0.284
ENSG00000043514	0.087	0.285	    0.319
ENSG00000008988	0.139	0.283	    3.651
ENSG00000250412	0.028	0.276	    4.336
ENSG00000225806	0.024	0.274	   -2.647
ENSG00000231613	0.188	0.272	    4.127
ENSG00000189339	0.223	0.257	   -1.031
ENSG00000274979	0.092	0.254	    0.102
ENSG00000272510	0.126	0.254	    1.081
ENSG00000157800	0.252	0.252	   -0.861
ENSG00000198382	0.087	0.251	    4.842
ENSG00000175727	0.080	0.250	    8.846
ENSG00000204977	0.175	0.250	    4.339
ENSG00000170776	0.079	0.243	    6.332
ENSG00000039319	0.128	0.238	   -3.668
ENSG00000227630	0.186	0.236	   -1.128
ENSG00000146477	0.133	0.236	    6.866
ENSG00000198951	0.123	0.232	    4.833
ENSG00000260404	0.030	0.232	    4.537
ENSG00000275437	0.150	0.224	   -4.206
ENSG00000280374	0.094	0.210	   -4.305
ENSG00000169592	0.125	0.208	   -0.558
ENSG00000248394	0.126	0.208	    3.508
ENSG00000125255	0.206	0.206	   -3.825
ENSG00000114770	0.009	0.197	   -3.810
ENSG00000233266	0.195	0.195	   -3.604
ENSG00000149187	0.117	0.193	    4.916
ENSG00000267270	0.030	0.192	    3.310
ENSG00000121989	0.113	0.189	    8.697
ENSG00000013573	0.060	0.184	    0.000
ENSG00000259630	0.131	0.181	   -2.742
ENSG00000254352	0.131	0.179	   -3.655
ENSG00000270210	0.030	0.178	    3.533
ENSG00000196274	0.029	0.174	   13.987
ENSG00000228701	0.131	0.169	    0.000
ENSG00000231871	0.011	0.168	    5.158
ENSG00000138769	0.046	0.167	   -3.151
ENSG00000111530	0.063	0.166	   -3.522
ENSG00000189266	0.037	0.165	   -0.511
ENSG00000233121	0.103	0.163	    3.586
ENSG00000278000	0.087	0.163	    0.796
ENSG00000115474	0.090	0.161	    4.121
ENSG00000121068	0.024	0.160	   -1.678
ENSG00000149948	0.136	0.155	    4.288
ENSG00000135914	0.096	0.154	    4.420
ENSG00000099917	0.068	0.148	    2.315
ENSG00000147533	0.057	0.146	   -3.840
ENSG00000182793	0.052	0.146	    2.438
ENSG00000124568	0.020	0.145	   29.783
ENSG00000116771	0.128	0.144	    0.365
ENSG00000122965	0.056	0.143	   -0.328
ENSG00000116138	0.085	0.143	    0.640
ENSG00000164967	0.104	0.142	   -3.943
ENSG00000109576	0.065	0.141	    0.000
ENSG00000167984	0.099	0.140	   -0.018
ENSG00000283050	0.037	0.139	    0.784
ENSG00000265678	0.026	0.137	   -3.027
ENSG00000203706	0.010	0.137	   -2.870
ENSG00000179023	0.133	0.135	    2.753
ENSG00000176155	0.079	0.133	   -3.348
ENSG00000235413	0.074	0.131	    6.020
ENSG00000235169	0.110	0.131	    3.239
ENSG00000179409	0.101	0.130	    2.036
ENSG00000253958	0.079	0.128	   -3.259
ENSG00000146453	0.049	0.126	   -3.091
ENSG00000122550	0.122	0.122	   -3.396
ENSG00000241975	0.084	0.122	   -3.440
ENSG00000134874	0.091	0.118	    6.138
ENSG00000186684	0.078	0.117	    2.740
ENSG00000113494	0.040	0.116	   -4.524
ENSG00000179532	0.030	0.116	   -1.314
ENSG00000125510	0.089	0.115	   -5.231
ENSG00000197375	0.017	0.115	    2.837
ENSG00000164695	0.100	0.114	   -0.839
ENSG00000124780	0.063	0.114	   -0.141
ENSG00000147854	0.053	0.113	    3.623
ENSG00000173214	0.012	0.112	    2.103
ENSG00000260077	0.085	0.112	   -2.263
ENSG00000283375	0.112	0.112	   -2.767
ENSG00000166450	0.041	0.112	   -1.631
ENSG00000243176	0.026	0.111	    4.181
ENSG00000258701	0.033	0.111	    0.800
ENSG00000275371	0.052	0.109	    3.971
ENSG00000231084	0.052	0.108	   -5.892
ENSG00000166347	0.032	0.107	    1.815
ENSG00000270083	0.024	0.107	    3.758
ENSG00000149679	0.041	0.107	   -3.704
ENSG00000268996	0.101	0.106	    2.923
ENSG00000198553	0.062	0.104	    4.194
ENSG00000030110	0.104	0.104	    5.249
ENSG00000169689	0.104	0.104	   -3.233
ENSG00000183011	0.085	0.104	    5.631
ENSG00000165322	0.064	0.103	   -3.173
ENSG00000277986	0.044	0.102	    4.162
ENSG00000145824	0.072	0.102	   -0.262
ENSG00000275426	0.013	0.101	   -3.164
ENSG00000163807	0.075	0.100	   -1.321
ENSG00000244515	0.050	0.100	   -0.800
ENSG00000214562	0.100	0.100	    1.243
ENSG00000114646	0.028	0.099	    6.651
ENSG00000163257	0.010	0.099	   -2.532
ENSG00000164989	0.045	0.098	   -4.153
ENSG00000203327	0.062	0.098	    3.705
ENSG00000137817	0.089	0.097	   -6.693
ENSG00000103351	0.051	0.097	    4.412
ENSG00000169105	0.012	0.096	   -2.267
ENSG00000179950	0.089	0.095	   -1.464
ENSG00000144837	0.061	0.095	    3.251
ENSG00000160049	0.066	0.094	   -4.058
ENSG00000179021	0.033	0.093	    3.637
ENSG00000280046	0.074	0.092	    5.765
ENSG00000164346	0.066	0.092	    3.106
ENSG00000184232	0.090	0.090	    3.476
ENSG00000141127	0.026	0.089	   -3.292
ENSG00000254122	0.033	0.089	   -2.234
ENSG00000213640	0.053	0.088	   -3.020
ENSG00000249042	0.050	0.087	   -0.939
ENSG00000115596	0.084	0.086	    5.419
ENSG00000234389	0.039	0.086	    1.723
ENSG00000115604	0.027	0.084	    1.058
ENSG00000180185	0.078	0.084	   -1.271
ENSG00000255642	0.029	0.083	   -2.993
ENSG00000278022	0.035	0.083	   -1.474
ENSG00000184743	0.083	0.083	    4.792
ENSG00000254872	0.027	0.082	   -0.119
ENSG00000132383	0.048	0.082	   -3.674
ENSG00000180257	0.030	0.081	   -4.774
ENSG00000138119	0.014	0.081	   -2.180
ENSG00000039560	0.019	0.080	    8.326
ENSG00000188827	0.080	0.080	    3.037
ENSG00000226314	0.048	0.079	    0.105
ENSG00000255455	0.057	0.079	   -2.732
ENSG00000178966	0.079	0.079	    3.534
ENSG00000261783	0.062	0.079	    3.148
ENSG00000139220	0.067	0.079	    3.181
ENSG00000258983	0.071	0.078	   -3.279
ENSG00000276547	0.013	0.078	    1.409
ENSG00000006607	0.075	0.077	   -7.030
ENSG00000180834	0.025	0.076	   -0.259
ENSG00000130208	0.015	0.076	   -4.484
ENSG00000152348	0.075	0.076	    3.147
ENSG00000128891	0.058	0.076	    3.189
ENSG00000228536	0.050	0.075	   -2.855
ENSG00000175893	0.028	0.075	    3.934
ENSG00000261105	0.065	0.074	    1.303
ENSG00000188529	0.007	0.074	    2.153
ENSG00000169814	0.019	0.073	    5.057
ENSG00000103067	0.017	0.073	   -5.168
ENSG00000263293	0.002	0.073	    5.105
ENSG00000280193	0.056	0.073	    0.015
ENSG00000132906	0.045	0.073	   -7.234
ENSG00000137812	0.040	0.073	   -3.336
ENSG00000124574	0.013	0.073	   -8.006
ENSG00000258630	0.072	0.072	    3.473
ENSG00000169344	0.045	0.072	    3.129
ENSG00000241350	0.031	0.071	    0.856
ENSG00000276073	0.017	0.070	    1.116
ENSG00000003249	0.070	0.070	   -5.040
ENSG00000106018	0.034	0.069	   -2.072
ENSG00000180113	0.025	0.069	    0.046
ENSG00000235903	0.022	0.069	   -0.802
ENSG00000267127	0.067	0.068	    2.844
ENSG00000131165	0.021	0.068	    2.207
ENSG00000232973	0.068	0.068	    0.987
ENSG00000006459	0.026	0.067	   -3.494
ENSG00000164543	0.031	0.066	   -3.905
ENSG00000188603	0.047	0.066	    1.694
ENSG00000069849	0.002	0.066	    5.129
ENSG00000144230	0.038	0.065	    0.132
ENSG00000160602	0.040	0.065	    5.047
ENSG00000066654	0.044	0.065	   -2.790
ENSG00000272966	0.028	0.065	    8.817
ENSG00000244414	0.044	0.065	   -3.421
ENSG00000260037	0.031	0.064	    6.259
ENSG00000234719	0.062	0.064	    0.526
ENSG00000122877	0.049	0.063	    2.117
ENSG00000025039	0.060	0.063	   -6.455
ENSG00000146955	0.062	0.063	    3.030
ENSG00000162571	0.063	0.063	   -0.530
ENSG00000180251	0.053	0.063	   -3.452
ENSG00000203883	0.035	0.063	    4.369
ENSG00000137996	0.031	0.063	    2.075
ENSG00000236814	0.015	0.062	   -0.065
ENSG00000125970	0.017	0.062	    6.171
ENSG00000184956	0.033	0.062	    4.013
ENSG00000167261	0.048	0.061	   -5.915
ENSG00000270981	0.017	0.061	    0.147
ENSG00000100997	0.003	0.060	    2.101
ENSG00000237945	0.060	0.060	   -1.732
ENSG00000164938	0.009	0.060	    0.755
ENSG00000165029	0.048	0.059	   -7.207
ENSG00000149292	0.058	0.059	    0.000
ENSG00000170236	0.009	0.058	   -2.794
ENSG00000148798	0.036	0.058	   -1.637
ENSG00000280083	0.043	0.058	   -3.180
ENSG00000141446	0.048	0.057	   -3.174
ENSG00000229647	0.013	0.057	   -2.214
ENSG00000138378	0.039	0.057	   -3.214
ENSG00000168038	0.018	0.057	   -2.727
ENSG00000256274	0.011	0.057	   -2.338
ENSG00000244067	0.019	0.056	   -0.593
ENSG00000159063	0.017	0.056	    0.185
ENSG00000225498	0.031	0.056	   -3.100
ENSG00000272892	0.024	0.055	    5.046
ENSG00000140534	0.032	0.055	    2.663
ENSG00000254593	0.053	0.055	   -3.817
ENSG00000149084	0.037	0.054	   -2.736
ENSG00000271868	0.047	0.054	   -3.110
ENSG00000273302	0.043	0.054	   -5.850
ENSG00000187957	0.017	0.054	   -3.441
ENSG00000158863	0.045	0.054	    2.907
ENSG00000153822	0.026	0.053	    2.606
ENSG00000154874	0.002	0.053	   -2.997
ENSG00000197165	0.033	0.053	    2.565
ENSG00000159445	0.018	0.053	    0.000
ENSG00000168826	0.024	0.053	    3.532
ENSG00000279488	0.003	0.052	   -5.654
ENSG00000271086	0.008	0.052	   -1.425
ENSG00000144852	0.039	0.052	    3.211
ENSG00000112146	0.006	0.052	    3.075
ENSG00000164961	0.019	0.052	    0.000
ENSG00000205918	0.030	0.051	    0.000
ENSG00000130764	0.037	0.051	    3.730
ENSG00000260176	0.028	0.051	    0.040
ENSG00000196220	0.024	0.051	    2.964
ENSG00000129646	0.004	0.051	    3.418
ENSG00000170802	0.045	0.050	    2.978
ENSG00000187514	0.020	0.050	    4.269
ENSG00000134825	0.025	0.050	    7.743
ENSG00000166415	0.023	0.050	    4.033
