Gene	GRCP	GLCP	TWAS_z
ENSG00000115596	0.994	0.994	    5.504
ENSG00000115109	0.847	0.964	    5.216
ENSG00000226334	0.941	0.959	   -6.907
ENSG00000130518	0.579	0.947	    0.000
ENSG00000141576	0.847	0.932	   -7.203
ENSG00000168496	0.449	0.931	   -0.561
ENSG00000122870	0.211	0.916	   -4.043
ENSG00000127663	0.384	0.898	   -2.025
ENSG00000174332	0.490	0.862	    6.426
ENSG00000204381	0.702	0.858	    6.016
ENSG00000134825	0.492	0.855	    7.648
ENSG00000184923	0.765	0.849	   -6.138
ENSG00000122376	0.615	0.849	   -8.140
ENSG00000171700	0.828	0.829	   -5.070
ENSG00000163684	0.518	0.813	    5.109
ENSG00000213793	0.686	0.811	   -5.703
ENSG00000117505	0.463	0.797	   -4.018
ENSG00000189266	0.282	0.787	   -3.466
ENSG00000126746	0.775	0.775	   -1.226
ENSG00000163406	0.265	0.767	    7.001
ENSG00000172059	0.608	0.760	   -3.421
ENSG00000118263	0.412	0.749	    4.587
ENSG00000120688	0.736	0.736	    4.494
ENSG00000268225	0.686	0.736	   -5.631
ENSG00000144746	0.326	0.732	    2.785
ENSG00000125510	0.611	0.725	   -4.825
ENSG00000182986	0.673	0.725	   -5.942
ENSG00000213801	0.682	0.724	   -5.636
ENSG00000116668	0.223	0.717	   -6.390
ENSG00000182054	0.263	0.697	   -2.320
ENSG00000166347	0.506	0.685	    2.439
ENSG00000180257	0.683	0.683	   -4.594
ENSG00000198538	0.560	0.676	   -2.803
ENSG00000127415	0.106	0.665	   -0.195
ENSG00000233006	0.360	0.642	    7.006
ENSG00000131196	0.637	0.637	   -0.686
ENSG00000129646	0.033	0.625	    3.145
ENSG00000167525	0.439	0.616	    5.170
ENSG00000260077	0.468	0.613	   -1.519
ENSG00000229618	0.546	0.612	    4.005
ENSG00000161654	0.091	0.608	    4.113
ENSG00000159335	0.156	0.607	   -0.170
ENSG00000213742	0.594	0.594	    5.158
ENSG00000116138	0.429	0.593	   -6.713
ENSG00000151914	0.196	0.588	    4.595
ENSG00000140750	0.137	0.580	    6.261
ENSG00000114742	0.345	0.580	    1.753
ENSG00000168291	0.573	0.573	    3.029
ENSG00000105926	0.488	0.567	   -0.924
ENSG00000120899	0.504	0.535	   -4.141
ENSG00000138771	0.396	0.534	    4.336
ENSG00000085788	0.213	0.524	   -6.608
ENSG00000228782	0.421	0.523	    6.294
