Gene	GRCP	GLCP	TWAS_z
ENSG00000138246	0.890	0.998	    8.257
ENSG00000165449	0.509	0.997	    2.608
ENSG00000156170	0.294	0.994	    9.897
ENSG00000079785	0.993	0.993	   -4.879
ENSG00000236283	0.372	0.974	    2.627
ENSG00000136531	0.085	0.974	    2.749
ENSG00000115596	0.924	0.973	    5.415
ENSG00000167612	0.844	0.963	    3.569
ENSG00000226334	0.948	0.961	   -6.719
ENSG00000262888	0.637	0.951	   -1.041
ENSG00000071626	0.884	0.946	    0.000
ENSG00000158865	0.677	0.910	   -2.945
ENSG00000183011	0.689	0.878	    5.469
ENSG00000170185	0.272	0.871	   -7.035
ENSG00000262185	0.867	0.867	   -0.813
ENSG00000148672	0.640	0.866	   -7.491
ENSG00000132510	0.647	0.856	   -1.345
ENSG00000095713	0.743	0.850	   -0.171
ENSG00000130518	0.653	0.841	   -0.498
ENSG00000279699	0.371	0.830	    0.000
ENSG00000122376	0.629	0.830	   -9.576
ENSG00000163406	0.255	0.823	    7.007
ENSG00000116138	0.476	0.812	   -8.949
ENSG00000280107	0.476	0.810	   -2.081
ENSG00000132906	0.463	0.806	   -7.087
ENSG00000100170	0.141	0.805	   -5.411
ENSG00000145217	0.136	0.798	    3.798
ENSG00000132205	0.797	0.797	   -2.817
ENSG00000198242	0.445	0.787	   -1.977
ENSG00000109113	0.459	0.786	   -1.724
ENSG00000180900	0.784	0.784	   -4.775
ENSG00000126746	0.777	0.777	    2.249
ENSG00000281831	0.766	0.766	    1.095
ENSG00000279484	0.294	0.755	   -2.510
ENSG00000127415	0.657	0.749	   -0.877
ENSG00000120688	0.737	0.737	    4.465
ENSG00000125510	0.576	0.730	   -4.801
ENSG00000112787	0.483	0.729	   -2.604
ENSG00000255320	0.602	0.724	    5.594
ENSG00000144746	0.705	0.713	    5.222
ENSG00000269892	0.669	0.702	    3.679
ENSG00000239282	0.553	0.687	    0.000
ENSG00000159884	0.492	0.677	    0.000
ENSG00000189266	0.088	0.664	   -3.137
ENSG00000072736	0.513	0.660	    2.952
ENSG00000250569	0.179	0.659	    4.472
ENSG00000260077	0.590	0.658	   -0.438
ENSG00000235413	0.068	0.657	    5.632
ENSG00000250412	0.079	0.657	    4.527
ENSG00000114742	0.354	0.656	    4.790
ENSG00000233461	0.525	0.655	    5.001
ENSG00000085788	0.576	0.648	   -6.842
ENSG00000213277	0.593	0.647	   -2.378
ENSG00000261308	0.450	0.639	    2.286
ENSG00000279833	0.479	0.634	    0.000
ENSG00000182628	0.153	0.629	   -5.801
ENSG00000188312	0.356	0.622	   -1.552
ENSG00000204622	0.035	0.620	   -9.387
ENSG00000171792	0.545	0.617	    0.000
ENSG00000174332	0.569	0.600	    5.838
ENSG00000263597	0.234	0.594	   -7.047
ENSG00000269293	0.353	0.591	   11.904
ENSG00000108384	0.216	0.584	   -2.011
ENSG00000272269	0.153	0.583	    0.000
ENSG00000100605	0.118	0.567	    4.486
ENSG00000232346	0.098	0.566	   -5.666
ENSG00000172379	0.457	0.549	    3.502
ENSG00000108256	0.546	0.546	    0.246
ENSG00000115947	0.442	0.545	    8.474
ENSG00000171700	0.294	0.540	   -5.237
ENSG00000270820	0.383	0.540	   -4.529
ENSG00000137817	0.539	0.539	   -6.780
ENSG00000122515	0.500	0.538	    4.170
ENSG00000105926	0.443	0.537	   -1.372
ENSG00000172594	0.168	0.536	    0.284
ENSG00000196678	0.297	0.525	    4.576
ENSG00000124789	0.160	0.522	   -0.437
ENSG00000164543	0.131	0.522	    0.767
ENSG00000221963	0.519	0.519	    0.000
ENSG00000128313	0.519	0.519	   -0.885
ENSG00000100320	0.519	0.519	   -0.446
ENSG00000125864	0.517	0.518	    4.135
ENSG00000188827	0.311	0.514	    0.000
ENSG00000162994	0.513	0.513	    4.075
ENSG00000203327	0.511	0.511	    3.881
ENSG00000169814	0.173	0.508	   -1.879
ENSG00000259291	0.491	0.502	   -2.959
ENSG00000184983	0.216	0.500	   -0.793
ENSG00000088727	0.184	0.500	   -6.942
ENSG00000241563	0.487	0.499	    4.365
ENSG00000231625	0.460	0.499	    1.676
ENSG00000197375	0.307	0.499	   -5.613
ENSG00000167525	0.497	0.497	   -1.731
ENSG00000233006	0.310	0.492	    2.994
ENSG00000205076	0.342	0.492	    0.000
ENSG00000228983	0.389	0.489	    2.132
ENSG00000198951	0.242	0.486	    2.853
ENSG00000198860	0.399	0.484	    2.153
ENSG00000275426	0.483	0.483	   -0.359
ENSG00000243955	0.230	0.480	    5.003
ENSG00000012223	0.279	0.479	    4.833
ENSG00000280374	0.232	0.477	   -1.362
ENSG00000142494	0.431	0.477	   -0.411
ENSG00000159461	0.314	0.466	   -2.213
ENSG00000247400	0.333	0.466	    0.000
ENSG00000158234	0.265	0.464	   -4.540
ENSG00000274963	0.372	0.463	   -3.153
ENSG00000226450	0.135	0.463	    3.682
ENSG00000273456	0.415	0.459	    8.239
ENSG00000175279	0.406	0.453	   -4.289
ENSG00000166987	0.286	0.452	   -1.145
ENSG00000235436	0.443	0.443	   -4.119
ENSG00000121101	0.283	0.440	    6.004
ENSG00000272871	0.172	0.440	    4.575
ENSG00000112149	0.270	0.439	   -0.846
ENSG00000259630	0.308	0.437	    0.000
ENSG00000103227	0.436	0.436	    4.791
ENSG00000114790	0.179	0.436	   -1.175
ENSG00000105662	0.431	0.433	   -4.172
ENSG00000243069	0.199	0.421	   -1.172
ENSG00000220161	0.311	0.417	    3.078
ENSG00000184232	0.413	0.413	    5.451
ENSG00000092847	0.349	0.412	    4.185
ENSG00000213918	0.333	0.409	    0.441
ENSG00000161654	0.008	0.405	    4.172
ENSG00000146477	0.218	0.402	    4.114
ENSG00000124067	0.242	0.401	   -5.451
ENSG00000030110	0.331	0.399	    4.917
ENSG00000280383	0.199	0.397	   -4.377
ENSG00000233266	0.240	0.392	   -1.551
ENSG00000137185	0.341	0.389	    4.022
ENSG00000272092	0.179	0.388	    0.000
ENSG00000151366	0.115	0.386	   -3.171
ENSG00000271390	0.347	0.384	    0.235
ENSG00000279384	0.381	0.382	   -3.882
ENSG00000160551	0.197	0.378	   -2.017
ENSG00000227630	0.275	0.377	   -0.590
ENSG00000198276	0.274	0.377	    4.373
ENSG00000255507	0.119	0.373	    0.401
ENSG00000134283	0.126	0.372	    3.451
ENSG00000275437	0.283	0.372	   -4.254
ENSG00000237181	0.178	0.357	   -0.216
ENSG00000140395	0.350	0.350	    4.638
ENSG00000125124	0.316	0.350	    3.355
ENSG00000118263	0.134	0.345	   -3.794
ENSG00000244757	0.051	0.344	    4.478
ENSG00000147548	0.241	0.343	   -0.366
ENSG00000143947	0.343	0.343	   -2.130
ENSG00000170425	0.343	0.343	    0.000
ENSG00000122026	0.199	0.340	   -4.566
ENSG00000249244	0.076	0.339	    4.468
ENSG00000028528	0.144	0.333	    4.408
ENSG00000115828	0.157	0.330	   -4.208
ENSG00000138772	0.219	0.329	   -0.411
ENSG00000177096	0.229	0.329	    4.963
ENSG00000271086	0.086	0.329	   -3.544
ENSG00000159063	0.107	0.323	   -0.197
ENSG00000152939	0.034	0.322	    5.385
ENSG00000259536	0.103	0.320	    3.475
ENSG00000157111	0.194	0.320	  -15.436
ENSG00000169220	0.320	0.320	    7.496
ENSG00000260236	0.079	0.318	    6.712
ENSG00000283050	0.204	0.318	    2.671
ENSG00000115825	0.015	0.317	   -2.363
ENSG00000205702	0.154	0.317	    4.323
ENSG00000273841	0.174	0.314	   -6.333
ENSG00000226261	0.126	0.313	    8.278
ENSG00000120451	0.309	0.312	   -1.668
ENSG00000196950	0.267	0.311	   -3.904
ENSG00000137218	0.220	0.311	    2.165
ENSG00000111816	0.277	0.310	   -5.421
ENSG00000158805	0.308	0.308	    0.000
ENSG00000267667	0.196	0.307	    4.737
ENSG00000140367	0.301	0.301	   14.100
ENSG00000134825	0.276	0.297	    7.164
ENSG00000229029	0.279	0.293	    4.795
ENSG00000169223	0.252	0.293	    3.557
