Gene	GRCP	GLCP	TWAS_z
ENSG00000156170	0.485	0.993	   10.308
ENSG00000009950	0.553	0.922	  -13.474
ENSG00000171885	0.843	0.846	    4.587
ENSG00000260372	0.825	0.845	    4.601
ENSG00000183011	0.623	0.804	    5.574
ENSG00000134825	0.363	0.796	    7.499
ENSG00000171700	0.701	0.717	   -0.882
ENSG00000219891	0.577	0.684	    7.856
ENSG00000118690	0.148	0.679	   -4.321
ENSG00000130208	0.119	0.642	    1.212
ENSG00000143669	0.268	0.639	    0.000
ENSG00000171703	0.368	0.610	    4.790
ENSG00000186652	0.451	0.601	   -3.527
ENSG00000125510	0.324	0.596	   -4.369
ENSG00000166450	0.283	0.588	   -3.404
ENSG00000132906	0.296	0.575	   -7.131
ENSG00000178177	0.326	0.569	    0.858
ENSG00000149485	0.373	0.554	   -7.367
ENSG00000005189	0.328	0.550	    6.026
ENSG00000114742	0.320	0.549	    4.666
ENSG00000125124	0.288	0.532	   -1.958
ENSG00000221963	0.521	0.521	   -1.902
ENSG00000162994	0.516	0.516	    3.952
ENSG00000167525	0.467	0.507	   -1.423
ENSG00000280374	0.243	0.496	   -4.042
ENSG00000130518	0.496	0.496	    0.000
ENSG00000175279	0.382	0.483	   -4.223
ENSG00000159884	0.276	0.472	    0.855
ENSG00000262769	0.410	0.461	    2.476
ENSG00000043514	0.036	0.460	   -1.967
ENSG00000072736	0.367	0.457	    4.499
ENSG00000124789	0.321	0.456	   -0.633
ENSG00000134283	0.156	0.455	    4.263
ENSG00000274080	0.113	0.447	  -13.755
ENSG00000270951	0.364	0.446	    0.256
ENSG00000259630	0.281	0.437	   -0.789
ENSG00000085788	0.258	0.434	   -6.645
ENSG00000142494	0.427	0.427	    0.000
ENSG00000243069	0.158	0.417	   -4.789
ENSG00000170234	0.258	0.377	   -3.694
ENSG00000170425	0.297	0.371	   -0.714
ENSG00000116138	0.212	0.368	   -9.060
ENSG00000121101	0.131	0.368	    5.895
ENSG00000120688	0.333	0.359	    4.302
ENSG00000135862	0.130	0.358	   -2.117
ENSG00000131196	0.187	0.356	    4.402
ENSG00000198945	0.087	0.352	   -4.559
ENSG00000275437	0.120	0.346	   -4.208
ENSG00000232710	0.064	0.345	    2.431
ENSG00000100170	0.059	0.343	    0.622
ENSG00000245958	0.082	0.340	    4.499
ENSG00000184232	0.337	0.337	    6.699
ENSG00000253878	0.019	0.318	    9.261
ENSG00000158805	0.314	0.316	    0.820
ENSG00000224431	0.236	0.310	    6.828
ENSG00000114450	0.162	0.307	    0.610
ENSG00000227775	0.294	0.306	   -4.433
ENSG00000120907	0.221	0.301	    0.000
ENSG00000099814	0.132	0.300	   -3.838
ENSG00000121989	0.182	0.298	    8.691
ENSG00000176623	0.280	0.294	    4.732
ENSG00000176155	0.056	0.293	   -2.680
ENSG00000279347	0.138	0.292	    2.141
ENSG00000249244	0.070	0.288	    4.476
ENSG00000227638	0.081	0.288	    1.514
ENSG00000183172	0.251	0.287	   -4.979
ENSG00000106603	0.127	0.279	   -3.823
ENSG00000214941	0.167	0.273	   -4.164
ENSG00000171940	0.252	0.266	   -4.698
ENSG00000103067	0.159	0.264	   -5.476
ENSG00000146215	0.168	0.262	   -9.233
ENSG00000204977	0.164	0.259	    4.184
ENSG00000269293	0.073	0.252	   12.362
ENSG00000158234	0.093	0.248	   -4.278
ENSG00000168065	0.021	0.247	  -23.409
ENSG00000163320	0.057	0.245	    0.260
ENSG00000235436	0.242	0.242	   -4.204
ENSG00000122378	0.022	0.234	   -2.982
ENSG00000283399	0.158	0.233	   -1.747
ENSG00000185100	0.161	0.233	   -1.798
ENSG00000198553	0.111	0.233	    4.087
ENSG00000223313	0.090	0.233	    3.309
ENSG00000149679	0.158	0.232	   -4.110
ENSG00000135931	0.112	0.230	    0.000
ENSG00000160602	0.176	0.227	    5.142
ENSG00000273619	0.110	0.226	    0.000
ENSG00000229847	0.006	0.225	    7.476
ENSG00000214820	0.061	0.225	    4.548
ENSG00000276754	0.019	0.223	    0.000
ENSG00000196950	0.143	0.221	   -3.637
ENSG00000147535	0.096	0.219	   -6.948
ENSG00000231613	0.032	0.217	    3.786
ENSG00000256162	0.155	0.217	   -4.015
ENSG00000114790	0.084	0.214	    5.780
ENSG00000134077	0.072	0.213	    2.213
ENSG00000273841	0.020	0.211	   -6.180
ENSG00000214293	0.079	0.210	    3.614
ENSG00000279484	0.117	0.203	    1.299
ENSG00000121486	0.140	0.202	   -6.527
ENSG00000149923	0.027	0.197	   -1.800
ENSG00000082497	0.124	0.197	   -3.107
ENSG00000203327	0.099	0.196	    2.639
ENSG00000163528	0.168	0.196	    0.448
ENSG00000134222	0.042	0.195	    3.872
ENSG00000112149	0.094	0.193	   -0.859
ENSG00000140534	0.079	0.192	    2.594
ENSG00000177666	0.131	0.191	   -4.490
ENSG00000101161	0.141	0.189	    0.000
ENSG00000081148	0.110	0.185	    4.160
ENSG00000244691	0.066	0.184	   -0.929
ENSG00000272871	0.164	0.182	    4.263
