Gene	GRCP	GLCP	TWAS_z
ENSG00000260404	0.043	0.996	    2.850
ENSG00000148584	0.982	0.994	   -7.492
ENSG00000115596	0.988	0.994	    5.486
ENSG00000138246	0.960	0.990	    8.308
ENSG00000185499	0.490	0.974	  -16.872
ENSG00000253878	0.524	0.972	   -5.221
ENSG00000009950	0.908	0.966	  -13.410
ENSG00000139209	0.839	0.947	   -5.608
ENSG00000182986	0.778	0.940	   -5.911
ENSG00000158457	0.837	0.903	    5.228
ENSG00000262888	0.878	0.903	   -0.021
ENSG00000112787	0.902	0.902	    7.495
ENSG00000262185	0.799	0.892	   -1.910
ENSG00000117505	0.499	0.892	    0.000
ENSG00000280287	0.750	0.884	    7.440
ENSG00000279700	0.861	0.863	    7.498
ENSG00000143153	0.700	0.850	    0.390
ENSG00000126746	0.849	0.849	    0.082
ENSG00000171792	0.645	0.845	   -2.802
ENSG00000122376	0.698	0.841	   -8.355
ENSG00000159884	0.591	0.798	    0.000
ENSG00000186907	0.755	0.797	    5.268
ENSG00000144746	0.787	0.789	    7.109
ENSG00000221968	0.293	0.788	   -1.203
ENSG00000167525	0.562	0.779	   -1.997
ENSG00000118690	0.238	0.773	   -4.962
ENSG00000125510	0.703	0.758	   -4.846
ENSG00000241837	0.751	0.751	   -3.714
ENSG00000230710	0.744	0.744	    1.754
ENSG00000233006	0.505	0.735	    7.085
ENSG00000260077	0.628	0.732	   -1.545
ENSG00000258414	0.428	0.728	   -6.469
ENSG00000085788	0.664	0.721	   -6.844
ENSG00000185262	0.646	0.713	    3.374
ENSG00000124780	0.358	0.713	    5.871
ENSG00000074410	0.165	0.707	   -5.244
ENSG00000244067	0.355	0.687	   -5.163
ENSG00000120688	0.643	0.674	    4.558
ENSG00000124789	0.359	0.671	   -0.389
ENSG00000171700	0.668	0.668	   -4.834
ENSG00000108924	0.465	0.659	  -13.191
ENSG00000164749	0.148	0.651	   13.072
ENSG00000270951	0.105	0.633	   -0.746
ENSG00000228782	0.625	0.630	    6.298
ENSG00000137817	0.625	0.628	   -6.775
ENSG00000248905	0.299	0.620	   -5.470
ENSG00000168496	0.284	0.615	   -5.189
ENSG00000162994	0.610	0.615	    3.865
ENSG00000172594	0.270	0.608	    0.268
ENSG00000116138	0.383	0.600	   -8.955
ENSG00000158234	0.466	0.596	   -4.616
ENSG00000121101	0.373	0.592	    5.409
ENSG00000214941	0.459	0.583	   -4.094
ENSG00000137218	0.294	0.580	    4.633
ENSG00000114107	0.323	0.562	   -4.463
ENSG00000178177	0.413	0.560	    6.137
ENSG00000273456	0.489	0.533	    8.245
ENSG00000235436	0.532	0.532	   -4.136
ENSG00000100994	0.072	0.526	    3.295
ENSG00000112149	0.411	0.517	   -1.639
ENSG00000120899	0.505	0.512	   -3.919
ENSG00000171695	0.391	0.505	   -4.750
ENSG00000261150	0.203	0.502	   -4.477
ENSG00000131196	0.499	0.499	   -1.019
ENSG00000243176	0.389	0.498	    4.933
ENSG00000275426	0.490	0.490	   -0.460
ENSG00000092847	0.445	0.487	    4.182
ENSG00000243955	0.282	0.479	    4.957
ENSG00000170425	0.453	0.471	   -0.283
ENSG00000275784	0.228	0.471	   -0.573
ENSG00000184232	0.461	0.461	    4.735
ENSG00000272156	0.255	0.444	   -1.860
ENSG00000166347	0.181	0.443	   -3.986
ENSG00000122870	0.135	0.440	   -8.933
ENSG00000134825	0.297	0.433	    7.224
ENSG00000273619	0.286	0.428	    0.000
ENSG00000095932	0.426	0.426	    3.844
ENSG00000213533	0.300	0.426	  -14.867
ENSG00000129993	0.387	0.421	    1.464
ENSG00000152484	0.381	0.419	   -1.983
ENSG00000147535	0.226	0.419	   -6.672
ENSG00000274373	0.294	0.416	    0.466
ENSG00000168026	0.389	0.416	    4.644
ENSG00000170234	0.301	0.415	    0.812
ENSG00000206573	0.243	0.412	   -3.978
ENSG00000160602	0.346	0.411	    5.176
ENSG00000127080	0.170	0.409	   -0.573
ENSG00000280374	0.196	0.404	   -4.305
ENSG00000249201	0.386	0.403	    1.498
ENSG00000198951	0.350	0.400	    3.663
ENSG00000120451	0.397	0.398	   -1.739
ENSG00000164967	0.269	0.398	   -4.499
ENSG00000125124	0.368	0.397	    0.000
ENSG00000115464	0.284	0.395	    0.928
ENSG00000182628	0.081	0.392	   -5.671
ENSG00000196950	0.197	0.390	   -3.755
ENSG00000177096	0.349	0.387	   -1.023
ENSG00000103275	0.370	0.378	   -0.192
ENSG00000090382	0.377	0.378	   -1.670
ENSG00000278356	0.116	0.377	   -2.333
ENSG00000250326	0.097	0.375	    6.140
ENSG00000104228	0.249	0.375	   -0.691
ENSG00000176623	0.292	0.374	    4.397
ENSG00000183011	0.293	0.369	    4.914
ENSG00000254981	0.151	0.366	   -6.551
ENSG00000283050	0.201	0.365	    4.564
ENSG00000259881	0.236	0.365	    0.732
ENSG00000198382	0.153	0.364	    4.780
ENSG00000134283	0.145	0.363	    4.369
ENSG00000138798	0.260	0.356	    0.335
ENSG00000103227	0.346	0.355	    3.744
ENSG00000182264	0.354	0.354	   -1.088
ENSG00000183172	0.331	0.352	   -4.879
ENSG00000149679	0.261	0.351	   -3.032
ENSG00000255455	0.329	0.348	   -1.750
ENSG00000096717	0.192	0.348	    4.931
ENSG00000198945	0.347	0.347	    0.266
ENSG00000166797	0.181	0.344	    4.697
ENSG00000171940	0.331	0.343	   -4.702
ENSG00000265678	0.082	0.342	   -3.220
ENSG00000164543	0.137	0.341	   -3.907
ENSG00000256162	0.209	0.337	    0.000
ENSG00000255201	0.079	0.336	    2.209
ENSG00000272966	0.199	0.335	    8.680
ENSG00000274979	0.221	0.334	    2.009
ENSG00000168826	0.234	0.332	    3.725
ENSG00000158805	0.331	0.331	    0.000
ENSG00000139168	0.283	0.331	    3.702
ENSG00000166002	0.328	0.328	    4.088
ENSG00000115947	0.200	0.326	    8.477
ENSG00000239282	0.126	0.326	   -4.297
ENSG00000159335	0.208	0.325	    3.533
ENSG00000198553	0.206	0.324	    4.208
ENSG00000136982	0.197	0.318	   -3.657
ENSG00000169230	0.164	0.315	    4.967
ENSG00000241563	0.223	0.313	    4.439
ENSG00000275437	0.242	0.311	   -4.106
ENSG00000099917	0.250	0.307	   -0.252
ENSG00000122025	0.208	0.304	    0.399
ENSG00000121989	0.222	0.303	    8.500
ENSG00000172795	0.282	0.303	   -2.256
ENSG00000259459	0.302	0.302	   -3.244
ENSG00000204977	0.157	0.299	    3.873
ENSG00000189339	0.244	0.288	    1.374
ENSG00000169223	0.071	0.288	    6.905
ENSG00000198860	0.236	0.286	   -0.301
ENSG00000167524	0.208	0.284	    5.338
ENSG00000205702	0.065	0.282	    3.718
ENSG00000107159	0.171	0.282	    3.579
ENSG00000171848	0.167	0.281	   -1.144
ENSG00000136146	0.014	0.279	    4.730
ENSG00000170430	0.169	0.279	    1.046
ENSG00000182224	0.195	0.278	    5.523
ENSG00000167785	0.224	0.276	   -3.574
ENSG00000272269	0.129	0.274	    1.737
ENSG00000257743	0.244	0.273	    3.639
ENSG00000089693	0.273	0.273	    1.508
ENSG00000186532	0.218	0.273	   -3.439
ENSG00000244509	0.257	0.268	    0.166
ENSG00000203327	0.132	0.267	    3.127
ENSG00000166436	0.241	0.266	    0.271
ENSG00000279794	0.262	0.262	    0.000
ENSG00000272871	0.251	0.262	    4.388
ENSG00000088854	0.164	0.261	    3.603
ENSG00000197530	0.261	0.261	    0.000
ENSG00000130518	0.191	0.261	   -2.756
ENSG00000174021	0.258	0.260	   -3.415
ENSG00000132383	0.102	0.260	   -1.255
ENSG00000184990	0.208	0.259	    1.255
ENSG00000180257	0.202	0.257	   -5.173
ENSG00000241388	0.036	0.257	   -4.794
ENSG00000106723	0.197	0.254	   -0.272
ENSG00000178425	0.196	0.254	    5.175
ENSG00000180900	0.078	0.253	   -1.855
ENSG00000189266	0.051	0.252	    0.000
ENSG00000111816	0.169	0.251	   -3.917
ENSG00000196220	0.165	0.250	    1.818
ENSG00000224251	0.169	0.248	    2.700
ENSG00000076382	0.220	0.247	    5.202
ENSG00000233448	0.214	0.245	   -3.978
ENSG00000143457	0.026	0.244	    6.747
ENSG00000142208	0.226	0.240	   -3.865
ENSG00000008988	0.116	0.239	    3.541
ENSG00000184956	0.061	0.239	    1.621
ENSG00000138768	0.140	0.236	   -0.737
ENSG00000138757	0.102	0.233	    0.000
ENSG00000273841	0.050	0.232	   -2.481
ENSG00000242435	0.229	0.229	    0.758
ENSG00000197935	0.139	0.227	   -3.605
ENSG00000175727	0.078	0.226	   -9.030
ENSG00000163660	0.103	0.224	   -0.399
ENSG00000179021	0.117	0.222	    3.618
ENSG00000162613	0.215	0.215	    0.522
ENSG00000276073	0.190	0.215	    2.829
ENSG00000133812	0.171	0.215	   -5.872
ENSG00000158220	0.215	0.215	    0.261
ENSG00000198586	0.150	0.214	   -4.154
ENSG00000178966	0.167	0.212	    1.835
ENSG00000269300	0.209	0.212	   -3.217
ENSG00000035403	0.185	0.209	    0.877
ENSG00000189223	0.160	0.209	    8.202
ENSG00000039560	0.042	0.208	   -4.159
ENSG00000179950	0.206	0.206	    0.560
ENSG00000263597	0.018	0.204	   -6.113
ENSG00000066654	0.066	0.202	   -4.196
ENSG00000159063	0.078	0.201	    3.760
ENSG00000110514	0.040	0.201	   -1.703
ENSG00000243480	0.184	0.197	   -1.448
ENSG00000112992	0.186	0.197	   -3.891
ENSG00000246174	0.084	0.196	    3.549
ENSG00000167085	0.064	0.195	   -4.936
ENSG00000149927	0.082	0.195	    1.030
ENSG00000186652	0.068	0.194	   -3.978
ENSG00000117222	0.145	0.193	    5.627
ENSG00000141759	0.091	0.193	   -3.893
ENSG00000178917	0.145	0.192	    4.171
ENSG00000196183	0.092	0.191	   -3.699
ENSG00000125337	0.135	0.191	    0.000
ENSG00000179152	0.087	0.190	    3.662
ENSG00000279699	0.018	0.189	    2.284
ENSG00000111530	0.140	0.189	   -3.578
ENSG00000171444	0.099	0.188	    3.827
ENSG00000149084	0.187	0.187	   -0.100
ENSG00000158467	0.185	0.187	   -3.488
ENSG00000228701	0.146	0.186	    0.000
ENSG00000214435	0.184	0.184	   -0.375
ENSG00000145494	0.168	0.182	   -3.597
ENSG00000105552	0.087	0.182	    3.040
ENSG00000114742	0.114	0.182	    4.676
ENSG00000278000	0.124	0.180	   -1.254
ENSG00000241350	0.097	0.180	    3.290
ENSG00000250397	0.136	0.179	   -4.651
ENSG00000214293	0.107	0.178	   -3.790
ENSG00000129514	0.071	0.178	    2.607
ENSG00000283375	0.172	0.177	    2.847
ENSG00000109576	0.104	0.177	    0.000
ENSG00000254718	0.048	0.176	    0.157
ENSG00000171421	0.138	0.175	   -2.426
ENSG00000145220	0.069	0.174	   -3.618
ENSG00000186998	0.173	0.174	    3.489
ENSG00000117151	0.133	0.174	   -3.450
ENSG00000114491	0.067	0.173	   -4.518
ENSG00000148344	0.085	0.172	   -3.246
ENSG00000215483	0.103	0.172	    0.928
ENSG00000279930	0.131	0.172	   -1.999
ENSG00000197375	0.055	0.172	   -5.853
ENSG00000261226	0.065	0.172	   -0.234
ENSG00000259536	0.069	0.168	    3.448
ENSG00000157214	0.064	0.161	   -3.312
ENSG00000132849	0.135	0.159	   -1.110
ENSG00000140403	0.101	0.158	    1.799
ENSG00000172954	0.080	0.157	   -1.533
ENSG00000188064	0.012	0.155	   -3.542
ENSG00000148926	0.083	0.155	    1.489
ENSG00000245958	0.142	0.154	   -0.031
ENSG00000152784	0.147	0.153	    1.391
ENSG00000122026	0.109	0.153	   -4.598
ENSG00000271850	0.137	0.153	    3.314
ENSG00000171681	0.108	0.152	    2.918
ENSG00000186704	0.144	0.151	    1.114
ENSG00000162585	0.033	0.150	    0.000
ENSG00000253958	0.076	0.149	   -3.222
ENSG00000164037	0.076	0.149	   -4.604
ENSG00000231084	0.053	0.148	   -6.406
ENSG00000066933	0.094	0.148	    6.554
ENSG00000204120	0.147	0.147	   -4.724
ENSG00000246250	0.145	0.146	   -0.682
ENSG00000090263	0.132	0.145	    3.354
ENSG00000075413	0.121	0.144	   -4.927
ENSG00000175279	0.108	0.144	   -2.355
ENSG00000165119	0.142	0.142	    3.385
ENSG00000255642	0.074	0.141	   -3.122
ENSG00000169689	0.140	0.140	   -3.446
ENSG00000198276	0.098	0.138	    4.989
ENSG00000198948	0.036	0.138	   -0.979
ENSG00000138468	0.119	0.138	    4.022
ENSG00000176155	0.104	0.137	    1.242
ENSG00000147548	0.082	0.137	   -0.325
ENSG00000006607	0.106	0.137	   -7.708
ENSG00000137078	0.094	0.137	   -5.095
ENSG00000184445	0.036	0.136	   -6.228
ENSG00000248394	0.064	0.136	    3.302
ENSG00000237765	0.075	0.135	    3.061
ENSG00000131323	0.101	0.132	    4.752
ENSG00000226261	0.059	0.132	    8.028
ENSG00000229951	0.043	0.132	    4.389
ENSG00000135211	0.074	0.130	    1.071
ENSG00000138378	0.105	0.130	   -3.308
ENSG00000006459	0.063	0.129	   -3.424
ENSG00000151366	0.091	0.128	   -3.407
ENSG00000117115	0.020	0.128	    1.313
ENSG00000280083	0.096	0.127	   -3.213
ENSG00000108474	0.041	0.126	    3.534
ENSG00000179157	0.085	0.126	   -9.105
ENSG00000165660	0.015	0.125	   -1.975
ENSG00000106034	0.099	0.125	   -3.349
ENSG00000132170	0.057	0.125	   -6.605
