Gene	GRCP	GLCP	TWAS_z
ENSG00000142765	0.951	0.952	    0.005
ENSG00000255320	0.745	0.951	    5.657
ENSG00000213801	0.716	0.916	   -5.773
ENSG00000163462	0.206	0.901	  -16.292
ENSG00000185262	0.036	0.893	    2.772
ENSG00000229352	0.339	0.876	   -1.090
ENSG00000262185	0.767	0.857	   -3.270
ENSG00000116039	0.111	0.854	   -5.502
ENSG00000182264	0.841	0.841	   -1.076
ENSG00000009950	0.067	0.838	  -12.629
ENSG00000122376	0.625	0.822	   -8.158
ENSG00000278356	0.532	0.804	   -0.763
ENSG00000250326	0.211	0.792	    5.114
ENSG00000250569	0.237	0.774	    4.612
ENSG00000182986	0.525	0.766	   -5.935
ENSG00000120688	0.671	0.764	    4.529
ENSG00000125124	0.347	0.758	    3.063
ENSG00000188312	0.327	0.755	   -1.431
ENSG00000272871	0.713	0.754	    4.971
ENSG00000198700	0.051	0.754	    6.068
ENSG00000179023	0.733	0.747	   -4.642
ENSG00000180257	0.683	0.741	   -5.619
ENSG00000167525	0.464	0.740	   -1.706
ENSG00000260876	0.242	0.739	  -11.846
ENSG00000138246	0.632	0.736	    8.246
ENSG00000180900	0.663	0.732	   -4.883
ENSG00000255150	0.194	0.728	    4.115
ENSG00000176623	0.215	0.708	    4.521
ENSG00000175893	0.388	0.685	    4.616
ENSG00000183011	0.190	0.681	    5.089
ENSG00000226334	0.676	0.676	    0.082
ENSG00000175727	0.191	0.665	    4.503
ENSG00000085788	0.565	0.648	   -6.850
ENSG00000213793	0.457	0.601	   -4.340
ENSG00000241563	0.411	0.582	    4.381
ENSG00000179950	0.112	0.573	   -4.286
ENSG00000127080	0.336	0.566	   -1.906
ENSG00000121101	0.272	0.557	    5.898
ENSG00000279833	0.367	0.552	   -1.930
ENSG00000171700	0.497	0.548	   -4.817
ENSG00000122515	0.499	0.524	    4.072
ENSG00000226450	0.105	0.518	    3.899
ENSG00000122642	0.455	0.506	    4.263
ENSG00000133665	0.333	0.500	    1.389
ENSG00000198951	0.246	0.496	    3.180
ENSG00000233006	0.350	0.493	    6.984
ENSG00000114742	0.306	0.487	    4.661
ENSG00000137218	0.367	0.475	    4.884
ENSG00000168496	0.236	0.467	   -6.009
ENSG00000178917	0.312	0.458	    4.427
ENSG00000270409	0.188	0.451	    2.097
ENSG00000280374	0.208	0.450	   -4.305
ENSG00000135862	0.218	0.449	   -2.134
ENSG00000235436	0.442	0.443	   -4.005
ENSG00000036672	0.281	0.442	   -0.418
ENSG00000273456	0.420	0.437	    8.198
ENSG00000240051	0.339	0.428	    2.677
ENSG00000137817	0.255	0.420	   -6.258
ENSG00000165752	0.230	0.416	   -1.215
ENSG00000245958	0.083	0.415	   -0.633
ENSG00000181915	0.299	0.413	    4.764
ENSG00000273619	0.290	0.404	   -1.435
ENSG00000237037	0.201	0.404	    0.969
ENSG00000176155	0.080	0.403	   -3.577
ENSG00000164853	0.039	0.382	    7.212
ENSG00000170425	0.333	0.381	   -1.541
ENSG00000153250	0.302	0.374	    5.569
ENSG00000231389	0.118	0.362	    5.171
ENSG00000152942	0.091	0.359	   -1.559
ENSG00000259630	0.226	0.357	   -5.793
ENSG00000249244	0.074	0.356	    4.458
ENSG00000137185	0.311	0.354	   11.804
ENSG00000166743	0.194	0.353	   -1.763
ENSG00000089177	0.249	0.350	    2.791
ENSG00000189266	0.087	0.349	    4.761
ENSG00000033170	0.255	0.340	   -4.780
ENSG00000072736	0.183	0.338	    2.167
ENSG00000104228	0.262	0.333	    2.060
ENSG00000139865	0.244	0.321	   -4.146
ENSG00000185100	0.192	0.320	   -1.771
ENSG00000112149	0.185	0.310	   -1.018
ENSG00000174332	0.217	0.309	    6.589
ENSG00000183172	0.249	0.307	    4.901
ENSG00000158805	0.304	0.307	    0.000
ENSG00000188064	0.292	0.305	   -4.311
ENSG00000197208	0.119	0.303	   -4.809
ENSG00000074410	0.090	0.302	   -4.921
ENSG00000115947	0.164	0.300	    8.454
ENSG00000228265	0.065	0.299	   -2.223
ENSG00000272966	0.178	0.297	    8.191
ENSG00000250950	0.061	0.293	   -1.985
ENSG00000196950	0.244	0.289	   -3.946
ENSG00000108349	0.141	0.288	   -2.647
ENSG00000189339	0.285	0.285	    0.000
ENSG00000100170	0.068	0.282	    1.335
ENSG00000272086	0.206	0.282	   -3.862
ENSG00000205702	0.016	0.281	    5.027
ENSG00000118690	0.103	0.276	   -4.281
ENSG00000204977	0.094	0.276	    4.005
ENSG00000143850	0.205	0.274	    3.705
ENSG00000179021	0.083	0.271	    3.639
ENSG00000198945	0.271	0.271	    2.646
ENSG00000122870	0.061	0.268	   -3.331
ENSG00000149679	0.194	0.267	   -3.763
ENSG00000273841	0.081	0.266	   -6.694
ENSG00000160606	0.152	0.264	   -1.881
ENSG00000235169	0.196	0.264	    3.571
ENSG00000162585	0.257	0.263	   -2.319
ENSG00000134283	0.083	0.261	    4.243
ENSG00000105376	0.126	0.261	   -3.703
ENSG00000270981	0.072	0.261	   -0.707
ENSG00000214941	0.138	0.259	   -3.472
ENSG00000275437	0.131	0.258	   -4.346
ENSG00000266654	0.058	0.254	   -3.443
ENSG00000226261	0.191	0.254	    8.260
ENSG00000099917	0.177	0.253	   -0.536
ENSG00000059377	0.115	0.252	   -2.959
ENSG00000089692	0.209	0.248	   -0.518
ENSG00000116771	0.184	0.246	   -9.036
ENSG00000157800	0.206	0.246	   -0.381
ENSG00000198431	0.191	0.245	   -1.097
ENSG00000140463	0.239	0.239	   -1.134
ENSG00000130590	0.202	0.239	   -0.426
ENSG00000172379	0.157	0.235	    4.722
ENSG00000103194	0.060	0.233	   -2.718
ENSG00000151366	0.046	0.232	   -2.673
ENSG00000280213	0.229	0.229	    4.385
ENSG00000283050	0.089	0.227	   -1.747
ENSG00000166428	0.097	0.227	   -1.577
ENSG00000160951	0.188	0.226	    3.346
ENSG00000131165	0.207	0.224	   -1.628
ENSG00000172795	0.196	0.224	   -4.162
