Gene	GRCP	GLCP	TWAS_z
ENSG00000138246	0.944	1.000	    8.307
ENSG00000226334	0.954	0.978	    0.000
ENSG00000213793	0.741	0.922	   -5.489
ENSG00000182986	0.661	0.919	   -6.012
ENSG00000242779	0.769	0.913	   -5.785
ENSG00000183011	0.692	0.877	    5.548
ENSG00000174332	0.682	0.875	    6.381
ENSG00000213801	0.849	0.849	   -5.793
ENSG00000117222	0.273	0.841	    5.468
ENSG00000117505	0.597	0.832	   -8.456
ENSG00000171792	0.583	0.818	    0.000
ENSG00000201967	0.746	0.790	   -6.853
ENSG00000186831	0.150	0.776	   -4.693
ENSG00000120688	0.761	0.761	    4.487
ENSG00000144746	0.702	0.736	    5.901
ENSG00000180257	0.257	0.735	   -5.278
ENSG00000025039	0.715	0.715	    4.491
ENSG00000167525	0.544	0.709	   -1.721
ENSG00000204622	0.152	0.705	   -8.904
ENSG00000122870	0.205	0.704	   -8.032
ENSG00000233006	0.375	0.696	    7.036
ENSG00000237707	0.598	0.678	   -4.605
ENSG00000103194	0.422	0.662	   -4.246
ENSG00000134825	0.371	0.641	    7.563
ENSG00000085788	0.539	0.639	   -6.936
ENSG00000181915	0.622	0.629	    5.001
ENSG00000268225	0.510	0.626	   -5.838
ENSG00000100994	0.156	0.596	    4.553
ENSG00000130518	0.363	0.583	   -2.756
ENSG00000121101	0.236	0.573	    6.029
ENSG00000162994	0.562	0.562	    4.100
ENSG00000203327	0.559	0.560	    4.065
ENSG00000198242	0.314	0.548	   -1.907
ENSG00000228782	0.223	0.548	    5.992
ENSG00000175279	0.449	0.525	   -4.352
ENSG00000273456	0.431	0.505	    8.352
ENSG00000272966	0.228	0.499	    8.163
ENSG00000137817	0.485	0.486	   -6.700
ENSG00000124780	0.374	0.485	    1.764
ENSG00000276968	0.030	0.477	    4.035
ENSG00000175727	0.194	0.474	   -8.697
ENSG00000159461	0.371	0.473	    1.890
ENSG00000182472	0.285	0.472	    1.579
ENSG00000105364	0.325	0.469	   -3.587
ENSG00000133818	0.460	0.468	   -4.468
ENSG00000103227	0.458	0.458	    4.244
ENSG00000176623	0.142	0.455	    4.406
ENSG00000237037	0.205	0.454	   -0.041
ENSG00000184983	0.208	0.446	   -0.953
ENSG00000147535	0.194	0.443	   -6.791
ENSG00000104228	0.224	0.439	   -0.337
ENSG00000172795	0.173	0.439	   -4.123
ENSG00000170425	0.297	0.438	   -1.095
ENSG00000214941	0.223	0.437	   -4.163
ENSG00000283050	0.097	0.433	    1.750
ENSG00000188305	0.177	0.414	   -2.836
ENSG00000226450	0.116	0.399	    3.191
ENSG00000180834	0.168	0.393	   -1.582
ENSG00000105376	0.277	0.389	   -3.813
ENSG00000221843	0.012	0.387	  -18.965
ENSG00000125124	0.326	0.356	    3.054
ENSG00000107140	0.231	0.354	    2.818
ENSG00000233554	0.131	0.353	    4.477
ENSG00000214435	0.277	0.351	    0.000
ENSG00000198951	0.279	0.348	    4.993
ENSG00000244067	0.154	0.340	    4.710
ENSG00000166436	0.219	0.336	    0.308
ENSG00000121989	0.240	0.336	    8.688
ENSG00000134077	0.256	0.331	   -4.179
ENSG00000274080	0.034	0.331	  -12.845
ENSG00000279699	0.325	0.325	   -3.819
ENSG00000183172	0.287	0.323	    4.908
ENSG00000168575	0.290	0.322	   -1.331
ENSG00000245958	0.093	0.320	   -1.715
ENSG00000115474	0.203	0.318	    3.061
ENSG00000188529	0.033	0.310	    4.686
ENSG00000139168	0.225	0.307	    4.133
ENSG00000198945	0.305	0.305	    0.040
ENSG00000075413	0.299	0.304	   -5.037
ENSG00000183423	0.190	0.303	   -4.312
ENSG00000213790	0.147	0.303	    3.220
ENSG00000205702	0.039	0.302	    3.074
ENSG00000196950	0.089	0.300	   -3.435
ENSG00000226261	0.193	0.298	    8.260
ENSG00000100997	0.022	0.297	   -3.044
ENSG00000139220	0.280	0.288	    3.156
ENSG00000275437	0.207	0.288	   -3.981
ENSG00000099956	0.179	0.284	   -1.031
ENSG00000272092	0.173	0.284	    1.730
ENSG00000099917	0.187	0.283	    0.000
ENSG00000278022	0.209	0.282	   -2.271
ENSG00000228630	0.245	0.279	   -0.170
ENSG00000149573	0.025	0.279	   -4.737
ENSG00000114648	0.112	0.275	    6.933
ENSG00000085231	0.040	0.273	   -6.273
ENSG00000149679	0.141	0.273	   -2.495
ENSG00000009950	0.136	0.272	  -13.120
ENSG00000095932	0.268	0.269	    3.639
ENSG00000280079	0.133	0.268	   -3.444
ENSG00000106603	0.126	0.262	   -3.891
ENSG00000249244	0.066	0.260	    4.416
ENSG00000148634	0.138	0.260	    6.703
ENSG00000166797	0.154	0.259	    4.930
ENSG00000267383	0.075	0.257	   -3.232
ENSG00000184232	0.226	0.256	    6.710
ENSG00000212195	0.176	0.251	    5.952
ENSG00000274979	0.192	0.250	    0.000
ENSG00000196700	0.248	0.248	    0.146
ENSG00000273619	0.187	0.247	    0.443
ENSG00000235413	0.041	0.242	    5.538
ENSG00000185100	0.217	0.241	   -1.673
ENSG00000168356	0.074	0.238	   -4.195
ENSG00000137218	0.182	0.237	    4.856
ENSG00000177830	0.166	0.237	   -4.943
ENSG00000158234	0.176	0.228	   -4.487
ENSG00000198610	0.108	0.225	   -4.023
ENSG00000096717	0.091	0.223	    3.105
ENSG00000131435	0.014	0.221	   -5.703
ENSG00000129083	0.127	0.220	    3.894
ENSG00000140395	0.145	0.219	    4.319
ENSG00000189339	0.198	0.214	    0.077
ENSG00000167264	0.099	0.214	   -4.348
ENSG00000167476	0.071	0.211	    1.299
ENSG00000259129	0.116	0.210	   -3.314
ENSG00000126746	0.207	0.207	    3.771
ENSG00000109113	0.110	0.206	   -2.320
ENSG00000270210	0.206	0.206	    3.527
ENSG00000111530	0.098	0.203	   -3.452
ENSG00000085719	0.113	0.200	   -3.050
ENSG00000281538	0.194	0.200	   -4.501
ENSG00000250412	0.017	0.199	    3.912
ENSG00000204977	0.113	0.199	    4.172
ENSG00000224251	0.112	0.196	    3.977
ENSG00000111816	0.124	0.196	    0.363
ENSG00000227775	0.195	0.195	   -4.344
ENSG00000228692	0.086	0.195	   -1.410
ENSG00000259630	0.120	0.193	   -1.959
ENSG00000280374	0.094	0.192	    2.328
ENSG00000241563	0.163	0.190	    4.376
ENSG00000179021	0.065	0.190	    3.665
ENSG00000151224	0.188	0.188	   -0.743
ENSG00000118263	0.018	0.188	   -4.084
ENSG00000276073	0.158	0.186	    1.116
ENSG00000167984	0.104	0.184	    0.031
ENSG00000134824	0.047	0.184	    5.205
ENSG00000254352	0.139	0.183	   -3.627
ENSG00000224331	0.035	0.182	   -4.790
ENSG00000128891	0.172	0.182	    0.422
ENSG00000228812	0.093	0.181	    0.898
ENSG00000157214	0.101	0.179	   -3.546
ENSG00000254231	0.041	0.178	   -4.395
ENSG00000028528	0.057	0.177	   -1.556
ENSG00000204120	0.076	0.176	    2.939
ENSG00000243811	0.097	0.174	    0.906
ENSG00000184990	0.144	0.173	   -0.329
ENSG00000241350	0.120	0.173	   -3.478
ENSG00000275426	0.019	0.171	   -2.199
ENSG00000179428	0.085	0.170	    0.000
ENSG00000265939	0.068	0.167	    2.596
ENSG00000167785	0.053	0.166	   -2.993
ENSG00000124593	0.077	0.166	   -3.589
ENSG00000168826	0.092	0.162	    3.832
ENSG00000269300	0.139	0.161	   -3.575
ENSG00000228701	0.117	0.160	   -3.781
ENSG00000171421	0.131	0.157	    2.152
ENSG00000213918	0.011	0.157	    0.000
ENSG00000233818	0.030	0.156	   -8.834
ENSG00000149084	0.156	0.156	    0.000
ENSG00000072682	0.006	0.154	    6.399
ENSG00000272871	0.067	0.153	    4.278
ENSG00000093010	0.138	0.152	    3.549
ENSG00000186652	0.122	0.152	   -4.590
ENSG00000178966	0.117	0.151	    3.925
ENSG00000164938	0.038	0.151	   -1.556
ENSG00000151366	0.083	0.150	   -3.376
ENSG00000243955	0.048	0.150	    4.719
ENSG00000107854	0.118	0.149	    3.571
ENSG00000164978	0.146	0.149	   -3.596
ENSG00000198125	0.070	0.148	    3.376
ENSG00000273366	0.147	0.147	   -1.406
ENSG00000109576	0.068	0.146	    0.000
ENSG00000283375	0.145	0.145	   -2.806
ENSG00000103351	0.145	0.145	    4.464
ENSG00000163904	0.070	0.145	    3.547
ENSG00000233448	0.073	0.140	   -3.691
ENSG00000254088	0.056	0.139	    4.467
ENSG00000233597	0.035	0.138	   -5.043
ENSG00000101255	0.098	0.138	    2.437
ENSG00000189067	0.104	0.137	   -2.515
ENSG00000176155	0.092	0.136	   -3.413
ENSG00000138835	0.041	0.136	   -0.376
ENSG00000134490	0.047	0.135	   -3.142
ENSG00000257252	0.049	0.134	   -2.118
ENSG00000109991	0.099	0.132	    4.184
ENSG00000243069	0.079	0.131	   -5.054
ENSG00000122378	0.078	0.131	   -1.013
ENSG00000270409	0.026	0.130	    3.548
ENSG00000102595	0.020	0.129	   -5.779
ENSG00000196183	0.057	0.129	   -3.497
ENSG00000163161	0.117	0.129	   -2.013
ENSG00000156110	0.128	0.128	    3.673
ENSG00000167716	0.071	0.128	   -1.263
ENSG00000229913	0.114	0.126	   -3.492
ENSG00000267280	0.055	0.125	   -0.841
ENSG00000278356	0.083	0.124	   -2.345
ENSG00000160886	0.124	0.124	    3.356
ENSG00000253305	0.018	0.123	   -0.733
ENSG00000181097	0.074	0.123	   -0.411
ENSG00000062282	0.042	0.122	    0.888
ENSG00000114742	0.066	0.121	    4.530
ENSG00000242435	0.091	0.120	    3.147
ENSG00000272950	0.107	0.118	    5.583
ENSG00000172244	0.067	0.118	   -2.112
ENSG00000081148	0.068	0.118	    4.095
ENSG00000170677	0.117	0.117	   -1.540
ENSG00000197935	0.066	0.116	   -3.742
ENSG00000144837	0.075	0.116	    3.337
ENSG00000103066	0.044	0.115	   -1.135
ENSG00000180438	0.106	0.115	    3.850
ENSG00000149929	0.050	0.113	    0.000
ENSG00000170004	0.045	0.112	    5.862
ENSG00000130413	0.097	0.110	   -1.919
ENSG00000138119	0.037	0.110	   -2.546
ENSG00000163935	0.054	0.109	   -3.179
ENSG00000248333	0.059	0.109	    3.651
ENSG00000198715	0.108	0.108	   -3.781
ENSG00000103064	0.102	0.107	    5.031
ENSG00000279039	0.048	0.107	   -2.897
ENSG00000042317	0.069	0.106	    1.292
ENSG00000113494	0.030	0.105	   -4.163
ENSG00000265474	0.006	0.104	    4.326
ENSG00000196653	0.058	0.104	    2.156
ENSG00000140718	0.053	0.104	    7.674
ENSG00000128641	0.061	0.104	   -3.072
ENSG00000279833	0.039	0.102	    0.940
ENSG00000164695	0.086	0.099	    0.129
ENSG00000148814	0.035	0.099	    2.988
ENSG00000248240	0.063	0.099	   -3.863
ENSG00000256870	0.065	0.098	   -3.175
ENSG00000152763	0.049	0.098	    3.432
ENSG00000066427	0.098	0.098	   -0.108
ENSG00000196670	0.098	0.098	   -4.177
ENSG00000091844	0.066	0.098	   -2.156
ENSG00000283399	0.050	0.097	   -0.479
ENSG00000078808	0.070	0.097	    0.000
ENSG00000269737	0.061	0.096	   -0.120
ENSG00000078237	0.096	0.096	    3.205
ENSG00000266289	0.057	0.096	   -2.985
ENSG00000108474	0.031	0.096	    2.683
ENSG00000213398	0.076	0.095	   -5.313
ENSG00000105705	0.064	0.095	   -3.042
ENSG00000140022	0.048	0.095	   -4.335
ENSG00000267127	0.057	0.095	    2.365
ENSG00000275784	0.094	0.094	   -5.029
ENSG00000104427	0.045	0.093	   -3.209
ENSG00000214226	0.054	0.092	   -3.344
ENSG00000106018	0.045	0.092	   -3.419
ENSG00000106605	0.055	0.092	    3.175
ENSG00000214293	0.025	0.091	   -2.319
ENSG00000233461	0.091	0.091	    5.029
ENSG00000261783	0.074	0.091	    2.987
ENSG00000122756	0.064	0.091	    3.873
ENSG00000160602	0.061	0.090	    5.119
ENSG00000237181	0.020	0.090	    3.062
ENSG00000147548	0.038	0.089	   -0.366
ENSG00000203804	0.011	0.088	    1.288
ENSG00000235374	0.088	0.088	   -2.420
ENSG00000149100	0.042	0.088	   -3.960
ENSG00000175841	0.087	0.087	   -3.643
ENSG00000187889	0.067	0.086	   -3.462
ENSG00000055044	0.021	0.086	    8.004
ENSG00000245614	0.047	0.086	    3.153
ENSG00000256229	0.081	0.086	   -3.534
ENSG00000174943	0.013	0.085	    2.718
ENSG00000265678	0.016	0.085	   -1.238
ENSG00000141127	0.010	0.085	   -1.813
ENSG00000253958	0.029	0.084	   -2.889
ENSG00000164010	0.063	0.084	   -1.407
ENSG00000178917	0.067	0.083	    4.364
ENSG00000256274	0.019	0.082	   -2.480
ENSG00000275074	0.065	0.082	   -3.181
ENSG00000011021	0.030	0.081	    2.483
