Gene	GRCP	GLCP	TWAS_z
ENSG00000138246	0.851	1.000	    8.264
ENSG00000158457	0.775	0.995	    6.556
ENSG00000226334	0.945	0.973	    0.000
ENSG00000164938	0.091	0.953	   -1.023
ENSG00000117834	0.896	0.896	    5.340
ENSG00000132793	0.371	0.832	   -4.353
ENSG00000239282	0.631	0.823	    2.228
ENSG00000174332	0.583	0.817	    6.529
ENSG00000143850	0.520	0.813	    0.204
ENSG00000143153	0.664	0.808	    0.523
ENSG00000159884	0.500	0.797	    0.000
ENSG00000238120	0.568	0.789	   -4.599
ENSG00000089693	0.751	0.751	    1.006
ENSG00000176623	0.633	0.736	    4.744
ENSG00000144746	0.722	0.729	    5.669
ENSG00000125510	0.530	0.719	   -4.761
ENSG00000171700	0.510	0.695	   -5.015
ENSG00000230710	0.679	0.688	   -4.525
ENSG00000260077	0.630	0.673	   -0.218
ENSG00000254855	0.668	0.668	    9.680
ENSG00000118690	0.180	0.667	   -4.718
ENSG00000134825	0.355	0.665	    7.444
ENSG00000153044	0.045	0.654	    2.036
ENSG00000167525	0.503	0.653	   -1.703
ENSG00000204622	0.189	0.652	   -6.616
ENSG00000171792	0.522	0.642	    0.000
ENSG00000085788	0.447	0.610	   -6.864
ENSG00000112787	0.420	0.601	    7.495
ENSG00000142494	0.473	0.597	    0.249
ENSG00000100170	0.152	0.595	    0.447
ENSG00000163406	0.171	0.566	    7.037
ENSG00000168913	0.200	0.549	    0.000
ENSG00000162994	0.535	0.539	    4.058
ENSG00000131196	0.493	0.536	    2.674
ENSG00000205356	0.120	0.533	   -7.951
ENSG00000203327	0.531	0.531	    4.091
ENSG00000233006	0.348	0.524	    1.063
ENSG00000131067	0.267	0.507	   -3.085
ENSG00000228782	0.489	0.506	    6.289
ENSG00000120688	0.478	0.506	    4.627
ENSG00000134056	0.062	0.500	    5.911
ENSG00000254088	0.125	0.480	    4.451
ENSG00000126746	0.479	0.479	    2.774
ENSG00000198860	0.324	0.468	    0.747
ENSG00000175279	0.411	0.466	   -4.390
ENSG00000072736	0.413	0.465	   -4.627
ENSG00000274080	0.063	0.457	  -13.143
ENSG00000005187	0.197	0.449	    6.067
ENSG00000184983	0.228	0.447	   -0.922
ENSG00000167264	0.380	0.446	   -5.411
ENSG00000131435	0.189	0.433	    0.000
ENSG00000175170	0.003	0.433	    3.877
ENSG00000273456	0.337	0.427	    8.310
ENSG00000159322	0.426	0.426	   -0.370
ENSG00000206573	0.294	0.420	   -4.186
ENSG00000241563	0.332	0.419	    4.371
ENSG00000167476	0.273	0.418	    1.815
ENSG00000140153	0.104	0.417	   -6.698
ENSG00000180535	0.234	0.412	   -4.792
ENSG00000114054	0.322	0.393	    4.540
ENSG00000180257	0.120	0.392	   -4.320
ENSG00000184232	0.386	0.386	    6.479
ENSG00000226261	0.184	0.382	    8.214
ENSG00000261104	0.288	0.379	   -4.866
ENSG00000186448	0.184	0.375	    4.035
ENSG00000197943	0.145	0.374	    3.662
ENSG00000112149	0.191	0.368	   -0.990
ENSG00000159596	0.214	0.367	   -0.355
ENSG00000124780	0.210	0.359	    0.000
ENSG00000127080	0.147	0.359	    0.327
ENSG00000095932	0.358	0.359	    3.832
ENSG00000129932	0.349	0.352	    3.832
ENSG00000185100	0.164	0.351	    0.000
ENSG00000115687	0.035	0.346	    1.510
ENSG00000104228	0.220	0.343	   -0.691
ENSG00000179428	0.213	0.341	   -0.202
ENSG00000235413	0.156	0.340	    6.024
ENSG00000198610	0.136	0.339	   -4.040
ENSG00000180834	0.252	0.338	    0.000
ENSG00000170425	0.262	0.333	    0.829
ENSG00000120451	0.328	0.330	   -1.717
ENSG00000204977	0.175	0.323	    4.205
ENSG00000103227	0.313	0.321	    4.167
ENSG00000071626	0.071	0.319	    2.793
ENSG00000243955	0.166	0.316	    4.884
ENSG00000213801	0.112	0.314	   -5.163
ENSG00000168026	0.140	0.312	    4.294
ENSG00000137817	0.173	0.310	   -6.783
ENSG00000280374	0.186	0.310	   -0.224
ENSG00000183172	0.268	0.309	    4.934
ENSG00000139168	0.222	0.309	    4.143
ENSG00000206869	0.037	0.308	   -0.840
ENSG00000066933	0.160	0.307	    6.770
ENSG00000005513	0.139	0.303	    0.890
ENSG00000174156	0.130	0.303	   -5.099
ENSG00000115828	0.022	0.302	   -3.305
ENSG00000122026	0.233	0.299	   -4.553
ENSG00000125124	0.297	0.298	    0.000
ENSG00000214435	0.297	0.297	   -3.128
ENSG00000272156	0.198	0.295	   -1.299
ENSG00000012223	0.182	0.294	    4.783
ENSG00000272966	0.178	0.292	    8.156
ENSG00000275413	0.074	0.290	   -4.004
ENSG00000271390	0.272	0.290	   -0.707
ENSG00000130518	0.189	0.287	   -2.395
ENSG00000140463	0.215	0.287	   -3.748
ENSG00000182054	0.185	0.287	   -5.460
ENSG00000198945	0.281	0.281	    2.908
ENSG00000274979	0.254	0.281	    0.000
ENSG00000171940	0.266	0.280	   -4.702
ENSG00000197670	0.270	0.280	   -4.733
ENSG00000117505	0.196	0.277	   -4.862
ENSG00000149679	0.222	0.277	   -2.728
ENSG00000183423	0.096	0.276	   -3.900
ENSG00000168826	0.151	0.273	    3.357
ENSG00000134874	0.206	0.273	    5.720
ENSG00000196950	0.160	0.268	   -3.684
ENSG00000189266	0.087	0.265	    0.702
ENSG00000011021	0.097	0.264	    3.378
ENSG00000099917	0.194	0.256	   -0.186
ENSG00000182873	0.212	0.256	    5.578
ENSG00000205702	0.045	0.256	    2.378
ENSG00000105376	0.092	0.250	   -3.510
ENSG00000237181	0.053	0.250	    1.194
ENSG00000171488	0.131	0.250	    4.222
ENSG00000213347	0.163	0.249	    0.000
ENSG00000166436	0.190	0.248	    0.551
ENSG00000039319	0.104	0.244	   -3.745
ENSG00000129673	0.157	0.243	    5.037
ENSG00000253878	0.023	0.241	   -6.926
ENSG00000175105	0.066	0.240	   -3.069
ENSG00000167785	0.164	0.238	   -3.543
ENSG00000122870	0.061	0.234	   -8.638
ENSG00000101161	0.086	0.234	    2.875
ENSG00000245958	0.109	0.233	    4.518
ENSG00000189339	0.198	0.233	    0.053
ENSG00000170430	0.142	0.230	   -2.078
ENSG00000121989	0.211	0.228	    8.584
ENSG00000259087	0.028	0.227	    0.000
ENSG00000121380	0.173	0.227	   -3.994
ENSG00000100614	0.163	0.225	    1.171
ENSG00000106723	0.092	0.224	    0.000
ENSG00000182264	0.221	0.221	   -1.101
ENSG00000164112	0.129	0.219	   -3.781
ENSG00000099889	0.216	0.217	    3.644
ENSG00000157800	0.174	0.216	    0.754
ENSG00000244067	0.144	0.209	    4.946
ENSG00000184990	0.153	0.209	    1.259
ENSG00000183020	0.026	0.206	   -0.024
ENSG00000121101	0.100	0.205	    6.020
ENSG00000172795	0.173	0.205	   -4.178
ENSG00000213398	0.115	0.203	   -5.212
ENSG00000181915	0.201	0.201	    5.142
ENSG00000085719	0.106	0.201	   -1.009
ENSG00000141127	0.200	0.200	   -4.032
ENSG00000275437	0.057	0.196	   -4.146
ENSG00000008988	0.111	0.196	    3.605
ENSG00000147535	0.137	0.195	   -6.633
ENSG00000162066	0.192	0.192	    3.439
ENSG00000258811	0.183	0.189	   -3.693
ENSG00000230074	0.021	0.186	    1.602
ENSG00000275426	0.020	0.186	   -1.877
ENSG00000129514	0.039	0.180	   -4.671
ENSG00000133477	0.152	0.180	    1.073
ENSG00000109991	0.052	0.179	    4.506
ENSG00000140092	0.174	0.174	    0.320
ENSG00000128891	0.160	0.170	    1.961
ENSG00000248333	0.166	0.170	    0.911
ENSG00000075413	0.078	0.169	   -4.982
ENSG00000241350	0.090	0.169	    3.290
ENSG00000233448	0.125	0.168	   -3.373
ENSG00000054690	0.167	0.168	    3.318
ENSG00000244509	0.068	0.168	    2.140
ENSG00000162613	0.168	0.168	   -0.529
ENSG00000125337	0.166	0.166	    0.000
ENSG00000122515	0.163	0.164	    4.233
ENSG00000283399	0.130	0.163	   -4.209
ENSG00000276073	0.147	0.162	    0.000
ENSG00000135211	0.066	0.161	   -1.428
ENSG00000214226	0.090	0.160	   -3.383
ENSG00000198467	0.060	0.159	   -4.381
ENSG00000118263	0.057	0.159	   -3.498
ENSG00000204713	0.015	0.158	   -5.199
ENSG00000115947	0.081	0.158	    8.575
ENSG00000177830	0.073	0.156	   -4.022
ENSG00000101782	0.092	0.154	   -0.536
ENSG00000237707	0.120	0.153	   -0.456
ENSG00000259488	0.049	0.150	   -2.757
ENSG00000149084	0.146	0.149	    0.000
ENSG00000160602	0.094	0.147	    5.101
ENSG00000283375	0.146	0.146	    0.000
ENSG00000254352	0.123	0.145	   -3.650
ENSG00000243176	0.044	0.145	    4.167
ENSG00000178966	0.128	0.142	    3.718
ENSG00000242435	0.080	0.142	    2.395
ENSG00000149927	0.032	0.142	    0.000
ENSG00000104427	0.077	0.142	    1.956
ENSG00000278570	0.130	0.140	   -6.438
ENSG00000213918	0.098	0.139	    0.000
ENSG00000171421	0.111	0.139	    0.490
ENSG00000270951	0.040	0.139	    0.000
ENSG00000178752	0.105	0.136	    3.187
ENSG00000166166	0.103	0.136	   -5.040
ENSG00000278356	0.087	0.135	   -1.559
ENSG00000103067	0.068	0.135	   -5.355
ENSG00000090382	0.106	0.135	    0.000
ENSG00000272871	0.134	0.134	    4.165
ENSG00000203804	0.057	0.134	   -5.935
ENSG00000114770	0.116	0.133	    1.173
ENSG00000028528	0.094	0.133	   -0.723
ENSG00000186684	0.133	0.133	    0.000
ENSG00000228701	0.104	0.133	    0.000
ENSG00000243811	0.076	0.130	    0.900
ENSG00000134222	0.093	0.129	    3.597
ENSG00000179021	0.053	0.129	    3.711
ENSG00000104361	0.116	0.129	    0.251
ENSG00000105926	0.080	0.129	   -3.367
ENSG00000265678	0.025	0.128	   -2.652
ENSG00000166165	0.095	0.126	   -5.270
ENSG00000237039	0.058	0.126	    2.602
ENSG00000151366	0.058	0.125	   -3.282
ENSG00000140022	0.065	0.121	   -4.470
