Gene	GRCP	GLCP	TWAS_z
ENSG00000260404	0.090	1.000	    4.657
ENSG00000230626	0.714	0.990	   -6.686
ENSG00000164749	0.178	0.989	    2.441
ENSG00000255320	0.746	0.971	    5.632
ENSG00000226334	0.929	0.966	    0.000
ENSG00000158865	0.552	0.960	   -2.973
ENSG00000138246	0.795	0.927	    6.239
ENSG00000185499	0.059	0.923	  -16.043
ENSG00000009950	0.849	0.921	  -12.952
ENSG00000131435	0.456	0.918	    7.186
ENSG00000274080	0.809	0.915	  -12.984
ENSG00000137204	0.661	0.912	   -9.186
ENSG00000143595	0.767	0.911	    0.000
ENSG00000262888	0.707	0.910	   -0.305
ENSG00000146215	0.700	0.888	   -9.242
ENSG00000176623	0.303	0.887	    4.823
ENSG00000229258	0.324	0.867	   -0.666
ENSG00000057252	0.381	0.866	   -3.667
ENSG00000165959	0.591	0.848	    1.228
ENSG00000185262	0.522	0.847	    2.885
ENSG00000122376	0.566	0.822	   -8.190
ENSG00000132510	0.661	0.820	   -0.840
ENSG00000071626	0.111	0.812	   -5.443
ENSG00000103351	0.802	0.805	    3.867
ENSG00000214146	0.228	0.792	    0.193
ENSG00000229951	0.786	0.789	    5.162
ENSG00000113742	0.401	0.779	   -2.042
ENSG00000144746	0.596	0.779	    0.000
ENSG00000174332	0.636	0.778	    6.392
ENSG00000143850	0.349	0.769	    2.531
ENSG00000170145	0.746	0.746	   -5.700
ENSG00000152942	0.220	0.745	   -2.698
ENSG00000085719	0.151	0.742	   -4.155
ENSG00000120688	0.660	0.723	    4.485
ENSG00000230710	0.560	0.707	   -4.180
ENSG00000132170	0.237	0.705	   -6.211
ENSG00000101003	0.701	0.701	   -5.603
ENSG00000132906	0.344	0.690	   -8.928
ENSG00000155893	0.539	0.685	    2.402
ENSG00000189319	0.203	0.657	   -7.199
ENSG00000171700	0.275	0.635	   -4.955
ENSG00000279699	0.185	0.635	    1.194
ENSG00000273396	0.634	0.634	    4.471
ENSG00000230795	0.629	0.629	   -7.689
ENSG00000197822	0.177	0.626	   -2.414
ENSG00000237159	0.568	0.610	    4.373
ENSG00000168356	0.253	0.600	    4.648
