Gene	GRCP	GLCP	TWAS_z
ENSG00000115596	0.967	0.986	    5.478
ENSG00000226334	0.914	0.959	    4.509
ENSG00000233006	0.228	0.751	    7.002
ENSG00000149485	0.321	0.693	   -7.443
ENSG00000238120	0.280	0.565	   -4.852
ENSG00000134824	0.134	0.560	    7.458
ENSG00000125510	0.269	0.554	   -4.930
ENSG00000125124	0.211	0.535	   -1.958
ENSG00000118690	0.080	0.485	   -4.527
ENSG00000172795	0.129	0.473	   -4.186
ENSG00000270951	0.350	0.461	   -2.267
ENSG00000163684	0.191	0.459	    4.834
ENSG00000134825	0.156	0.438	    7.378
ENSG00000167984	0.222	0.431	   -1.345
ENSG00000005189	0.208	0.430	    5.715
ENSG00000162994	0.415	0.415	    4.085
ENSG00000245958	0.056	0.407	    0.000
ENSG00000174332	0.222	0.396	    6.558
ENSG00000167525	0.393	0.393	    0.293
ENSG00000214941	0.126	0.371	   -4.184
ENSG00000121101	0.107	0.371	    5.704
ENSG00000274031	0.117	0.370	   -0.361
ENSG00000011295	0.074	0.369	   -4.047
ENSG00000160606	0.237	0.349	   -1.956
ENSG00000259630	0.203	0.348	   -5.604
ENSG00000085788	0.149	0.346	   -6.600
ENSG00000278356	0.174	0.326	   -2.112
ENSG00000283050	0.057	0.323	    4.456
ENSG00000072682	0.014	0.321	    6.308
ENSG00000170425	0.216	0.309	   -1.514
ENSG00000249244	0.042	0.298	    4.433
ENSG00000043514	0.019	0.296	    1.417
ENSG00000280383	0.043	0.292	   -4.125
ENSG00000185100	0.123	0.291	   -1.800
ENSG00000273619	0.290	0.290	   -0.679
ENSG00000082397	0.138	0.258	    3.168
ENSG00000265678	0.039	0.257	   -3.431
ENSG00000106603	0.082	0.253	   -3.893
ENSG00000101773	0.107	0.249	   -3.671
ENSG00000213347	0.127	0.248	   -0.008
ENSG00000180245	0.057	0.247	   -3.711
ENSG00000183172	0.185	0.242	    4.942
ENSG00000148814	0.130	0.234	    3.973
ENSG00000243176	0.023	0.229	    4.191
ENSG00000275437	0.225	0.226	   -4.264
ENSG00000164626	0.094	0.226	   -5.986
ENSG00000107105	0.184	0.224	   -4.025
ENSG00000232046	0.027	0.218	    4.343
ENSG00000182873	0.078	0.211	    4.660
ENSG00000105889	0.094	0.211	    0.822
ENSG00000149716	0.112	0.210	    5.396
ENSG00000159884	0.101	0.205	   -1.544
ENSG00000133812	0.008	0.203	    4.100
ENSG00000227775	0.189	0.202	   -4.419
ENSG00000279347	0.102	0.195	    3.432
ENSG00000169710	0.031	0.194	    3.467
ENSG00000134222	0.032	0.192	    3.759
ENSG00000173598	0.066	0.188	    1.447
ENSG00000105926	0.088	0.187	    0.000
ENSG00000149927	0.085	0.187	   -0.593
ENSG00000276073	0.095	0.186	    0.000
ENSG00000237037	0.012	0.179	   -0.710
ENSG00000125337	0.168	0.176	   -0.948
