Gene	GRCP	GLCP	TWAS_z
ENSG00000260404	0.102	0.997	    4.578
ENSG00000142733	0.597	0.981	    0.859
ENSG00000142765	0.954	0.977	   -1.367
ENSG00000226334	0.939	0.970	    0.127
ENSG00000185262	0.402	0.965	    0.992
ENSG00000253878	0.364	0.961	    0.000
ENSG00000143595	0.791	0.931	   -5.918
ENSG00000157168	0.921	0.921	   -7.818
ENSG00000166347	0.283	0.911	   -0.053
ENSG00000242779	0.721	0.909	   -3.074
ENSG00000187860	0.708	0.896	    3.884
ENSG00000130518	0.684	0.872	   -0.318
ENSG00000025039	0.867	0.867	    5.736
ENSG00000132510	0.655	0.845	   -4.814
ENSG00000213793	0.657	0.814	   -5.197
ENSG00000113742	0.405	0.794	   -1.676
ENSG00000125510	0.635	0.792	    0.000
ENSG00000176623	0.381	0.787	    4.520
ENSG00000197375	0.332	0.778	   -4.080
ENSG00000278356	0.524	0.773	    4.431
ENSG00000134824	0.480	0.767	    6.046
ENSG00000233461	0.609	0.758	    4.958
ENSG00000143153	0.566	0.757	    0.638
ENSG00000122376	0.592	0.753	   -8.089
ENSG00000180257	0.333	0.742	   -5.521
ENSG00000120688	0.712	0.732	    4.476
ENSG00000130723	0.728	0.728	   -6.716
ENSG00000037280	0.236	0.709	   -4.439
ENSG00000277481	0.362	0.708	   -2.311
ENSG00000171792	0.545	0.694	   -0.267
ENSG00000224796	0.685	0.686	   -2.106
ENSG00000126746	0.685	0.685	    1.981
ENSG00000170091	0.071	0.662	   -5.888
ENSG00000173171	0.004	0.656	  -12.692
ENSG00000233006	0.070	0.646	    6.117
ENSG00000100994	0.394	0.645	    4.372
ENSG00000170004	0.548	0.628	    0.000
ENSG00000131196	0.622	0.622	   -2.260
ENSG00000204622	0.611	0.612	   -9.072
ENSG00000138246	0.541	0.610	    8.250
ENSG00000159596	0.463	0.606	    0.000
ENSG00000206573	0.463	0.588	   -3.330
ENSG00000167525	0.436	0.583	   -1.494
ENSG00000213801	0.070	0.574	   -2.739
ENSG00000129646	0.041	0.569	    3.158
ENSG00000243176	0.486	0.565	    4.974
ENSG00000109113	0.124	0.561	   -1.368
ENSG00000241563	0.403	0.561	    4.472
ENSG00000104228	0.532	0.536	    0.000
ENSG00000072736	0.499	0.534	   -4.634
ENSG00000116711	0.432	0.534	   -4.333
ENSG00000143801	0.307	0.529	    2.092
ENSG00000168297	0.054	0.520	    4.716
ENSG00000175279	0.374	0.516	   -4.397
ENSG00000106635	0.054	0.505	    0.283
ENSG00000267270	0.504	0.505	    1.669
ENSG00000162994	0.505	0.505	    4.026
ENSG00000115760	0.251	0.504	   -0.126
ENSG00000273456	0.412	0.502	    8.286
ENSG00000172059	0.048	0.502	    0.292
ENSG00000121101	0.207	0.501	    5.762
ENSG00000263293	0.264	0.501	    6.284
ENSG00000106638	0.032	0.487	    0.519
ENSG00000103227	0.425	0.469	    4.505
ENSG00000273759	0.335	0.463	    1.380
ENSG00000109016	0.081	0.462	   -1.365
ENSG00000100197	0.131	0.444	   -2.629
ENSG00000149485	0.076	0.443	    5.854
ENSG00000134825	0.133	0.442	    6.504
ENSG00000158865	0.277	0.441	   -2.956
ENSG00000171695	0.144	0.433	    3.249
ENSG00000085788	0.191	0.433	   -6.754
ENSG00000163050	0.362	0.433	    4.974
ENSG00000110583	0.429	0.431	    4.095
ENSG00000121989	0.236	0.429	    0.585
ENSG00000158234	0.370	0.425	   -4.624
ENSG00000134077	0.216	0.418	   -0.277
ENSG00000170234	0.260	0.408	   -3.934
ENSG00000186831	0.190	0.403	   -4.479
ENSG00000157933	0.012	0.399	    3.726
ENSG00000165752	0.320	0.397	   -4.195
ENSG00000259514	0.268	0.396	    6.662
ENSG00000265678	0.063	0.389	   -3.556
ENSG00000181915	0.111	0.385	    5.540
ENSG00000205716	0.330	0.381	    0.880
ENSG00000170185	0.278	0.380	   -7.007
ENSG00000066654	0.225	0.375	   -2.523
ENSG00000168026	0.200	0.370	    4.331
