Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.75052715493618	0.633486496526409	4.34188758563619	1.41263810031968e-05	1.50891643705196	3.9921378728204	1	GO:0048771	10	0.9
2	a1	2.809866998451	0.66997002918661	4.19401895016464	2.74055072077049e-05	1.49674987052399	4.122984126378	1	GO:0000389	6	1
3	a1	2.70450918032541	0.650588258599178	4.15702119516982	3.22424087821582e-05	1.42937962470639	3.97963873594443	1	GO:0045839	8	1
4	a1	2.36678256143156	0.569864375066443	4.15323832298801	3.27803023996543e-05	1.24986891022891	3.48369621263422	1	GO:0061025	39	0.769230769230769
5	a1	2.49797067216229	0.625363333654802	3.99443097753019	6.48498093176394e-05	1.27228106094697	3.72366028337761	1	GO:0061003	18	0.722222222222222
6	a1	2.40121506028878	0.621350459877733	3.86450999128782	0.000111312433879238	1.18339053715102	3.61903958342654	1	GO:0042176	19	0.842105263157895
7	a1	2.93030566907188	0.76014256749178	3.85494221003952	0.000115756969904686	1.44045361367218	4.42015772447157	1	GO:0060435	5	0.8
8	a1	2.50980762129137	0.673703751591186	3.72538762826181	0.000195015313815346	1.18937253192313	3.83024271065962	1	GO:0043304	10	0.8
9	a1	2.4058870953474	0.646229033806535	3.72296348428638	0.000196898007858474	1.13930146332248	3.67247272737232	1	GO:0055091	17	0.705882352941177
10	a1	2.4058870953474	0.646229033806535	3.72296348428638	0.000196898007858474	1.13930146332248	3.67247272737232	1	GO:0043129	16	0.75
11	a1	2.31298565052987	0.635956184222499	3.63702045504544	0.000275810035819177	1.06653443370826	3.55943686735149	1	GO:0050765	18	0.833333333333333
12	a1	2.16890852765401	0.602812331397613	3.59798301176988	0.000320694560057966	0.987418068678061	3.35039898662995	1	GO:0001578	32	0.78125
13	a1	2.247454251769	0.62609655754229	3.58962882752665	0.000331149144685551	1.0203275481416	3.4745809553964	1	GO:0045022	24	0.75
14	a1	2.044241837399	0.616807700633365	3.31422878686483	0.000918962815577638	0.835320958770642	3.25316271602736	1	GO:0032743	36	0.722222222222222
15	a1	2.55562286539574	0.779141983920802	3.28004769109646	0.00103789540302048	1.02853263806788	4.0827130927236	1	GO:1903241	3	1
16	a1	2.07396892164822	0.651065534626972	3.18549947945948	0.001445043638538	0.797903922204044	3.3500339210924	1	GO:1903861	24	0.75
17	a1	1.85528082276033	0.589620106192835	3.14656980532744	0.00165197822783035	0.699646650061694	3.01091499545897	1	GO:0071363	68	0.720588235294118
18	a1	1.99519963344876	0.680471865714328	2.93208247684758	0.00336697316284332	0.661499284155901	3.32889998274162	1	GO:0007405	18	0.833333333333333
19	a1	1.86039795647798	0.668995555921408	2.78088238406255	0.0054211373881715	0.549190761054668	3.17160515190129	1	GO:0050860	27	0.814814814814815
