Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.72790248962794	0.562096700913835	4.85308397148216	1.21556189727952e-06	1.62621320000804	3.82959177924783	1	GO:0042953	18	0.777777777777778
2	a1	2.51270922373763	0.52231020377673	4.81076035958839	1.5035720319297e-06	1.48900003557746	3.5364184118978	1	GO:0048008	29	0.827586206896552
3	a1	2.49595789297715	0.548675533702864	4.54905994464998	5.38860928005552e-06	1.42057360772124	3.57134217823305	1	GO:0042176	19	0.894736842105263
4	a1	2.19690889010577	0.487321638704009	4.5081291607495	6.54017595927646e-06	1.24177602935888	3.15204175085267	1	GO:0043434	61	0.721311475409836
5	a1	2.53701095560996	0.575888504449834	4.40538565365818	1.05595843090035e-05	1.40829022777765	3.66573168344227	1	GO:0003203	18	0.888888888888889
6	a1	1.90877220930429	0.453417990705756	4.20974078759698	2.55663840646572e-05	1.02008927757849	2.79745514103009	1	GO:0007517	108	0.703703703703704
7	a1	1.32716314863171	0.319372010724953	4.15553994734586	3.24520235603282e-05	0.701205509940664	1.95312078732276	1	GO:0007155	708	0.727401129943503
8	a1	1.74428770605147	0.431281079898278	4.04443363586197	5.24497623321931e-05	0.898992322237304	2.58958308986564	1	GO:0008283	159	0.773584905660377
9	a1	2.11951450093955	0.535872811772864	3.95525664742612	7.64525345933184e-05	1.06922308957052	3.16980591230857	1	GO:0030522	41	0.731707317073171
10	a1	2.46266528835123	0.644695526511586	3.81988890426552	0.00013351179561422	1.19908527539443	3.72624530130802	1	GO:0071305	10	0.7
11	a1	2.46232271453164	0.644729465757726	3.81915647617837	0.000133908802093456	1.19867618187475	3.72596924718854	1	GO:0086100	9	0.777777777777778
12	a1	2.53565590175589	0.665922997884544	3.80773138908098	0.000140247490215413	1.23047080942524	3.84084099408654	1	GO:0003272	10	0.7
13	a1	2.22579003533902	0.588892917243924	3.77961760137298	0.000157069395734508	1.0715811267902	3.37999894388784	1	GO:0035050	23	0.739130434782609
14	a1	2.14187884106967	0.574487974976532	3.72832667412606	0.000192755411824498	1.01590310056432	3.26785458157502	1	GO:0006796	30	0.7
15	a1	2.34429163272712	0.628840895521044	3.72795670482705	0.000193038529831904	1.11178612549996	3.57679713995429	1	GO:0032835	9	1
16	a1	2.09752947059528	0.563219132981335	3.72418007089398	0.000195951030028552	0.993640254547984	3.20141868664257	1	GO:0001954	27	0.888888888888889
17	a1	2.33966927567706	0.629383186133215	3.71740034882636	0.000201283341097743	1.10610089838089	3.57323765297323	1	GO:0042058	10	0.9
18	a1	2.33938661129903	0.629415629056883	3.71675964704654	0.000201794247494384	1.10575464704092	3.57301857555715	1	GO:0043304	10	0.9
19	a1	1.83883287182952	0.503686459057952	3.65074906970638	0.000261476605713337	0.851625552575423	2.82604019108361	1	GO:0001938	73	0.780821917808219
20	a1	2.27177976549554	0.625692539479608	3.63082444196153	0.000282517314475956	1.0454449227201	3.49811460827098	1	GO:0086009	12	0.833333333333333
21	a1	1.43835710029357	0.409136191047672	3.51559488445737	0.000438769941685654	0.636464901068233	2.2402492995189	1	GO:0030335	258	0.786821705426357
22	a1	2.31431717668936	0.663203000739249	3.48960600918523	0.000483733153432444	1.01446318080154	3.61417117257718	1	GO:0045839	8	0.875
23	a1	2.12739972071766	0.614557176936631	3.46167907650524	0.000536816855824962	0.922889787481259	3.33190965395407	1	GO:0034453	16	0.8125
24	a1	1.6181726209946	0.471574567604933	3.43142470386622	0.000600419785268413	0.69390345246388	2.54244178952531	1	GO:0030336	126	0.753968253968254
25	a1	1.93233002305046	0.569199362449743	3.39482113039274	0.000686734507275119	0.816719772625805	3.04794027347512	1	GO:0031116	31	0.903225806451613
26	a1	2.4261583465339	0.72063616482935	3.36668969022451	0.000760762406428702	1.01373741751131	3.8385792755565	1	GO:0048386	5	0.8
27	a1	2.40235984019411	0.722953394246788	3.32298023539543	0.000890612244837335	0.985397224969424	3.81932245541881	1	GO:0034197	4	1
28	a1	1.515153558803	0.460101113954716	3.29308822093425	0.000990933763054061	0.613371946205	2.41693517140101	1	GO:0007568	152	0.756578947368421
29	a1	2.01881885970575	0.613609220079089	3.29007256352104	0.00100161549264919	0.816166887769027	3.22147083164248	1	GO:0042474	20	0.75
30	a1	2.10632793854752	0.661709496108472	3.18316111667564	0.001456765285553	0.80940115794677	3.40325471914827	1	GO:2001028	10	0.9
31	a1	1.67870205544726	0.527430093033198	3.18279536496147	0.00145860661564052	0.64495806873958	2.71244604215494	1	GO:0060021	73	0.767123287671233
32	a1	2.02793574597507	0.639967740298266	3.16880932940451	0.00153064773613689	0.773622023722985	3.28224946822715	1	GO:0031065	15	0.866666666666667
33	a1	2.19758047806441	0.695507042142044	3.15968113176286	0.0015794189149672	0.834411724472025	3.5607492316568	1	GO:0000389	6	1
34	a1	1.9158512853209	0.614754959663655	3.11644705781488	0.00183044544431796	0.710953705062765	3.12074886557904	1	GO:2000773	21	0.80952380952381
35	a1	1.80961804438335	0.599767563691154	3.01719891827161	0.00255122337845161	0.634095220453356	2.98514086831335	1	GO:0043277	22	1
36	a1	1.80320456122557	0.600861664731561	3.00103113090293	0.00269067055483672	0.625537338660933	2.98087178379021	1	GO:0046676	30	0.733333333333333
37	a1	1.78118457312001	0.59757217746964	2.98070198090925	0.00287588515879846	0.609964627116336	2.95240451912368	1	GO:0001578	32	0.78125
38	a1	1.77750552614979	0.599815740953642	2.96341927159789	0.00304241853835987	0.601888276520445	2.95312277577914	1	GO:0032570	32	0.75
39	a1	2.02735587784798	0.685221401634446	2.95868732793834	0.00308952399710472	0.684346609208414	3.37036514648755	1	GO:0014824	9	0.888888888888889
40	a1	1.63459478298712	0.553083195841843	2.95542297302871	0.00312240654141882	0.550571638682795	2.71861792729145	1	GO:0008286	58	0.793103448275862
41	a1	1.72186105235832	0.593538911819731	2.90100786666078	0.00371964540278368	0.558546161768552	2.88517594294809	1	GO:0030501	39	0.743589743589744
42	a1	2.25836428654633	0.780565015268095	2.89324302572114	0.00381286151143562	0.728484969028911	3.78824360406376	1	GO:0060435	5	0.8
43	a1	2.01483377076366	0.700697295349069	2.87546959883715	0.00403426993500469	0.641492307814865	3.38817523371246	1	GO:0007260	8	0.875
44	a1	1.49395697624657	0.524156373291499	2.85021236480461	0.00436900472552727	0.466629362328099	2.52128459016504	1	GO:1990830	102	0.725490196078431
45	a1	2.21041093712238	0.783827398867641	2.82002254618257	0.00480202753868474	0.674137465246097	3.74668440899867	1	GO:0003207	3	1
46	a1	2.19911231066492	0.784691331645249	2.8025189293911	0.00507052407153085	0.661145561659459	3.73707905967038	1	GO:1903241	3	1
47	a1	1.91975762601472	0.687171925254851	2.79370788511586	0.00521075249143109	0.572925401328164	3.26658985070128	1	GO:0055008	11	0.818181818181818
48	a1	1.99745052083684	0.718300316294592	2.78080139396407	0.00542248994229667	0.589607770815708	3.40529327085797	1	GO:0003183	8	0.75
49	a1	1.78887405552067	0.651244975817708	2.74685275425663	0.00601701414408157	0.5124573578053	3.06529075323603	1	GO:0043149	17	0.882352941176471
50	a1	1.96728518418413	0.721573507410303	2.72638222437606	0.00640327999479126	0.553027097461694	3.38154327090657	1	GO:0002043	7	0.857142857142857
51	a1	1.80960261066362	0.664104195312782	2.72487754698091	0.00643253392456269	0.507982305868617	3.11122291545863	1	GO:0030949	14	0.928571428571429
52	a1	1.84215063065942	0.678583566197246	2.71469973990493	0.00663358841701569	0.51215128041207	3.17214998090678	1	GO:0034374	17	0.764705882352941
53	a1	1.64129707662555	0.613568833689168	2.67500072772116	0.00747290879753122	0.438724260558535	2.84386989269257	1	GO:0008016	35	0.714285714285714
54	a1	1.94152647461704	0.727118071547268	2.67016671788336	0.00758135935167085	0.516401241876182	3.36665170735791	1	GO:0060397	8	0.75
55	a1	1.81613477032214	0.682674502752771	2.66032313056791	0.00780657165423517	0.47811733176292	3.15415220888136	1	GO:0032480	14	0.785714285714286
56	a1	1.89119203207766	0.715112576853202	2.6446074272665	0.0081785741009591	0.489597136553754	3.29278692760157	1	GO:0035137	10	0.7
57	a1	1.36498604255386	0.520572491775373	2.62208638397062	0.00873932764987846	0.34468270733186	2.38528937777587	1	GO:0001503	109	0.752293577981651
58	a1	2.08055650607161	0.793722740394701	2.62126357251273	0.0087604503025395	0.524888521187562	3.63622449095566	1	GO:1904694	3	1
59	a1	1.82998856859696	0.698671892246151	2.6192388571891	0.00881262177409461	0.460616822784049	3.19936031440986	1	GO:0007167	10	0.9
60	a1	1.49161786988818	0.572971108129561	2.60330381187543	0.00923300943536624	0.368615133772233	2.61462060600412	1	GO:0009749	68	0.720588235294118
61	a1	1.52219392685186	0.595761863878638	2.55503753956623	0.0106176346385659	0.35452213028728	2.68986572341645	1	GO:0048706	43	0.813953488372093
62	a1	1.52721539416201	0.601787971154575	2.53779647876965	0.011155283596171	0.347732644369619	2.70669814395441	1	GO:1990573	45	0.711111111111111
63	a1	1.27930928563793	0.505399538981958	2.53128304828866	0.0113646098128959	0.288744391430147	2.26987417984571	1	GO:0007169	141	0.808510638297872
64	a1	1.46039793315483	0.579321809936471	2.52087511311715	0.0117063391341253	0.324948050220792	2.59584781608888	1	GO:0060348	69	0.72463768115942
65	a1	1.49377776856709	0.593455560236787	2.5170844603277	0.0118330459381655	0.330626244077943	2.65692929305623	1	GO:0007098	45	0.8
66	a1	1.14555040032618	0.455744848568677	2.51357838475613	0.0119513215877073	0.252306910991915	2.03879388966045	1	GO:0001701	235	0.812765957446808
67	a1	1.50535702221633	0.603471803883734	2.49449437824333	0.0126136724556683	0.322574020918796	2.68814002351387	1	GO:0003151	51	0.803921568627451
68	a1	1.46966651115099	0.592553104414856	2.4802275107516	0.0131298576331733	0.308283767570473	2.63104925473151	1	GO:0071466	45	0.822222222222222
69	a1	1.91295376822188	0.773023650534666	2.47463808759121	0.0133371250995897	0.397855253976257	3.4280522824675	1	GO:0035722	4	1
70	a1	1.10487658436159	0.44749447611804	2.46902843124737	0.0135480453823079	0.227803527889611	1.98194964083357	1	GO:0006897	265	0.811320754716981
71	a1	1.79009517204028	0.731205075986529	2.44814379827044	0.0143594334011025	0.356959557793814	3.22323078628675	1	GO:0033194	7	1
72	a1	1.16355922338732	0.476906050697854	2.4398080537764	0.0146950676406401	0.228840540010294	2.09827790676435	1	GO:0030036	197	0.817258883248731
73	a1	1.43664976639775	0.589605303549464	2.4366296533444	0.0148248538405206	0.281044606346994	2.59225492644851	1	GO:0071363	68	0.720588235294118
74	a1	1.38341270929698	0.570295186551464	2.42578359754775	0.0152753757283103	0.265654683099554	2.5011707354944	1	GO:0008217	79	0.721518987341772
75	a1	1.46045531350468	0.602130043494632	2.42548155383265	0.0152880926526142	0.280302114245669	2.6406085127637	1	GO:0042733	57	0.754385964912281
76	a1	1.93745136258614	0.805611938094585	2.40494370921135	0.0161749570595014	0.35848097840524	3.51642174676703	1	GO:0003171	4	0.75
