Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.8197424180744	0.654890126024174	4.30567251821768	1.66479187937945e-05	1.53618135723612	4.10330347891268	1	GO:2001028	10	0.7
2	a1	2.78872748595362	0.658272103553204	4.23643577010282	2.27095842903873e-05	1.49853787096192	4.07891710094532	1	GO:0045839	8	0.875
3	a1	2.73365040886913	0.66461358446602	4.11314254291908	3.90309212797407e-05	1.43103171967966	4.03626909805859	1	GO:0043304	10	0.7
4	a1	2.57653770736864	0.635980528876877	4.05128394719683	5.09373473308043e-05	1.33003877590123	3.82303663883606	1	GO:0030949	14	0.785714285714286
5	a1	2.27518229732233	0.607320178577582	3.7462649481713	0.000179487022903503	1.08485662022584	3.46550797441883	1	GO:0006796	30	0.766666666666667
6	a1	2.27838391564635	0.662481709656469	3.43916501004655	0.000583511449219181	0.979943624303147	3.57682420698955	1	GO:0006622	18	0.777777777777778
7	a1	1.97222959762989	0.600307325114907	3.28536653663584	0.00101849781502492	0.795648860749093	3.14881033451068	1	GO:0007098	45	0.777777777777778
8	a1	2.09962780035378	0.641329755320474	3.27386618652146	0.00106086836003674	0.842644577711767	3.3566110229958	1	GO:0045022	24	0.833333333333333
9	a1	2.501988699118	0.782693472137746	3.19663928240567	0.00139038681555053	0.967937682793418	4.03603971544259	1	GO:0060435	5	0.8
10	a1	2.14397398282038	0.683281572168459	3.13776058092167	0.0017024387336301	0.804766710070291	3.48318125557046	1	GO:0032480	14	0.857142857142857
11	a1	1.51114412588833	0.518742135215842	2.91309308286585	0.00357867909056835	0.494428223601875	2.52786002817479	1	GO:0030036	197	0.746192893401015
12	a1	2.0247382890607	0.759024532302853	2.6675531592078	0.00764058008780197	0.537077542364749	3.51239903575665	1	GO:0045639	4	1
13	a1	2.05111967355444	0.777265518632475	2.63889189007533	0.00831775015733907	0.527707250609939	3.57453209649893	1	GO:1903241	3	1
14	a1	2.05019657504979	0.777322484477619	2.63751096358364	0.00835169258075967	0.526672501100464	3.57372064899912	1	GO:1901534	3	1
15	a1	2.05019657504979	0.777322484477619	2.63751096358364	0.00835169258075967	0.526672501100464	3.57372064899912	1	GO:1904582	3	1
16	a1	2.05019657504979	0.777322484477619	2.63751096358364	0.00835169258075967	0.526672501100464	3.57372064899912	1	GO:1903843	3	1
17	a1	2.00302643177845	0.76091372388345	2.6323962479684	0.00847849142810374	0.511662937624637	3.49438992593227	1	GO:0060763	4	1
18	a1	1.97021089183432	0.748921792448189	2.63072981945658	0.00852017409299646	0.502351151398688	3.43807063226995	1	GO:0010830	6	0.833333333333333
19	a1	1.97009296407158	0.74893211522901	2.63053609801358	0.008525031549954	0.502212991357316	3.43797293678584	1	GO:0051891	7	0.714285714285714
20	a1	1.97009296407158	0.74893211522901	2.63053609801358	0.008525031549954	0.502212991357316	3.43797293678584	1	GO:1904358	5	1
21	a1	2.04313786570068	0.777810634768103	2.626780574053	0.00861968978582225	0.518657034762964	3.5676186966384	1	GO:0046886	3	1
22	a1	2.04188507823839	0.777905387003494	2.62485015832551	0.00866871070139959	0.517218536331845	3.56655162014493	1	GO:0042304	4	0.75
23	a1	1.96115093234177	0.749759318124411	2.61570731424554	0.00890428480630991	0.491649671744616	3.43065219293892	1	GO:0060119	7	0.714285714285714
24	a1	2.03540030874578	0.778424686863396	2.61476844593312	0.00892879648056114	0.509715957816652	3.5610846596749	1	GO:0010758	3	1
25	a1	1.95872780837099	0.749996147036815	2.61165049461892	0.00901063193480971	0.488762371635021	3.42869324510695	1	GO:0043619	6	0.833333333333333
26	a1	1.95604163712983	0.750263742681821	2.60713869783705	0.00913023688708503	0.485551722567235	3.42653155169242	1	GO:2000270	7	0.714285714285714
27	a1	2.02493405023751	0.779333841284661	2.59828836240396	0.00936897788450198	0.49746778938632	3.5524003110887	1	GO:0039534	4	0.75
28	a1	1.97994240386788	0.763243052123295	2.59411782178665	0.00948339818448332	0.484013510255794	3.47587129747997	1	GO:0072162	5	0.8
29	a1	2.01864328015554	0.779906684987735	2.58831385730113	0.00964470583259146	0.490054266277556	3.54723229403353	1	GO:0072277	3	1
30	a1	1.91542456764324	0.742206816740362	2.58071540767496	0.0098595824255332	0.460725937752008	3.37012319753447	1	GO:0000389	6	1
31	a1	1.91374492461258	0.742367178214774	2.5778953875826	0.00994040866366583	0.458731992006994	3.36875785721816	1	GO:0031442	6	1
32	a1	1.91374492461258	0.742367178214774	2.5778953875826	0.00994040866366583	0.458731992006994	3.36875785721816	1	GO:0002735	6	1
33	a1	1.91374492461258	0.742367178214774	2.5778953875826	0.00994040866366583	0.458731992006994	3.36875785721816	1	GO:0044806	7	0.857142857142857
34	a1	1.96959211138989	0.764330969223365	2.57688382480588	0.00996954517330506	0.471530939443503	3.46765328333628	1	GO:0034154	5	0.8
35	a1	1.93817185066479	0.752141885250301	2.57686998779465	0.00996994425398675	0.464000844310144	3.41234285701944	1	GO:1990592	5	1
36	a1	1.93817185066479	0.752141885250301	2.57686998779465	0.00996994425398675	0.464000844310144	3.41234285701944	1	GO:1902065	7	0.714285714285714
37	a1	2.01121478450921	0.780599237423276	2.57650108799509	0.00998058913967762	0.48126839280016	3.54116117621826	1	GO:0071226	4	0.75
38	a1	1.90894872579453	0.742840550554179	2.56979606777041	0.0101758398031923	0.453008000452437	3.36488945113663	1	GO:0032816	8	0.75
39	a1	1.90791494311128	0.742945277414084	2.56804235939425	0.0102274657452327	0.451768956895553	3.364060929327	1	GO:0042713	6	1
40	a1	2.00554017291285	0.781136709653494	2.56746373346413	0.0102445505093401	0.474540354989878	3.53653999083582	1	GO:0036510	3	1
41	a1	1.99921366720614	0.785368158551731	2.54557514897575	0.0109097878296254	0.459920361840199	3.53850697257207	1	GO:0003171	4	1
42	a1	1.8928385907207	0.744554423264199	2.54224342986549	0.0110143432888258	0.433538736592881	3.35213844484852	1	GO:0034080	7	0.857142857142857
43	a1	1.98275448818283	0.783339021529539	2.53115756229189	0.0113686766464767	0.447438218300084	3.51807075806557	1	GO:1904694	3	1
44	a1	1.88527550007177	0.745403846427397	2.52920012300392	0.0114322821140098	0.424310807136447	3.34624019300709	1	GO:0033601	8	0.75
45	a1	1.86241373516235	0.737492310220005	2.52533309073658	0.011558867413942	0.416955368255898	3.3078721020688	1	GO:0140059	7	1
46	a1	1.8605744119488	0.737679517073647	2.52219882602902	0.0116623769165688	0.414749126351556	3.30639969754605	1	GO:0030836	8	0.875
47	a1	1.90389044925357	0.755989105410715	2.51840990250676	0.0117886039364795	0.422179029943912	3.38560186856322	1	GO:0002732	5	1
48	a1	1.87621299574136	0.746446178999378	2.51352749672648	0.0119530459584153	0.413205368505036	3.33922062297768	1	GO:0071569	6	1
49	a1	1.89386389101005	0.757143054758219	2.50132901452133	0.0123728172475021	0.409890772539298	3.37783700948079	1	GO:1904382	5	1
50	a1	1.70253132341898	0.682483262505927	2.49461256700664	0.0126094724193523	0.364888708855964	3.04017393798199	1	GO:0031116	31	0.774193548387097
51	a1	1.91892242994357	0.769804933192282	2.4927385460964	0.0126762149333481	0.410132485765431	3.4277123741217	1	GO:0097053	4	1
52	a1	1.91892242994357	0.769804933192282	2.4927385460964	0.0126762149333481	0.410132485765431	3.4277123741217	1	GO:0070189	5	0.8
53	a1	1.84152348779556	0.739768662692211	2.48932346105846	0.0127986463635048	0.391603552027471	3.29144342356366	1	GO:0045652	8	0.875
