Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.61217102151929	0.487238480665446	5.36117553349178	8.26821255252753e-08	1.657201147533	3.56714089550558	1	GO:0001578	32	0.78125
2	a1	2.51422759853627	0.524702330141856	4.79172180892837	1.65356076118903e-06	1.48582992885398	3.54262526821855	1	GO:0048008	29	0.793103448275862
3	a1	2.65797865319046	0.557902594937243	4.76423425399096	1.89572172023725e-06	1.56450966023202	3.75144764614889	1	GO:0031065	15	0.866666666666667
4	a1	2.608816067321	0.576150620133378	4.52801051696702	5.95416189777711e-06	1.47958160218917	3.73805053245284	1	GO:0035909	16	0.75
5	a1	2.05781403106673	0.473722176903732	4.34392589453314	1.39958744668176e-05	1.1293356256575	2.98629243647596	1	GO:0009749	68	0.720588235294118
6	a1	2.26843852274681	0.534026033272624	4.24780512823568	2.15875040030053e-05	1.22176673072568	3.31511031476795	1	GO:0006796	30	0.766666666666667
7	a1	2.39493869596813	0.585178553942718	4.09266313645966	4.26447021878508e-05	1.24800980571518	3.54186758622109	1	GO:0055091	17	0.823529411764706
8	a1	2.32743574682448	0.576250208074355	4.03893259249664	5.36949918214184e-05	1.19800609291503	3.45686540073393	1	GO:0043149	17	0.941176470588235
9	a1	2.42645989901682	0.64477990747466	3.76323745651484	0.000167727801700989	1.16271450241141	3.69020529562222	1	GO:0071305	10	0.7
10	a1	2.4260539447288	0.644820823875047	3.762369103016	0.00016831140353962	1.16222835345226	3.68987953600534	1	GO:0150094	8	0.875
11	a1	1.80436889441428	0.480484066401301	3.75531473484341	0.000173123784130816	0.862637429122383	2.74610035970618	1	GO:0032355	95	0.778947368421053
12	a1	1.87019541342965	0.50554416757089	3.69937096182085	0.000216134495317386	0.879347052396421	2.86104377446287	1	GO:0031532	61	0.852459016393443
13	a1	2.3530852871329	0.637218167788622	3.69274670133616	0.000221844959837053	1.1041606279726	3.6020099462932	1	GO:0043304	10	0.8
14	a1	2.35173821254147	0.637367359191306	3.68976882582341	0.000224457927951411	1.10252114360511	3.60095528147784	1	GO:0042058	10	0.8
15	a1	1.29775716940907	0.355226679519084	3.65332122904171	0.000258870042138968	0.601525671203908	1.99398866761422	1	GO:0051301	433	0.785219399538106
16	a1	2.27259340358493	0.630323090575063	3.6054420940086	0.000311621973448367	1.03718284743383	3.50800395973604	1	GO:0070102	14	0.714285714285714
17	a1	2.24768367437649	0.624002173854058	3.60204462188649	0.00031572415229306	1.02466188734784	3.47070546140515	1	GO:0010867	14	0.714285714285714
18	a1	1.82570169545339	0.507966181492327	3.59414024392285	0.000325464503999435	0.830106274364095	2.82129711654269	1	GO:0001938	73	0.753424657534247
19	a1	1.67574604969725	0.473523235293993	3.53888874884216	0.000401815155974536	0.747657562678139	2.60383453671637	1	GO:0008203	111	0.711711711711712
20	a1	1.47948296669282	0.418828713061032	3.53242965574146	0.000411759757485389	0.658593773401936	2.3003721599837	1	GO:0030036	197	0.796954314720812
21	a1	2.50720708289232	0.710153554908854	3.53051402131488	0.000414753031774418	1.11533169177788	3.89908247400676	1	GO:0042159	5	0.8
22	a1	2.46657854340322	0.714009708001756	3.45454482727727	0.000551222571531878	1.06714523110782	3.86601185569863	1	GO:0060435	5	0.8
23	a1	2.09855475398807	0.613275280776199	3.42188054821321	0.000621896290984927	0.89655729105803	3.30055221691811	1	GO:0097242	14	0.928571428571429
24	a1	2.10869751972121	0.621542952134764	3.39268189346953	0.000692119631919704	0.89049571869237	3.32689932075005	1	GO:0034383	14	0.857142857142857
25	a1	1.77702393914328	0.524193046730405	3.3900181435585	0.000698879980325229	0.749624446605366	2.8044234316812	1	GO:0048812	68	0.764705882352941
26	a1	2.22008612958587	0.654928333795584	3.38981536608676	0.000699397116028115	0.936450182891696	3.50372207628004	1	GO:0043297	8	1
27	a1	2.03632094858992	0.61348872496671	3.31924755210525	0.000902603748335025	0.833905142733774	3.23873675444607	1	GO:0002028	19	0.736842105263158
28	a1	1.92243466087025	0.588745574258729	3.2653063478069	0.00109345745358776	0.768514539265786	3.07635478247471	1	GO:0043542	32	0.71875
29	a1	1.98983671864251	0.612169246384033	3.25046828209044	0.00115215119646076	0.790007043286774	3.18966639399824	1	GO:2000251	20	0.75
30	a1	1.51383193724655	0.465964722631426	3.24881233218158	0.00115887906755576	0.600557862822754	2.42710601167034	1	GO:0000226	150	0.72
31	a1	1.8310134356596	0.569024800187363	3.21780954899805	0.00129173557756481	0.71574532098227	2.94628155033693	1	GO:0008333	44	0.795454545454545
32	a1	2.2559715058656	0.706632634067997	3.19256626017716	0.00141014587598713	0.870996992791659	3.64094601893955	1	GO:0003015	7	0.714285714285714
33	a1	2.04612537658041	0.641851845190003	3.18784684022324	0.0014333643772193	0.788118876597424	3.30413187656339	1	GO:0070166	15	0.733333333333333
34	a1	2.12562035127798	0.667810384987061	3.18296989544294	0.00145772769692076	0.816736048201508	3.43450465435444	1	GO:0045839	8	1
35	a1	1.89780788739325	0.604097531585575	3.14155875196522	0.00168051088433127	0.713798482335973	3.08181729245052	1	GO:0043277	22	0.818181818181818
36	a1	1.89018726508608	0.605328183800383	3.12258261827339	0.00179271781731927	0.703765826010286	3.07660870416187	1	GO:0043647	23	0.782608695652174
37	a1	1.92026830686375	0.615651650832767	3.11908252705289	0.00181415141005499	0.7136132442089	3.1269233695186	1	GO:0032740	24	0.708333333333333
38	a1	1.91454980534607	0.616178360498646	3.10713573874407	0.00188909636106187	0.706862410715788	3.12223719997636	1	GO:0006998	21	0.761904761904762
39	a1	1.32301110855303	0.425955044174755	3.10598765443953	0.00189644633189762	0.488154562937345	2.15786765416872	1	GO:0030335	258	0.728682170542636
40	a1	1.43201596536255	0.466266279950916	3.07124067713689	0.00213171245367909	0.518150849453285	2.34588108127182	1	GO:0008283	159	0.742138364779874
41	a1	1.52621685931493	0.501949126247998	3.04058076706536	0.00236122352367297	0.542414649797501	2.51001906883235	1	GO:0032869	104	0.740384615384615
42	a1	1.92762529947326	0.640118208006909	3.01135833251045	0.0026008173208297	0.673016665931402	3.18223393301512	1	GO:0043129	16	0.8125
43	a1	2.04079826951476	0.679171722888568	3.00483397753235	0.00265725850213615	0.709646153335145	3.37195038569437	1	GO:2001028	10	0.8
44	a1	2.29440372932466	0.775787098343251	2.95751725470109	0.00310127391353553	0.77388895690105	3.81491850174826	1	GO:1905167	4	0.75
45	a1	1.84877511168143	0.627467428956077	2.94640809445242	0.00321487939902703	0.618961549455576	3.07858867390729	1	GO:0042176	19	0.842105263157895
46	a1	1.90097845364763	0.653735743067726	2.90786984466703	0.00363899758704631	0.619679941828357	3.1822769654669	1	GO:0015693	15	0.8
47	a1	1.89339733119591	0.654878060064214	2.89122120079921	0.00383747913059493	0.609859919204593	3.17693474318723	1	GO:0031023	13	0.923076923076923
48	a1	1.72522119994986	0.597999305143851	2.88498863645812	0.00391427790313974	0.553164099087936	2.89727830081179	1	GO:0031116	31	0.838709677419355
49	a1	1.50179264268691	0.522575350628992	2.87382985224866	0.00405527368364552	0.477563776245692	2.52602150912812	1	GO:0042632	93	0.752688172043011
