Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.38927417853015	0.761818650477195	3.13627682524383	0.00171107610294652	0.896137060843945	3.88241129621636	1	GO:0036101	5	1
2	a1	2.42641644410639	0.777612181069125	3.12034263759906	0.00180640785680792	0.902324575271266	3.95050831294151	1	GO:0042361	4	1
3	a1	2.42641644410639	0.777612181069125	3.12034263759906	0.00180640785680792	0.902324575271266	3.95050831294151	1	GO:0042376	4	1
4	a1	2.42641644410639	0.777612181069125	3.12034263759906	0.00180640785680792	0.902324575271266	3.95050831294151	1	GO:0042377	4	1
5	a1	2.266385404872	0.75550427619753	2.9998313395111	0.00270129139696651	0.785624233358843	3.74714657638516	1	GO:0043328	6	0.833333333333333
6	a1	2.20440693615389	0.750990314132587	2.93533337870015	0.00333189500601714	0.7324929677156	3.67632090459218	1	GO:2001028	10	0.7
7	a1	2.29033123142238	0.783107506849423	2.924670254582	0.00344821395548671	0.755468721974554	3.8251937408702	1	GO:1905222	4	0.75
8	a1	2.29033123142238	0.783107506849423	2.924670254582	0.00344821395548671	0.755468721974554	3.8251937408702	1	GO:0060465	4	0.75
9	a1	2.12363524295474	0.741695275919761	2.863217970913	0.00419361962661066	0.669939214648509	3.57733127126097	1	GO:0071985	11	0.727272727272727
10	a1	2.11408596368237	0.748581360025624	2.82412317027238	0.00474101616039236	0.646893458534137	3.58127846883061	1	GO:0070828	10	0.7
11	a1	2.00364114217711	0.730837068156421	2.74157022061211	0.00611462893373865	0.571226810023681	3.43605547433054	1	GO:0042176	19	0.736842105263158
12	a1	2.10475427294698	0.782055921969517	2.69130916833467	0.00711722035372396	0.571952831990462	3.6375557139035	1	GO:0097053	4	1
13	a1	2.10475427294698	0.782055921969517	2.69130916833467	0.00711722035372396	0.571952831990462	3.6375557139035	1	GO:0070189	5	0.8
14	a1	1.96594390243558	0.734416020106406	2.67688047184857	0.0074311140175168	0.526514953357783	3.40537285151338	1	GO:1903543	15	0.8
15	a1	1.97807549935582	0.742129557634442	2.66540454965976	0.00768957572572467	0.523528294529675	3.43262270418197	1	GO:0048596	14	0.714285714285714
16	a1	2.01578848333972	0.758929219297311	2.65609549887423	0.00790512244093269	0.528314546701894	3.50326241997755	1	GO:0046474	10	0.7
17	a1	2.15757406543061	0.821673438959119	2.62582914711687	0.00864381923748581	0.547123718017567	3.76802441284365	1	GO:0031408	2	1
18	a1	2.14735628269176	0.821886172604353	2.61271737409491	0.00898255496223538	0.536488984995756	3.75822358038776	1	GO:0007521	2	1
19	a1	2.14735628269176	0.821886172604353	2.61271737409491	0.00898255496223538	0.536488984995756	3.75822358038776	1	GO:0043474	2	1
20	a1	1.89590988961132	0.74053671836947	2.56018350283262	0.0104616906606243	0.444484592377681	3.34733518684497	1	GO:0051145	17	0.705882352941177
21	a1	1.70070673573988	0.728088840040771	2.33585057510927	0.0194990306641936	0.273678831714419	3.12773463976533	1	GO:0006446	31	0.709677419354839
22	a1	1.62487600669906	0.726898928367221	2.23535342162203	0.0253941554562675	0.200180286698541	3.04957172669957	1	GO:0036258	32	0.8125
