Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.95946869196888	0.650371260363968	4.55042968890211	5.35364748688192e-06	1.68476444507558	4.23417293886218	1	GO:0070973	9	0.777777777777778
2	a1	2.9450422880835	0.687468985870965	4.28389112616096	1.83652806821681e-05	1.59762783528814	4.29245674087887	1	GO:0000389	6	0.833333333333333
3	a1	2.7265829733142	0.637930629090714	4.27410575535554	1.91905938675579e-05	1.47626191566142	3.97690403096698	1	GO:0071806	14	0.714285714285714
4	a1	2.70798135478837	0.640364069022128	4.22881527210546	2.34925136344099e-05	1.45289084251148	3.96307186706526	1	GO:0030949	14	0.714285714285714
5	a1	2.03541087092219	0.693382681975743	2.93547982064166	0.00333032271823034	0.676405786745944	3.39441595509844	1	GO:0006622	18	0.777777777777778
6	a1	1.42875897807308	0.486752642231172	2.93528756520755	0.00333238702573346	0.474741329920272	2.38277662622589	1	GO:0051301	433	0.715935334872979
7	a1	2.03025344947948	0.749447338619974	2.70900081280957	0.00674861744255669	0.561363657474935	3.49914324148402	1	GO:1903038	6	0.833333333333333
8	a1	2.03016830390356	0.749453563448559	2.70886470211961	0.00675138653259847	0.561266311459183	3.49907029634794	1	GO:0016240	7	0.714285714285714
9	a1	2.02919284423729	0.749525756853342	2.70730235176473	0.00678324482484471	0.560149355319616	3.49823633315497	1	GO:0060119	7	0.714285714285714
10	a1	2.10362534004923	0.777792274356231	2.70461074171812	0.00683844714384443	0.579180494857521	3.62807018524094	1	GO:0017187	4	0.75
11	a1	2.09674760865166	0.778181008497039	2.69442145947672	0.00705109423511572	0.571540858544408	3.62195435875892	1	GO:0046886	3	1
12	a1	2.09585715818097	0.778238477066519	2.69307830432783	0.00707956397083546	0.570537771747296	3.62117654461465	1	GO:0051142	4	0.75
13	a1	2.09435681173212	0.778338434893919	2.69080481939398	0.00712798840153011	0.56884151155677	3.61987211190748	1	GO:1902037	4	0.75
14	a1	2.09395837306057	0.778365605828012	2.69019899823689	0.00714094225493741	0.568389818832964	3.61952692728817	1	GO:1902723	4	0.75
15	a1	2.01570426321421	0.750659398466446	2.68524482252827	0.00724766950934063	0.544438877563475	3.48696964886495	1	GO:1902035	6	0.833333333333333
16	a1	2.01427884032444	0.750790843568408	2.68287613997907	0.00729920181768125	0.542755827007918	3.48580185364097	1	GO:1903361	7	0.714285714285714
17	a1	2.08804756300127	0.778795251808094	2.68112518425548	0.00733750613862896	0.561636918126602	3.61445820787594	1	GO:1903843	3	1
18	a1	2.00533718662421	0.751650647436541	2.66791120777091	0.00763244261384656	0.532128988692376	3.47854538455604	1	GO:0002735	6	0.833333333333333
19	a1	2.00533718662421	0.751650647436541	2.66791120777091	0.00763244261384656	0.532128988692376	3.47854538455604	1	GO:0044806	7	0.714285714285714
20	a1	2.00533718662421	0.751650647436541	2.66791120777091	0.00763244261384656	0.532128988692376	3.47854538455604	1	GO:1904358	5	1
21	a1	2.06790592335461	0.780489985292332	2.64949706251526	0.00806116730109743	0.538173661887445	3.59763818482178	1	GO:0060215	3	1
22	a1	2.06513389755846	0.780738974279545	2.64510158400141	0.00816663959607724	0.534913626643805	3.59535416847311	1	GO:0010758	3	1
23	a1	1.96166536953877	0.744136733135718	2.63616252522908	0.00838495597490697	0.503184173019471	3.42014656605807	1	GO:0032816	8	0.75
24	a1	1.92132475031965	0.738400479644194	2.60200907676205	0.00926793992843488	0.474086404049924	3.36856309658937	1	GO:0021680	10	0.7
25	a1	1.92082880463587	0.738445828550264	2.60117767664406	0.00929043229377404	0.473501576143518	3.36815603312823	1	GO:0086100	9	0.777777777777778
26	a1	1.92082880463587	0.738445828550264	2.60117767664406	0.00929043229377404	0.473501576143518	3.36815603312823	1	GO:0090527	9	0.777777777777778
27	a1	1.87118087882429	0.735053377022904	2.54563945601189	0.0109077784632604	0.430502733144858	3.31185902450373	1	GO:0071985	11	0.727272727272727
28	a1	1.99905679604585	0.787000766691084	2.54009510619769	0.0110822328442677	0.456563637525917	3.54154995456579	1	GO:0110032	3	1
29	a1	1.93156354973321	0.774580383523031	2.49369024935522	0.0126422814203195	0.413413894896847	3.44971320456957	1	GO:0097053	4	1
30	a1	1.93156354973321	0.774580383523031	2.49369024935522	0.0126422814203195	0.413413894896847	3.44971320456957	1	GO:0070189	5	0.8
31	a1	1.82556750415169	0.732380593388148	2.49264865922543	0.012679424063248	0.39012791813485	3.26100709016854	1	GO:0070613	10	0.9
32	a1	1.80088901549155	0.73514319856706	2.44971186430322	0.014297057206198	0.360034822820531	3.24174320816256	1	GO:0090160	11	0.818181818181818
33	a1	1.82924724441369	0.748948332670886	2.44242114524812	0.0145891163903308	0.361335486097433	3.29715900272995	1	GO:0070828	10	0.7
34	a1	1.78077468285286	0.730505325418071	2.43772991228191	0.0147798122147886	0.349010554518732	3.21253881118699	1	GO:0048011	13	0.769230769230769
35	a1	1.44846802241237	0.596237624899739	2.42934689446332	0.0151260520601725	0.279863751381175	2.61707229344356	1	GO:0006888	127	0.708661417322835
36	a1	1.98529601360013	0.818608993210881	2.42520669827128	0.0152996729751682	0.380851869486215	3.58974015771406	1	GO:1903531	2	1
37	a1	1.97562825834586	0.819034974616677	2.41214150747407	0.0158591249654027	0.370349206018495	3.58090731067322	1	GO:0070535	2	1
38	a1	1.76486967120295	0.73233299890625	2.40992782496324	0.0159556766301951	0.329523368656488	3.20021597374941	1	GO:0033235	13	0.769230769230769
39	a1	1.74287008545945	0.728592570930758	2.39210521078053	0.0167520394930547	0.31485488703172	3.17088528388718	1	GO:0035493	13	0.846153846153846
40	a1	1.70335313920144	0.727451635297461	2.34153455233478	0.0192046482376682	0.277574133523654	3.12913214487923	1	GO:1903543	15	0.8
41	a1	1.71844883990136	0.738247677341287	2.32774025932618	0.0199258999988433	0.271509980642091	3.16538769916063	1	GO:0040015	12	0.833333333333333
42	a1	1.52361131817707	0.65990514818172	2.30883381100325	0.0209528050296291	0.230220994528328	2.8170016418258	1	GO:0034644	56	0.839285714285714
43	a1	1.67383986840363	0.731171424472154	2.28925777509974	0.0220643795050346	0.240770209913358	3.1069095268939	1	GO:0006895	16	0.75
44	a1	1.75739458243814	0.768127427288743	2.2878945862423	0.0221436606625542	0.251892489414792	3.26289667546148	1	GO:1902751	6	1
45	a1	1.63755122212243	0.725042296091139	2.25855957776646	0.0239107946457109	0.216494434515571	3.05860800972929	1	GO:0090110	14	1
46	a1	1.63645677562202	0.725178765351904	2.25662533682699	0.0240314957990551	0.215132513179066	3.05778103806497	1	GO:0046855	17	0.823529411764706
47	a1	1.66585252063442	0.7453528601819	2.23498507838002	0.0254183283789225	0.204987758903975	3.12671728236486	1	GO:0046425	13	0.769230769230769
48	a1	1.61025264238813	0.722992836587291	2.22720414491093	0.0259336332415747	0.193212721596584	3.02729256317967	1	GO:0042176	19	0.894736842105263
49	a1	1.67758107953385	0.768060058398031	2.18417955886528	0.0289490563627641	0.172211027109979	3.18295113195772	1	GO:0045743	8	0.875
50	a1	1.54935137593079	0.722813292800932	2.14350149805212	0.0320728509244959	0.132663354494156	2.96603939736742	1	GO:1903076	21	0.80952380952381
51	a1	1.54627317135723	0.723230720080838	2.13800814653503	0.0325160820547222	0.128767007485816	2.96377933522864	1	GO:0030050	20	0.85
52	a1	1.63060719874909	0.781671616563362	2.08605143668654	0.0369739640254597	0.098558982547702	3.16265541495049	1	GO:0045839	8	1
53	a1	1.49798060016365	0.721716509045138	2.07558034406827	0.037932780926791	0.0834422353872091	2.9125189649401	1	GO:0097352	25	0.76
54	a1	1.59589382934382	0.769990727105447	2.07261434867289	0.0382081846007816	0.0867397357873325	3.1050479229003	1	GO:1902533	11	0.727272727272727
55	a1	1.49499056410914	0.726264167518754	2.05846664474264	0.0395453599777896	0.0715389525104171	2.91844217570786	1	GO:0001892	23	0.782608695652174
56	a1	1.54765632835918	0.768783337588945	2.01312418296283	0.0441015667286455	0.0408686747703528	3.05444398194801	1	GO:0001881	11	0.818181818181818
57	a1	1.44740687557744	0.721402602299776	2.0063787834466	0.0448158501949951	0.0334837567164046	2.86132999443847	1	GO:0048008	29	0.724137931034483
58	a1	1.43962251690813	0.726425477477395	1.98178968324102	0.0475027846209494	0.0158547436001273	2.86339029021614	1	GO:0042098	25	0.8
59	a1	1.42947728880268	0.724117213275061	1.97409654486377	0.0483707661534422	0.0102336301980488	2.8487209474073	1	GO:0046329	27	0.777777777777778
60	a1	1.41543817221392	0.726307497907691	1.94881393389362	0.0513176491364453	-0.00809836538655406	2.83897470981439	1	GO:0007140	26	0.807692307692308
61	a1	1.62774897638153	0.847312934146157	1.9210717915239	0.0547226573001468	-0.0329538581798967	3.28845181094295	1	GO:0097466	2	1
62	a1	1.62774897638153	0.847312934146157	1.9210717915239	0.0547226573001468	-0.0329538581798967	3.28845181094295	1	GO:0036509	2	1
63	a1	1.62774897638153	0.847312934146157	1.9210717915239	0.0547226573001468	-0.0329538581798967	3.28845181094295	1	GO:0036511	2	1
64	a1	1.62774897638153	0.847312934146157	1.9210717915239	0.0547226573001468	-0.0329538581798967	3.28845181094295	1	GO:0036512	2	1
65	a1	1.6213629221015	0.847847858551385	1.91232767264604	0.0558341785584308	-0.0403883450286278	3.28311418923162	1	GO:0007521	2	1
66	a1	1.36448418388176	0.723566368040383	1.88577612801042	0.0593251291276146	-0.0536798379018468	2.78264820566536	1	GO:0090503	34	0.705882352941177
67	a1	1.39108826735706	0.740450059231961	1.87870640296792	0.060284593055013	-0.0601671810881352	2.84234371580225	1	GO:0000070	36	0.722222222222222
68	a1	1.34683258587673	0.719789615427218	1.87114756452459	0.0613246303485481	-0.0639291368065533	2.75759430856001	1	GO:0036258	32	0.8125
69	a1	1.35529145124158	0.728593176095722	1.86014842810375	0.0628645291351603	-0.0727249332876903	2.78330783577084	1	GO:0016126	32	0.71875
70	a1	1.31901976143675	0.718249133954414	1.83643766359273	0.0662929535321108	-0.0887226730409874	2.72676219591449	1	GO:0006906	40	0.75
71	a1	1.30386490224035	0.733694498611497	1.7771223645644	0.0755481092471028	-0.134149890693354	2.74187969517406	1	GO:0045739	30	0.8
72	a1	1.26648445126521	0.718101542222812	1.76365649813943	0.0777898293489083	-0.140968708734173	2.67393761126459	1	GO:0007080	43	0.720930232558139
73	a1	1.42498509248746	0.843825844348155	1.68871942241618	0.0912732117679983	-0.228883171659021	3.07885335663395	1	GO:0051729	3	1
74	a1	1.42438026239528	0.843886459669435	1.68788140403774	0.0914339970126481	-0.229606805597822	3.07836733038839	1	GO:0036510	3	1
75	a1	1.2037413299329	0.71822146030655	1.67600301085284	0.0937376028621342	-0.203946865191701	2.6114295250575	1	GO:0007040	47	0.74468085106383
76	a1	1.41203950222249	0.845123575923591	1.67080832016707	0.0947595446109117	-0.244372269073455	3.06845127351843	1	GO:1905222	4	0.75
77	a1	1.41203950222249	0.845123575923591	1.67080832016707	0.0947595446109117	-0.244372269073455	3.06845127351843	1	GO:0060465	4	0.75
78	a1	1.41203950222249	0.845123575923591	1.67080832016707	0.0947595446109117	-0.244372269073455	3.06845127351843	1	GO:0003256	3	1
79	a1	1.16822263348579	0.717066788818196	1.62916851219835	0.103277350768115	-0.237202447107661	2.57364771407924	1	GO:0007029	42	0.904761904761905
80	a1	1.18271192626732	0.735989678099361	1.60696808863078	0.108061368541681	-0.259801335800659	2.62522518833529	1	GO:0006303	36	0.833333333333333
81	a1	1.18271192626732	0.735989678099361	1.60696808863078	0.108061368541681	-0.259801335800659	2.62522518833529	1	GO:0036297	36	0.833333333333333
82	a1	1.39170713999945	0.867274982183325	1.60468959509923	0.108562132889081	-0.308120589772478	3.09153486977139	1	GO:0072527	2	1
83	a1	1.24747515892642	0.788169041701596	1.58275077162789	0.113478281131786	-0.297307776538159	2.79225809439099	1	GO:0050862	16	0.8125
84	a1	1.15453108376786	0.729965064726412	1.58162512092353	0.113735175743428	-0.276174153068354	2.58523632060408	1	GO:0006605	43	0.790697674418605
85	a1	1.36712580293856	0.869376430499161	1.57253607870829	0.11582627877486	-0.336820689847785	3.07107229572491	1	GO:0031408	2	1
86	a1	1.22311369706582	0.791866378865482	1.54459607038525	0.122443997299756	-0.328915886078676	2.77514328021031	1	GO:0006103	18	0.722222222222222
87	a1	1.23420849744152	0.811767526038816	1.52039649019232	0.128411356070098	-0.35682661741374	2.82524361229678	1	GO:0006241	11	0.818181818181818
88	a1	1.23420849744152	0.811767526038816	1.52039649019232	0.128411356070098	-0.35682661741374	2.82524361229678	1	GO:0006183	11	0.818181818181818
89	a1	1.23420849744152	0.811767526038816	1.52039649019232	0.128411356070098	-0.35682661741374	2.82524361229678	1	GO:0006228	10	0.9
