Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.65624085451228	0.639527410416746	4.15344332587926	3.27509355041822e-05	1.4027901629693	3.90969154605527	1	GO:0009101	13	0.769230769230769
2	a1	2.57385797221077	0.642830447302253	4.00394533739402	6.22947645619539e-05	1.31393344733258	3.83378249708896	1	GO:0071806	14	0.714285714285714
3	a1	2.63072977999559	0.659742110852131	3.98751229718793	6.67697445342744e-05	1.33765900364099	3.9238005563502	1	GO:0045839	8	1
4	a1	2.12836708981088	0.62723465452221	3.39325493970377	0.000690673260639054	0.899009757091924	3.35772442252984	1	GO:2001243	28	0.75
5	a1	2.14063517096144	0.690102488226225	3.10190907507598	0.00192277006464401	0.788059148396566	3.49321119352632	1	GO:0070286	15	0.733333333333333
6	a1	1.84635614256358	0.630071629673318	2.93039085654576	0.00338535894140594	0.611438440723417	3.08127384440374	1	GO:0016266	42	0.738095238095238
7	a1	1.89285609218761	0.673247527302713	2.81153070070842	0.00493063850652031	0.573315185993644	3.21239699838157	1	GO:0045022	24	0.791666666666667
8	a1	1.78539795372959	0.659099387379303	2.70884480841144	0.00675179134363969	0.493586892233739	3.07720901522543	1	GO:0008333	44	0.704545454545455
9	a1	1.48813924044441	0.556942007569582	2.67198239712325	0.00754046038664664	0.396552964130593	2.57972551675822	1	GO:0008283	159	0.70440251572327
10	a1	1.9688790664304	0.739597854923534	2.66209407358808	0.00776561717064447	0.519293907737193	3.41846422512361	1	GO:0048771	10	0.7
11	a1	2.00384365255814	0.759343645479534	2.63891541660652	0.00831717295871004	0.515557455528902	3.49212984958738	1	GO:1905599	5	0.8
12	a1	2.03673156214792	0.777174009810789	2.62068923617734	0.00877522129438257	0.513498493198196	3.55996463109765	1	GO:0017187	4	0.75
13	a1	2.03428705209512	0.777330056508767	2.61701838885755	0.00887015625980619	0.510748137237456	3.55782596695279	1	GO:1903843	3	1
14	a1	1.95467337496528	0.74875659430371	2.61055914543629	0.00903943393217011	0.487137416943138	3.42220933298742	1	GO:1903895	6	0.833333333333333
15	a1	1.95375283091143	0.748838117822404	2.60904564606417	0.00907951301781097	0.486057089728761	3.42144857209411	1	GO:0050851	6	0.833333333333333
16	a1	1.95195210742458	0.74900053141375	2.60607573100147	0.0091586209412377	0.483938041452264	3.41996617339689	1	GO:1904358	5	1
17	a1	1.95195210742456	0.749000531413752	2.60607573100144	0.00915862094123827	0.483938041452249	3.41996617339688	1	GO:0031442	6	0.833333333333333
18	a1	1.94860937713434	0.749311425956184	2.6005333825622	0.00930789625283162	0.479985969055868	3.41723278521281	1	GO:0050881	6	0.833333333333333
19	a1	1.94835227468479	0.749335803250454	2.60010567523033	0.00931950567498155	0.479681087987506	3.41702346138207	1	GO:2000270	7	0.714285714285714
20	a1	1.97873801014257	0.761698123689991	2.59779819406239	0.00938236165951592	0.48583712061845	3.47163889966668	1	GO:0035751	5	0.8
21	a1	1.97372659074708	0.76220871286696	2.58948311325797	0.00961201370900996	0.47982496482521	3.46762821666895	1	GO:1903010	4	1
22	a1	1.97372659072952	0.762208712869406	2.58948311322661	0.00961201370988526	0.479824964802852	3.46762821665618	1	GO:0106077	4	1
23	a1	1.94028858877857	0.75012861483852	2.58660788349777	0.00969258228728918	0.470063519922158	3.41051365763499	1	GO:0042713	6	0.833333333333333
24	a1	1.97107696718261	0.762481760419862	2.58508081045405	0.00973561763618631	0.476640177890981	3.46551375647423	1	GO:0097325	4	1
25	a1	2.01083765369649	0.779230260716744	2.58054358906301	0.00986449021528978	0.483574407027917	3.53810090036507	1	GO:0046886	3	1
26	a1	2.01075634778725	0.779237596829681	2.5804149542681	0.00986816593648747	0.483478722601527	3.53803397297296	1	GO:0051729	3	1
27	a1	2.00887742581606	0.77940794347154	2.57744027712672	0.0099535080203216	0.481265927347408	3.5364889242847	1	GO:1905222	4	0.75
28	a1	2.00887742581606	0.77940794347154	2.57744027712672	0.0099535080203216	0.481265927347408	3.5364889242847	1	GO:0060560	3	1
29	a1	2.00887742581606	0.77940794347154	2.57744027712672	0.0099535080203216	0.481265927347408	3.5364889242847	1	GO:0060465	4	0.75
30	a1	2.00887742581606	0.77940794347154	2.57744027712672	0.0099535080203216	0.481265927347408	3.5364889242847	1	GO:0060596	3	1
31	a1	1.93057909375837	0.751139050213063	2.5702020061542	0.0101639228437962	0.458373607959147	3.4027845795576	1	GO:0048820	6	0.833333333333333
32	a1	1.92457527525267	0.751785322538012	2.56000645071834	0.0104670220380295	0.451103118972344	3.398047431533	1	GO:0001957	7	0.714285714285714
33	a1	1.89945225783247	0.742031889062922	2.55979869036518	0.0104732811814325	0.445096479888923	3.35380803577602	1	GO:0033631	6	1
34	a1	1.89812739428431	0.742159244963718	2.55757427690212	0.0105405044924768	0.443522003361979	3.35273278520663	1	GO:1902065	7	0.857142857142857
35	a1	1.99543967584525	0.78066116277787	2.55608933938095	0.0105855936895744	0.465371912671468	3.52550743901904	1	GO:0039534	4	0.75
36	a1	1.99543967584525	0.78066116277787	2.55608933938095	0.0105855936895744	0.465371912671466	3.52550743901904	1	GO:1900245	4	0.75
37	a1	1.89503854199406	0.742463182048049	2.55236702346194	0.0106993743254051	0.439837445332875	3.35023963865524	1	GO:0010606	6	1
38	a1	1.89496702797875	0.742470327915887	2.55224613931431	0.0107030875729297	0.439751925673974	3.35018213028354	1	GO:0002735	6	1
39	a1	1.89496702797873	0.74247032791589	2.55224613931427	0.010703087572931	0.439751925673943	3.35018213028352	1	GO:0044806	7	0.857142857142857
40	a1	1.91267418380555	0.753099693322613	2.53973570931492	0.0110936264333761	0.436625908125071	3.38872245948603	1	GO:0043619	6	0.833333333333333
41	a1	1.91259914954764	0.753108091095052	2.53960775639343	0.0110976853041123	0.436534414535632	3.38866388455965	1	GO:0061035	5	1
42	a1	1.91259914954764	0.753108091095052	2.53960775639343	0.0110976853041123	0.436534414535632	3.38866388455965	1	GO:0031346	5	1
43	a1	1.91259914954764	0.753108091095052	2.53960775639343	0.0110976853041123	0.436534414535632	3.38866388455965	1	GO:0045589	7	0.714285714285714
44	a1	1.97770156918448	0.782371554956011	2.52782908153617	0.0114770209504375	0.444281498942098	3.51112163942686	1	GO:0031508	3	1
45	a1	1.92118173232056	0.767830173727384	2.5020919964558	0.0123461838652113	0.41626224557175	3.42610121906936	1	GO:0048017	4	1
46	a1	1.84363002628802	0.737567503573842	2.49960853393732	0.012433060838293	0.398024283116169	3.28923576945987	1	GO:0033146	10	0.7
47	a1	1.91955058382928	0.768008632423503	2.4993867292507	0.0124408463276134	0.414281324463353	3.42481984319521	1	GO:1901877	4	1
48	a1	1.86277124340673	0.746008896484041	2.49698261265518	0.0125255098109717	0.400620674151539	3.32492181266192	1	GO:0061037	8	0.75
49	a1	1.95117900818849	0.784983942409797	2.48562919924022	0.0129322634820319	0.412638752623027	3.48971926375396	1	GO:0045329	4	0.75
50	a1	1.88084985814193	0.756738583799164	2.48546842781456	0.0129381063153741	0.39766948818372	3.36403022810013	1	GO:1902389	7	0.714285714285714
51	a1	1.84854817636341	0.747687682973144	2.47235338826601	0.0134226757742173	0.383107246051848	3.31398910667498	1	GO:0046600	7	0.857142857142857
52	a1	1.87016207176443	0.757983405004679	2.46728630127843	0.0136141456411393	0.38454189707622	3.35578224645264	1	GO:0010706	5	1
53	a1	1.87016207176443	0.757983405004679	2.46728630127843	0.0136141456411393	0.38454189707622	3.35578224645264	1	GO:0021955	7	0.714285714285714
54	a1	1.92812357256657	0.787280753092724	2.4490927346975	0.014321656987304	0.385081650783259	3.47116549434988	1	GO:0097053	4	0.75
55	a1	1.7916497916412	0.734295571767699	2.43995723319983	0.0146890007588751	0.352456916969267	3.23084266631314	1	GO:0071786	11	0.727272727272727
56	a1	1.78814825404727	0.734690756849198	2.4338787950946	0.0149379962025162	0.348180830848367	3.22811567724617	1	GO:0090140	11	0.727272727272727
57	a1	1.84624269086656	0.760791917978393	2.42673804392201	0.0152352519350179	0.355117931899756	3.33736744983336	1	GO:0032534	5	1
58	a1	1.84417243529749	0.761036102967624	2.42323909221418	0.0153827986813593	0.352569082546226	3.33577578804874	1	GO:1901895	6	0.833333333333333
59	a1	1.75905501287086	0.727594819492804	2.41762993048393	0.0156219556162676	0.332995371327041	3.18511465441468	1	GO:0034383	14	0.785714285714286
60	a1	1.81650899843208	0.751575910321673	2.4169335039685	0.015651876167521	0.343447282553695	3.28957071431046	1	GO:0039536	8	0.75
61	a1	1.90592523745732	0.789504634199984	2.4140773276	0.0157751140090339	0.358524588797877	3.45332588611675	1	GO:0090522	3	1
62	a1	1.7700021210704	0.736849864500554	2.40212044046467	0.0163003406345538	0.325802924636097	3.2142013175047	1	GO:0006817	11	0.727272727272727
63	a1	1.7700021210704	0.736849864500554	2.40212044046467	0.0163003406345538	0.325802924636097	3.2142013175047	1	GO:0032958	11	0.727272727272727
64	a1	1.78684549514978	0.744287597769906	2.40074602949676	0.0163616877874706	0.328068609380931	3.24562238091863	1	GO:0009913	9	0.777777777777778
65	a1	1.78237897926485	0.744850471839305	2.39293528923129	0.0167141886813501	0.32249888059215	3.24225907793756	1	GO:0003272	10	0.7
66	a1	1.74702220978061	0.731393437455215	2.38862166422923	0.0169117077912252	0.313517413839442	3.18052700572178	1	GO:0006670	10	0.9
67	a1	1.46732847750471	0.614767441432679	2.38680251850226	0.0169956179819667	0.262406433428823	2.6722505215806	1	GO:0035264	85	0.741176470588235
68	a1	1.74520777778889	0.731603960035285	2.38545425274177	0.0170580438093594	0.311290365172852	3.17912519040493	1	GO:0016570	12	0.75
69	a1	1.88216870957653	0.791893407464396	2.37679552807889	0.0174637657648769	0.330086151351609	3.43425126780144	1	GO:1901874	3	1
70	a1	1.88199970672005	0.791910426692294	2.37653103594167	0.0174762911326135	0.329883791421407	3.43411562201869	1	GO:0036071	4	0.75
71	a1	1.7787963638033	0.756245690161763	2.35214082796665	0.0186657065660504	0.296582047622609	3.26101067998399	1	GO:0010216	8	0.75
72	a1	1.91287328660968	0.819169412693296	2.33513758810948	0.0195362342677439	0.307330740493997	3.51841583272537	1	GO:0072105	2	1
73	a1	1.91287328660968	0.819169412693296	2.33513758810948	0.0195362342677439	0.307330740493996	3.51841583272537	1	GO:0007521	2	1
74	a1	1.91287328660968	0.819169412693296	2.33513758810948	0.0195362342677439	0.307330740493996	3.51841583272537	1	GO:0043474	2	1
75	a1	1.85441383804544	0.794692361104467	2.33349901019328	0.01962197021606	0.296845431491581	3.41198224459929	1	GO:0009220	3	1
76	a1	1.85441383804544	0.794692361104467	2.33349901019328	0.01962197021606	0.296845431491581	3.41198224459929	1	GO:0044205	3	1
77	a1	1.69664398400042	0.730129445124809	2.32375778751176	0.0201384793350377	0.26561656750358	3.12767140049726	1	GO:0000288	12	0.833333333333333
78	a1	1.61605798662702	0.696950098488256	2.31875709628622	0.0204082107193518	0.250060894568395	2.98205507868564	1	GO:0048870	40	0.7
79	a1	1.69068595215187	0.730880555209058	2.31321785769533	0.0207106642237962	0.258186386941481	3.12318551736227	1	GO:0048009	14	0.714285714285714
80	a1	1.71833413641548	0.743500942994371	2.31113914865403	0.0208251702029566	0.261099065674943	3.17556920715601	1	GO:0030259	11	0.727272727272727
81	a1	1.71833413641548	0.743500942994371	2.31113914865403	0.0208251702029566	0.261099065674943	3.17556920715601	1	GO:1903238	11	0.727272727272727
82	a1	1.83942195549236	0.796207084905411	2.31023057991362	0.0208753918964271	0.278884744842129	3.39995916614259	1	GO:0006235	4	0.75
