Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	3.02974463449437	0.687320849329135	4.40804994850888	1.04305493729015e-05	1.68262052398579	4.37686874500296	1	GO:0038033	5	1
2	a1	2.77567025674805	0.635756337558312	4.36593407374954	1.26580656737636e-05	1.52961073219067	4.02172978130543	1	GO:0030949	14	0.785714285714286
3	a1	2.6242645640394	0.614650936290425	4.26952016030026	1.95893943406964e-05	1.41957086584634	3.82895826223246	1	GO:0042176	19	0.894736842105263
4	a1	2.62093171502645	0.625385447087306	4.19090614793369	2.77842578848437e-05	1.39519876227985	3.84666466777305	1	GO:0031638	21	0.714285714285714
5	a1	2.04544182821042	0.650934593746157	3.14231544591725	0.00167617344840436	0.769633468176737	3.3212501882441	1	GO:0043536	37	0.702702702702703
6	a1	1.79524357604391	0.602604335881025	2.9791414849666	0.0028905727300248	0.61416078078942	2.97632637129839	1	GO:0017148	87	0.701149425287356
7	a1	2.10055412686175	0.750442406432139	2.79908772326514	0.00512472128456549	0.629714037783189	3.57139421594031	1	GO:0032911	6	0.833333333333333
8	a1	2.09655359629611	0.750709680341824	2.79276217051241	0.00522600995467504	0.625189659980558	3.56791753261166	1	GO:0010606	6	0.833333333333333
9	a1	2.09527249350611	0.750801134437398	2.79071567343351	0.00525916489043507	0.623729310456993	3.56681567655522	1	GO:0044806	7	0.714285714285714
10	a1	2.09527249350611	0.750801134437398	2.79071567343351	0.00525916489043507	0.623729310456993	3.56681567655522	1	GO:1904358	5	1
11	a1	2.16866834413616	0.778472758860196	2.7857986287297	0.00533960311238002	0.642889773824643	3.69444691444768	1	GO:0051049	3	1
12	a1	2.16866824583063	0.778472762324276	2.78579849005335	0.00533960539657732	0.642889668729636	3.69444682293162	1	GO:0017187	4	0.75
13	a1	2.16727035488916	0.778524934611489	2.78381623829519	0.00537234621124712	0.641389521984242	3.69315118779408	1	GO:0051004	3	1
14	a1	2.0886401195218	0.751313062262985	2.77998643232786	0.00543611696408242	0.616093576371847	3.56118666267175	1	GO:1902035	6	0.833333333333333
15	a1	2.15950494427293	0.778907136207672	2.77248062559432	0.00556308308922085	0.632875010004658	3.6861348785412	1	GO:1902037	4	0.75
16	a1	2.11042442906482	0.763573329834732	2.76387918043392	0.00571186844602563	0.61384820303342	3.60700065509622	1	GO:0035751	5	0.8
17	a1	2.04863357073994	0.743866246126887	2.75403485694724	0.00588654983884369	0.590682519016239	3.50658462246365	1	GO:2000270	7	0.857142857142857
18	a1	2.04144900887905	0.744409716584264	2.74237286725148	0.00609970569843088	0.582432774632221	3.50046524312587	1	GO:0002735	6	1
19	a1	2.04047977451315	0.744488773936634	2.74077977525934	0.00612935744499557	0.581308590702968	3.49965095832334	1	GO:0050881	6	1
20	a1	2.03652263070669	0.744823551701179	2.7342350091579	0.00625254004616928	0.576695294535174	3.49634996687821	1	GO:0032816	8	0.75
21	a1	2.134436877522	0.780771926902466	2.73375207788258	0.00626171725141363	0.604152020653231	3.66472173439077	1	GO:0051729	3	1
22	a1	2.13370947281329	0.780833496452199	2.732604943958	0.00628356501333149	0.603303941844496	3.66411500378208	1	GO:0031508	3	1
