Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.98103321415307	0.637202290188654	4.67831528551238	2.89241564785394e-06	1.73213967451687	4.22992675378928	1	GO:0030949	14	0.714285714285714
2	a1	2.60898834745965	0.61819075132519	4.22036133971088	2.43911045628386e-05	1.39735673928653	3.82061995563278	1	GO:0048010	27	0.777777777777778
3	a1	2.24681618840189	0.740851563333952	3.0327481233769	0.00242337779579366	0.794773806377147	3.69885857042663	1	GO:0007144	9	0.777777777777778
4	a1	2.22568337319229	0.762111070345089	2.92041863685891	0.0034956146148332	0.731973123096644	3.71939362328794	1	GO:0006204	5	0.8
5	a1	2.21773152220241	0.762403856982836	2.90886713372482	0.00362740986634171	0.723447420841626	3.71201562356319	1	GO:0009609	5	0.8
6	a1	2.17195569178142	0.752528302146051	2.88621130339878	0.00389910281296432	0.697027322228087	3.64688406133476	1	GO:0018158	5	1
7	a1	2.19902364527123	0.763604146487327	2.87979531722949	0.00397933422733853	0.70238701971062	3.69566027083184	1	GO:0035751	5	0.8
8	a1	2.16379549069765	0.753056098717965	2.8733523231289	0.00406140905734201	0.687832658872201	3.6397583225231	1	GO:0043619	6	0.833333333333333
9	a1	2.23926830410541	0.779863010830334	2.87136108907284	0.00408708368300399	0.710764890002984	3.76777171820783	1	GO:0017187	4	0.75
10	a1	2.23924362658292	0.779863342338941	2.87132822510551	0.00408750865815383	0.710739562735569	3.76774769043028	1	GO:0046040	4	0.75
11	a1	2.2370023576765	0.779902537093497	2.86831014297409	0.00412670789082475	0.708421473521834	3.76558324183117	1	GO:0019287	3	1
12	a1	2.23108786809206	0.78008325929985	2.86006377074998	0.00423555826752249	0.702152774921735	3.76002296126239	1	GO:0051142	4	0.75
13	a1	2.13055590478644	0.745652673375124	2.85730338113412	0.00427257248683814	0.669103519995185	3.59200828957769	1	GO:0000255	8	0.75
14	a1	2.1493833615153	0.754201549887653	2.84987926879158	0.00437358271021687	0.671175486651214	3.62759123637939	1	GO:0048070	6	0.833333333333333
15	a1	2.14910272639886	0.754225793366219	2.84941557992482	0.00437996276874573	0.670847335189921	3.6273581176078	1	GO:0038033	5	1
16	a1	2.2182183607286	0.780767932783351	2.84107257430629	0.00449620789428634	0.687941332189439	3.74849538926776	1	GO:0089700	3	1
17	a1	2.07970767434649	0.741200600466407	2.80586345051233	0.00501819529024445	0.626981192112867	3.53243415658011	1	GO:0090527	9	0.777777777777778
18	a1	2.09352450539658	0.748421395462907	2.79725368367069	0.00515390486401292	0.62664552503007	3.56040348576308	1	GO:0045743	8	0.75
19	a1	2.09352450539658	0.748421395462907	2.79725368367069	0.00515390486401292	0.62664552503007	3.56040348576308	1	GO:1901727	6	1
20	a1	2.18555534445175	0.783319823828409	2.79011877137239	0.00526887092351122	0.650276701371812	3.72083398753169	1	GO:0071926	3	1
21	a1	2.18555534445175	0.783319823828409	2.79011877137239	0.00526887092351122	0.650276701371812	3.72083398753169	1	GO:0098921	3	1
22	a1	2.06866866640811	0.741905042987696	2.78831999588176	0.00529821816648707	0.614561502203586	3.52277583061264	1	GO:0033194	7	1
23	a1	2.06866866640811	0.741905042987696	2.78831999588176	0.00529821816648707	0.614561502203586	3.52277583061264	1	GO:0051593	7	1
24	a1	2.08522469424922	0.749219501809151	2.78319596488612	0.00538262842939543	0.61678145418824	3.5536679343102	1	GO:0001957	7	0.857142857142857
25	a1	2.06048401131481	0.741238423801037	2.77978575469515	0.0054394772468095	0.607683396707541	3.51328462592208	1	GO:0045839	8	1
26	a1	2.12775455316106	0.770185397824874	2.76265242001494	0.00573337853952802	0.618218912005648	3.63729019431646	1	GO:0034154	5	0.8
27	a1	2.12775455316106	0.770185397824874	2.76265242001494	0.00573337853952802	0.618218912005648	3.63729019431646	1	GO:0002732	5	0.8
28	a1	2.16699468779413	0.784939735563765	2.76071472702007	0.00576750301799927	0.628541076054752	3.7054482995335	1	GO:0071226	4	0.75
29	a1	1.9741068801157	0.736371351033231	2.68085780000234	0.00734337134547588	0.530845552843465	3.41736820738793	1	GO:0043534	10	0.9
30	a1	1.98657895719896	0.741912626060848	2.67764543615683	0.00741416568398692	0.532456930444163	3.44070098395375	1	GO:2001028	10	0.8
31	a1	1.98657895719896	0.741912626060848	2.67764543615683	0.00741416568398692	0.532456930444163	3.44070098395375	1	GO:1902533	11	0.727272727272727
32	a1	2.0499958247924	0.777959599104773	2.63509291118897	0.00841142553371652	0.525223029119827	3.57476862046497	1	GO:0097053	4	1
33	a1	2.0499958247924	0.777959599104773	2.63509291118897	0.00841142553371652	0.525223029119827	3.57476862046497	1	GO:0070189	5	0.8
34	a1	1.93136351531854	0.734518642163157	2.62942749775645	0.00855287674135068	0.491733430705487	3.37099359993159	1	GO:0009650	13	0.769230769230769
35	a1	1.87052797685796	0.730367962913034	2.56107615864948	0.0104348478681033	0.43903307408653	3.3020228796294	1	GO:1903543	15	0.8
36	a1	1.84966158924087	0.72709403961129	2.54390971246266	0.0109619415124561	0.424583458229005	3.27473972025274	1	GO:0042176	19	0.789473684210526
37	a1	1.89947016238587	0.751902030284633	2.52622028652699	0.0115297160828703	0.425769263125449	3.3731710616463	1	GO:0042136	10	0.8
38	a1	1.87885216670351	0.754368778570993	2.49062821802174	0.0127517476031782	0.40031652964289	3.35738780376412	1	GO:0090309	11	0.727272727272727
39	a1	1.87885216670351	0.754368778570993	2.49062821802174	0.0127517476031782	0.40031652964289	3.35738780376412	1	GO:0070828	10	0.8
40	a1	1.78594160835154	0.730064994257953	2.44627755391394	0.014433983595559	0.355040513232511	3.21684270347057	1	GO:0090201	20	0.7
41	a1	1.93795153778639	0.80598033482243	2.40446503972501	0.016196155285107	0.358259109286898	3.51764396628589	1	GO:0009220	3	1
42	a1	1.93795153778639	0.80598033482243	2.40446503972501	0.016196155285107	0.358259109286898	3.51764396628589	1	GO:0044205	3	1
43	a1	1.77055993896958	0.73650359524053	2.40400719074744	0.016216454301405	0.327039417813875	3.21408046012528	1	GO:2000573	18	0.722222222222222
44	a1	1.93671935320986	0.83137191798862	2.32954627321965	0.0198301446063908	0.307260336194179	3.56617837022554	1	GO:0072527	2	1
45	a1	1.67892979525594	0.726751431307347	2.31018436693785	0.0208779491656572	0.254523164180601	3.10333642633127	1	GO:0002862	26	0.769230769230769
46	a1	1.7991368205695	0.803445486832976	2.23927677739699	0.0251379129155209	0.224412602835621	3.37386103830339	1	GO:0006225	4	1
47	a1	1.62118563737011	0.72424559863805	2.23844734495973	0.0251918975119327	0.201690348077884	3.04068092666234	1	GO:0048008	29	0.724137931034483
48	a1	1.79329958107425	0.819447795513252	2.18842443764344	0.0286386998079192	0.18721141465753	3.39938774749096	1	GO:0071931	3	1
49	a1	1.60960172218647	0.735930606036072	2.1871650791319	0.0287304751537516	0.167204239235033	3.0519992051379	1	GO:0097352	25	0.72
50	a1	1.57444649288165	0.724097673461556	2.17435651374903	0.0296783712483045	0.15524113160776	2.99365185415555	1	GO:0006446	31	0.741935483870968
51	a1	1.560214315854	0.723139455754463	2.15755661434101	0.0309623209564088	0.142887026775355	2.97754160493264	1	GO:0036258	32	0.75
52	a1	1.64010773299417	0.776644482035952	2.11178701572008	0.0347047214807699	0.117912519411941	3.1623029465764	1	GO:0007567	11	0.818181818181818
53	a1	1.51402160452136	0.723702183994072	2.09205062248888	0.0364339875204061	0.0955913883599964	2.93245182068272	1	GO:0006695	37	0.702702702702703
54	a1	1.5284473182768	0.736648353583086	2.07486694410213	0.0379988680788333	0.0846430759832291	2.97225156057038	1	GO:0035924	29	0.724137931034483
55	a1	1.50513774289098	0.740080087676558	2.03374981701816	0.0419768265599591	0.0546074253696853	2.95566806041228	1	GO:0045453	25	0.84
56	a1	1.43684036906554	0.734655296445457	1.95580209659894	0.0504884718157096	-0.003057553019155	2.87673829115023	1	GO:0008219	42	0.714285714285714
57	a1	1.58945939728351	0.824878249436892	1.9269018165633	0.0539918670838416	-0.0272722632432505	3.20619105781026	1	GO:0030576	4	1
58	a1	1.58945939728351	0.824878249436892	1.9269018165633	0.0539918670838416	-0.0272722632432505	3.20619105781026	1	GO:2000672	4	1
59	a1	1.37765913068648	0.725961599104386	1.89770248507096	0.0577352850327259	-0.0451994577172232	2.80051771909018	1	GO:0051402	43	0.767441860465116
60	a1	1.39285625840435	0.738808320071175	1.88527419164712	0.0593928286723617	-0.0551814404136937	2.84089395722239	1	GO:0043536	37	0.72972972972973
61	a1	1.2931355931116	0.714989593716885	1.80860757201963	0.0705119912935568	-0.108218259894424	2.69448944611762	1	GO:0016236	69	0.753623188405797
62	a1	1.30717596123287	0.726079225049273	1.80032139212379	0.0718099049847787	-0.115913169786461	2.73026509225219	1	GO:0009725	54	0.703703703703704
63	a1	1.47267038784291	0.818279706669891	1.79971515343593	0.0719056271203465	-0.131128366510077	3.0764691421959	1	GO:0006207	6	1
