Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.95048383303223	0.635581701936596	4.64217869086257	3.44754502984132e-06	1.70476658800383	4.19620107806063	1	GO:0030949	14	0.714285714285714
2	a1	2.96181261593497	0.655245330292897	4.52015829645216	6.17934091495947e-06	1.67755536752284	4.2460698643471	1	GO:0045839	8	1
3	a1	2.17627469193838	0.763005378280179	2.85224030378885	0.00434122686437698	0.680811630498871	3.67173775337789	1	GO:0038033	5	0.8
4	a1	2.21736157737555	0.779256053802708	2.84548521189537	0.00443438184128229	0.690047777187435	3.74467537756366	1	GO:0017187	4	0.75
5	a1	2.1679175398634	0.763704967054454	2.83868461432806	0.00452999062767825	0.67108330962232	3.66475177010448	1	GO:1901388	5	0.8
6	a1	2.20724728792178	0.779634513755406	2.83113080421457	0.00463837478007557	0.679191719856782	3.73530285598677	1	GO:0010758	3	1
7	a1	2.13088706758986	0.753103470551762	2.82947450239297	0.00466245150183985	0.65483138867629	3.60694274650344	1	GO:0001957	7	0.714285714285714
8	a1	2.12566530581514	0.753561595227731	2.82082489245322	0.00479003416709973	0.648711719036237	3.60261889259404	1	GO:1901727	6	0.833333333333333
9	a1	2.18236462789012	0.781353112455513	2.79305808488013	0.00522123155690533	0.650940668269043	3.7137885875112	1	GO:0045003	3	1
10	a1	2.06945110331742	0.747728220890987	2.76765146145144	0.0056461802774574	0.603930720146878	3.53497148648797	1	GO:0045743	8	0.75
11	a1	2.07543828303531	0.758551808549347	2.73605343714674	0.00621809275911876	0.588704057870873	3.56217250819976	1	GO:1903361	7	0.714285714285714
12	a1	2.02114130563466	0.743153568108691	2.71968189667503	0.00653447444304465	0.564587077159191	3.47769553411013	1	GO:0061037	8	0.875
13	a1	1.96105225630043	0.72209095173059	2.71579674499521	0.00661164951171915	0.545779997346224	3.37632451525464	1	GO:0006622	18	0.777777777777778
14	a1	2.09274947604051	0.770954817576599	2.71449043229123	0.00663778176905719	0.581705799882729	3.60379315219829	1	GO:0097053	4	1
15	a1	2.09274947604051	0.770954817576599	2.71449043229123	0.00663778176905719	0.581705799882729	3.60379315219829	1	GO:0070189	5	0.8
16	a1	2.12083574078922	0.786785506396518	2.69557042363765	0.00702682223286904	0.578764484693938	3.66290699688451	1	GO:0045329	4	0.75
17	a1	1.9730203435841	0.739983888246004	2.66630175997585	0.00766908212594886	0.522678573482016	3.42336211368618	1	GO:0090309	11	0.727272727272727
18	a1	1.9730203435841	0.739983888246004	2.66630175997585	0.00766908212594886	0.522678573482016	3.42336211368618	1	GO:0070828	10	0.8
19	a1	1.96165812763451	0.741189808792087	2.64663397198002	0.00812972955414343	0.508952796693893	3.41436345857513	1	GO:2001028	10	0.8
20	a1	2.06859031048766	0.791607632266617	2.61315104373696	0.00897116446816829	0.51706786135806	3.62011275961725	1	GO:0009220	3	1
21	a1	2.06859031048766	0.791607632266617	2.61315104373696	0.00897116446816829	0.51706786135806	3.62011275961725	1	GO:0044205	3	1
22	a1	1.93708467676535	0.743949115360097	2.60378651815149	0.00922001666165053	0.478971204329125	3.39519814920157	1	GO:0007144	9	0.888888888888889
23	a1	1.99495209482521	0.780901295231849	2.55467894214839	0.0106285782813719	0.464413680690102	3.52549050896031	1	GO:0006225	4	1
24	a1	1.85090973686175	0.733705482407267	2.52268761954587	0.0116461805174805	0.412873416083916	3.28894605763958	1	GO:0033235	13	0.846153846153846
25	a1	2.06421180306542	0.820163374787932	2.51683002011539	0.0118415942829644	0.456721127042242	3.67170247908859	1	GO:0061520	2	1
26	a1	2.06421180306542	0.820163374787932	2.51683002011539	0.0118415942829644	0.456721127042242	3.67170247908859	1	GO:0071604	2	1
27	a1	1.96716241759984	0.801071255776333	2.45566471573546	0.0140624290973442	0.397091607227954	3.53723322797173	1	GO:0001885	4	0.75
28	a1	1.99820719152918	0.824965104225721	2.42217177586514	0.015428055835507	0.381305298744439	3.61510908431393	1	GO:0072527	2	1
29	a1	1.90704302912192	0.789923516816967	2.41421224779639	0.0157692733444511	0.358821385619443	3.45526467262439	1	GO:0034502	5	0.8
30	a1	1.76061288258947	0.739051672278979	2.38225952071842	0.0172067663311788	0.312098222208571	3.20912754297037	1	GO:0043129	16	0.75
31	a1	1.84918734424571	0.795878294676689	2.32345492597824	0.0201547263813949	0.289294550602244	3.40908013788918	1	GO:0018158	5	0.8
32	a1	1.84918734424571	0.795878294676689	2.32345492597823	0.020154726381395	0.289294550602243	3.40908013788918	1	GO:0009609	5	0.8
33	a1	1.70856887368732	0.735458730471253	2.32313358030646	0.0201719775170397	0.267096249848117	3.15004149752653	1	GO:2000573	18	0.777777777777778
34	a1	1.79168737137834	0.778921025320923	2.3002169836668	0.0214359301013899	0.265030214948323	3.31834452780836	1	GO:0006207	6	1
35	a1	1.71174817751405	0.779317398588253	2.1964711433556	0.0280582383994971	0.18431414375563	3.23918221127247	1	GO:0006228	10	0.7
36	a1	1.57611620232241	0.728733962202889	2.16281425605302	0.0305554686750502	0.147823882093575	3.00440852255125	1	GO:0048523	28	0.714285714285714
37	a1	1.54643082634935	0.723110593485508	2.13858134603631	0.0324695895871792	0.129160106278372	2.96370154642033	1	GO:0006446	31	0.741935483870968
38	a1	1.70708467629738	0.798691109395295	2.13735279661476	0.0325693076361331	0.141678867110261	3.2724904854845	1	GO:0033194	7	0.714285714285714
39	a1	1.70708467629738	0.798691109395295	2.13735279661476	0.0325693076361331	0.141678867110261	3.2724904854845	1	GO:0051593	7	0.714285714285714
40	a1	1.5733342413576	0.744928328680302	2.11206122895727	0.0346811979095154	0.113301546080594	3.03336693663461	1	GO:0008340	19	0.842105263157895
41	a1	1.55163469327878	0.739737237581886	2.09754844619001	0.0359450532949453	0.101776349595131	3.00149303696242	1	GO:0033627	23	0.782608695652174
42	a1	1.61814387955836	0.783006027551053	2.06657908447946	0.0387738333239341	0.0834802658805167	3.1528074932362	1	GO:0006183	11	0.727272727272727
43	a1	1.59665991123217	0.773247327263354	2.06487608160639	0.0389347267484447	0.0811229986541384	3.1121968238102	1	GO:0032480	14	0.785714285714286
44	a1	1.65612568445147	0.804297501543713	2.05909589582563	0.0394850529347778	0.0797315485702457	3.2325198203327	1	GO:0035965	6	0.833333333333333
45	a1	1.53842359545483	0.80014520429162	1.92268051749035	0.0545201850621747	-0.0298321873591854	3.10667937826885	1	GO:0042136	10	0.7
46	a1	1.44373566896566	0.792625873431083	1.82145917432153	0.0685370871547047	-0.109782496173865	2.99725383410519	1	GO:0055086	13	0.769230769230769
47	a1	1.33831821593921	0.757897517308697	1.76583005666992	0.0774243643087729	-0.147133621958162	2.82377005383657	1	GO:0046488	29	0.758620689655172
48	a1	1.18794326899479	0.743208553620844	1.59839827354951	0.109954368618469	-0.268718729104175	2.64460526709374	1	GO:0030148	50	0.74
49	a1	1.28900503624896	0.824042665069153	1.56424550680369	0.117759924007011	-0.326088909010979	2.90409898150891	1	GO:0060055	10	0.8
50	a1	1.16067216530033	0.834921416062026	1.39015737645674	0.164481093395382	-0.475743740102418	2.79708807070309	1	GO:0043534	10	0.9
51	a1	1.03834413310047	0.846364636468187	1.22682835312378	0.219887111790631	-0.620500072165509	2.69718833836645	1	GO:0009650	13	0.769230769230769
52	a1	0.762358946888235	0.79275433671595	0.961658500723402	0.33622117481182	-0.791411001662966	2.31612889543944	1	GO:0032508	79	0.708860759493671
53	a1	0.656553721398485	0.716483641050397	0.916355494782753	0.359480470022562	-0.747728410572417	2.06083585336939	1	GO:0030030	205	0.712195121951219
54	a1	0.522076880134282	0.947786171697971	0.550838254159136	0.581744557935	-1.33554988143884	2.3797036417074	1	GO:1903203	2	1
55	a1	0.522076880134282	0.947786171697971	0.550838254159136	0.581744557935	-1.33554988143884	2.3797036417074	1	GO:2000740	2	1
56	a1	0.296095778331008	0.983100881487541	0.301185548611229	0.763273009039985	-1.63074654255415	2.22293809921617	0	GO:0061400	1	1
57	a1	0.167520272618521	0.959582486286555	0.174576208937285	0.861412643996576	-1.71322684069853	2.04826738593557	1	GO:0042744	27	0.740740740740741
58	a1	0.11929457244536	0.968565143125992	0.123166287050495	0.901975421299377	-1.77905822476247	2.01764736965319	1	GO:0002862	26	0.846153846153846
59	a1	0.069764288983118	0.990011293272993	0.0704681749159407	0.943821030297535	-1.87062219011987	2.01015076808611	1	GO:0051142	4	0.75
60	a1	0.0323361015587399	0.998623666466284	0.0323806681581701	0.974168478978299	-1.92493031882452	1.989602521942	0	GO:2000706	1	1
61	a1	0.0323361015587399	0.998623666466284	0.0323806681581701	0.974168478978299	-1.92493031882452	1.989602521942	0	GO:2000798	1	1
62	a1	0.0273450031247673	0.99555139558969	0.0274671938042638	0.978087105521588	-1.92389987698961	1.97858988323915	1	GO:0071395	4	0.75
63	a1	0.00987016959999448	0.99962389027805	0.00987388326348328	0.992121908999642	-1.9493566534308	1.96909699263079	0	GO:0043461	1	1
64	a1	0.000931733438584726	0.999971056098402	0.000931760407366269	0.999256562864168	-1.95897552209677	1.96083898897394	0	GO:0048264	1	1
65	a1	0.000931649558247949	0.999971056098682	0.000931676524601338	0.999256629792902	-1.95897560597765	1.96083890509415	0	GO:1903772	1	1
66	a1	0.000928987423394269	0.99997107441662	0.00092901429567474	0.99925875394334	-1.958978304015	1.96083627886179	0	GO:1905396	1	1
67	a1	0.000918678007203577	0.999971391883368	0.000918704289603045	0.999266980134496	-1.95898923565459	1.96082659166899	0	GO:0000709	1	1
68	a1	0.000918678007203577	0.999971391883368	0.000918704289603045	0.999266980134496	-1.95898923565459	1.96082659166899	0	GO:0010774	1	1
69	a1	0.000896303330225057	0.999972082551133	0.000896328353426032	0.999284833541153	-1.95901296401551	1.96080557067596	0	GO:1902905	1	1
70	a1	-0.00046578577507008	0.999971051116827	-0.000465799259438424	0.9996283459759	-1.96037303154671	1.95944145999657	0	GO:0006260	138	0.702898550724638
71	a1	-0.000424825485080619	0.999971051171077	-0.000424837783636938	0.999661028501787	-1.96033207136305	1.95948242039289	0	GO:0071363	68	0.705882352941177
72	a1	-0.000421074870520286	0.999971051176401	-0.00042108706049532	0.999664021145606	-1.96032832075893	1.95948617101789	0	GO:1905515	55	0.818181818181818
73	a1	-0.000419769030694112	0.999971051181909	-0.000419781182863213	0.999665063085115	-1.96032701492989	1.95948747686851	0	GO:0071560	62	0.709677419354839
74	a1	-0.000418433341608846	0.999971051183058	-0.000418445455109726	0.999666128841573	-1.96032567924306	1.95948881255984	0	GO:0006665	59	0.728813559322034
75	a1	-0.000417066303846959	0.999971051186163	-0.000417078377771273	0.99966721961138	-1.96032431221139	1.95949017960369	0	GO:0034644	56	0.75
76	a1	-0.000417066303846959	0.999971051186163	-0.000417078377771273	0.99966721961138	-1.96032431221139	1.95949017960369	0	GO:0051496	56	0.75
77	a1	-0.00041566643502592	0.999971051189345	-0.000415678468423196	0.999668336577338	-1.9603229123488	1.95949157947875	0	GO:0006890	55	0.745454545454545
78	a1	-0.00041566643502592	0.999971051189345	-0.000415678468423196	0.999668336577338	-1.9603229123488	1.95949157947875	0	GO:0034446	58	0.706896551724138
79	a1	-0.000409704279401565	0.999971051203829	-0.000409716140190596	0.999673093826576	-1.96031695022156	1.95949754166276	0	GO:0008277	50	0.74
80	a1	-0.000409704279401565	0.999971051203829	-0.000409716140190596	0.999673093826576	-1.96031695022156	1.95949754166276	0	GO:0042149	49	0.755102040816326
81	a1	-0.000409704279401565	0.999971051203829	-0.000409716140190596	0.999673093826576	-1.96031695022156	1.95949754166276	0	GO:1900026	43	0.86046511627907
82	a1	-0.000409704279401565	0.999971051203829	-0.000409716140190596	0.999673093826576	-1.96031695022156	1.95949754166276	0	GO:0120009	49	0.755102040816326
83	a1	-0.00040647759574797	0.999971051208766	-0.000406489363123682	0.999675668421965	-1.96031372354759	1.95950076835609	0	GO:0007029	42	0.833333333333333
84	a1	-0.00040479458294725	0.999971051214435	-0.00040480630159807	0.99967701131066	-1.9603120405459	1.95950245138	0	GO:0060173	48	0.708333333333333
85	a1	-0.00040479458294725	0.999971051214435	-0.00040480630159807	0.99967701131066	-1.9603120405459	1.95950245138	0	GO:0006259	48	0.708333333333333
86	a1	-0.00040479458294725	0.999971051214435	-0.00040480630159807	0.99967701131066	-1.9603120405459	1.95950245138	0	GO:0000723	45	0.755555555555556
87	a1	-0.000401275201577597	0.999971051222811	-0.00040128681834029	0.999679819451786	-1.96030852118094	1.95950597077779	0	GO:0007098	45	0.711111111111111
88	a1	-0.000401275201577597	0.999971051222811	-0.00040128681834029	0.999679819451786	-1.96030852118094	1.95950597077779	0	GO:0045184	43	0.744186046511628
89	a1	-0.000401275201577597	0.999971051222811	-0.00040128681834029	0.999679819451786	-1.96030852118094	1.95950597077779	0	GO:0030488	37	0.864864864864865
90	a1	-0.000401275201577597	0.999971051222811	-0.00040128681834029	0.999679819451786	-1.96030852118094	1.95950597077779	0	GO:0016339	42	0.761904761904762
91	a1	-0.000399432312427328	0.99997105122974	-0.000399443875836321	0.999681289907038	-1.96030667830538	1.95950781368052	0	GO:0007080	43	0.720930232558139
92	a1	-0.000399432312427328	0.99997105122974	-0.000399443875836321	0.999681289907038	-1.96030667830538	1.95950781368052	0	GO:0045494	44	0.704545454545455
93	a1	-0.00039752918431764	0.999971051233951	-0.000397540692630146	0.999682808427414	-1.96030477518552	1.95950971681688	0	GO:0000077	38	0.789473684210526
94	a1	-0.00039752918431764	0.999971051233951	-0.000397540692630146	0.999682808427414	-1.96030477518552	1.95950971681688	0	GO:0051225	38	0.789473684210526
95	a1	-0.00039752918431764	0.999971051233951	-0.000397540692630146	0.999682808427414	-1.96030477518552	1.95950971681688	0	GO:0030032	37	0.810810810810811
96	a1	-0.000395561684511915	0.9999710512387	-0.000395573135864201	0.999684378310457	-1.96030280769502	1.959511684326	0	GO:0006024	41	0.707317073170732
97	a1	-0.000395561684511915	0.9999710512387	-0.000395573135864201	0.999684378310457	-1.96030280769502	1.959511684326	0	GO:0000070	36	0.805555555555556
98	a1	-0.000393525265935241	0.999971051246122	-0.000393536658331105	0.999686003184312	-1.96030077129099	1.95951372075912	0	GO:0045214	40	0.7
99	a1	-0.000391414968954248	0.999971051252443	-0.000391426300255401	0.999687687006309	-1.9602986610064	1.95951583106849	0	GO:0006303	36	0.75
100	a1	-0.000391414968954248	0.999971051252443	-0.000391426300255401	0.999687687006309	-1.9602986610064	1.95951583106849	0	GO:0006730	36	0.75
101	a1	-0.000391414968954248	0.999971051252443	-0.000391426300255401	0.999687687006309	-1.9602986610064	1.95951583106849	0	GO:0071897	38	0.710526315789474
102	a1	-0.000389225182975147	0.999971051260009	-0.000389236450879958	0.999689434253183	-1.96029647123525	1.9595180208693	0	GO:0036297	36	0.722222222222222
103	a1	-0.000389225182975147	0.999971051260009	-0.000389236450879958	0.999689434253183	-1.96029647123525	1.9595180208693	0	GO:0042073	31	0.838709677419355
104	a1	-0.000389225182975147	0.999971051260009	-0.000389236450879958	0.999689434253183	-1.96029647123525	1.9595180208693	0	GO:0031297	33	0.787878787878788
105	a1	-0.000389225182975147	0.999971051260009	-0.000389236450879958	0.999689434253183	-1.96029647123525	1.9595180208693	0	GO:0044255	34	0.764705882352941
106	a1	-0.00038694966849066	0.999971051269146	-0.000386960870516752	0.999691249903485	-1.96029419573867	1.95952029640169	0	GO:0071704	35	0.714285714285714
107	a1	-0.00038694966849066	0.999971051269146	-0.000386960870516752	0.999691249903485	-1.96029419573867	1.95952029640169	0	GO:1900182	34	0.735294117647059
108	a1	-0.00038694966849066	0.999971051269146	-0.000386960870516752	0.999691249903485	-1.96029419573867	1.95952029640169	0	GO:0048678	35	0.714285714285714
109	a1	-0.000384581495275307	0.999971051274677	-0.000384592628741678	0.999693139486893	-1.9602918275763	1.95952266458575	0	GO:0001676	33	0.727272727272727
110	a1	-0.000384581495275307	0.999971051274677	-0.000384592628741678	0.999693139486893	-1.9602918275763	1.95952266458575	0	GO:0006261	32	0.75
111	a1	-0.000384581495275307	0.999971051274677	-0.000384592628741678	0.999693139486893	-1.9602918275763	1.95952266458575	0	GO:0006626	31	0.774193548387097
112	a1	-0.000384581495275307	0.999971051274677	-0.000384592628741678	0.999693139486893	-1.9602918275763	1.95952266458575	0	GO:0006400	31	0.774193548387097
113	a1	-0.000384581495275307	0.999971051274677	-0.000384592628741678	0.999693139486893	-1.9602918275763	1.95952266458575	0	GO:0010634	34	0.705882352941177
114	a1	-0.000382112654476227	0.999971051285281	-0.000382123716466683	0.999695109393735	-1.96028935875628	1.95952513344733	0	GO:0006506	31	0.741935483870968
115	a1	-0.000382112654476227	0.999971051285281	-0.000382123716466683	0.999695109393735	-1.96028935875628	1.95952513344733	0	GO:0051881	32	0.71875
116	a1	-0.000379534286580463	0.999971051294422	-0.000379545273924851	0.99969716669308	-1.9602867804063	1.95952771183314	0	GO:0051497	28	0.785714285714286
117	a1	-0.000379534286580463	0.999971051294422	-0.000379545273924851	0.99969716669308	-1.9602867804063	1.95952771183314	0	GO:0043001	30	0.733333333333333
118	a1	-0.000379534286580463	0.999971051294422	-0.000379545273924851	0.99969716669308	-1.9602867804063	1.95952771183314	0	GO:0048041	30	0.733333333333333
119	a1	-0.000379534286580463	0.999971051294422	-0.000379545273924851	0.99969716669308	-1.9602867804063	1.95952771183314	0	GO:0006997	30	0.733333333333333
120	a1	-0.000379534286580463	0.999971051294422	-0.000379545273924851	0.99969716669308	-1.9602867804063	1.95952771183314	0	GO:0007628	31	0.709677419354839
121	a1	-0.000379534286580463	0.999971051294422	-0.000379545273924851	0.99969716669308	-1.9602867804063	1.95952771183314	0	GO:0001958	28	0.785714285714286
122	a1	-0.000379534286580463	0.999971051294422	-0.000379545273924851	0.99969716669308	-1.9602867804063	1.95952771183314	0	GO:0097193	31	0.709677419354839
123	a1	-0.000376836142156145	0.999971051306201	-0.000376847051386044	0.999699319563032	-1.96028408228497	1.95953041000065	0	GO:0035307	30	0.7
124	a1	-0.000376836142156145	0.999971051306201	-0.000376847051386044	0.999699319563032	-1.96028408228497	1.95953041000065	0	GO:0051968	26	0.807692307692308
125	a1	-0.000376836142156145	0.999971051306201	-0.000376847051386044	0.999699319563032	-1.96028408228497	1.95953041000065	0	GO:0019228	29	0.724137931034483
126	a1	-0.000376836142156145	0.999971051306201	-0.000376847051386044	0.999699319563032	-1.96028408228497	1.95953041000065	0	GO:0070979	30	0.7
127	a1	-0.000376836142156145	0.999971051306201	-0.000376847051386044	0.999699319563032	-1.96028408228497	1.95953041000065	0	GO:0035249	29	0.724137931034483
128	a1	-0.000374006571860788	0.99997105131762	-0.000374017399171681	0.999701577298687	-1.96028125273705	1.95953323959333	0	GO:0051493	26	0.769230769230769
129	a1	-0.000374006571860788	0.99997105131762	-0.000374017399171681	0.999701577298687	-1.96028125273705	1.95953323959333	0	GO:0001510	28	0.714285714285714
130	a1	-0.000374006571860788	0.99997105131762	-0.000374017399171681	0.999701577298687	-1.96028125273705	1.95953323959333	0	GO:0046580	28	0.714285714285714
131	a1	-0.000374006571860788	0.99997105131762	-0.000374017399171681	0.999701577298687	-1.96028125273705	1.95953323959333	0	GO:0006893	27	0.740740740740741
132	a1	-0.000374006571860788	0.99997105131762	-0.000374017399171681	0.999701577298687	-1.96028125273705	1.95953323959333	0	GO:0051894	26	0.769230769230769
133	a1	-0.000374006571860788	0.99997105131762	-0.000374017399171681	0.999701577298687	-1.96028125273705	1.95953323959333	0	GO:0006904	27	0.740740740740741
134	a1	-0.000374006571860788	0.99997105131762	-0.000374017399171681	0.999701577298687	-1.96028125273705	1.95953323959333	0	GO:0035774	27	0.740740740740741
135	a1	-0.000374006571860788	0.99997105131762	-0.000374017399171681	0.999701577298687	-1.96028125273705	1.95953323959333	0	GO:0006270	26	0.769230769230769
136	a1	-0.000374006571860788	0.99997105131762	-0.000374017399171681	0.999701577298687	-1.96028125273705	1.95953323959333	0	GO:0051924	28	0.714285714285714
137	a1	-0.000371032047843125	0.999971051331736	-0.000371042789037737	0.999703950694023	-1.9602782782407	1.95953621414501	0	GO:0006672	27	0.703703703703704
138	a1	-0.000371032047843125	0.999971051331736	-0.000371042789037737	0.999703950694023	-1.9602782782407	1.95953621414501	0	GO:0010821	22	0.863636363636364
139	a1	-0.000371032047843125	0.999971051331736	-0.000371042789037737	0.999703950694023	-1.9602782782407	1.95953621414501	0	GO:0044772	24	0.791666666666667
140	a1	-0.000371032047843125	0.999971051331736	-0.000371042789037737	0.999703950694023	-1.9602782782407	1.95953621414501	0	GO:0070372	27	0.703703703703704
141	a1	-0.000371032047843125	0.999971051331736	-0.000371042789037737	0.999703950694023	-1.9602782782407	1.95953621414501	0	GO:0070542	25	0.76
142	a1	-0.0003678969296298	0.999971051345676	-0.000367907580059158	0.999706452228691	-1.96027514314981	1.95953934929055	0	GO:0090303	25	0.72
143	a1	-0.0003678969296298	0.999971051345676	-0.000367907580059158	0.999706452228691	-1.96027514314981	1.95953934929055	0	GO:0032967	25	0.72
144	a1	-0.0003678969296298	0.999971051345676	-0.000367907580059158	0.999706452228691	-1.96027514314981	1.95953934929055	0	GO:0035024	24	0.75
145	a1	-0.0003678969296298	0.999971051345676	-0.000367907580059158	0.999706452228691	-1.96027514314981	1.95953934929055	0	GO:0007094	25	0.72
146	a1	-0.0003678969296298	0.999971051345676	-0.000367907580059158	0.999706452228691	-1.96027514314981	1.95953934929055	0	GO:0035235	23	0.782608695652174
147	a1	-0.0003678969296298	0.999971051345676	-0.000367907580059158	0.999706452228691	-1.96027514314981	1.95953934929055	0	GO:0043278	25	0.72
148	a1	-0.0003678969296298	0.999971051345676	-0.000367907580059158	0.999706452228691	-1.96027514314981	1.95953934929055	0	GO:0006687	23	0.782608695652174
149	a1	-0.0003678969296298	0.999971051345676	-0.000367907580059158	0.999706452228691	-1.96027514314981	1.95953934929055	0	GO:0033365	24	0.75
150	a1	-0.0003678969296298	0.999971051345676	-0.000367907580059158	0.999706452228691	-1.96027514314981	1.95953934929055	0	GO:0000038	22	0.818181818181818
151	a1	-0.0003678969296298	0.999971051345676	-0.000367907580059158	0.999706452228691	-1.96027514314981	1.95953934929055	0	GO:0032874	23	0.782608695652174
152	a1	-0.000364582808006346	0.999971051362697	-0.00036459336248736	0.999709096591545	-1.96027182906155	1.95954266344553	0	GO:0006509	22	0.772727272727273
153	a1	-0.000364582808006346	0.999971051362697	-0.00036459336248736	0.999709096591545	-1.96027182906155	1.95954266344553	0	GO:1901214	22	0.772727272727273
154	a1	-0.000364582808006346	0.999971051362697	-0.00036459336248736	0.999709096591545	-1.96027182906155	1.95954266344553	0	GO:0006471	24	0.708333333333333
155	a1	-0.000364582808006346	0.999971051362697	-0.00036459336248736	0.999709096591545	-1.96027182906155	1.95954266344553	0	GO:0090141	22	0.772727272727273
156	a1	-0.000364582808006346	0.999971051362697	-0.00036459336248736	0.999709096591545	-1.96027182906155	1.95954266344553	0	GO:2000463	24	0.708333333333333
157	a1	-0.000364582808006346	0.999971051362697	-0.00036459336248736	0.999709096591545	-1.96027182906155	1.95954266344553	0	GO:0030166	23	0.739130434782609
158	a1	-0.000364582808006346	0.999971051362697	-0.00036459336248736	0.999709096591545	-1.96027182906155	1.95954266344553	0	GO:0001508	21	0.80952380952381
159	a1	-0.000364582808006346	0.999971051362697	-0.00036459336248736	0.999709096591545	-1.96027182906155	1.95954266344553	0	GO:0001556	19	0.894736842105263
160	a1	-0.000364582808006346	0.999971051362697	-0.00036459336248736	0.999709096591545	-1.96027182906155	1.95954266344553	0	GO:0060122	24	0.708333333333333
161	a1	-0.000364582808006346	0.999971051362697	-0.00036459336248736	0.999709096591545	-1.96027182906155	1.95954266344553	0	GO:0003351	23	0.739130434782609
162	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:2000060	21	0.761904761904762
163	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0038096	21	0.761904761904762
164	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0031643	18	0.888888888888889
165	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:1900273	22	0.727272727272727
166	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0031589	19	0.842105263157895
167	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0015918	22	0.727272727272727
168	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0048593	22	0.727272727272727
169	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0032402	21	0.761904761904762
170	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0043277	22	0.727272727272727
171	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0060135	20	0.8
172	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0006977	21	0.761904761904762
173	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0030837	20	0.8
174	a1	-0.000361067974286968	0.999971051382657	-0.000361078427008182	0.999711901104111	-1.96026831426695	1.95954617831837	0	GO:0048278	21	0.761904761904762
175	a1	-0.000357326582296276	0.999971051399742	-0.000357336926700125	0.999714886389249	-1.96026457290844	1.95954991974385	0	GO:0019226	21	0.714285714285714
176	a1	-0.000357326582296276	0.999971051399742	-0.000357336926700125	0.999714886389249	-1.96026457290844	1.95954991974385	0	GO:0014850	20	0.75
