Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.90208025654254	0.643398339588107	4.51054980713877	6.46598166560905e-06	1.64104268323698	4.1631178298481	1	GO:0030949	14	0.714285714285714
2	a1	2.89798377389015	0.675287212718964	4.29148326712979	1.77483579173095e-05	1.57444515774054	4.22152239003976	1	GO:0030836	8	0.875
3	a1	2.09396572821813	0.67714497351095	3.09234478602279	0.00198582052319493	0.766785967824336	3.42114548861192	1	GO:0007020	25	0.84
4	a1	2.17063276676951	0.751299172656083	2.88917231080613	0.00386257353147162	0.698113446748845	3.64315208679017	1	GO:0000389	6	0.833333333333333
5	a1	2.22992596784386	0.779238227463953	2.86167424704149	0.00421409787713983	0.702647106637676	3.75720482905003	1	GO:0051049	3	1
6	a1	2.22992593698547	0.779238228142189	2.86167420495003	0.0042140984367381	0.702647074449972	3.75720479952097	1	GO:0017187	4	0.75
7	a1	2.22918858713968	0.779255340343357	2.86066513982112	0.00422753315903056	0.701876185306198	3.75650098897316	1	GO:0046886	3	1
8	a1	2.11851886703072	0.744875826168216	2.84412353388992	0.00445337780044772	0.6585890747865	3.57844865927494	1	GO:0043619	6	1
9	a1	2.11282362852083	0.745223603268594	2.83515393132191	0.00458036101479976	0.652212205685224	3.57343505135644	1	GO:0006415	7	0.857142857142857
10	a1	2.21147018301719	0.780096807370699	2.83486634238501	0.00458448615328637	0.682508536115944	3.74043182991845	1	GO:0006556	4	0.75
11	a1	2.1703904492744	0.783408727012217	2.77044456417008	0.0055979828470521	0.63493755915608	3.70584333939271	1	GO:0036071	4	0.75
12	a1	2.14963210346277	0.785261742149376	2.73747209125319	0.00619133731779574	0.610547370412818	3.68871683651273	1	GO:0009220	3	1
13	a1	2.14963210346277	0.785261742149376	2.73747209125319	0.00619133731779574	0.610547370412818	3.68871683651273	1	GO:0044205	3	1
14	a1	2.10596761261898	0.770909960533938	2.73179452910477	0.00629904112117355	0.595011854649272	3.6169233705887	1	GO:0006225	4	1
