Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	3.09342099439471	0.49434752703239	6.2575836334507	3.90987992336292e-10	2.12451764556479	4.06232434322464	1	GO:0001578	32	0.75
2	a1	2.41733851423516	0.544660453982699	4.43824863097541	9.06938201698007e-06	1.34982364062584	3.48485338784449	1	GO:0048286	42	0.714285714285714
3	a1	2.41042151532179	0.563974349921583	4.27399138924837	1.92004453614279e-05	1.3050521012711	3.51579092937248	1	GO:0031116	31	0.838709677419355
4	a1	2.74250029965829	0.649304973943594	4.22374756041301	2.40273170952468e-05	1.46988593574612	4.01511466357045	1	GO:0070973	9	0.777777777777778
5	a1	2.44198103631716	0.618603729040007	3.94756921382741	7.89486977894472e-05	1.22954000669658	3.65442206593775	1	GO:0090110	14	0.928571428571429
6	a1	2.61116906225877	0.664282223821835	3.9308127910391	8.46591745400227e-05	1.30919982799779	3.91313829651974	1	GO:0045839	8	0.875
7	a1	2.46200475178742	0.634055419337405	3.88294883491453	0.000103197289048825	1.21927896568366	3.70473053789117	1	GO:0070166	15	0.733333333333333
8	a1	1.84514292126586	0.477851413045136	3.8613319347694	0.000112770572134229	0.908571361735826	2.7817144807959	1	GO:0000226	150	0.733333333333333
9	a1	2.8727037724359	0.758920435630093	3.78525025492407	0.000153553975891613	1.38524705146947	4.36016049340233	1	GO:0060435	5	0.8
10	a1	2.3493198670711	0.639302040278385	3.67481991148986	0.000238017241169833	1.09631089288249	3.60232884125971	1	GO:0032480	14	0.857142857142857
11	a1	2.30637434476435	0.629299228575496	3.66498835535703	0.000247349836931137	1.07297052125754	3.53977816827116	1	GO:0043129	16	0.875
12	a1	2.25954672599011	0.628511251090811	3.59507760930065	0.000324294887909536	1.02768730997391	3.49140614200631	1	GO:0055091	17	0.882352941176471
13	a1	1.74668728653349	0.490707635686291	3.55952742428925	0.000371522737080121	0.784917993649559	2.70845657941742	1	GO:0001666	162	0.703703703703704
14	a1	2.09355092763639	0.601264664938585	3.48191245838508	0.000497846418328877	0.91509383918022	3.27200801609256	1	GO:0007588	33	0.727272727272727
15	a1	2.06929829996122	0.619920558648225	3.338005605869	0.000843820469443969	0.854276331734748	3.28432026818769	1	GO:0032967	25	0.84
16	a1	2.14366430283037	0.645250026562046	3.32222272698231	0.000893033783695186	0.878997489745243	3.40833111591549	1	GO:0042176	19	0.789473684210526
17	a1	1.25301315090114	0.391005147483189	3.20459502634812	0.00135252635173497	0.48665714406432	2.01936915773797	1	GO:0015031	722	0.743767313019391
18	a1	2.03132202184761	0.636868147368252	3.18954877903958	0.00142495088819883	0.783083390105085	3.27956065359013	1	GO:0045022	24	0.791666666666667
19	a1	1.97879579542738	0.628954168650827	3.14616850329827	0.00165424669333375	0.746068276945429	3.21152331390933	1	GO:0007020	25	0.88
20	a1	1.82150533081687	0.597710886213582	3.04746888977689	0.00230777413115949	0.650013520670726	2.992997140963	1	GO:0007098	45	0.8
21	a1	1.96010634574646	0.671651049235026	2.91834033160362	0.00351900043292659	0.643694479067275	3.27651821242566	1	GO:0061001	21	0.714285714285714
22	a1	1.53399340879317	0.544203202589312	2.81878791138026	0.00482053579029031	0.467374731446768	2.60061208613958	1	GO:0006888	127	0.740157480314961
23	a1	1.77634770389891	0.631598021759047	2.81246559156669	0.00491632831602801	0.538438328544429	3.01425707925338	1	GO:0071479	36	0.805555555555556
24	a1	1.70864422577274	0.617810528832329	2.76564439424835	0.00568104478090786	0.497757839991731	2.91953061155375	1	GO:0048146	49	0.73469387755102
25	a1	1.26308588002234	0.47794699716102	2.64273211783943	0.00822400732045063	0.32632697906767	2.199844780977	1	GO:0006886	344	0.723837209302326
26	a1	1.93771968055689	0.758329764795979	2.55524676797859	0.0106112540555068	0.451420653152038	3.42401870796174	1	GO:1903223	5	0.8
27	a1	1.93771283680623	0.758330365407976	2.55523571941334	0.0106115909047892	0.451412632223502	3.42401304138897	1	GO:0060744	5	0.8
28	a1	1.93771283677077	0.758330365413104	2.55523571934931	0.0106115909067416	0.451412632177992	3.42401304136356	1	GO:0016202	5	0.8
29	a1	1.93771283677075	0.758330365413106	2.55523571934927	0.0106115909067426	0.451412632177967	3.42401304136354	1	GO:0061035	5	0.8
30	a1	1.93492602789203	0.758579607878633	2.55072243940626	0.0107499900245333	0.448137317043391	3.42171473874067	1	GO:1902037	4	1
31	a1	1.97051055433991	0.776637776223876	2.53723243275753	0.0111732742923046	0.448328483907831	3.49269262477198	1	GO:0051049	3	1
32	a1	1.97051054507246	0.776637776903176	2.53723241860553	0.0111732747440171	0.448328473308987	3.49269261683594	1	GO:0072277	3	1
33	a1	1.97051054507246	0.776637776903176	2.53723241860553	0.0111732747440171	0.448328473308987	3.49269261683594	1	GO:0014707	3	1
34	a1	1.97050983820073	0.776637828649553	2.53723133938393	0.0111733091913357	0.44832766501622	3.49269201138525	1	GO:0017187	4	0.75
35	a1	1.9705091268232	0.776637880725993	2.53723025328251	0.0111733438583445	0.448326851570741	3.49269140207566	1	GO:0045639	4	0.75
36	a1	1.97049418724729	0.776638974587907	2.53720744351371	0.0111740719399114	0.448309768064876	3.49267860642971	1	GO:0060379	3	1
37	a1	1.97048900841765	0.776639353867329	2.53719953618815	0.0111743243494113	0.448303845861226	3.49267417097407	1	GO:0051098	4	0.75
38	a1	1.97048900841765	0.776639353867329	2.53719953618815	0.0111743243494113	0.448303845861226	3.49267417097407	1	GO:1990402	3	1
