Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.60094796307769	0.503170516449667	5.16911837646965	2.35200889733511e-07	1.61475187275393	3.58714405340146	1	GO:0001578	32	0.84375
2	a1	2.64281325083197	0.551728188186092	4.79006385285606	1.6672824845399e-06	1.56144587273169	3.72418062893224	1	GO:0042176	19	0.842105263157895
3	a1	1.98651648703745	0.4961733976446	4.00367391010421	6.23663157074205e-05	1.01403449756716	2.95899847650773	1	GO:0001938	73	0.767123287671233
4	a1	2.58255203449631	0.659908307705935	3.91350132183384	9.09674022998691e-05	1.2891555182939	3.87594855069872	1	GO:0045589	7	0.857142857142857
5	a1	2.63384730274204	0.677788376904618	3.88594344855915	0.000101933235701733	1.30540649486913	3.96228811061495	1	GO:0060754	6	0.833333333333333
6	a1	2.6237396261937	0.67862627370034	3.86625117222069	0.000110521114996269	1.29365657077841	3.95382268160899	1	GO:0061035	5	1
7	a1	2.4887398349359	0.651762329415446	3.81847756860696	0.000134277791323101	1.2113091428017	3.7661705270701	1	GO:0007144	9	0.777777777777778
8	a1	2.39092164579471	0.634613340135881	3.76752503387776	0.000164874011757305	1.14710235501972	3.63474093656971	1	GO:0043304	10	0.9
9	a1	2.45963578530629	0.65560749211067	3.7516895625883	0.000175646872536803	1.17466871277475	3.74460285783783	1	GO:0032964	9	0.777777777777778
10	a1	2.54953743073283	0.685922930824446	3.71694444982092	0.000201646757765066	1.20515319014675	3.8939216713189	1	GO:1900748	6	0.833333333333333
11	a1	2.30880416401354	0.632934610039702	3.64777676459929	0.000264519308890194	1.06827512376682	3.54933320426025	1	GO:0030949	14	0.714285714285714
12	a1	2.24276828402739	0.621120277014745	3.6108437721703	0.000305202471726721	1.02539491101094	3.46014165704383	1	GO:0090110	14	0.857142857142857
13	a1	2.24092845330263	0.631605373274565	3.54798826628802	0.000388185514377253	1.0030046692425	3.47885223736275	1	GO:0010867	14	0.785714285714286
14	a1	1.53252230699313	0.438393610501684	3.49576789050223	0.000472699690741275	0.673286619357348	2.39175799462891	1	GO:0001701	235	0.736170212765957
15	a1	2.324897548602	0.672301477554016	3.45811756514429	0.000543963954708078	1.00721086584307	3.64258423136094	1	GO:0045839	8	0.875
16	a1	2.0979581852729	0.608566631183182	3.44737630650899	0.000566059543802325	0.905189505960991	3.29072686458481	1	GO:0051604	20	0.8
17	a1	2.62747176863783	0.763605546987156	3.44087569688912	0.000579834842706661	1.13083239814799	4.12411113912766	1	GO:0060435	5	0.8
18	a1	1.61712921074952	0.477053413819185	3.38982840056239	0.000699363864007193	0.68212170096203	2.552136720537	1	GO:0008283	159	0.748427672955975
19	a1	1.49084936513119	0.474263592528014	3.14350371527439	0.00166938296549584	0.561309804597704	2.42038892566468	1	GO:0001666	162	0.734567901234568
20	a1	1.7992638062732	0.590360364198058	3.0477381534875	0.00230570742462082	0.642178754545056	2.95634885800134	1	GO:0048286	42	0.738095238095238
21	a1	1.82039395340771	0.598707394643329	3.04054028678263	0.00236154095921404	0.646949022628973	2.99383888418644	1	GO:0031116	31	0.806451612903226
22	a1	1.60264427974623	0.528096526947879	3.03475633329511	0.00240730090718246	0.567594106567699	2.63769445292476	1	GO:0031647	87	0.747126436781609
23	a1	1.84079475046224	0.616916777323165	2.98386235895472	0.0028463478137642	0.631660085450324	3.04992941547416	1	GO:0048010	27	0.777777777777778
24	a1	1.70107265868531	0.596254483976665	2.85293059322617	0.00433180815658077	0.532435344470532	2.86970997290009	1	GO:0001657	42	0.714285714285714
25	a1	1.92556934773445	0.686245628523065	2.80594770691458	0.00501688333293891	0.580552631281191	3.27058606418771	1	GO:0000288	12	0.833333333333333
26	a1	1.43304608990823	0.543680696327436	2.63582301080112	0.00839334979878822	0.367451506016797	2.49864067379966	1	GO:0042060	103	0.766990291262136
27	a1	1.55886039188136	0.594752904388355	2.62102190738268	0.00876666282519273	0.393166119579586	2.72455466418312	1	GO:0007098	45	0.822222222222222
28	a1	1.52363841294991	0.584160136008582	2.60825468742278	0.00910052150761422	0.378705585169073	2.66857124073075	1	GO:0071363	68	0.705882352941177
29	a1	1.5422984797201	0.594301379442126	2.59514538089726	0.00945509161826793	0.377489180051062	2.70710777938914	1	GO:0042552	53	0.716981132075472
30	a1	1.77313781147051	0.691043273069772	2.56588535128029	0.0102912837541323	0.418717884495081	3.12755773844594	1	GO:0001833	13	0.923076923076923
31	a1	1.53628121489908	0.608431926957936	2.52498454934842	0.0115703376111613	0.343776551017218	2.72878587878093	1	GO:0030838	55	0.709090909090909
32	a1	1.58446345568811	0.631422587914746	2.50935504369705	0.0120951846480717	0.346897924350135	2.82202898702609	1	GO:0061025	39	0.846153846153846
33	a1	1.34004222803209	0.545468660335792	2.45668051251039	0.0140227332932414	0.270943299078627	2.40914115698555	1	GO:0051056	126	0.746031746031746
34	a1	1.45743937278956	0.593860714178488	2.45417711256704	0.0141207413510797	0.293493761166492	2.62138498441263	1	GO:0043434	61	0.704918032786885
35	a1	1.60433924291427	0.663269890576592	2.41883321662558	0.0155703774467	0.30435414535433	2.90432434047422	1	GO:0045022	24	0.833333333333333
36	a1	1.71564413889725	0.709594595563196	2.41778072948197	0.0156154834754862	0.324864287969121	3.10642398982538	1	GO:0032480	14	0.785714285714286
37	a1	1.70178362644812	0.706080949073747	2.41018204595458	0.0159445623565331	0.317890396093714	3.08567685680252	1	GO:0070166	15	0.733333333333333
38	a1	1.28882839297542	0.538982302668219	2.391225809447	0.0167922214561803	0.232442491441244	2.34521429450959	1	GO:0006888	127	0.724409448818898
39	a1	1.22733851454324	0.515213964390421	2.38219186468554	0.0172099281440335	0.217537700005917	2.23713932908057	1	GO:0008360	160	0.7125
40	a1	1.80816589758056	0.761947190452284	2.37308558944518	0.01764017572308	0.314776846172598	3.30155494898851	1	GO:0010886	7	0.714285714285714
41	a1	1.49418122196254	0.637384048597443	2.34424006256584	0.0190658952413549	0.244931442391221	2.74343100153385	1	GO:0031122	46	0.782608695652174
42	a1	1.81846321435234	0.776129257717376	2.34299016081485	0.0191298875738821	0.297277821878482	3.33964860682621	1	GO:0051049	3	1
43	a1	1.81846319862699	0.7761292591496	2.34299013622997	0.0191298888344201	0.297277803346021	3.33964859390796	1	GO:0072277	3	1
44	a1	1.81846319862699	0.7761292591496	2.34299013622997	0.0191298888344201	0.297277803346021	3.33964859390796	1	GO:0014707	3	1
45	a1	1.81846303548999	0.776129273980738	2.34298988126445	0.0191299019072485	0.297277611140524	3.33964845983946	1	GO:0017187	4	0.75
46	a1	1.81842358375951	0.776132861655865	2.3429282196349	0.0191330637086917	0.29723112769601	3.33961603982302	1	GO:0032348	4	0.75
47	a1	1.81842358375951	0.776132861655865	2.3429282196349	0.0191330637086917	0.29723112769601	3.33961603982302	1	GO:2000065	4	0.75
48	a1	1.81839572067436	0.776135396430351	2.34288466811028	0.0191352971599901	0.297198296544156	3.33959314480456	1	GO:1903241	3	1
