Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	3.17046763317595	0.609019185189766	5.20585838718373	1.93101870237917e-07	1.97681196431008	4.36412330204182	1	GO:0043304	10	0.9
2	a1	2.55327793636654	0.574202051316689	4.44665415337977	8.72180853834657e-06	1.42786259593681	3.67869327679627	1	GO:0031116	31	0.774193548387097
3	a1	2.39783493122506	0.593877507695574	4.0375917595017	5.40027242631577e-05	1.23385640491333	3.56181345753679	1	GO:0006796	30	0.766666666666667
4	a1	2.63708107036452	0.657390025642694	4.01144064786562	6.03493498469444e-05	1.34862029630898	3.92554184442007	1	GO:0010591	11	0.727272727272727
5	a1	2.62518515598217	0.658696078017946	3.9854270331797	6.73588747141009e-05	1.33416456630921	3.91620574565513	1	GO:0045839	8	1
6	a1	2.28779336862467	0.603845135095653	3.78870878584169	0.000151432297350206	1.10427865159746	3.47130808565187	1	GO:0001578	32	0.75
7	a1	2.30872212863481	0.665798339239759	3.46759971085392	0.000525128880882174	1.0037813627583	3.61366289451132	1	GO:0009101	13	0.846153846153846
8	a1	2.66246974952639	0.774856137361836	3.43608267541293	0.000590190839274158	1.14377962709737	4.18115987195541	1	GO:0060435	5	0.8
9	a1	1.97307189380765	0.577055582073601	3.41920597443591	0.000628041661559983	0.842063735865593	3.1040800517497	1	GO:0045669	66	0.712121212121212
10	a1	1.77142300049715	0.619989142322707	2.85718390786773	0.00427418111326479	0.556266610738771	2.98657939025554	1	GO:0042552	53	0.735849056603774
11	a1	1.99786014017857	0.759065688484359	2.63199900942399	0.00848841103681241	0.510118728849132	3.48560155150802	1	GO:0070120	5	0.8
12	a1	1.99771333793467	0.759076767204837	2.631767199635	0.00849420444923595	0.509950212712091	3.48547646315724	1	GO:1903223	5	0.8
13	a1	1.70590903336947	0.648496938610213	2.6305583446938	0.00852447360105562	0.434878389608976	2.97693967712997	1	GO:0061025	39	0.82051282051282
14	a1	1.70552636091348	0.648556511449571	2.62972667886952	0.00854535408016035	0.434378956533384	2.97667376529358	1	GO:0008333	44	0.727272727272727
15	a1	1.99196124818105	0.759536368384993	2.62260153837869	0.00872612613661487	0.503297321198116	3.48062517516398	1	GO:0045639	4	1
16	a1	1.99017024037671	0.759688415109097	2.61971908587142	0.00880022252300867	0.501208307290569	3.47913217346286	1	GO:0060011	5	0.8
17	a1	1.9901351392748	0.7596914322208	2.61966247724692	0.00880168331697824	0.50116729275838	3.47910298579122	1	GO:0036006	5	0.8
18	a1	1.9901351392748	0.7596914322208	2.61966247724692	0.00880168331697824	0.50116729275838	3.47910298579122	1	GO:0033007	4	1
19	a1	2.02658823607126	0.777266059650683	2.60732886880721	0.00912516710332311	0.503174752750557	3.55000171939196	1	GO:0072277	3	1
20	a1	2.02658823607126	0.777266059650683	2.60732886880721	0.00912516710332311	0.503174752750557	3.55000171939196	1	GO:0014707	3	1
