Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.74373910154395	0.504184467931026	5.44193499812315	5.27049086687337e-08	1.75555570283465	3.73192250025325	1	GO:0001578	32	0.8125
2	a1	2.86524655365445	0.554345224457421	5.16870431500314	2.35722495242169e-07	1.77874987871614	3.95174322859277	1	GO:0031065	15	0.933333333333333
3	a1	2.16490367136131	0.54378217919073	3.98119643159908	6.85692531105807e-05	1.09911018471277	3.23069715800984	1	GO:0048286	42	0.785714285714286
4	a1	2.29847352596612	0.580855059005676	3.9570517469551	7.58804976218067e-05	1.16001853007711	3.43692852185513	1	GO:0048010	27	0.777777777777778
5	a1	2.4625807162093	0.625250445646203	3.93855091724756	8.19751993465019e-05	1.23711236142512	3.68804907099347	1	GO:0001763	13	0.769230769230769
6	a1	2.35596400104484	0.603145221345147	3.90613059287865	9.37858392706685e-05	1.17382108976092	3.53810691232877	1	GO:0002028	19	0.842105263157895
7	a1	2.58672872691606	0.690759392414403	3.74476084628353	0.000180565691706002	1.23286519580106	3.94059225803106	1	GO:0000389	6	0.833333333333333
8	a1	2.33038912397081	0.628211587163456	3.70956087342029	0.000207619035824231	1.0991170384597	3.56166120948193	1	GO:0055091	17	0.764705882352941
9	a1	2.77084241775953	0.758520111578964	3.65295840606209	0.000259236236336347	1.28417031751546	4.25751451800361	1	GO:0060435	5	0.8
10	a1	2.31360309000051	0.634019664624342	3.64910304693991	0.000263157535584971	1.07094738184663	3.55625879815438	1	GO:0070166	15	0.733333333333333
11	a1	2.38402065305474	0.660374980080815	3.61010141959496	0.000306077304121442	1.08970947580499	3.6783318303045	1	GO:0045839	8	1
12	a1	2.15575000296952	0.607083846022532	3.55099220164312	0.000383781788200553	0.9658875291693	3.34561247676975	1	GO:0042176	19	0.894736842105263
13	a1	2.20490558992136	0.630556567644121	3.49676096176321	0.000470943619499939	0.969037427123691	3.44077375271903	1	GO:0043129	16	0.8125
14	a1	2.11476030650252	0.606481294284182	3.48693410074342	0.000488591733604285	0.926078812408286	3.30344180059675	1	GO:0043647	23	0.782608695652174
15	a1	1.90182786389307	0.552779487722267	3.44048197542491	0.000580679112653111	0.81839997656493	2.98525575122122	1	GO:0008286	58	0.741379310344828
16	a1	1.99419995813561	0.601625804193405	3.31468488258947	0.000917464862757721	0.815035049746591	3.17336486652463	1	GO:0006796	30	0.733333333333333
17	a1	1.85016684494359	0.600361841798307	3.08175289655594	0.00205785588164548	0.673479257326774	3.0268544325604	1	GO:0071773	37	0.72972972972973
18	a1	1.84358201021405	0.601459389731774	3.06518119375642	0.00217538161542609	0.664743268176328	3.02242075225176	1	GO:0031116	31	0.870967741935484
19	a1	2.37657785279237	0.780059799023192	3.0466611095308	0.00231398435142873	0.847688740919363	3.90546696466538	1	GO:1903241	3	1
20	a1	2.0593802410972	0.679147616665192	3.03230135917923	0.00242696773940676	0.728275372247208	3.39048510994719	1	GO:0032480	14	0.714285714285714
21	a1	1.71486805167219	0.586493998018151	2.92393111859111	0.00345641222822682	0.565360938407705	2.86437516493667	1	GO:0042552	53	0.773584905660377
22	a1	1.81830525025384	0.636440053677841	2.8569937415885	0.00427674270599492	0.570905666726534	3.06570483378115	1	GO:0045022	24	0.875
23	a1	1.72801988829699	0.608427125055062	2.84014275027696	0.004509334987897	0.535524635971816	2.92051514062215	1	GO:0000184	40	0.75
24	a1	1.80856112936788	0.640372207241159	2.82423426394393	0.00473937305222668	0.55345466647479	3.06366759226097	1	GO:0048008	29	0.827586206896552
25	a1	1.93556004146612	0.686323079981595	2.82018789389689	0.00479955372108275	0.590391522943594	3.28072855998865	1	GO:0030949	14	0.785714285714286
26	a1	1.6755679929074	0.595911082512813	2.81177518270332	0.00492689263540311	0.507603733194012	2.84353225262079	1	GO:0051781	49	0.755102040816326
27	a1	1.43969787767989	0.513975350695552	2.80110296287862	0.00509282670033865	0.432324701375261	2.44707105398451	1	GO:0007015	143	0.769230769230769
28	a1	1.64901189886864	0.603334789347652	2.73316229725724	0.00627294137427803	0.466497441127183	2.8315263566101	1	GO:0098586	49	0.714285714285714
29	a1	1.66729782438173	0.618414628964021	2.6960840612306	0.00701599586746315	0.45522742409955	2.87936822466391	1	GO:0050885	45	0.777777777777778
30	a1	1.64640900427522	0.632346237387236	2.60365114383845	0.00922365881981095	0.407033153236818	2.88578485531361	1	GO:0071479	36	0.777777777777778
31	a1	1.53804041866833	0.591934200906979	2.59833004464296	0.00936784056019556	0.377870703673151	2.6982101336635	1	GO:0048812	68	0.735294117647059
32	a1	1.4167110330628	0.552320226301135	2.56501747645647	0.0103170608369971	0.334183281579565	2.49923878454604	1	GO:0042060	103	0.796116504854369
33	a1	1.31989792157801	0.51718374329658	2.5520870264886	0.0107079768529914	0.306236411327106	2.33355943182892	1	GO:0001666	162	0.796296296296296
34	a1	1.49069659746244	0.593708315794924	2.51082317327244	0.0120450014671574	0.32704968118246	2.65434351374243	1	GO:0071363	68	0.75
35	a1	1.62975372339424	0.657854609034899	2.47737676533901	0.0132352105847684	0.340382382622157	2.91912506416632	1	GO:0060325	32	0.71875
36	a1	1.61587388597931	0.655594308083858	2.46474666734389	0.0137110153232478	0.330932653665495	2.90081511829313	1	GO:0046676	30	0.8
37	a1	1.70757744367335	0.704100055614548	2.42519146257268	0.0153003151174506	0.327566693156186	3.08758819419051	1	GO:0051145	17	0.764705882352941
38	a1	1.83646167693173	0.757903520893085	2.42308107339007	0.0153894917363809	0.350998072225186	3.32192528163828	1	GO:0072126	5	0.8
