Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.95330366535674	0.506673515127114	5.82881002693779	5.58240086311937e-09	1.96024182378729	3.94636550692619	1	GO:0031116	31	0.806451612903226
2	a1	3.29878823640502	0.641864557176925	5.13938369009481	2.75641045175294e-07	2.0407568213855	4.55681965142454	1	GO:0002043	7	0.857142857142857
3	a1	2.52448957447532	0.543221688544587	4.64725475383539	3.36381643675143e-06	1.4597946293069	3.58918451964375	1	GO:0001578	32	0.8125
4	a1	2.66314636204425	0.599100762995207	4.44523947646108	8.77940150241604e-06	1.48893044346318	3.83736228062532	1	GO:0032793	20	0.7
5	a1	2.67254497219555	0.640118503319826	4.17507845552819	2.97883375039862e-05	1.41793575985101	3.92715418454009	1	GO:2001028	10	0.8
6	a1	2.61744694804957	0.63375921372034	4.13003375948484	3.62709968762764e-05	1.37530171428728	3.85959218181186	1	GO:0043304	10	0.9
7	a1	2.60972792888797	0.646886879622315	4.03428792745289	5.47681283942877e-05	1.34185294275674	3.87760291501921	1	GO:0010591	11	0.727272727272727
8	a1	2.45839681502665	0.622172325710229	3.9513117402326	7.77240009960093e-05	1.23896146445708	3.67783216559622	1	GO:0030949	14	0.857142857142857
9	a1	2.06242807744081	0.525904696098069	3.92167648005983	8.79350078568472e-05	1.03167381378811	3.09318234109351	1	GO:0001938	73	0.767123287671233
10	a1	2.54482602638885	0.655260081785079	3.88368847291316	0.000102883712583508	1.26053986558332	3.82911218719437	1	GO:0045839	8	1
11	a1	2.43290003551508	0.656020777656545	3.70857161598746	0.000208431712092769	1.14712293819829	3.71867713283187	1	GO:0050687	11	0.818181818181818
12	a1	2.39155566650395	0.650362822038105	3.67726380639241	0.000235749196221426	1.11686795842543	3.66624337458246	1	GO:0032480	14	0.714285714285714
13	a1	1.81118862327188	0.507047058781583	3.57203259915184	0.00035422130534198	0.817394649593009	2.80498259695074	1	GO:0045766	139	0.733812949640288
14	a1	2.13631589238951	0.622859688258337	3.42985094823387	0.000603912893589421	0.915533335981327	3.3570984487977	1	GO:0043647	23	0.782608695652174
15	a1	2.15061045222811	0.627821592662836	3.42551208394495	0.00061364163658492	0.920102741892375	3.38111816256385	1	GO:0097746	23	0.739130434782609
16	a1	1.67179792492938	0.48910152576056	3.41809999944226	0.000630599333999462	0.713176549655093	2.63041930020367	1	GO:0046777	185	0.735135135135135
17	a1	2.12041988417722	0.632283169033796	3.35359216886553	0.000797698416146978	0.881167644840126	3.35967212351431	1	GO:0048714	24	0.708333333333333
18	a1	1.31047800530362	0.39802481060159	3.29245305920231	0.000993174756412562	0.530363711571133	2.09059229903612	1	GO:0016310	744	0.704301075268817
19	a1	2.03299272145687	0.628743215078585	3.23342291845292	0.00122316339370667	0.800678664378923	3.26530677853482	1	GO:0035924	29	0.758620689655172
20	a1	1.87102858599596	0.590513635853251	3.16847651331955	0.00153240129918847	0.71364312734379	3.02841404464814	1	GO:0030838	55	0.727272727272727
21	a1	1.91151942380146	0.60467403320965	3.16123947584616	0.00157099281571893	0.726380096323967	3.09665875127895	1	GO:0043536	37	0.783783783783784
22	a1	2.15327951437337	0.713983151925469	3.0158688038596	0.00256244105972408	0.753898251031065	3.55266077771568	1	GO:0072540	7	1
23	a1	2.04963203529062	0.687354531609103	2.98191390473911	0.00286452542564358	0.70244190872638	3.39682216185486	1	GO:0055086	13	0.846153846153846
24	a1	1.99624790779114	0.677584919955978	2.94612210071151	0.00321785349341894	0.668205868209971	3.32428994737231	1	GO:0061003	18	0.722222222222222
25	a1	1.7472820875651	0.594540319702698	2.938879045981	0.00329401596908351	0.582004473590887	2.91255970153932	1	GO:0043434	61	0.737704918032787
26	a1	1.87472350123588	0.652793125426614	2.87184933206934	0.00408077476806875	0.595272486044378	3.15417451642738	1	GO:0001954	27	0.740740740740741
27	a1	1.42733429524294	0.504147953151072	2.83118137507389	0.00463764143450854	0.439222464187252	2.41544612629863	1	GO:0030335	258	0.724806201550388
