Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.40033107457585	0.753201333078398	3.18683859037463	0.00143837020868771	0.924083588634638	3.87657856051707	1	GO:0000389	6	1
2	a1	2.47688602553112	0.785485340519703	3.1533192254006	0.00161425174830263	0.937363047728322	4.01640900333392	1	GO:0016476	3	1
3	a1	2.47630591290404	0.785448718115229	3.15272767755762	0.00161752627356082	0.936854713695034	4.01575711211304	1	GO:1903241	3	1
4	a1	2.37593480786054	0.762585590495807	3.11563034690413	0.001835522063283	0.881294515359551	3.87057510036153	1	GO:1901642	7	0.714285714285714
5	a1	2.43132420612363	0.786668962362292	3.09065734438359	0.00199713959510344	0.889481372138047	3.97316704010922	1	GO:1904823	4	0.75
6	a1	2.43132420612363	0.786668962362292	3.09065734438359	0.00199713959510344	0.889481372138047	3.97316704010922	1	GO:0015855	4	0.75
7	a1	2.43132420612363	0.786668962362292	3.09065734438359	0.00199713959510344	0.889481372138047	3.97316704010922	1	GO:0015860	4	0.75
8	a1	2.38842107338373	0.773663852330075	3.08715609006473	0.00202081453774567	0.87206778667627	3.90477436009119	1	GO:0070189	5	0.8
9	a1	2.40742327015901	0.788421103965795	3.05347390886617	0.00226208391618721	0.862146301734747	3.95270023858328	1	GO:0097053	4	0.75
10	a1	2.2314877415362	0.741750182589167	3.00840875258962	0.0026261965258447	0.777684098135423	3.68529138493698	1	GO:0019985	14	0.714285714285714
11	a1	2.08180450217796	0.737583529808103	2.82246609101967	0.00476558613135047	0.636167348164157	3.52744165619177	1	GO:0042176	19	0.736842105263158
12	a1	2.30178257582036	0.82372908104442	2.79434419494076	0.0052005093987177	0.687303243955023	3.9162619076857	1	GO:0016340	2	1
13	a1	2.04133945445855	0.735690817576906	2.77472466107702	0.00552484602476681	0.599411948250991	3.48326696066612	1	GO:0006509	22	0.727272727272727
14	a1	1.28861407472679	0.895011810303414	1.43977326320414	0.14993155790001	-0.465576839205894	3.04280498865948	1	GO:0034224	2	1
15	a1	1.24580351310127	0.898216726568106	1.38697429724028	0.16544960049357	-0.514668921283684	3.00627594748621	1	GO:0007521	2	1
16	a1	1.24580351310127	0.898216726568106	1.38697429724028	0.16544960049357	-0.514668921283684	3.00627594748621	1	GO:0072105	2	1
17	a1	0.980441845552387	0.918291469382488	1.0676804459609	0.285664681870041	-0.819376361747654	2.78026005285243	1	GO:1903911	2	1
18	a1	0.980441845552387	0.918291469382488	1.0676804459609	0.285664681870041	-0.819376361747654	2.78026005285243	1	GO:0032943	2	1
19	a1	0.891751286308487	0.916175199661648	0.973341438010785	0.33038363400059	-0.903919108557136	2.68742168117411	1	GO:0017187	4	0.75
20	a1	0.778739865636576	0.93383106011231	0.833919430290655	0.40432638724778	-1.05153537982841	2.60901511110156	1	GO:0097466	2	1
21	a1	0.498196782253796	0.950859938722633	0.523943392675754	0.600317912609513	-1.36545445198453	2.36184801649212	1	GO:1905072	3	1
22	a1	0.498196782253796	0.950859938722633	0.523943392675754	0.600317912609513	-1.36545445198453	2.36184801649212	1	GO:0060560	3	1
23	a1	0.498196782253796	0.950859938722633	0.523943392675754	0.600317912609513	-1.36545445198453	2.36184801649212	1	GO:0060465	4	0.75
24	a1	0.498196782253796	0.950859938722633	0.523943392675754	0.600317912609513	-1.36545445198453	2.36184801649212	1	GO:0060596	3	1
25	a1	0.498196782253796	0.950859938722633	0.523943392675754	0.600317912609513	-1.36545445198453	2.36184801649212	1	GO:0003256	3	1
26	a1	0.498196782253796	0.950859938722633	0.523943392675754	0.600317912609513	-1.36545445198453	2.36184801649212	1	GO:0097325	4	0.75
27	a1	0.323381675865817	0.983170819843517	0.328917080673008	0.74221836349211	-1.60359772167819	2.25036107340983	0	GO:0099555	1	1
28	a1	0.312424890683469	0.967851301288455	0.322802573357656	0.74684476399971	-1.58452880223213	2.20937858359907	1	GO:0061146	3	1
29	a1	0.206289731462848	0.98999659340559	0.208374183140582	0.834936812767149	-1.73406793642945	2.14664739935515	0	GO:0061400	1	1
30	a1	0.156675919026494	0.982752387997624	0.15942563044362	0.873333546975077	-1.76948336716958	2.08283520522257	1	GO:0042482	4	0.75
31	a1	0.156675919026494	0.982752387997624	0.15942563044362	0.873333546975077	-1.76948336716958	2.08283520522257	1	GO:0051280	3	1
32	a1	0.156675919026494	0.982752387997624	0.15942563044362	0.873333546975077	-1.76948336716958	2.08283520522257	1	GO:1990402	3	1
33	a1	0.156675919026494	0.982752387997624	0.15942563044362	0.873333546975077	-1.76948336716958	2.08283520522257	1	GO:0060364	4	0.75
34	a1	0.156675919026494	0.982752387997624	0.15942563044362	0.873333546975077	-1.76948336716958	2.08283520522257	1	GO:0060762	4	0.75
35	a1	0.0261195251147338	0.996170081297387	0.0262199453739028	0.979081907242893	-1.92633795670448	1.97857700693395	1	GO:1905222	4	1
36	a1	0.0235191882000726	0.999095463562492	0.0235404814232765	0.981219147916068	-1.93467193749976	1.98171031389991	0	GO:0010900	1	1
37	a1	0.0235191882000726	0.999095463562492	0.0235404814232765	0.981219147916068	-1.93467193749976	1.98171031389991	0	GO:0034369	1	1
38	a1	0.00945706326997885	0.999663164779319	0.00946024981531309	0.992451925318684	-1.94984673636882	1.96876086290877	0	GO:0002069	1	1
39	a1	0.00945706326997885	0.999663164779319	0.00946024981531309	0.992451925318684	-1.94984673636882	1.96876086290877	0	GO:0002460	1	1
40	a1	0.00945706326997885	0.999663164779319	0.00946024981531309	0.992451925318684	-1.94984673636882	1.96876086290877	0	GO:0014008	1	1
41	a1	0.00945706326997885	0.999663164779319	0.00946024981531309	0.992451925318684	-1.94984673636882	1.96876086290877	0	GO:0032667	1	1
42	a1	0.00945706326997885	0.999663164779319	0.00946024981531309	0.992451925318684	-1.94984673636882	1.96876086290877	0	GO:0060751	1	1
43	a1	0.00945706326997885	0.999663164779319	0.00946024981531309	0.992451925318684	-1.94984673636882	1.96876086290877	0	GO:1905313	1	1
44	a1	0.00305545031004758	0.999327168081666	0.00305750749868324	0.9975604657732	-1.95558980790242	1.96170070852252	1	GO:0098535	5	1
45	a1	0.00214011155705206	0.999931860183117	0.00214025739379896	0.99829232297307	-1.957690321396	1.9619705445101	0	GO:1901208	1	1
46	a1	0.00214011155705206	0.999931860183117	0.00214025739379896	0.99829232297307	-1.957690321396	1.9619705445101	0	GO:1901211	1	1
