Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.44580309281854	0.610557151961104	4.00585446417692	6.17936895384479e-05	1.24913306447142	3.64247312116565	1	GO:0014003	25	0.72
2	a1	2.44198753707065	0.610867081564379	3.99757592243623	6.39944685401266e-05	1.24471005786337	3.63926501627792	1	GO:0032740	24	0.75
3	a1	2.62354717180513	0.667831840408986	3.92845475920772	8.54934294885171e-05	1.31462081687442	3.93247352673584	1	GO:0034372	9	0.888888888888889
4	a1	2.74911756819382	0.728290624719308	3.77475347736814	0.000160165975944944	1.3216941734658	4.17654096292184	1	GO:0060435	5	0.8
5	a1	2.27177648532242	0.604844350967289	3.75596875739901	0.000172672235292135	1.08630334117403	3.45724962947081	1	GO:0031116	31	0.774193548387097
6	a1	2.24635266069555	0.604185958200077	3.71798223743504	0.000200820386556083	1.06216994265858	3.43053537873253	1	GO:0001578	32	0.78125
7	a1	2.41808540736646	0.663364661313212	3.64518273038477	0.000267201876435802	1.11791456257596	3.71825625215697	1	GO:0034374	17	0.705882352941177
8	a1	2.29955666937456	0.648321069826302	3.54694113210089	0.000389731665423497	1.02887072209653	3.57024261665259	1	GO:0006622	18	0.833333333333333
9	a1	2.11710769924685	0.610196484564725	3.469550796834	0.000521329475178846	0.921144566007039	3.31307083248666	1	GO:0006906	40	0.7
10	a1	2.26916494271641	0.659082024387935	3.44291735891856	0.000575475138762769	0.977387912058305	3.56094197337451	1	GO:0044281	18	0.777777777777778
11	a1	2.07810239961909	0.611889437777172	3.39620570534486	0.000683269889623498	0.878821139055368	3.2773836601828	1	GO:0061025	39	0.743589743589744
12	a1	2.18221152213216	0.66424290433897	3.28526132214212	0.00101887825225144	0.880319352641499	3.48410369162283	1	GO:0055091	17	0.882352941176471
13	a1	2.19386670188162	0.682906700800842	3.2125423565311	0.00131565746897471	0.855394163510895	3.53233924025234	1	GO:0055086	13	0.923076923076923
14	a1	2.27656651633295	0.730852690596526	3.11494579636123	0.00183978714531213	0.844121564759559	3.70901146790633	1	GO:0046323	8	0.75
15	a1	1.80070650292226	0.611167968991154	2.94633651350325	0.00321562354559597	0.602839295195103	2.99857371064941	1	GO:0071902	60	0.733333333333333
16	a1	1.91605908106362	0.654487358733336	2.92757232893218	0.00341619591697518	0.633287429609539	3.19883073251771	1	GO:0019369	40	0.725
17	a1	2.29685234911252	0.800071223823584	2.87080984882288	0.00409421726572406	0.728741565351412	3.86496313287363	1	GO:0001754	4	0.75
18	a1	1.94772633352284	0.691938501850125	2.81488358909781	0.0048794905712679	0.591551790379995	3.30390087666569	1	GO:0042176	19	0.894736842105263
19	a1	1.89402055121942	0.677406885135474	2.79598656698129	0.00517415509734479	0.566327453474434	3.22171364896441	1	GO:0030301	24	0.833333333333333
20	a1	2.10473771822142	0.758149938039374	2.7761496936403	0.00550068759456991	0.618791144782977	3.59068429165987	1	GO:0036101	5	1
21	a1	2.14615177612614	0.775477708319063	2.76752220354363	0.00564841977136901	0.626243397007121	3.66606015524516	1	GO:0042361	4	1
22	a1	2.14615177612614	0.775477708319063	2.76752220354363	0.00564841977136901	0.626243397007121	3.66606015524516	1	GO:0042376	4	1
23	a1	2.14615177612614	0.775477708319063	2.76752220354363	0.00564841977136901	0.626243397007121	3.66606015524516	1	GO:0042377	4	1
24	a1	2.05294082547921	0.759550260493551	2.7028373660819	0.00687503761087309	0.564249670463836	3.54163198049459	1	GO:0061448	5	0.8
25	a1	2.05294082547921	0.759550260493551	2.7028373660819	0.00687503761087309	0.564249670463836	3.54163198049459	1	GO:0060744	5	0.8
26	a1	2.05294082547921	0.759550260493551	2.7028373660819	0.00687503761087309	0.564249670463836	3.54163198049459	1	GO:0002513	5	0.8
27	a1	2.05294082547921	0.759550260493551	2.7028373660819	0.00687503761087309	0.564249670463836	3.54163198049459	1	GO:0016202	5	0.8
28	a1	2.03983098696961	0.760553534841683	2.68203472013869	0.00731758646651859	0.54917345036528	3.53048852357393	1	GO:0038033	5	0.8
29	a1	2.07800775426434	0.777678191699416	2.6720663848415	0.00753857332289019	0.553786506971245	3.60222900155743	1	GO:0033326	3	1
30	a1	2.07800772134754	0.777678193410028	2.6720663366369	0.00753857440584565	0.553786470701707	3.60222897199337	1	GO:0017187	4	0.75
31	a1	2.07800597525493	0.777678284275641	2.67206377916347	0.00753863186175833	0.553784546515777	3.60222740399409	1	GO:0045639	4	0.75
32	a1	2.07799449821106	0.777678881712896	2.67204696832466	0.00753900954196062	0.553771898516399	3.60221709790572	1	GO:0042482	4	0.75
33	a1	2.07799449821106	0.777678881712896	2.67204696832466	0.00753900954196062	0.553771898516399	3.60221709790572	1	GO:0051280	3	1
34	a1	2.07799449821106	0.777678881712896	2.67204696832466	0.00753900954196062	0.553771898516399	3.60221709790572	1	GO:1990402	3	1
35	a1	2.07799449821106	0.777678881712896	2.67204696832466	0.00753900954196062	0.553771898516399	3.60221709790572	1	GO:0060762	4	0.75
36	a1	2.07799449821106	0.777678881712896	2.67204696832466	0.00753900954196062	0.553771898516399	3.60221709790572	1	GO:0051152	4	0.75
