Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	3.28598266461052	0.586412244738235	5.60353692150023	2.10021353248061e-08	2.1366357848303	4.43532954439075	1	GO:0043304	10	0.9
2	a1	2.70250611738976	0.538762801136259	5.01613346669467	5.27217110361009e-07	1.64655043095277	3.75846180382674	1	GO:0001578	32	0.71875
3	a1	2.78172365600975	0.647175067796796	4.29825528582195	1.72147823448132e-05	1.51328383143577	4.05016348058374	1	GO:0070168	9	0.777777777777778
4	a1	2.59146893693595	0.640991846674325	4.0429046802722	5.27930866220183e-05	1.33514800307045	3.84778987080145	1	GO:0035865	11	0.818181818181818
5	a1	2.44959024718947	0.670926407824672	3.65105653708239	0.000261163735853026	1.13459865157628	3.76458184280266	1	GO:0045839	8	1
6	a1	2.19317488603006	0.603651195490294	3.63318237819232	0.000279946997770036	1.01004028364454	3.37630948841558	1	GO:0048873	29	0.724137931034483
7	a1	2.2268762617475	0.658590972059736	3.38127359198832	0.000721506646250959	0.936061675967196	3.51769084752781	1	GO:0045010	13	0.923076923076923
8	a1	2.06413134910627	0.612309638725053	3.37105807023419	0.000748800719597599	0.864026509818434	3.2642361883941	1	GO:0048008	29	0.793103448275862
9	a1	2.01980076606015	0.605685161940791	3.33473707625282	0.000853800855759808	0.832679662685888	3.20692186943441	1	GO:0031116	31	0.838709677419355
10	a1	2.18352805820108	0.656543213590091	3.32579487991533	0.000881667851435231	0.896727005270316	3.47032911113185	1	GO:0055091	17	0.764705882352941
11	a1	2.2122223779043	0.678215385436483	3.26182865415323	0.00110696031613979	0.88294464868784	3.54150010712075	1	GO:0055086	13	0.769230769230769
12	a1	2.10294166738059	0.646723377794591	3.25168648542115	0.00114722488988495	0.8353871389431	3.37049619581808	1	GO:0061001	21	0.761904761904762
13	a1	1.84867202513723	0.577849028507	3.1992301344067	0.00137795125584316	0.716108740762053	2.98123530951241	1	GO:0001932	69	0.72463768115942
14	a1	2.14025889485808	0.687873371924617	3.11141408028312	0.00186193648473883	0.792051859961705	3.48846592975445	1	GO:0032480	14	0.714285714285714
15	a1	2.02163123171676	0.659240571617388	3.06660621138178	0.00216503875237428	0.72954345419908	3.31371900923444	1	GO:0032740	24	0.708333333333333
16	a1	1.76471910263529	0.594515397528302	2.96833203979597	0.00299420691527194	0.59949033522531	2.92994787004528	1	GO:0042552	53	0.773584905660377
17	a1	2.2566999545999	0.760737022797189	2.96646526588404	0.0030124438594681	0.765682788211182	3.74771712098862	1	GO:0006225	4	1
18	a1	1.55302053097142	0.52432154881395	2.96196205264585	0.00305685455770192	0.525369178977817	2.58067188296502	1	GO:0008360	160	0.74375
19	a1	1.90587746678015	0.648181387030186	2.94034587372592	0.00327846059815037	0.635465292751766	3.17628964080853	1	GO:0045022	24	0.875
20	a1	1.71754800499716	0.59229049938665	2.89984054577235	0.00373352535265316	0.556679957814082	2.87841605218023	1	GO:0009749	68	0.720588235294118
21	a1	1.74552835119549	0.608177249128008	2.87009807370828	0.00410344503963382	0.553522846687954	2.93753385570303	1	GO:0030838	55	0.727272727272727
22	a1	2.20772072941554	0.799708081719754	2.76065827003759	0.00576850001516953	0.640321691099207	3.77511976773187	1	GO:0044205	3	1
23	a1	1.47864730542228	0.537858551332732	2.74913785745047	0.00597522496484873	0.424463916033236	2.53283069481132	1	GO:0007169	141	0.765957446808511
24	a1	1.59332315907976	0.597941879361241	2.66467898315108	0.00770618460940822	0.421378610683532	2.76526770747599	1	GO:0071363	68	0.75
25	a1	1.41643369386444	0.534053319543473	2.65223273038591	0.00799614052947475	0.369708421735174	2.46315896599371	1	GO:0001666	162	0.753086419753086
26	a1	1.41168201435774	0.532978830656093	2.64866432428465	0.00808105524879603	0.367062701749528	2.45630132696596	1	GO:0008283	159	0.767295597484277
27	a1	1.52150971382004	0.578888957276107	2.62832741011216	0.00858058847008969	0.386908206510924	2.65611122112916	1	GO:0008203	111	0.711711711711712
28	a1	1.94773631775889	0.758351725462717	2.56838120407843	0.0102174726473811	0.461394248238157	3.43407838727962	1	GO:0001920	4	1
29	a1	1.9477153838896	0.758353541330939	2.56834744975449	0.0102184677290316	0.461369755332556	3.43406101244665	1	GO:0002513	5	0.8
30	a1	1.94678101007432	0.758435160870987	2.56683907934679	0.010263022834058	0.460275410158345	3.4332866099903	1	GO:1904358	5	0.8
31	a1	1.94471629576792	0.758619258795074	2.5634944976967	0.0103624343358563	0.457849870551106	3.43158272098474	1	GO:1905599	5	0.8
32	a1	1.97985752384743	0.776656843182942	2.54920502049973	0.0107968806487723	0.457638082862291	3.50207696483257	1	GO:0051049	3	1
33	a1	1.97985745432124	0.776656848202231	2.54920491450519	0.0107968839305105	0.457638003498478	3.50207690514401	1	GO:0017187	4	0.75
34	a1	1.97982882350863	0.776658916891556	2.54916126043148	0.0107982355967	0.457605318129288	3.50205232888796	1	GO:0042482	4	0.75
35	a1	1.97982882350863	0.776658916891556	2.54916126043148	0.0107982355967	0.457605318129288	3.50205232888796	1	GO:0051098	4	0.75
36	a1	1.97982882350863	0.776658916891556	2.54916126043148	0.0107982355967	0.457605318129288	3.50205232888796	1	GO:1990402	3	1
37	a1	1.97982882350863	0.776658916891556	2.54916126043148	0.0107982355967	0.457605318129288	3.50205232888796	1	GO:0060364	4	0.75
38	a1	1.97982882348924	0.776658916894058	2.5491612603983	0.0107982355977272	0.457605318104998	3.50205232887348	1	GO:0051280	3	1
39	a1	1.97971215500566	0.776667361711562	2.5489833261989	0.0108037465514194	0.457472098083255	3.50195221192806	1	GO:0045639	4	0.75
40	a1	1.97912190169871	0.776710451243139	2.54808197640586	0.0108317014628397	0.456797390846302	3.50144641255111	1	GO:1901534	3	1
41	a1	1.97912190169871	0.776710451243139	2.54808197640586	0.0108317014628397	0.456797390846302	3.50144641255111	1	GO:1904582	3	1
42	a1	1.97912190169871	0.776710451243139	2.54808197640586	0.0108317014628397	0.456797390846302	3.50144641255111	1	GO:1903843	3	1
43	a1	1.97901083194509	0.77671862656523	2.54791215796714	0.01083697548867	0.456670297755823	3.50135136613436	1	GO:1903241	3	1
44	a1	1.97854656471312	0.776753023543616	2.54720162618333	0.0108590671315024	0.456138613685036	3.5009545157412	1	GO:0031114	3	1
45	a1	1.97664347757543	0.776897616289022	2.54427795391777	0.0109503908728422	0.453952129973926	3.49933482517693	1	GO:0042304	4	0.75
46	a1	1.92637909323363	0.757483741474529	2.54312929474066	0.0109864566888622	0.441738241068906	3.41101994539836	1	GO:0006207	6	1
47	a1	1.97194997559565	0.777275541677491	2.53700247834873	0.0111806162625645	0.448517907843902	3.49538204334739	1	GO:0060318	3	1
48	a1	1.97194997559565	0.777275541677491	2.53700247834873	0.0111806162625645	0.448517907843902	3.49538204334739	1	GO:0003192	3	1
49	a1	1.97150193776891	0.777312978853522	2.53630389740401	0.0112029467996039	0.447996494500463	3.49500738103736	1	GO:0042631	3	1
50	a1	1.97068943614449	0.77738139984648	2.53503548777173	0.0112435935037163	0.447049890194057	3.49432898209492	1	GO:0043084	4	0.75
51	a1	1.91716963927706	0.757194047313398	2.5319396607506	0.0113433509326127	0.433096577234681	3.40124270131944	1	GO:0060744	5	1
52	a1	1.89247739163464	0.747997596379002	2.53005811889767	0.0114043634233177	0.426429042209266	3.35852574106001	1	GO:1905598	5	1
53	a1	1.89245189937228	0.748000087230185	2.53001561320661	0.0114057451077393	0.426398667968294	3.35850513077626	1	GO:0061035	5	1
54	a1	1.89245189937228	0.748000087230185	2.53001561320661	0.0114057451077393	0.426398667968294	3.35850513077626	1	GO:0034616	7	0.714285714285714
55	a1	1.89245189937228	0.748000087230185	2.53001561320661	0.0114057451077393	0.426398667968294	3.35850513077626	1	GO:0007406	6	0.833333333333333
56	a1	1.89245189937228	0.748000087230185	2.53001561320661	0.0114057451077393	0.426398667968294	3.35850513077626	1	GO:0045589	7	0.714285714285714
57	a1	1.89180707641582	0.748063310051266	2.52893979827211	0.0114407649179622	0.425629930559516	3.35798422227212	1	GO:0043328	6	0.833333333333333
58	a1	1.89131312875542	0.748112017351536	2.52811488772903	0.0114676819295013	0.425040518344802	3.35758573916603	1	GO:0044806	7	0.714285714285714
59	a1	1.89113378735212	0.748129760152572	2.52781521078168	0.0114774743637755	0.424826401690489	3.35744117301375	1	GO:0000389	6	0.833333333333333
60	a1	1.5118396067625	0.598252311406923	2.52709363246266	0.0115010835707066	0.339286622737093	2.68439259078791	1	GO:0032091	75	0.773333333333333
61	a1	1.89038293869241	0.748204373650807	2.52655959423015	0.0115185844264129	0.423929313261476	3.35683656412334	1	GO:0047497	7	0.714285714285714
62	a1	1.88576373696486	0.748674114472171	2.51880451121828	0.011775401357061	0.418389436441985	3.35313803748773	1	GO:0050819	5	1
63	a1	1.94556778965436	0.774676118029627	2.51145962083209	0.0120233040071159	0.427230498632996	3.46390508067573	1	GO:0031536	5	0.8
64	a1	1.94556778965436	0.774676118029627	2.51145962083209	0.0120233040071159	0.427230498632996	3.46390508067573	1	GO:0060762	4	1
65	a1	1.93823996366901	0.772304550780968	2.50968346840508	0.0120839424674036	0.424550859041925	3.45192906829609	1	GO:0061448	5	0.8
66	a1	1.93823996366901	0.772304550780968	2.50968346840508	0.0120839424674036	0.424550859041925	3.45192906829609	1	GO:0016202	5	0.8
67	a1	1.87952811530373	0.749332667265794	2.50826928734049	0.0121324167666872	0.410863075023432	3.34819315558402	1	GO:0032713	7	0.714285714285714
68	a1	1.87891415499278	0.749398774283854	2.50722875386115	0.0121681934054655	0.410119547337964	3.3477087626476	1	GO:1903307	5	1
69	a1	1.90878186428515	0.762279378538905	2.50404499718174	0.0122782417675912	0.414741736191325	3.40282199237898	1	GO:0038028	4	1
70	a1	1.90878186428515	0.762279378538905	2.50404499718174	0.0122782417675912	0.414741736191325	3.40282199237898	1	GO:0050904	5	0.8
71	a1	1.90878186428515	0.762279378538905	2.50404499718174	0.0122782417675912	0.414741736191325	3.40282199237898	1	GO:0033007	4	1
72	a1	1.94924980762932	0.779347147755096	2.50113163722241	0.0123797153695275	0.421757466575316	3.47674214868332	1	GO:0032348	4	0.75
73	a1	1.94924980762932	0.779347147755096	2.50113163722241	0.0123797153695275	0.421757466575316	3.47674214868332	1	GO:2000065	4	0.75
74	a1	1.9492498076293	0.779347147755098	2.50113163722238	0.0123797153695285	0.421757466575294	3.47674214868331	1	GO:0060379	3	1
75	a1	1.90598580465059	0.762582906069489	2.49938175833816	0.0124410208593434	0.411350773528496	3.40062083577267	1	GO:1903223	5	0.8
76	a1	1.90372188124855	0.762829664030821	2.49560546870872	0.0125742368514293	0.408603213409354	3.39884054908775	1	GO:1903278	4	1
77	a1	1.90256716252687	0.762955840277129	2.49367926960989	0.012642672450337	0.407201193789205	3.39793313126454	1	GO:0035751	5	0.8
78	a1	1.84425729682952	0.74126597592354	2.48798320269828	0.0128469800622218	0.391402681054444	3.29711191260459	1	GO:0048771	10	0.7
79	a1	1.86458045575768	0.750989562776275	2.48283138431999	0.0130342768913569	0.392667959950701	3.33649295156466	1	GO:2000270	7	0.714285714285714
80	a1	1.85054541671084	0.746958176292887	2.47744181059105	0.0132327984468166	0.386534293219064	3.31455654020262	1	GO:0045652	8	0.75
81	a1	1.83457945898059	0.741334423923343	2.47469886703966	0.0133348558065998	0.381590687591093	3.2875682303701	1	GO:0034405	8	0.75
82	a1	1.83455575987155	0.741336949872477	2.47465846695909	0.0133363641669114	0.381562037712722	3.28754948203038	1	GO:0010989	7	0.857142857142857
83	a1	1.83452604253406	0.741340117926847	2.47460780574549	0.0133382558456726	0.38152611110276	3.28752597396535	1	GO:0042306	6	1
84	a1	1.83397306722905	0.741399201430219	2.47366474591713	0.013373512821545	0.380857334259061	3.28708880019903	1	GO:0048023	8	0.75
85	a1	1.83319776002295	0.741482456584865	2.4723413800865	0.0134231266992836	0.379918849948331	3.28647667009757	1	GO:0031442	6	1
86	a1	1.83319776002295	0.741482456584865	2.4723413800865	0.0134231266992836	0.379918849948331	3.28647667009757	1	GO:0002735	6	1
87	a1	1.92240399372021	0.781999360613008	2.45831913751597	0.0139589067415749	0.389713410985361	3.45509457645505	1	GO:0044209	4	0.75
88	a1	1.82458348402228	0.742435920224083	2.45756358807583	0.0139883044320401	0.369435819554225	3.27973114849034	1	GO:0010606	6	1
89	a1	1.84407792895637	0.753365369256431	2.44778696262142	0.0143736614704882	0.367508938014044	3.32064691989869	1	GO:0036006	5	1
90	a1	1.81689252075262	0.743322026716935	2.44428720722481	0.0145138671997094	0.360008119472113	3.27377692203314	1	GO:0042713	6	1
91	a1	1.83771397538223	0.754117024304742	2.436908220016	0.0148134386534957	0.359671767616418	3.31575618314804	1	GO:1903288	7	0.714285714285714
92	a1	1.81193724220135	0.743905932415251	2.43570747758189	0.014862698354176	0.353908406781775	3.26996607762093	1	GO:0034080	7	0.857142857142857
93	a1	1.77913929240939	0.73668912137788	2.41504759712176	0.015733153589375	0.335255146706287	3.22302343811249	1	GO:0010544	9	0.777777777777778
94	a1	1.77913929240939	0.73668912137788	2.41504759712176	0.015733153589375	0.335255146706287	3.22302343811249	1	GO:0031284	10	0.7
95	a1	1.70744769437332	0.707047452174963	2.41489830579405	0.0157396034665642	0.321660152749588	3.09323523599706	1	GO:0045859	20	0.75
96	a1	1.77765511287521	0.736859243341733	2.41247582755881	0.0158445880545974	0.333437534249974	3.22187269150044	1	GO:0051963	10	0.7
97	a1	1.77488818393891	0.737180234880138	2.40767196400416	0.0160545992749801	0.330041473459064	3.21973489441876	1	GO:0051694	7	1
98	a1	1.88686252303651	0.785607935519698	2.4017864862685	0.0163152281399296	0.347099263449033	3.42662578262398	1	GO:0060977	3	1
99	a1	1.88528647583314	0.785769161989518	2.39928794235156	0.0164269915062504	0.345207218171462	3.42536573349481	1	GO:1900245	4	0.75
100	a1	1.76443342941248	0.738430485716773	2.38943741292018	0.0168741986735833	0.317136272321183	3.21173058650377	1	GO:0070613	10	0.7
101	a1	1.75840918619754	0.739172015129709	2.37889036679638	0.017364839695032	0.309658658163411	3.20715971423166	1	GO:0086100	9	0.777777777777778
102	a1	1.77313925788241	0.748676140815257	2.36836618828481	0.0178668421638339	0.305760985800069	3.24051752996475	1	GO:0045955	8	0.75
103	a1	1.77313925788241	0.748676140815257	2.36836618828481	0.0178668421638339	0.305760985800069	3.24051752996475	1	GO:1902459	8	0.75
104	a1	1.82536909897648	0.771626945341743	2.36561088230018	0.0180003521824425	0.313008076606003	3.33773012134695	1	GO:0097053	4	1
105	a1	1.82536909897648	0.771626945341743	2.36561088230018	0.0180003521824425	0.313008076606003	3.33773012134695	1	GO:0070189	5	0.8
106	a1	1.25412567215881	0.531574999000155	2.35926383768557	0.018311231803125	0.212257819036589	2.29599352528103	1	GO:0030036	197	0.771573604060914
107	a1	1.72742481918574	0.733264676368209	2.35579985625587	0.0184828730681224	0.290252462368628	3.16459717600284	1	GO:0044249	11	0.727272727272727
108	a1	1.72742481918574	0.733264676368209	2.35579985625587	0.0184828730681224	0.290252462368628	3.16459717600284	1	GO:0043267	9	0.888888888888889
109	a1	1.72742481918572	0.733264676368213	2.35579985625583	0.0184828730681243	0.290252462368601	3.16459717600283	1	GO:0051346	9	0.888888888888889
110	a1	1.72708146713172	0.733306151259576	2.35519839042012	0.0185128189073598	0.289827821021273	3.16433511324217	1	GO:0060627	9	0.888888888888889
111	a1	1.7266596378705	0.733357202618518	2.35445923447034	0.0185496782202009	0.289305932935165	3.16401334280584	1	GO:0048066	11	0.727272727272727
112	a1	1.85168416604732	0.789220416656282	2.34621929054042	0.0189649457405467	0.304840573537308	3.39852775855732	1	GO:0048017	4	0.75
113	a1	1.70783008180922	0.735722979223908	2.32129501189531	0.0202709272682647	0.265839539931847	3.14982062368659	1	GO:0021680	10	0.8
114	a1	1.70427608595038	0.736184188097032	2.31501316315388	0.0206122117046554	0.261381591292341	3.14717058060843	1	GO:0090527	9	0.888888888888889
115	a1	1.69806784158786	0.736997908232401	2.30403346145238	0.0212207653075955	0.253578484771	3.14255719840472	1	GO:0006817	11	0.727272727272727
116	a1	1.36675659049106	0.593625365956339	2.30238913104597	0.0213132373659737	0.20327225290723	2.5302409280749	1	GO:0007596	107	0.700934579439252
117	a1	1.881604326542	0.817856752089288	2.30065267754441	0.0214112709432725	0.278634547934087	3.4845741051499	1	GO:0032803	2	1
118	a1	1.881604326542	0.817856752089288	2.30065267754441	0.0214112709432725	0.278634547934087	3.4845741051499	1	GO:1905601	2	1
119	a1	1.88159457500427	0.81785724518002	2.30063936719189	0.0214120239092041	0.278623829956284	3.48456532005225	1	GO:1903911	2	1
120	a1	1.88159457500427	0.81785724518002	2.30063936719189	0.0214120239092041	0.278623829956284	3.48456532005225	1	GO:0032943	2	1
121	a1	1.88141352856945	0.817866448605591	2.3003921138679	0.0214260152096023	0.278424745138814	3.48440231200009	1	GO:0097324	2	1
122	a1	1.71352394839481	0.744954371604138	2.30017302228191	0.0214384195761644	0.253440209925032	3.17360768686459	1	GO:0007260	8	0.875
123	a1	1.88080962268291	0.817897804648188	2.2995655594062	0.0214728451736019	0.27775938253809	3.48385986282774	1	GO:0010848	2	1
124	a1	1.67949185856506	0.730639764223692	2.29865925836863	0.0215242957354037	0.247464235013789	3.11151948211634	1	GO:2000650	9	1
125	a1	1.67914802893083	0.730683316062831	2.29805168944961	0.0215588473881944	0.247035045343389	3.11126101251828	1	GO:0045657	10	0.9
126	a1	1.67840967245704	0.730777051767696	2.29674654998688	0.021633232274146	0.24611297026399	3.11070637465008	1	GO:0071985	11	0.818181818181818
127	a1	1.87686684693123	0.818124654095974	2.29410865145626	0.021784258547597	0.273371990038836	3.48036170382363	1	GO:0003195	2	1
128	a1	1.87686684693123	0.818124654095974	2.29410865145626	0.021784258547597	0.273371990038836	3.48036170382363	1	GO:0060319	2	1
129	a1	1.70476945426701	0.746111787140069	2.28487136063295	0.0223203717862273	0.242417223031658	3.16712168550236	1	GO:1901018	7	1
130	a1	1.86512246314766	0.818947496950506	2.2774628045055	0.0227586033593429	0.260014863895443	3.47023006239988	1	GO:0038109	2	1
131	a1	1.74503516165285	0.766255911776603	2.2773529506701	0.022765157297027	0.243201171629809	3.2468691516759	1	GO:0006221	9	0.777777777777778
132	a1	1.86400821063731	0.819032324601642	2.27586647638592	0.0228540024927449	0.258734352243975	3.46928206903065	1	GO:1903203	2	1
133	a1	1.86400821063731	0.819032324601642	2.27586647638592	0.0228540024927449	0.258734352243975	3.46928206903065	1	GO:2000740	2	1
134	a1	1.65827609537562	0.733421333059106	2.26101426373697	0.0237583738128353	0.220796697086421	3.09575549366483	1	GO:0003181	12	0.75
135	a1	1.7294481365663	0.767260038472025	2.25405735975829	0.0241925597032505	0.225646094384312	3.23325017874828	1	GO:0086003	5	1
136	a1	1.66762793423604	0.741090011686949	2.25023668911689	0.0244339244499412	0.215118202027251	3.12013766644483	1	GO:0051292	9	0.888888888888889
137	a1	1.63517360078599	0.728553544624394	2.24441101529334	0.0248059684311627	0.207234892513188	3.0631123090588	1	GO:0034383	14	0.714285714285714
138	a1	1.63517306109767	0.728553615795897	2.2444100552728	0.0248060301428907	0.207234213331281	3.06311190886406	1	GO:0019430	13	0.769230769230769
