Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.2557628912758	0.754431736106201	2.99001590643353	0.00278962919812004	0.777103859713621	3.73442192283798	1	GO:0032374	7	0.714285714285714
2	a1	2.25075975435208	0.754517708355063	2.98304430688446	0.00285396675917789	0.771932220278457	3.7295872884257	1	GO:0044806	7	0.714285714285714
3	a1	2.26797632833803	0.765457470692271	2.96290312025683	0.0030475246930611	0.767707254084059	3.76824540259201	1	GO:0060465	4	1
4	a1	2.23338680776355	0.755325262157251	2.95685437739084	0.00310794861670627	0.752976497322061	3.71379711820503	1	GO:0006207	6	0.833333333333333
5	a1	2.30617637643999	0.781695234763378	2.95022442747535	0.00317543175886025	0.774081869417191	3.8382708834628	1	GO:0043043	4	0.75
6	a1	2.30617637643999	0.781695234763378	2.95022442747535	0.00317543175886025	0.774081869417191	3.8382708834628	1	GO:0051004	3	1
7	a1	2.30521584035125	0.781686542554514	2.94902843385012	0.00318774645885708	0.773138369744768	3.83729331095773	1	GO:1903241	3	1
8	a1	2.30253515207321	0.781683811631084	2.94560935996445	0.00322319184350152	0.770463033978297	3.83460727016813	1	GO:1903843	3	1
9	a1	2.29096692206637	0.781956872535822	2.92978679839075	0.00339194640884278	0.758359614432584	3.82357422970016	1	GO:0009631	3	1
10	a1	2.29062280439746	0.781970747756287	2.92929474787895	0.00339732101624883	0.757988301831287	3.82325730696364	1	GO:0044205	3	1
11	a1	2.29062280439746	0.781970747756287	2.92929474787895	0.00339732101624883	0.757988301831287	3.82325730696364	1	GO:0006225	4	0.75
12	a1	2.28279276408833	0.782354256408073	2.91785050747858	0.00352453279400141	0.749406598376888	3.81617892979976	1	GO:0060560	3	1
13	a1	2.28279276408833	0.782354256408073	2.91785050747858	0.00352453279400141	0.749406598376888	3.81617892979976	1	GO:0097325	4	0.75
14	a1	2.15839546210897	0.743733052713224	2.90211044706819	0.00370657833978348	0.700705464679018	3.61608545953892	1	GO:0032940	10	0.7
15	a1	2.22803290704215	0.786569593968797	2.83259475592002	0.00461718793280211	0.686384831529019	3.76968098255529	1	GO:0071926	3	1
16	a1	2.15731278516104	0.77544131486469	2.78204519646658	0.00540175169255762	0.637475735901861	3.67714983442022	1	GO:0097053	4	1
17	a1	2.15731278516104	0.77544131486469	2.78204519646658	0.00540175169255762	0.637475735901861	3.67714983442022	1	GO:0070189	5	0.8
18	a1	2.02045100705839	0.736407693111487	2.74365820177887	0.00607587638972681	0.577118450621647	3.46378356349512	1	GO:0007035	13	0.769230769230769
19	a1	2.15647261165025	0.821200223239625	2.62600100514219	0.00863945622671485	0.546949750004328	3.76599547329616	1	GO:0019058	2	1
20	a1	2.15647261165025	0.821200223239625	2.62600100514219	0.00863945622671485	0.546949750004328	3.76599547329616	1	GO:0032804	2	1
21	a1	2.15647261165025	0.821200223239625	2.62600100514219	0.00863945622671485	0.546949750004328	3.76599547329616	1	GO:0032902	2	1
22	a1	2.14046393553007	0.821396446402568	2.60588409519491	0.00916374650095587	0.530556483551854	3.75037138750829	1	GO:0043474	2	1
23	a1	1.88801012111262	0.731115179822367	2.58237029296988	0.00981242391334976	0.455050700110251	3.32096954211498	1	GO:0042176	19	0.736842105263158
24	a1	1.83977763152202	0.8212929942602	2.24009901993533	0.025084495157969	0.23007294201697	3.44948232102707	1	GO:0051598	3	1
25	a1	0.917120795547165	0.916861398882084	1.00028291807835	0.317173611446096	-0.879894525076732	2.71413611617106	1	GO:1905906	2	1
26	a1	0.150629966420892	0.981503145831114	0.153468653728402	0.878028708147872	-1.77308085012086	2.07434078296264	1	GO:1902991	4	0.75
27	a1	0.150629966420892	0.981503145831114	0.153468653728402	0.878028708147872	-1.77308085012086	2.07434078296264	1	GO:0097006	3	1
