Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	3.01680141696261	0.569108034969421	5.30092922888482	1.15214747972185e-07	1.90137016511018	4.13223266881503	1	GO:0031065	15	0.733333333333333
2	a1	2.50196454358891	0.613280901783481	4.07963876962897	4.51057372961021e-05	1.29995606368704	3.70397302349078	1	GO:0050765	18	0.722222222222222
3	a1	1.86111033733428	0.456948698906958	4.07290871335478	4.64296256044585e-05	0.965507344694203	2.75671332997435	1	GO:0008283	159	0.710691823899371
4	a1	2.62379783430072	0.647011376644207	4.05525764926937	5.00790715705598e-05	1.3556788384904	3.89191683011105	1	GO:0048771	10	0.7
5	a1	2.52145972215577	0.628961170640995	4.00892748209888	6.09951423676641e-05	1.28871848002526	3.75420096428627	1	GO:0034383	14	0.785714285714286
6	a1	2.69223770295355	0.679975399722219	3.95931632828684	7.51646253205011e-05	1.35951040912477	4.02496499678232	1	GO:0018158	5	1
7	a1	2.56371548933087	0.653492408189775	3.92309911668685	8.74171662964516e-05	1.28289390510856	3.84453707355318	1	GO:0033194	7	1
8	a1	2.42722369162895	0.629515843443692	3.85569913276703	0.000115399347859656	1.19339531078196	3.66105207247594	1	GO:0009101	13	0.769230769230769
9	a1	2.47680241424948	0.654667758562518	3.78329676672622	0.000154764701233346	1.19367718562738	3.75992764287158	1	GO:0006241	11	0.818181818181818
10	a1	2.47680241424948	0.654667758562518	3.78329676672622	0.000154764701233346	1.19367718562738	3.75992764287158	1	GO:0006228	10	0.9
11	a1	2.46073324368567	0.650797292581942	3.78110553275824	0.000156133465941856	1.18519398898888	3.73627249838245	1	GO:2001028	10	0.8
12	a1	2.67553521946593	0.711392247484405	3.76098450457823	0.000169245915315995	1.28123203551549	4.06983840341637	1	GO:0016202	5	0.8
13	a1	2.49048877915773	0.662404072367759	3.75977274755498	0.000170067773369028	1.19220065410426	3.7887769042112	1	GO:0007144	9	0.777777777777778
14	a1	2.47060079966397	0.664807117997204	3.71626706872046	0.000202187865839215	1.16760279172358	3.77359880760436	1	GO:0045839	8	0.875
15	a1	2.39503202146819	0.651642266549737	3.6753785695167	0.000237496983398752	1.11783664822666	3.67222739470973	1	GO:0006183	11	0.909090909090909
16	a1	2.35758992650572	0.650898112790056	3.62205678612276	0.000292269940256113	1.08185306783212	3.63332678517932	1	GO:0043534	10	0.9
17	a1	2.28968281342276	0.648320802830371	3.53171270060547	0.000412877665121563	1.01899738944714	3.56036823739838	1	GO:0010867	14	0.714285714285714
18	a1	2.25839031027849	0.641847430985228	3.5185780938811	0.000433866098775525	1.00039246197788	3.51638815857909	1	GO:0030949	14	0.785714285714286
19	a1	2.137666689679	0.610324956241215	3.50250578453185	0.000460903775454551	0.941451756580236	3.33388162277777	1	GO:0042176	19	0.947368421052632
20	a1	2.43551496294396	0.733174753773443	3.32187510604948	0.000894147070592692	0.998518851173987	3.87251107471393	1	GO:0018057	5	0.8
21	a1	2.04754278702873	0.617212520975412	3.31740319168006	0.000908583961853791	0.83782847510975	3.25725709894771	1	GO:0032967	25	0.72
22	a1	2.05109517817939	0.650012088834109	3.15547235722697	0.00160238449603055	0.77709489454889	3.3250954618099	1	GO:0006165	19	0.789473684210526
23	a1	2.14651560094657	0.704428268888943	3.047174135036	0.00231003843668595	0.765861564232348	3.5271696376608	1	GO:0071224	7	1
24	a1	1.51039209644703	0.53359627602504	2.83058965047229	0.00464622881450391	0.464562613153262	2.55622157974081	1	GO:0051897	124	0.701612903225806
25	a1	1.69152775850942	0.617324453559201	2.74009517808159	0.00614213947906098	0.481594062757513	2.90146145426132	1	GO:0098586	49	0.714285714285714
26	a1	1.40962206378316	0.546200035143893	2.58077988481235	0.00985774127596211	0.339089666546615	2.4801544610197	1	GO:0006464	119	0.773109243697479
27	a1	1.91366355245476	0.745673922284702	2.56635440138687	0.010277376192584	0.452169520566022	3.37515758434349	1	GO:0010886	7	0.857142857142857
28	a1	1.52114614822979	0.615801580392686	2.47018876966795	0.0135041770545158	0.314197229037279	2.7280950674223	1	GO:0009725	54	0.722222222222222
29	a1	1.47101440587716	0.595800718554666	2.46897051323745	0.0135502383546107	0.303266455546925	2.63876235620739	1	GO:0071363	68	0.720588235294118
30	a1	1.97292147316662	0.81098601620576	2.43274413336623	0.0149848858267447	0.383418089437711	3.56242485689552	1	GO:0044205	3	1
31	a1	1.83555403717093	0.758142908756752	2.42111878376727	0.015472820404202	0.349621240873257	3.3214868334686	1	GO:0061035	5	0.8
32	a1	1.83555403717093	0.758142908756752	2.42111878376727	0.015472820404202	0.349621240873257	3.3214868334686	1	GO:0060364	4	1
33	a1	1.83555403717093	0.758142908756752	2.42111878376727	0.015472820404202	0.349621240873257	3.3214868334686	1	GO:0060744	5	0.8
34	a1	1.83555403717093	0.758142908756752	2.42111878376727	0.015472820404202	0.349621240873257	3.3214868334686	1	GO:0060435	5	0.8
35	a1	1.83545014186624	0.758153054316186	2.42094934712321	0.0154800341241111	0.349497460637477	3.32140282309501	1	GO:0090403	4	1
36	a1	1.83472980999379	0.758223671099316	2.41977384764801	0.015530162248596	0.348638722413389	3.32082089757419	1	GO:1903223	5	0.8
37	a1	1.87513793324129	0.776477923029505	2.41492755637567	0.0157383395618952	0.353269169313001	3.39700669716959	1	GO:0051049	3	1
38	a1	1.87513793323858	0.776477923029931	2.41492755637084	0.0157383395621037	0.353269169309448	3.39700669716771	1	GO:0033326	3	1
39	a1	1.87513764416506	0.776477946884381	2.41492710989289	0.0157383588535471	0.353268833482071	3.39700645484805	1	GO:0017187	4	0.75
40	a1	1.87511662159106	0.776479682053833	2.41489463913759	0.0157397619074623	0.353244410038438	3.39698883314369	1	GO:0042482	4	0.75
41	a1	1.87511662159106	0.776479682053833	2.41489463913759	0.0157397619074623	0.353244410038438	3.39698883314369	1	GO:0051098	4	0.75
42	a1	1.87511662159106	0.776479682053833	2.41489463913759	0.0157397619074623	0.353244410038438	3.39698883314369	1	GO:1990402	3	1
43	a1	1.87511662159106	0.776479682053833	2.41489463913759	0.0157397619074623	0.353244410038438	3.39698883314369	1	GO:0060762	4	0.75
44	a1	1.87503875904418	0.776486113808995	2.41477436067249	0.0157449600710982	0.353153941483085	3.39692357660528	1	GO:2000074	4	0.75
45	a1	1.83129727466318	0.758566324702793	2.41415577653105	0.0157717177411812	0.344534598360789	3.31805995096557	1	GO:0001885	4	1
46	a1	1.83129727466318	0.758566324702793	2.41415577653105	0.0157717177411812	0.344534598360789	3.31805995096557	1	GO:0051702	5	0.8
47	a1	1.83129727466318	0.758566324702793	2.41415577653105	0.0157717177411812	0.344534598360789	3.31805995096557	1	GO:0009609	5	0.8
48	a1	1.83129727466318	0.758566324702793	2.41415577653105	0.0157717177411812	0.344534598360789	3.31805995096557	1	GO:0033599	5	0.8
49	a1	1.87449934758459	0.77653088966047	2.41394047879305	0.0157810401063819	0.352526770967222	3.39647192420196	1	GO:0032348	4	0.75
50	a1	1.87449934758459	0.77653088966047	2.41394047879305	0.0157810401063819	0.352526770967222	3.39647192420196	1	GO:2000065	4	0.75
51	a1	1.87407128487384	0.77656668837979	2.4132779745985	0.0158097568649691	0.352028544055917	3.39611402569177	1	GO:1902960	3	1
52	a1	1.87360667884997	0.776605801777958	2.41255817888631	0.0158410090522775	0.351487277180323	3.39572608051962	1	GO:0072086	4	0.75
53	a1	1.87245573186854	0.776703807419853	2.41077192358396	0.0159187997475221	0.350144242670496	3.39476722106659	1	GO:0010876	4	0.75
54	a1	1.87057298786596	0.776867307171112	2.40784104389393	0.0160471662397481	0.347941045043964	3.39320493068795	1	GO:0010988	4	0.75
55	a1	1.87041473654206	0.776881218278279	2.40759422745122	0.0160580177196416	0.347755528451032	3.39307394463308	1	GO:0051142	4	0.75
56	a1	1.86348007241698	0.777512260127544	2.39672114252101	0.0165425078770594	0.339584045028655	3.3873760998053	1	GO:0001865	3	1
57	a1	1.81160163205829	0.760668962531611	2.38159004940734	0.0172380756007688	0.320717861338885	3.30248540277769	1	GO:0010706	5	0.8
58	a1	1.85324290971533	0.778499099933492	2.3805331436782	0.0172876057963891	0.327412711848835	3.37907310758182	1	GO:0031508	3	1
59	a1	1.77615749353736	0.747766635345397	2.37528315597679	0.0175354924057143	0.310561819419686	3.24175316765503	1	GO:0010750	5	1
60	a1	1.77612281554365	0.747770414766561	2.37522477550562	0.0175382663615009	0.310519733896612	3.24172589719069	1	GO:0008354	7	0.714285714285714
61	a1	1.77612281554365	0.747770414766561	2.37522477550562	0.0175382663615009	0.310519733896612	3.24172589719069	1	GO:0042306	6	0.833333333333333
62	a1	1.77612281554365	0.747770414766561	2.37522477550562	0.0175382663615009	0.310519733896612	3.24172589719069	1	GO:0003179	7	0.714285714285714
63	a1	1.77612281554365	0.747770414766561	2.37522477550562	0.0175382663615009	0.310519733896612	3.24172589719069	1	GO:0007406	6	0.833333333333333
64	a1	1.77612281554365	0.747770414766561	2.37522477550562	0.0175382663615009	0.310519733896612	3.24172589719069	1	GO:0045589	7	0.714285714285714
65	a1	1.7759955284452	0.7477842947595	2.37501046878283	0.0175484524719297	0.310365242511896	3.2416258143785	1	GO:2000323	6	0.833333333333333
66	a1	1.77516966355564	0.74787463218123	2.37361930351646	0.0176147014757496	0.30936231952929	3.24097700758199	1	GO:2000270	7	0.714285714285714
67	a1	1.77441049326618	0.747958093249567	2.37233945227747	0.0176758430784717	0.308439568551773	3.24038141798058	1	GO:0048205	6	0.833333333333333
68	a1	1.76863001183135	0.748605423200082	2.36256638947517	0.0181488904303573	0.30139034372782	3.23586967993487	1	GO:1905599	5	1
69	a1	1.83628381113498	0.780213510827867	2.3535657684094	0.0185943181934771	0.307093429660811	3.36547419260915	1	GO:1903010	4	0.75
70	a1	1.83545745149987	0.78029861883332	2.35225003248653	0.0186602270354967	0.306100261400219	3.36481464159953	1	GO:1904694	3	1
71	a1	1.85629246390538	0.790103956805741	2.34942813273593	0.0188022734064911	0.307717164523537	3.40486776328722	1	GO:0006225	4	1
72	a1	1.83228520487838	0.780626310908753	2.34719888283724	0.0189151552745307	0.302285750112859	3.3622846596439	1	GO:0039534	4	0.75
73	a1	1.75671645490519	0.74999088533977	2.34231707243928	0.0191644259958713	0.286761330905936	3.22667157890445	1	GO:0043372	6	0.833333333333333
74	a1	1.75524459320181	0.750165730710127	2.33980908664042	0.0192935995511439	0.284946778573784	3.22554240782983	1	GO:0050819	5	1
75	a1	1.81501476435686	0.782431260026897	2.31971146486972	0.0203564912164698	0.281477674325844	3.34855185438787	1	GO:0030576	4	0.75
76	a1	1.81501476435686	0.782431260026897	2.31971146486972	0.0203564912164698	0.281477674325844	3.34855185438787	1	GO:0071931	3	1
77	a1	1.71556507858157	0.741092864318734	2.31491242350396	0.0206177253265989	0.263049755317223	3.16808040184592	1	GO:0060087	7	0.857142857142857
78	a1	1.71434204450283	0.741237926684499	2.31280940004103	0.0207331207416905	0.261542404226075	3.16714168477959	1	GO:1902459	8	0.75
79	a1	1.73920077633657	0.752107902832181	2.3124351835519	0.0207537133505538	0.265096374297542	3.21330517837559	1	GO:0006346	6	0.833333333333333
80	a1	1.80968145444628	0.782993905618447	2.31123312896913	0.0208199813985213	0.275041599319772	3.34432130957279	1	GO:0010454	4	0.75
81	a1	1.7104007343618	0.741710929211419	2.30602067058697	0.0211094773607696	0.256674026167686	3.16412744255592	1	GO:1903214	8	0.75
82	a1	1.7104007343618	0.741710929211419	2.30602067058697	0.0211094773607696	0.256674026167686	3.16412744255592	1	GO:0045542	7	0.857142857142857
83	a1	1.70939727806305	0.741832599435872	2.30428978095996	0.0212063822204343	0.255432100611009	3.16336245551508	1	GO:0051593	7	0.857142857142857
84	a1	1.70642699388473	0.742195423123411	2.29916130000305	0.021495781669391	0.251750695072383	3.16110329269709	1	GO:0032816	8	0.75
85	a1	1.66485893459389	0.725048558718926	2.29620335710411	0.0216642566920114	0.243789872462124	3.08592799672566	1	GO:0071786	11	0.909090909090909
86	a1	1.69901901821109	0.743115475081155	2.28634589802554	0.0222340307307916	0.24253945069766	3.15549858572453	1	GO:0043619	6	1
87	a1	1.75254594233663	0.767498993211765	2.28345047724783	0.0224038468132609	0.248275557470825	3.25681632720244	1	GO:2000672	4	1
88	a1	1.70968899527501	0.755787311641293	2.262129793582	0.0236893853276947	0.228373084485726	3.19100490606429	1	GO:0035791	6	0.833333333333333
89	a1	1.68294202030846	0.745167342405363	2.25847527734644	0.0239160442096332	0.222440866738524	3.1434431738784	1	GO:0061002	7	0.857142857142857
90	a1	1.6805622303109	0.745475866867872	2.25434826934346	0.0241742669311951	0.219456379906095	3.14166808071571	1	GO:0021955	7	0.857142857142857
91	a1	1.67938551956912	0.745628789249568	2.25230777537349	0.0243028291482056	0.217979946803763	3.14079109233448	1	GO:0048227	8	0.75
92	a1	1.6582124502061	0.73644438861368	2.2516465273469	0.0243446183165407	0.21480797190667	3.10161692850553	1	GO:0034616	7	1
93	a1	1.65382510984291	0.737002510828112	2.2439884336142	0.0248331455453045	0.209326732104215	3.0983234875816	1	GO:0051694	7	1
94	a1	1.65238193498795	0.737187949300527	2.24146628625142	0.0249958869807487	0.207520104521981	3.09724376545392	1	GO:0032933	9	0.777777777777778
95	a1	1.67194542952069	0.746600771232832	2.23941026307791	0.0251292342032431	0.208634807074508	3.13525605196686	1	GO:0010216	8	0.75
96	a1	1.6937996225856	0.757799956111086	2.23515402571138	0.0254072385572806	0.208539001121838	3.17906024404936	1	GO:0046850	7	0.714285714285714
97	a1	1.31983871666095	0.591621321026257	2.23088430006459	0.0256887939590478	0.160282234963476	2.47939519835842	1	GO:0008104	88	0.727272727272727
98	a1	1.31516725707309	0.589970142623236	2.22920985666384	0.0257999450234493	0.158847025577585	2.47148748856859	1	GO:0032355	95	0.747368421052632
99	a1	1.52777260971013	0.688469543558474	2.21908525076298	0.0264809252720606	0.178397099882794	2.87714811953747	1	GO:0045022	24	0.833333333333333
100	a1	1.54753195410516	0.700007041948667	2.21073769457686	0.027054006619531	0.175543362961357	2.91952054524897	1	GO:0097352	25	0.72
101	a1	1.70241557449799	0.773468967126454	2.20101341728383	0.0277350740011293	0.186444255770747	3.21838689322524	1	GO:1901877	4	1
102	a1	1.79417381817683	0.817738826785041	2.19406705345112	0.028230589392193	0.191435168918114	3.39691246743555	1	GO:1903911	2	1
103	a1	1.79417381817683	0.817738826785041	2.19406705345112	0.028230589392193	0.191435168918114	3.39691246743555	1	GO:0032943	2	1
104	a1	1.79402709873094	0.817747608792888	2.19386407179983	0.0282451829735088	0.19127123705313	3.39678296040875	1	GO:0097324	2	1
105	a1	1.79380371352069	0.817761071834711	2.19355478672536	0.0282674318509494	0.191021464765784	3.3965859622756	1	GO:1903203	2	1
106	a1	1.79380371352069	0.817761071834711	2.19355478672536	0.0282674318509494	0.191021464765784	3.3965859622756	1	GO:2000740	2	1
107	a1	1.79354773876463	0.817776633534838	2.19320003191094	0.0282929702540884	0.190734989637936	3.39636048789132	1	GO:1902003	2	1
108	a1	1.79327052717999	0.817793645230767	2.19281543411109	0.0283206794772759	0.190424435741966	3.39611661861802	1	GO:0072272	2	1
109	a1	1.79258646017236	0.817836309096704	2.19186460693126	0.0283892843613972	0.189656749093654	3.39551617125107	1	GO:0003062	2	1
110	a1	1.60516394824838	0.733007406112186	2.18983319249399	0.0285363365350417	0.168495831867375	3.0418320646294	1	GO:0034214	9	0.888888888888889
111	a1	1.6051127442019	0.733014221657952	2.18974297738919	0.0285428823086592	0.168431269596658	3.04179421880715	1	GO:0085029	11	0.727272727272727
112	a1	1.60492410055689	0.733039340836921	2.18941059660526	0.0285670101559574	0.168193393265542	3.04165480784823	1	GO:1901985	10	0.8
113	a1	1.73132647482307	0.791386359061468	2.18771331474086	0.0286904915800413	0.180237713206307	3.28241523643983	1	GO:0060215	3	1
114	a1	1.78735896747357	0.818189578747722	2.18452912857826	0.0289233892702692	0.183736860602037	3.39098107434511	1	GO:2000640	2	1
115	a1	1.78735896747357	0.818189578747722	2.18452912857826	0.0289233892702692	0.183736860602037	3.39098107434511	1	GO:0043377	2	1
116	a1	1.72910140454404	0.791626634791822	2.18423853942048	0.0289447243517159	0.177541711149428	3.28066109793865	1	GO:0089700	3	1
117	a1	1.6006942013687	0.733606384385312	2.18195238678289	0.029113046918637	0.162852109144839	3.03853629359256	1	GO:0051292	9	0.888888888888889
118	a1	1.63682312041694	0.751271572073449	2.17873693250424	0.0293512164587618	0.164357896544197	3.10928834428969	1	GO:0045652	8	0.75
119	a1	1.59861077813917	0.733888175986244	2.17827569709902	0.0293855173847927	0.160216384526335	3.037005171752	1	GO:0033762	11	0.727272727272727
120	a1	1.59861077813917	0.733888175986244	2.17827569709902	0.0293855173847927	0.160216384526335	3.037005171752	1	GO:0019217	8	1
121	a1	1.78060807209417	0.81869595442714	2.17493205196074	0.0296352086023723	0.175993487128333	3.38522265706001	1	GO:0009064	2	1
122	a1	1.72167814769352	0.792428727403102	2.17265993540605	0.0298059213006763	0.168546381668535	3.27480991371851	1	GO:0097053	4	0.75
123	a1	1.62845238337268	0.752398093024563	2.16434942947086	0.0304375418337632	0.153779219007916	3.10312554773744	1	GO:0039536	8	0.75
124	a1	1.47497540423567	0.683247695480044	2.15877113672423	0.0308679267787791	0.135834528574792	2.81411627989655	1	GO:0032570	32	0.71875
125	a1	1.58682380871002	0.73550817792074	2.15745229807766	0.0309704400878906	0.145254269650688	3.02839334776934	1	GO:0031468	8	1
126	a1	1.76390207529395	0.820063427263451	2.15093371640787	0.0314814318314368	0.1566072928191	3.37119685776879	1	GO:0017126	2	1
127	a1	1.76054505442288	0.820348067615177	2.14609520510109	0.031865383757368	0.152692387110102	3.36839772173565	1	GO:0001834	2	1
128	a1	1.34004631670637	0.62612684084669	2.14021541528913	0.0323373619466605	0.112860258893012	2.56723237451972	1	GO:0045669	66	0.712121212121212
129	a1	1.57598530259984	0.737028231039782	2.13829706411174	0.0324926406984682	0.131436514172599	3.02053409102708	1	GO:1990845	10	0.8
130	a1	1.55620000823134	0.73037305325224	2.13069198172333	0.0331145260919659	0.124695128578392	2.98770488788428	1	GO:0035865	11	0.818181818181818
131	a1	1.55614341626462	0.730380938242318	2.13059149655455	0.0331228107193975	0.124623082315103	2.98766375021414	1	GO:0010763	12	0.75
132	a1	1.55549267098687	0.730471693142834	2.12943593241021	0.0332182102418381	0.123794460700925	2.98719088127282	1	GO:0048066	11	0.818181818181818
133	a1	1.55335268630625	0.730771227947201	2.12563470878534	0.0335336872486226	0.121067398591629	2.98563797402088	1	GO:0032732	11	0.818181818181818
134	a1	1.74404203681044	0.821769698500286	2.1223002502931	0.0338125324853875	0.13340302416354	3.35468104945734	1	GO:0036474	2	1
135	a1	1.21694664254554	0.573832367532506	2.12073544714538	0.0339440717403856	0.0922558690184796	2.34163741607261	1	GO:0007030	123	0.764227642276423
136	a1	1.61782478374346	0.767556883460994	2.10775881058942	0.0350518573602652	0.113440936074109	3.12220863141282	1	GO:0070315	6	0.833333333333333
137	a1	1.73365619750222	0.822676226112927	2.10733717892103	0.0350883628081629	0.12124042338355	3.34607197162088	1	GO:1903445	2	1
138	a1	1.67677530855404	0.797294142573801	2.10308243723091	0.0354585639186265	0.114107504024647	3.23944311308343	1	GO:0070254	4	0.75
139	a1	1.64140946818237	0.780800581395411	2.10221342977091	0.035534583906093	0.111068449539425	3.17175048682531	1	GO:0035751	5	0.8
140	a1	1.71433027720183	0.824376675760562	2.07954728415891	0.0375670764965777	0.0985816830162745	3.33007887138739	1	GO:0038160	2	1
141	a1	1.71433027720183	0.824376675760562	2.07954728415891	0.0375670764965777	0.0985816830162745	3.33007887138739	1	GO:2000448	2	1
142	a1	1.62332237075636	0.78298250559685	2.07325496949505	0.0381485570699494	0.0887048592616002	3.15793988225112	1	GO:0048194	4	1
143	a1	1.59462893131507	0.770559666889016	2.06944251021219	0.0385045808690557	0.0843597362734203	3.10489812635672	1	GO:0030913	6	0.833333333333333
144	a1	1.50510273248115	0.729147683413167	2.06419462986662	0.0389992664799733	0.0759995335805246	2.93420593138177	1	GO:0045010	13	0.769230769230769
145	a1	1.35355087866583	0.656993424041838	2.06021982737476	0.0393775302664158	0.0658674294641726	2.64123432786748	1	GO:0050714	48	0.75
146	a1	1.70001459919557	0.825643894448812	2.05901673908758	0.0394926349733305	0.0817823020205035	3.31824689637063	1	GO:0097309	2	1
147	a1	1.58706802619881	0.771539971276095	2.05701335677252	0.0396849410800575	0.0748774698645995	3.09925858253303	1	GO:0048512	7	0.714285714285714
148	a1	1.51033257558086	0.737031712349964	2.04920975620613	0.040441608480149	0.065776963911041	2.95488818725067	1	GO:1903238	11	0.818181818181818
149	a1	1.68865589935956	0.826652725726782	2.04276335975898	0.0410758692822169	0.0684463292132027	3.30886546950592	1	GO:0015920	2	1
150	a1	1.68653159442791	0.826841681931352	2.0397273520228	0.0413774890716245	0.0659516769259396	3.30711151192988	1	GO:1903531	2	1
151	a1	1.35884917443452	0.66626713212537	2.03949603532121	0.0414005465117189	0.0529895913860079	2.66470875748304	1	GO:0061025	39	0.846153846153846
152	a1	1.46716279303426	0.726893239197813	2.01840203473814	0.0435494076556639	0.0424782236008892	2.89184736246763	1	GO:1903204	14	0.785714285714286
153	a1	1.46582366439174	0.727095483774988	2.01599885723588	0.0438000952866893	0.0407427028710396	2.89090462591245	1	GO:0048208	12	0.916666666666667
154	a1	1.47604808839536	0.733509128235112	2.01231045610416	0.0441872209048543	0.0383966147231736	2.91369956206756	1	GO:0007398	14	0.714285714285714
155	a1	1.46340173448622	0.72746252384694	2.01165240340837	0.0442565912226404	0.0376013876436045	2.88920208132883	1	GO:0032958	11	1
156	a1	1.46280195319158	0.727553661926086	2.01057602997838	0.0443702580193229	0.0368229789962202	2.88878092738694	1	GO:0030239	14	0.785714285714286
157	a1	1.45908636948216	0.728120275434956	2.0039084457723	0.0450798686717309	0.0319968532162613	2.88617588574806	1	GO:0009650	13	0.846153846153846
158	a1	1.21165375845904	0.607680290400564	1.99390004513782	0.0461629790290875	0.0206222751590988	2.40268524175899	1	GO:0031647	87	0.747126436781609
159	a1	1.46467878881288	0.73662571898096	1.98836227282303	0.0467716381522857	0.0209189095242774	2.90843866810148	1	GO:0006622	18	0.888888888888889
160	a1	1.59591586819681	0.806100859307911	1.97979675839448	0.0477263707825191	0.0159872160465135	3.1758445203471	1	GO:1905072	3	1
161	a1	1.59591586819681	0.806100859307911	1.97979675839448	0.0477263707825191	0.0159872160465135	3.1758445203471	1	GO:0060465	4	0.75
162	a1	1.59591586819681	0.806100859307911	1.97979675839448	0.0477263707825191	0.0159872160465135	3.1758445203471	1	GO:0097325	4	0.75
163	a1	1.45725907140271	0.73639981936074	1.97889656283151	0.0478276533366251	0.0139419472338616	2.90057619557157	1	GO:0042551	14	0.714285714285714
164	a1	1.45725907140271	0.73639981936074	1.97889656283151	0.0478276533366251	0.0139419472338616	2.90057619557157	1	GO:0070085	11	0.909090909090909
165	a1	1.64369714293614	0.830667401475625	1.97876688072293	0.0478422589698998	0.015618952912444	3.27177533295984	1	GO:0072105	2	1
166	a1	1.56283612813209	0.790298919016592	1.97752532684317	0.0479822805890828	0.0138787098386328	3.11179354642555	1	GO:0035461	5	0.8
167	a1	1.56283612813209	0.790298919016592	1.97752532684317	0.0479822805890828	0.0138787098386328	3.11179354642555	1	GO:0032497	4	1
168	a1	1.51593565216173	0.767750928770434	1.97451490496993	0.0483232243365003	0.0111714826745055	3.02069982164896	1	GO:1901895	6	1
169	a1	1.42343605845593	0.721270894199292	1.97351102048299	0.0484373702326869	0.00977108272831395	2.83710103418354	1	GO:0006998	21	0.714285714285714
170	a1	1.43025938702425	0.72519231349938	1.97224840969784	0.0485812558359799	0.00890857070018547	2.85161020334832	1	GO:0000463	16	0.75
171	a1	1.43018864848887	0.725203288297044	1.97212101981405	0.0485957929462605	0.0088163219566475	2.85156097502109	1	GO:0070166	15	0.8
172	a1	1.43018864848887	0.725203288297044	1.97212101981405	0.0485957929462605	0.0088163219566475	2.85156097502109	1	GO:0043129	16	0.75
173	a1	1.42993008032994	0.725243415977506	1.97165537642645	0.0486489609732379	0.00847910498922322	2.85138105567065	1	GO:2000772	13	0.923076923076923
174	a1	1.51820185357528	0.780495423507366	1.94517713730189	0.0517536625001003	-0.0115410665974902	3.04794477374806	1	GO:0043067	7	0.714285714285714
175	a1	1.51820185357528	0.780495423507366	1.94517713730189	0.0517536625001003	-0.0115410665974902	3.04794477374806	1	GO:0035470	5	1
176	a1	1.41086666222848	0.728246067528056	1.93734882361603	0.0527027178647193	-0.0164694020094336	2.83820272646639	1	GO:0001702	16	0.75
177	a1	1.61336200101892	0.833391774841649	1.93589863701916	0.0528801167287809	-0.0200558626826219	3.24677986472047	1	GO:1904556	2	1
178	a1	1.61336200101892	0.833391774841649	1.93589863701916	0.0528801167287809	-0.0200558626826219	3.24677986472047	1	GO:1904271	2	1
179	a1	1.4152732753745	0.734987140709779	1.92557556042105	0.054157392776379	-0.0252750495167393	2.85582160026574	1	GO:0030194	15	0.733333333333333
180	a1	1.39390082635884	0.72402504429348	1.92521078841829	0.0542029929595202	-0.0251621843614023	2.81296383707907	1	GO:0055091	17	0.764705882352941
181	a1	1.39390082635884	0.72402504429348	1.92521078841829	0.0542029929595202	-0.0251621843614023	2.81296383707907	1	GO:0033280	18	0.722222222222222
182	a1	1.38441180236284	0.725551805389555	1.90808125909016	0.0563807145278813	-0.0376436051187026	2.80646720984438	1	GO:0042789	13	1
183	a1	1.58637837420207	0.835824153082942	1.89798101472744	0.057698583021986	-0.0518068632491926	3.22456361165332	1	GO:0002643	2	1
184	a1	1.58518798810537	0.835931643033695	1.89631293577132	0.0579186767613116	-0.0532079257780631	3.22358390198881	1	GO:0042496	2	1
185	a1	1.58518798810537	0.835931643033695	1.89631293577132	0.0579186767613116	-0.0532079257780631	3.22358390198881	1	GO:0032493	2	1
186	a1	1.58518798810537	0.835931643033695	1.89631293577132	0.0579186767613116	-0.0532079257780631	3.22358390198881	1	GO:0042495	2	1
187	a1	1.58518798810537	0.835931643033695	1.89631293577132	0.0579186767613116	-0.0532079257780631	3.22358390198881	1	GO:1903974	2	1
188	a1	1.53843854261562	0.812389781733322	1.8937197109166	0.0582622235927179	-0.0538161709900427	3.13069325622129	1	GO:0015827	4	0.75
189	a1	1.37336425462653	0.727352748814266	1.88816809569413	0.059003387447736	-0.0522209371056441	2.79894944635869	1	GO:0007178	18	0.722222222222222
