Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	3.10529898872538	0.659236918576367	4.71044460833796	2.47176974054057e-06	1.81321837103653	4.39737960641422	1	GO:0045839	8	1
2	a1	2.30883510396769	0.763386148426289	3.02446554568396	0.00249072839788589	0.812625746755419	3.80504446117997	1	GO:0030202	4	1
3	a1	2.30507401894934	0.763433564183484	3.01935116176703	0.0025331672678073	0.808771728560668	3.80137630933802	1	GO:1904358	5	0.8
4	a1	2.26761257734357	0.753477419256993	3.00952957499333	0.00261652603238175	0.790823972435678	3.74440118225146	1	GO:0071373	6	0.833333333333333
5	a1	2.26330397738035	0.753572551769485	3.00343208104624	0.00266953127115917	0.786328916174216	3.74027903858649	1	GO:0044806	7	0.714285714285714
6	a1	2.21908015151076	0.747113669062854	2.97020419167846	0.00297601864301545	0.754764267789988	3.68339603523153	1	GO:0010827	8	0.75
7	a1	2.31693814851728	0.780952680714849	2.9668099050463	0.00300906939253058	0.786299020686164	3.84757727634839	1	GO:0051049	3	1
8	a1	2.31693773139034	0.78095267880558	2.9668093781738	0.00300907454866686	0.786298607301329	3.84757685547935	1	GO:0017187	4	0.75
9	a1	2.31692707448166	0.78095263030887	2.96679591637371	0.00300920629271405	0.786288045444455	3.84756610351887	1	GO:0003220	3	1
10	a1	2.21574722639618	0.747207884076448	2.96536917451674	0.00302319898449298	0.75124668464196	3.68024776815039	1	GO:0000389	6	1
11	a1	2.31474529669891	0.780952849759285	2.96400134452725	0.00303666960054305	0.784105837546787	3.84538475585102	1	GO:1903241	3	1
12	a1	2.31379448366847	0.780958916068602	2.96276082654419	0.00304893374250376	0.78314313476857	3.84444583256837	1	GO:1903843	3	1
13	a1	2.17045486878773	0.742680725659059	2.92246020907795	0.00347277991525207	0.714827394483907	3.62608234309156	1	GO:2001259	9	0.777777777777778
14	a1	2.28578347177759	0.782219407381397	2.92217688567663	0.00347594071421633	0.752661605301787	3.81890533825339	1	GO:0031508	3	1
15	a1	2.28130778896215	0.782537979692517	2.91526781851348	0.00355383428575001	0.747561532230078	3.81505404569422	1	GO:0006556	4	0.75
16	a1	2.24264619793593	0.785676575487398	2.85441397631678	0.00431163067563221	0.702748406483869	3.782543989388	1	GO:0036071	4	0.75
17	a1	2.14304782728402	0.753116395739338	2.8455731934772	0.00443315699185111	0.666966815468308	3.61912883909974	1	GO:0039536	8	0.75
18	a1	2.1964969585898	0.789699134254058	2.7814351862809	0.00541191358979357	0.648715096829384	3.74427882035021	1	GO:0098921	3	1
19	a1	2.01416232881688	0.736704165687479	2.73401783596174	0.00625666551713591	0.570248696808792	3.45807596082497	1	GO:0071786	11	0.909090909090909
20	a1	2.00105971232363	0.733318251153635	2.72877391115743	0.00635702713540745	0.563782350856606	3.43833707379065	1	GO:0016322	14	0.785714285714286
21	a1	2.09414266840119	0.782049919895098	2.67776086299208	0.00741161133232093	0.561352991294359	3.62693234550801	1	GO:0097053	4	1
22	a1	2.09414266840119	0.782049919895098	2.67776086299208	0.00741161133232093	0.561352991294359	3.62693234550801	1	GO:0070189	5	0.8
23	a1	2.03338647250645	0.764750824973931	2.65888758286173	0.00783991174415196	0.534502398410251	3.53227054660265	1	GO:0033194	7	0.857142857142857
24	a1	2.16505692447886	0.820707665737073	2.63803667842488	0.00833875621638469	0.556499457798264	3.77361439115946	1	GO:0097018	2	1
25	a1	2.16505692447886	0.820707665737073	2.63803667842488	0.00833875621638469	0.556499457798264	3.77361439115946	1	GO:1903210	2	1
26	a1	1.92506918336759	0.730759164655769	2.63434148550763	0.0084300656069867	0.49280753926971	3.35733082746547	1	GO:0006998	21	0.714285714285714
27	a1	1.92388600443043	0.731398538214114	2.63042090448809	0.00852792113706063	0.490371211185528	3.35740079767534	1	GO:0061003	18	0.722222222222222
