Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.49424560646393	0.609181776453698	4.09441927331441	4.23227838643177e-05	1.30027126457656	3.68821994835131	1	GO:0031116	31	0.709677419354839
2	a1	2.41612003209196	0.607051348835561	3.98009169525204	6.88886910738959e-05	1.2263212516078	3.60591881257612	1	GO:0001578	32	0.78125
3	a1	2.51823205619381	0.67719565048205	3.71861817836728	0.000200315571766039	1.19095297076181	3.8455111416258	1	GO:0046425	13	0.769230769230769
4	a1	2.1659469380824	0.661999223273658	3.271827008152	0.00106854936313796	0.868452302672539	3.46344157349226	1	GO:0045022	24	0.833333333333333
5	a1	2.16426549659644	0.760465687746761	2.84597389661209	0.00442758241729758	0.673780137134311	3.65475085605858	1	GO:0045639	4	1
6	a1	2.11551530816095	0.750407596555573	2.81915497373871	0.00481502647451339	0.64474344518677	3.58628717113514	1	GO:0000389	6	0.833333333333333
7	a1	2.11382296655601	0.750514473438399	2.81649860378011	0.00485502539934961	0.642841628740708	3.58480430437132	1	GO:0031442	6	0.833333333333333
8	a1	2.11382296655601	0.750514473438399	2.81649860378011	0.00485502539934961	0.642841628740708	3.58480430437132	1	GO:1904358	5	1
9	a1	2.11382296654719	0.750514473439613	2.8164986037638	0.00485502539959612	0.642841628729508	3.58480430436488	1	GO:0002735	6	0.833333333333333
10	a1	2.11382296654719	0.750514473439613	2.8164986037638	0.00485502539959612	0.642841628729508	3.58480430436488	1	GO:0044806	7	0.714285714285714
11	a1	2.10663047101783	0.75102506463534	2.8050068768886	0.00503155062485645	0.634648392845699	3.57861254918997	1	GO:0010606	6	0.833333333333333
12	a1	2.18193639714156	0.778459215254122	2.80289108842945	0.00506467693365934	0.656184371810171	3.70768842247296	1	GO:0017187	4	0.75
13	a1	2.18070096645666	0.778503777488752	2.80114371890529	0.00509218352224172	0.654861600750323	3.706540332163	1	GO:1903241	3	1
14	a1	2.17956466000699	0.778548689003618	2.79952261276861	0.00511782318482877	0.653637269349022	3.70549205066496	1	GO:1901534	3	1
15	a1	2.17956466000699	0.778548689003618	2.79952261276861	0.00511782318482877	0.653637269349022	3.70549205066496	1	GO:1904582	3	1
16	a1	2.17956466000699	0.778548689003618	2.79952261276861	0.00511782318482877	0.653637269349022	3.70549205066496	1	GO:1903843	3	1
17	a1	2.17110694654318	0.778984628010955	2.7870985748292	0.00531822988035508	0.644325131131381	3.69788876195499	1	GO:0051142	4	0.75
18	a1	2.1711069465419	0.778984628011104	2.78709857482702	0.00531822988039082	0.644325131129808	3.697888761954	1	GO:2000330	4	0.75
19	a1	2.06466236403388	0.743779769534606	2.77590551478131	0.0055048203527314	0.606880803316553	3.52244392475121	1	GO:2000270	7	0.857142857142857
20	a1	2.08325233257331	0.753091643401663	2.76626669652501	0.00567021413537562	0.60721983444797	3.55928483069865	1	GO:0001957	7	0.714285714285714
21	a1	2.15746541667565	0.779947082643748	2.76616896797997	0.00567191378442626	0.628797224846815	3.68613360850448	1	GO:0002248	4	0.75
22	a1	2.15746541667565	0.779947082643748	2.76616896797997	0.00567191378442626	0.628797224846815	3.68613360850448	1	GO:0003105	3	1
23	a1	2.11324935445706	0.76461953658148	2.76379199504258	0.00571339475419423	0.614622600881653	3.61187610803247	1	GO:2000672	4	1
24	a1	2.0526754565745	0.744697147154737	2.75638957986768	0.00584433417515844	0.593095868761494	3.51225504438751	1	GO:0060119	7	0.857142857142857
25	a1	2.03375759175525	0.738935465713686	2.75228038999452	0.00591818253899802	0.585470692057089	3.4820444914534	1	GO:0043304	10	0.8
26	a1	2.04576526954087	0.745308599583233	2.74485665492769	0.0060537333860996	0.584987256989753	3.506543282092	1	GO:0032816	8	0.75
27	a1	2.14380491394565	0.781073467789694	2.74469048348583	0.00605679927553859	0.612929047798042	3.67468078009325	1	GO:0030576	4	0.75
28	a1	2.10137310614137	0.765784917610149	2.74407742672617	0.00606812237260742	0.600462247721508	3.60228396456124	1	GO:0097325	4	1
29	a1	1.76758225981179	0.646629573755682	2.73353142440659	0.00626591439223948	0.50021158391217	3.03495293571142	1	GO:0044237	62	0.709677419354839
30	a1	2.13529244397877	0.781815375388421	2.73119781370112	0.00631045823411398	0.602962465657806	3.66762242229974	1	GO:1905222	4	0.75
31	a1	2.13529244397859	0.781815375388442	2.7311978137008	0.00631045823412	0.602962465657576	3.6676224222996	1	GO:0060560	3	1
32	a1	2.13529244397859	0.781815375388442	2.7311978137008	0.00631045823412	0.602962465657576	3.6676224222996	1	GO:0060465	4	0.75
33	a1	2.01337873040359	0.739209396350845	2.72369201520268	0.00645566765975431	0.564554936522336	3.46220252428484	1	GO:0060627	9	0.777777777777778
