Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.88004496001548	0.556755959922662	5.17290369090174	2.30483828556453e-07	1.78882333038903	3.97126658964192	1	GO:0015918	22	0.772727272727273
2	a1	2.80226156436977	0.647573189442096	4.32732795312913	1.50929153796199e-05	1.53304143570953	4.07148169303001	1	GO:0048771	10	0.7
3	a1	2.75419248484442	0.638369121166051	4.3144199703983	1.60022488777899e-05	1.50301199851648	4.00537297117237	1	GO:0030299	10	0.8
4	a1	2.70087769929132	0.631699849696996	4.27557122355948	1.90647837860609e-05	1.46276874484584	3.9389866537368	1	GO:0038183	11	0.818181818181818
5	a1	2.66529483988276	0.635248390143036	4.19567350541829	2.72061923239045e-05	1.42023087396536	3.91035880580016	1	GO:0043304	10	0.9
6	a1	2.74070480933977	0.671170980306403	4.08346738723504	4.4368658498678e-05	1.42523386047078	4.05617575820876	1	GO:0000389	6	1
7	a1	2.59071080412325	0.656971553486233	3.94341397336854	8.03298150037488e-05	1.3030702204229	3.8783513878236	1	GO:0045839	8	1
8	a1	2.16563895887947	0.549549308085728	3.94075459110875	8.12256919873778e-05	1.08854210730254	3.2427358104564	1	GO:0120009	49	0.857142857142857
9	a1	2.39578554144683	0.611504324614896	3.91785543455578	8.93402563664248e-05	1.19725908881115	3.59431199408252	1	GO:0042176	19	0.894736842105263
10	a1	2.28209785624204	0.60593900756889	3.76621710722689	0.000165739682376179	1.09447922457907	3.469716487905	1	GO:0014850	20	0.95
11	a1	2.2730118441029	0.60700374047312	3.7446422361932	0.000180651011858343	1.08330637429449	3.46271731391131	1	GO:0032740	24	0.791666666666667
12	a1	2.32041090308152	0.648823067932047	3.57633847772586	0.000348440441701246	1.04874105759592	3.59208074856711	1	GO:0032480	14	0.857142857142857
13	a1	2.13659958631869	0.601500656816209	3.55211513421761	0.000382147607722774	0.957679962281732	3.31551921035565	1	GO:0070328	32	0.75
14	a1	2.14553167566033	0.614120535528741	3.49366541506886	0.000476437722399446	0.941877543857545	3.34918580746311	1	GO:0046488	29	0.724137931034483
15	a1	2.48468995725703	0.741949743969468	3.34886557674892	0.000811431536108988	1.03049518073816	3.9388847337759	1	GO:0006225	4	1
16	a1	2.07852066165325	0.625160957490787	3.32477682226962	0.000884893383467534	0.853227700430733	3.30381362287577	1	GO:0045022	24	0.875
17	a1	2.31853674785454	0.716068911717066	3.23786818547241	0.00120426436380076	0.915067470440297	3.72200602526878	1	GO:0006207	6	1
18	a1	2.51369568035938	0.779166505415728	3.22613416116775	0.00125474526170797	0.986557391784619	4.04083396893414	1	GO:1903241	3	1
19	a1	2.04999208161286	0.670989817351915	3.05517614217042	0.00224928378591431	0.734876205609995	3.36510795761572	1	GO:0070593	17	0.823529411764706
20	a1	1.87932958647194	0.617312847362673	3.04437141475501	0.00233167081550442	0.669418638447231	3.08924053449665	1	GO:0007098	45	0.8
21	a1	1.80137754106433	0.596170557184547	3.02158085359237	0.00251458474438118	0.632904720339436	2.96985036178922	1	GO:0042552	53	0.754716981132076
22	a1	2.33930801589008	0.791583194020729	2.95522698506004	0.00312439088677994	0.787833464842265	3.89078256693789	1	GO:0044205	3	1
23	a1	2.01938165893131	0.683470202807563	2.9546008745313	0.00313073785673369	0.679804676922203	3.35895864094042	1	GO:0045292	16	0.8125
24	a1	1.93011101224288	0.663991677722623	2.90683012603836	0.00365111413866857	0.628711237872209	3.23151078661355	1	GO:0032967	25	0.72
25	a1	1.95562169313111	0.715565378702475	2.7329741646769	0.00627652553596691	0.553139322290492	3.35810406397172	1	GO:0009101	13	0.769230769230769
26	a1	1.97202586332872	0.735636354526275	2.68070745986805	0.00734667097826969	0.530205102738887	3.41384662391856	1	GO:0070168	9	0.777777777777778
27	a1	1.47281260800467	0.556378336178379	2.64714226316043	0.00811751955971644	0.382331107316727	2.56329410869261	1	GO:0006869	148	0.736486486486487
28	a1	1.36581035123188	0.518258650978767	2.63538360363586	0.00840422443109379	0.350042060637183	2.38157864182658	1	GO:0030036	197	0.756345177664975
29	a1	1.6804853081561	0.644103270821729	2.60903085620445	0.00907990545065354	0.418066095021063	2.94290452129114	1	GO:0008333	44	0.727272727272727
30	a1	1.96650699895921	0.758390016260452	2.59300222417994	0.00951421552879127	0.480089880853982	3.45292411706445	1	GO:0010750	5	0.8
31	a1	1.96648718413765	0.758391698111012	2.59297034637344	0.00951509743440424	0.480066769665895	3.45290759860941	1	GO:0031536	5	0.8
32	a1	1.96648718413765	0.758391698111012	2.59297034637344	0.00951509743440424	0.480066769665895	3.45290759860941	1	GO:0002513	5	0.8
33	a1	1.96648718413765	0.758391698111012	2.59297034637344	0.00951509743440424	0.480066769665895	3.45290759860941	1	GO:0060762	4	1
34	a1	1.96647478980168	0.758392750393042	2.59295040568696	0.00951564913437209	0.480052312895047	3.45289726670832	1	GO:0030835	4	1
35	a1	1.9661615902689	0.758419410120225	2.5924462955889	0.00952960585324535	0.479686861257145	3.45263631928065	1	GO:0055092	5	0.8
36	a1	1.95847548567045	0.759109786266868	2.57996342703181	0.00988107792550137	0.470647644275495	3.44630332706541	1	GO:1905599	5	0.8
37	a1	1.95831315952171	0.759125011722666	2.57969784855033	0.00988867950458532	0.470455476781737	3.44617084226168	1	GO:0051135	5	0.8
38	a1	1.49505388891214	0.579887038506097	2.57818124847849	0.00993218863910971	0.358496178338599	2.63161159948568	1	GO:0007229	111	0.720720720720721
39	a1	1.99735583771762	0.776691421253218	2.57162083043845	0.0101223685774303	0.475068624960088	3.51964305047516	1	GO:0045639	4	0.75
40	a1	1.99735127474729	0.776691742992225	2.57161389028348	0.0101225714707064	0.475063431392891	3.51963911810169	1	GO:0042482	4	0.75
41	a1	1.99735127474729	0.776691742992225	2.57161389028348	0.0101225714707064	0.475063431392891	3.51963911810169	1	GO:0051098	4	0.75
42	a1	1.99735127474729	0.776691742992225	2.57161389028348	0.0101225714707064	0.475063431392891	3.51963911810169	1	GO:0051280	3	1
