Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.89595936900107	0.641487894893098	4.51444117972589	6.34839383151459e-06	1.63866619849219	4.15325253950996	1	GO:0043304	10	0.9
2	a1	2.8950784234089	0.670055643142481	4.32065374426417	1.55567621663129e-05	1.58179349521182	4.20836335160599	1	GO:0045839	8	0.75
3	a1	2.53376175774838	0.619138497054664	4.09239898633645	4.26933241982826e-05	1.32027260207898	3.74725091341778	1	GO:0042176	19	0.789473684210526
4	a1	2.53912957677478	0.632930088084392	4.01170622881847	6.028148467669e-05	1.29860939939761	3.77964975415195	1	GO:0048557	17	0.764705882352941
5	a1	2.55709600274268	0.646050597852163	3.95804293230887	7.55663774555548e-05	1.29086009876187	3.82333190672349	1	GO:0032480	14	0.785714285714286
6	a1	2.29532151997962	0.605162949801516	3.79289829414118	0.000148899153041009	1.10922393359062	3.48141910636861	1	GO:0001578	32	0.78125
7	a1	2.29051164754393	0.605182524087016	3.78482781041872	0.000153815038922522	1.10437569626034	3.47664759882753	1	GO:0031116	31	0.774193548387097
8	a1	2.73761760149789	0.73044720638136	3.74786511274383	0.000178346115825866	1.30596738438253	4.16926781861325	1	GO:1903307	5	0.8
9	a1	2.41746612463041	0.673654015285062	3.58858712303145	0.000332474889921707	1.09712851663089	3.73780373262992	1	GO:0097062	11	0.909090909090909
10	a1	2.25756773945811	0.633114259013591	3.56581408066131	0.000362728460803044	1.01668659369271	3.49844888522351	1	GO:0045022	24	0.791666666666667
11	a1	2.61795408094778	0.740784617118625	3.53402867776958	0.000409276668888428	1.16604291109398	4.06986525080158	1	GO:0060435	5	0.8
12	a1	2.04992732670516	0.603027949820356	3.39939023940074	0.000675362807441053	0.868014263386235	3.23184039002408	1	GO:0007098	45	0.755555555555556
13	a1	2.36680815471129	0.710757021298754	3.32998209484651	0.000868515688685121	0.973749991206761	3.75986631821581	1	GO:0070168	9	0.777777777777778
14	a1	1.31224615223886	0.44883239067392	2.92368861852533	0.0034591058281861	0.432550831422962	2.19194147305475	1	GO:0015031	722	0.700831024930748
15	a1	1.86331207178782	0.652716838382492	2.85470201198627	0.0043077226107911	0.58401057645528	3.14261356712035	1	GO:0061025	39	0.717948717948718
16	a1	2.01673077705068	0.749400205162982	2.69112653446909	0.00712111797059764	0.547933364924308	3.48552818917705	1	GO:0048608	8	0.75
17	a1	2.01488994805311	0.749402955523682	2.6886602637497	0.00717393900218148	0.546087145318822	3.4836927507874	1	GO:0003100	6	0.833333333333333
18	a1	2.08979120552697	0.777757515924089	2.68694440457318	0.00721089536853027	0.565414485610417	3.61416792544352	1	GO:0051049	3	1
19	a1	2.08979120459273	0.777757515972804	2.68694440320369	0.00721089539809467	0.565414484580696	3.61416792460476	1	GO:0072277	3	1
20	a1	2.08979120459273	0.777757515972804	2.68694440320369	0.00721089539809467	0.565414484580696	3.61416792460476	1	GO:0014707	3	1
21	a1	2.08955125836359	0.777769596003321	2.68659416503428	0.00721845983184494	0.565150861926812	3.61395165480037	1	GO:0045639	4	0.75
22	a1	2.08919928865111	0.7777875767678	2.68607953000876	0.00722958782509313	0.564763650563537	3.61363492673868	1	GO:1903241	3	1
23	a1	2.01257244652931	0.749580612772179	2.68493129656356	0.00725447168089703	0.543421441986377	3.48172345107225	1	GO:0031442	6	0.833333333333333
24	a1	2.01257244652931	0.749580612772179	2.68493129656356	0.00725447168089703	0.543421441986377	3.48172345107225	1	GO:0044806	7	0.714285714285714
25	a1	2.01257244652931	0.749580612772179	2.68493129656356	0.00725447168089703	0.543421441986377	3.48172345107225	1	GO:1904358	5	1
26	a1	2.08827747593539	0.777836106052191	2.68472684629436	0.00725891046216803	0.563746722198215	3.61280822967256	1	GO:1901534	3	1
27	a1	2.08827747593539	0.777836106052191	2.68472684629436	0.00725891046216803	0.563746722198215	3.61280822967256	1	GO:1903843	3	1
28	a1	2.08566462003187	0.777984304960519	2.68085693597343	0.00734339030519662	0.560843401771829	3.61048583829192	1	GO:0043084	4	0.75
29	a1	2.08401862582798	0.778085086202358	2.6783942563397	0.00739760862523596	0.558999879963613	3.60903737169234	1	GO:1904694	3	1
30	a1	2.0085094201547	0.749911180636329	2.67832974359764	0.00739903375076816	0.538710514503588	3.47830832580582	1	GO:0042713	6	0.833333333333333
