Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.72485197070462	0.476001735365626	5.72445806024554	1.03764436477566e-08	1.79190571280943	3.65779822859981	1	GO:0009749	68	0.764705882352941
2	a1	2.88588617401953	0.556693459407399	5.18397715161152	2.17203553945728e-07	1.79478704315202	3.97698530488705	1	GO:0014003	25	0.8
3	a1	2.93588170865308	0.647245131062796	4.53596569175001	5.7340501701847e-06	1.6673045626011	4.20445885470507	1	GO:0070973	9	0.777777777777778
4	a1	2.40135290529622	0.551705398583209	4.35259997720331	1.34532488337084e-05	1.32003019399682	3.48267561659562	1	GO:0007029	42	0.880952380952381
5	a1	2.65459717774944	0.622500113623363	4.2644123585744	2.00428994345684e-05	1.43451937467555	3.87467498082332	1	GO:0002690	14	0.857142857142857
6	a1	2.66322285595507	0.650815729509487	4.09213043753923	4.27428097812963e-05	1.38764746554432	3.93879824636583	1	GO:0032964	9	1
7	a1	2.4784592869038	0.609671256207263	4.06523886712682	4.79832924908257e-05	1.28352558232827	3.67339299147933	1	GO:0032740	24	0.708333333333333
8	a1	2.50760880267788	0.633581455883276	3.95783175058686	7.56332005642149e-05	1.26581196787421	3.74940563748156	1	GO:0015908	16	0.8125
9	a1	2.19021057358341	0.55347741286153	3.95718149049628	7.58393100023991e-05	1.10541477811841	3.27500636904842	1	GO:0071363	68	0.705882352941177
10	a1	2.35853814047001	0.604190912589621	3.90363060967118	9.47603745058056e-05	1.17434571200796	3.54273056893205	1	GO:0007130	30	0.7
11	a1	2.48991739921565	0.652096007936731	3.81832946208932	0.000134358415048375	1.21183270919731	3.76800208923399	1	GO:0030949	14	0.785714285714286
12	a1	2.25363439522675	0.609218713517188	3.69922056762816	0.000216262597616841	1.05958765802524	3.44768113242826	1	GO:0030511	31	0.741935483870968
13	a1	2.23572185761695	0.607312544627812	3.68133653321305	0.000232014522427846	1.04541114278706	3.42603257244683	1	GO:0007631	34	0.705882352941177
14	a1	1.86113548563739	0.521295552452967	3.57021170980605	0.000356692826617791	0.839414977528669	2.88285599374612	1	GO:0006888	127	0.740157480314961
15	a1	2.24740756868871	0.642219601434423	3.49943783040728	0.000466240315296095	0.988680279711569	3.50613485766584	1	GO:0045022	24	0.708333333333333
16	a1	2.38719427815191	0.737484417680079	3.23694198944753	0.00120817969153447	0.941751380339457	3.83263717596436	1	GO:0001957	7	0.714285714285714
17	a1	1.93081951912529	0.607354432252364	3.17906549552108	0.00147750701857899	0.74042670605988	3.12121233219069	1	GO:0120163	48	0.770833333333333
18	a1	1.70541397149897	0.570401586100389	2.98984787745457	0.00279116414957607	0.58744740601768	2.82338053698025	1	GO:0008203	111	0.738738738738739
19	a1	1.70738872309257	0.592600038039662	2.88118227049168	0.00396186455952732	0.545913991297764	2.86886345488737	1	GO:0006633	79	0.734177215189873
20	a1	1.79079137677283	0.631210599804402	2.83707430979098	0.00455290142005626	0.553641334496273	3.02794141904938	1	GO:0003151	51	0.725490196078431
21	a1	1.80944609768582	0.654434344333254	2.76490088479281	0.0056940093981796	0.526778352546553	3.09211384282508	1	GO:0006641	39	0.743589743589744
22	a1	1.46152548824029	0.532634790265181	2.74395423459411	0.00607040001848096	0.41758048240749	2.50547049407309	1	GO:0030036	197	0.751269035532995
23	a1	2.06152386660562	0.758352547509756	2.71842413317548	0.00655936963877231	0.575180185902302	3.54786754730895	1	GO:0061035	5	0.8
24	a1	2.06152386660562	0.758352547509756	2.71842413317548	0.00655936963877231	0.575180185902302	3.54786754730895	1	GO:0060762	4	1
25	a1	2.06152386660562	0.758352547509756	2.71842413317548	0.00655936963877231	0.575180185902302	3.54786754730895	1	GO:0060435	5	0.8
26	a1	2.06131463805477	0.758368896250702	2.71808963717486	0.00656600473621236	0.574938914408	3.54769036170154	1	GO:2000074	4	1
27	a1	2.06131463805477	0.758368896250702	2.71808963717486	0.00656600473621236	0.574938914408	3.54769036170154	1	GO:0090403	4	1
28	a1	2.06104530321617	0.758390047102875	2.71765869171091	0.0065745619124611	0.574628124660902	3.54746248177144	1	GO:0045636	5	0.8
29	a1	1.51493463734826	0.557605317082567	2.71685830629182	0.006590481580495	0.422048298278388	2.60782097641812	1	GO:0001666	162	0.722222222222222
30	a1	2.05984254178523	0.75848590338897	2.7157294981775	0.00661299249528347	0.573237488361524	3.54644759520894	1	GO:0006225	4	1
31	a1	2.05948744431739	0.758514626870379	2.71515851027792	0.00662440555948308	0.572826093904609	3.54614879473017	1	GO:0031670	5	0.8
32	a1	2.01048986033231	0.747994979011779	2.68783871114816	0.0071916124278302	0.544446640852434	3.47653307981219	1	GO:2000402	6	0.833333333333333
33	a1	2.01048986033231	0.747994979011779	2.68783871114816	0.0071916124278302	0.544446640852434	3.47653307981219	1	GO:1903038	6	0.833333333333333
34	a1	2.01048008999653	0.747995842919336	2.68782254477495	0.00719196059423525	0.544435177288958	3.47652500270411	1	GO:0046085	6	0.833333333333333
35	a1	2.01048008999653	0.747995842919336	2.68782254477495	0.00719196059423525	0.544435177288958	3.47652500270411	1	GO:0006204	5	1
36	a1	2.01047867627716	0.747995967932264	2.68782020554852	0.00719201097413829	0.544433518548744	3.47652383400557	1	GO:2000821	6	0.833333333333333
37	a1	2.01044545647766	0.747998906272739	2.68776523550772	0.00719319495469894	0.544394539707743	3.47649637324758	1	GO:0060744	5	1
38	a1	2.01044545647766	0.747998906272739	2.68776523550772	0.00719319495469894	0.544394539707743	3.47649637324758	1	GO:0007406	6	0.833333333333333
39	a1	2.01019192150931	0.748021379496219	2.687345544673	0.00720224029768447	0.544096958030756	3.47628688498787	1	GO:2000323	6	0.833333333333333
40	a1	2.08612583908708	0.776656746236762	2.68603324337973	0.0072305894387148	0.563906588112964	3.6083450900612	1	GO:0046040	4	0.75
41	a1	2.08610867043958	0.776657846716433	2.68600733161876	0.00723115020734209	0.56388726256494	3.60833007831422	1	GO:0017187	4	0.75
42	a1	2.08610398398098	0.776658147225102	2.68600025820157	0.00723130329327741	0.563881987120173	3.60832598084179	1	GO:0042482	4	0.75
43	a1	2.08610398398098	0.776658147225102	2.68600025820157	0.00723130329327741	0.563881987120173	3.60832598084179	1	GO:0051098	4	0.75
44	a1	2.08610398398098	0.776658147225102	2.68600025820157	0.00723130329327741	0.563881987120173	3.60832598084179	1	GO:0051280	3	1
45	a1	2.08610398398098	0.776658147225102	2.68600025820157	0.00723130329327741	0.563881987120173	3.60832598084179	1	GO:1990402	3	1
46	a1	2.08610398398098	0.776658147225102	2.68600025820157	0.00723130329327741	0.563881987120173	3.60832598084179	1	GO:0060364	4	0.75
47	a1	2.08594410691821	0.776668428097875	2.68575885339753	0.00723652962362572	0.563701959917036	3.60818625391938	1	GO:2001016	3	1
48	a1	2.00887460056141	0.748139465391819	2.68516057966453	0.00724949665634885	0.542548192980397	3.47520100814243	1	GO:0071569	6	0.833333333333333
49	a1	2.00887460056141	0.748139465391819	2.68516057966453	0.00724949665634885	0.542548192980397	3.47520100814243	1	GO:1990592	5	1
50	a1	2.00887460056141	0.748139465391819	2.68516057966453	0.00724949665634885	0.542548192980397	3.47520100814243	1	GO:1902065	7	0.714285714285714
51	a1	2.08482257004414	0.776742098457469	2.6840602230578	0.00727340032748441	0.562436031791436	3.60720910829684	1	GO:0006222	4	0.75
52	a1	2.08482257004414	0.776742098457469	2.6840602230578	0.00727340032748441	0.562436031791436	3.60720910829684	1	GO:0044205	3	1
53	a1	2.08416107245459	0.776786771259452	2.68305428151848	0.00729531482451389	0.561686977118913	3.60663516779027	1	GO:0031114	3	1
54	a1	2.00734363525004	0.748279335098346	2.68261268365271	0.00730495375938614	0.540743088081702	3.47394418241837	1	GO:0047497	7	0.714285714285714
55	a1	2.08351199768209	0.776831440422037	2.68206445989127	0.0073169359585509	0.560950352396525	3.60607364296765	1	GO:0051598	3	1
56	a1	2.08341999257714	0.776837837103681	2.68192393967941	0.00732001006275691	0.56084581002593	3.60599417512835	1	GO:0038154	3	1
57	a1	2.00629774222035	0.748376406806756	2.68086717321971	0.00734316566816328	0.539506937999614	3.47308854644109	1	GO:0051177	6	0.833333333333333
58	a1	2.00629774222035	0.748376406806756	2.68086717321971	0.00734316566816328	0.539506937999614	3.47308854644109	1	GO:0042138	6	0.833333333333333
59	a1	2.00614911582384	0.748390296441446	2.68061882331046	0.00734861697751591	0.53933108841935	3.47296714322833	1	GO:0070120	5	1
60	a1	2.00455635785924	0.748540561881721	2.67795288583972	0.00740736368906976	0.537443815603693	3.47166890011479	1	GO:1903307	5	1
61	a1	2.07840650459344	0.777207842491509	2.67419651599328	0.00749085417388156	0.555107124808008	3.60170588437888	1	GO:1902960	3	1
62	a1	1.57916516958915	0.590663360137159	2.67354516322538	0.00750541693270154	0.421486256732911	2.7368440824454	1	GO:0008104	88	0.806818181818182
63	a1	2.07751941889317	0.777277124979286	2.67281687846987	0.00752172977253336	0.554084247926933	3.60095458985941	1	GO:0051142	4	0.75
64	a1	2.07751941889317	0.777277124979286	2.67281687846987	0.00752172977253336	0.554084247926933	3.60095458985941	1	GO:2000330	4	0.75
65	a1	2.07530914212549	0.777453846452392	2.66936635736688	0.00759945089120525	0.551527603436668	3.59909068081431	1	GO:0043084	4	0.75
66	a1	1.99348531260475	0.749642812659392	2.65924688256901	0.00783155518894686	0.524212398523035	3.46275822668647	1	GO:0048820	6	0.833333333333333
67	a1	1.99273869282894	0.749720028624947	2.65797713378926	0.00786112265090842	0.523314438235706	3.46216294742218	1	GO:0042713	6	0.833333333333333
68	a1	1.56422926830069	0.590287985477048	2.64994258190185	0.0080505451463391	0.407286076258976	2.72117246034241	1	GO:0042060	103	0.718446601941748
69	a1	2.06185911562184	0.778616538746711	2.64810598416094	0.00809441444604702	0.535798741911057	3.58791948933263	1	GO:0016344	3	1
70	a1	2.06002278573089	0.778783051801665	2.64518183975005	0.00816470279108415	0.533636052429431	3.58640951903234	1	GO:0032642	4	0.75
71	a1	2.01402105486475	0.762950101384846	2.63978083390914	0.00829596574502935	0.51866633414927	3.50937577558023	1	GO:2000627	4	1
