Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	3.38894301834318	0.606129160145656	5.59112354457389	2.25604980535347e-08	2.20095169447818	4.57693434220817	1	GO:0050687	11	0.727272727272727
2	a1	2.61692126486947	0.642498649192997	4.07303776927223	4.64038956925142e-05	1.35764705233556	3.87619547740338	1	GO:0032480	14	0.714285714285714
3	a1	2.65389476512765	0.733311135513593	3.61905695495668	0.00029567856343255	1.21663135005884	4.09115818019646	1	GO:0016576	5	0.8
4	a1	2.02984450842089	0.759189734565336	2.67369857099431	0.0075019848020765	0.54185997124031	3.51782904560147	1	GO:0032201	5	0.8
5	a1	2.02984450838743	0.759189734569935	2.67369857093404	0.00750198480342462	0.541859971197836	3.51782904557703	1	GO:0031670	5	0.8
6	a1	2.02984450838743	0.759189734569935	2.67369857093404	0.00750198480342462	0.541859971197836	3.51782904557703	1	GO:2000672	4	1
7	a1	2.02984450298153	0.759189734957289	2.67369856244925	0.00750198499321251	0.541859965032738	3.51782904093033	1	GO:0045054	5	0.8
8	a1	2.02830412935986	0.759302228736019	2.67127377294322	0.00755639885816246	0.540099107656272	3.51650915106346	1	GO:0097490	4	1
9	a1	2.02830412935986	0.759302228736019	2.67127377294322	0.00755639885816246	0.540099107656272	3.51650915106346	1	GO:0097491	4	1
10	a1	2.02830412935986	0.759302228736019	2.67127377294322	0.00755639885816246	0.540099107656272	3.51650915106346	1	GO:1902285	4	1
11	a1	2.02830412935986	0.759302228736019	2.67127377294322	0.00755639885816246	0.540099107656272	3.51650915106346	1	GO:0036486	4	1
12	a1	2.02709507550586	0.759393264207739	2.66936141133763	0.00759956281264962	0.53871162755638	3.51547852345533	1	GO:0051055	5	0.8
13	a1	2.05644784723937	0.777371890241476	2.64538488341863	0.00815980459153715	0.532826939772253	3.58006875470649	1	GO:0071931	3	1
14	a1	1.97776197211057	0.748910183106925	2.64085335828342	0.00826975047342199	0.509924985565703	3.44559895865544	1	GO:0046456	6	0.833333333333333
15	a1	1.9777619656283	0.748910183641496	2.64085334774277	0.00826975073069812	0.509924978035686	3.4455989532209	1	GO:2001135	6	0.833333333333333
16	a1	1.9777619656283	0.748910183641496	2.64085334774277	0.00826975073069812	0.509924978035686	3.4455989532209	1	GO:0150093	7	0.714285714285714
17	a1	1.9777573789809	0.748910562426324	2.64084588762288	0.00826993281905728	0.509919648983669	3.44559510897813	1	GO:0044770	7	0.714285714285714
18	a1	1.975909870865	0.749065524389956	2.63783314880791	0.00834376238004671	0.507768421000081	3.44405132072993	1	GO:1901166	6	0.833333333333333
19	a1	1.97445177615119	0.749191025619054	2.63544504489988	0.00840270309953047	0.506064348397221	3.44283920390516	1	GO:0001956	6	0.833333333333333
20	a1	1.92193877330421	0.742299160775813	2.58917007436125	0.00962075650476898	0.467059152429307	3.37681839417911	1	GO:0031848	7	0.857142857142857
21	a1	1.92193877330421	0.742299160775813	2.58917007436125	0.00962075650476898	0.467059152429307	3.37681839417911	1	GO:2001140	7	0.857142857142857
22	a1	1.92193479145003	0.742299524961535	2.58916343985216	0.00962094187523767	0.467054456784231	3.37681512611583	1	GO:0061518	8	0.75
23	a1	1.91979835968137	0.742497602566953	2.585595364947	0.00972109768481593	0.464529800042809	3.37506691931993	1	GO:0048846	8	0.75
24	a1	1.91810964354944	0.742657755302598	2.58276390417265	0.00980123698593226	0.462527190316984	3.37369209678189	1	GO:0070474	8	0.75
25	a1	1.86800160335662	0.737689706370033	2.53223216648709	0.0113338919634597	0.422156347105425	3.31384685960781	1	GO:0036109	10	0.7
26	a1	1.86800160335545	0.73768970637023	2.53223216648483	0.0113338919635329	0.422156347103867	3.31384685960703	1	GO:0010890	10	0.7
27	a1	1.86800160138971	0.737689706565646	2.53223216314932	0.0113338920713557	0.422156344755127	3.3138468580243	1	GO:0010907	10	0.7
28	a1	1.9053854949889	0.75653573221781	2.51856642567721	0.0117833655088137	0.422602706824356	3.38816828315345	1	GO:0010040	6	0.833333333333333
29	a1	1.87184089900706	0.747729917730809	2.50336499131621	0.0123018605160689	0.406317190091575	3.33736460792254	1	GO:1903214	8	0.75
30	a1	1.8174275585306	0.734292149940581	2.47507420401765	0.0133208495906706	0.378241390516572	3.25661372654462	1	GO:0071468	9	0.888888888888889
31	a1	1.8174275585306	0.734292149940581	2.47507420401765	0.0133208495906706	0.378241390516572	3.25661372654462	1	GO:0033572	10	0.8
32	a1	1.90730931145601	0.771713871679633	2.47152394358904	0.0134538541516254	0.394777916593967	3.41984070631806	1	GO:0032648	4	1
33	a1	1.87525857508861	0.760015411488041	2.46739545901711	0.0136099956046765	0.385655740876666	3.36486140930056	1	GO:0000154	6	0.833333333333333
34	a1	1.92527779058611	0.789560988548298	2.43841554801987	0.0147518051744868	0.377766689433606	3.47278889173862	1	GO:0045103	3	1
35	a1	1.77042844426904	0.731683999125806	2.41966264997498	0.0155349115612523	0.336354157918224	3.20450273061986	1	GO:0001881	11	0.818181818181818
36	a1	1.77042303817137	0.731684601301833	2.41965327003109	0.0155353122421669	0.33634757157723	3.20449850476551	1	GO:0045657	10	0.9
37	a1	1.8917965692956	0.792899385079011	2.3859226087142	0.01703633576982	0.337742331176783	3.44585080741441	1	GO:0021849	3	1
38	a1	1.94578426545454	0.818329445098376	2.3777517442509	0.0174185485505259	0.341888025573071	3.549680505336	1	GO:1900077	2	1
39	a1	1.94578426545454	0.818329445098376	2.3777517442509	0.0174185485505259	0.341888025573071	3.549680505336	1	GO:0001834	2	1
40	a1	1.94578283053543	0.81832949880717	2.37774983472022	0.0174186387453474	0.341886485386661	3.54967917568419	1	GO:0042488	2	1
41	a1	1.94442982875197	0.818383012753302	2.37594109170263	0.0175042570860488	0.340428598196113	3.54843105930782	1	GO:0002695	2	1
42	a1	1.72681086440407	0.729618727414203	2.36673045732249	0.0179459974590842	0.296784436226283	3.15683729258185	1	GO:0090181	14	0.714285714285714
43	a1	1.72681086185495	0.729618727711389	2.36673045286471	0.0179459976752203	0.296784433094688	3.15683729061521	1	GO:0048009	14	0.714285714285714
44	a1	1.84228827529793	0.77886648588821	2.3653454201422	0.0180132613473657	0.315738014191762	3.3688385364041	1	GO:2000646	4	1
45	a1	1.68626554151079	0.727942795046536	2.3164808457277	0.0205320290752819	0.259523880414156	3.11300720260742	1	GO:0001833	13	0.846153846153846
46	a1	1.68626552964124	0.727942796491549	2.31648082482373	0.0205320302153705	0.259523865712434	3.11300719357005	1	GO:0090150	12	0.916666666666667
47	a1	1.64847011920777	0.726555577168522	2.26888371792845	0.0232753981211913	0.224447355190753	3.07249288322478	1	GO:0006636	15	0.8
48	a1	1.64847011920712	0.726555577168655	2.26888371792715	0.0232753981212706	0.224447355189847	3.0724928832244	1	GO:0006287	14	0.857142857142857
49	a1	1.64839137358331	0.726565495640816	2.26874436437347	0.0232838760344273	0.224349169717822	3.07243357744881	1	GO:0097502	15	0.8
50	a1	1.64602413992227	0.726865379157752	2.26455157601479	0.0235402113563692	0.221394175164028	3.07065410468052	1	GO:0046849	16	0.75
51	a1	1.72118282423972	0.7781819183193	2.21180007363457	0.0269804820332393	0.195974290913602	3.24639135756584	1	GO:0034653	5	1
52	a1	1.73899635791185	0.808248746206563	2.15156084815926	0.0314319585418115	0.15485792479733	3.32313479102636	1	GO:0014706	4	0.75
53	a1	1.58270654054814	0.735609542968504	2.15155792319011	0.0314321891324392	0.140938329645903	3.02447475145038	1	GO:0060236	17	0.705882352941177
54	a1	1.54875152022242	0.723533304174443	2.14053936603451	0.0323112029686328	0.130652302425244	2.96685073801959	1	GO:0045055	21	0.714285714285714
55	a1	1.54587462568673	0.72393127591306	2.13538864409055	0.0327292774987362	0.126995397615002	2.96475385375845	1	GO:0071539	21	0.714285714285714
56	a1	1.55951215883133	0.738986205965748	2.11034001208895	0.034829079493501	0.111125810066562	3.00789850759609	1	GO:1903146	17	0.705882352941177
57	a1	1.51129309669399	0.723926083900641	2.08763453935915	0.0368308138744205	0.0924240447796125	2.93016214860837	1	GO:0071375	21	0.761904761904762
58	a1	1.50493233674202	0.767565618767726	1.96065626175138	0.0499191344996947	0.000531368186071024	3.00933330529796	1	GO:0046598	12	0.75
