Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.36438786584732	0.606517428934071	3.89830160363674	9.68697189355286e-05	1.17563554914071	3.55314018255393	1	GO:0044255	34	0.735294117647059
2	a1	2.74131162363529	0.73595183179039	3.72485196071373	0.000195429874372663	1.29887253896985	4.18375070830074	1	GO:0016576	5	0.8
3	a1	2.15788146137186	0.616080214150477	3.50259821985582	0.000460743877174084	0.950386430049196	3.36537649269451	1	GO:0019216	41	0.731707317073171
4	a1	2.12973847904017	0.760332036488154	2.80106371536976	0.00509344614165181	0.639515071231389	3.61996188684894	1	GO:0045054	5	0.8
5	a1	2.08151551089631	0.750154182500246	2.77478358376762	0.00552384521975858	0.611240330343737	3.55179069144888	1	GO:2001135	6	0.833333333333333
6	a1	2.08150990107669	0.750154534404907	2.7747748038715	0.00552399433638331	0.611234030803659	3.55178577134972	1	GO:0038166	7	0.714285714285714
7	a1	2.14967884348244	0.778345567338592	2.7618566016029	0.00574737150679477	0.624149563972407	3.67520812299248	1	GO:0090188	4	0.75
8	a1	2.14967884344922	0.778345567342506	2.76185660154632	0.0057473715077906	0.624149563931512	3.67520812296693	1	GO:0032369	4	0.75
9	a1	2.14967662571818	0.778345653966287	2.76185344488516	0.00574742707299677	0.624147176420984	3.67520607501538	1	GO:0002158	4	0.75
10	a1	2.14967499110038	0.77834571782527	2.76185111817235	0.00574746802932667	0.624145416641877	3.67520456555888	1	GO:0031440	3	1
11	a1	2.14967499108232	0.778345717827397	2.76185111814159	0.00574746802986809	0.624145416619643	3.67520456554499	1	GO:0033353	4	0.75
12	a1	2.14328917032582	0.778647532551048	2.75257941588007	0.00591278035330333	0.617168049874788	3.66941029077685	1	GO:0001996	4	0.75
13	a1	2.02825218339337	0.743611023053391	2.72757143252803	0.00638024416867488	0.57080135970174	3.485703007085	1	GO:0032411	8	0.75
14	a1	2.03504665616364	0.754299509533657	2.69792917858557	0.00697722824813173	0.556646783921442	3.51344652840583	1	GO:0030854	6	0.833333333333333
15	a1	1.97615911308421	0.739050048352136	2.67391784560526	0.00749708150246861	0.527647635541436	3.42467059062698	1	GO:2000008	10	0.7
16	a1	1.97615911308421	0.739050048352136	2.67391784560526	0.00749708150246861	0.527647635541436	3.42467059062698	1	GO:0033572	10	0.7
17	a1	1.97615911308421	0.739050048352136	2.67391784560526	0.00749708150246861	0.527647635541436	3.42467059062698	1	GO:0150093	7	1
18	a1	1.9761292372239	0.739052407505837	2.67386888555436	0.00749817607123009	0.527613135824839	3.42464533862296	1	GO:0016254	9	0.777777777777778
19	a1	1.92699017103394	0.735688821572661	2.61930059901504	0.00881102675886059	0.48506657692281	3.36891376514507	1	GO:0043031	10	0.8
20	a1	1.92699017103394	0.735688821572661	2.61930059901504	0.00881102675886059	0.48506657692281	3.36891376514507	1	GO:0034145	11	0.727272727272727
21	a1	1.92699006639864	0.735688830518488	2.61930042493721	0.00881103125555941	0.485066454754009	3.36891367804326	1	GO:0001881	11	0.727272727272727
