Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.16391410403131	0.782836219151186	2.76419773522692	0.00570629480306819	0.629583308701485	3.69824489936114	1	GO:0032369	4	0.75
2	a1	0.00200531072047547	0.999934105033944	0.00200544286906526	0.998399889169755	-1.95782952205935	1.9618401435003	0	GO:0090341	1	1
3	a1	0.00200530969433129	0.999934105034028	0.00200544184285328	0.998399889988552	-1.95782952308566	1.96184014247432	0	GO:0090321	1	1
4	a1	0.00199894808810589	0.999934105240153	0.00199907981699034	0.998404966140588	-1.95783588509588	1.96183378127209	0	GO:0035822	1	1
5	a1	0.00199894808810589	0.999934105240153	0.00199907981699034	0.998404966140588	-1.95783588509588	1.96183378127209	0	GO:0060382	1	1
6	a1	0.00199894808810589	0.999934105240153	0.00199907981699034	0.998404966140588	-1.95783588509588	1.96183378127209	0	GO:1990968	1	1
7	a1	0.00199894808810589	0.999934105240153	0.00199907981699034	0.998404966140588	-1.95783588509588	1.96183378127209	0	GO:1990969	1	1
8	a1	-0.000687796219917756	0.9999340810797	-0.00068784156169084	0.999451181880925	-1.96052258205028	1.95914698961045	0	GO:0006488	17	0.705882352941177
9	a1	-0.000687796219917756	0.9999340810797	-0.00068784156169084	0.999451181880925	-1.96052258205028	1.95914698961045	0	GO:0097502	15	0.8
10	a1	-0.000634251670502405	0.99993408216671	-0.000634293481754393	0.999493907057826	-1.96046903963137	1.95920053629036	0	GO:0006228	10	0.8
11	a1	-0.000616623782199077	0.999934082632052	-0.000616664431095282	0.999507973002417	-1.96045141265512	1.95921816509072	0	GO:0002084	10	0.7
12	a1	-0.000616623782199077	0.999934082632052	-0.000616664431095282	0.999507973002417	-1.96045141265512	1.95921816509072	0	GO:0032872	10	0.7
13	a1	-0.000616623782199077	0.999934082632052	-0.000616664431095282	0.999507973002417	-1.96045141265512	1.95921816509072	0	GO:0046755	9	0.777777777777778
14	a1	-0.000596276614062151	0.999934083252763	-0.000596315921268007	0.999524208761257	-1.96043106670355	1.95923851347543	0	GO:0003356	7	0.857142857142857
15	a1	-0.000596276614062151	0.999934083252763	-0.000596315921268007	0.999524208761257	-1.96043106670355	1.95923851347543	0	GO:0007127	8	0.75
16	a1	-0.00057221413775197	0.999934084121356	-0.000572251858236012	0.999543409102343	-1.96040700592965	1.95926257765415	0	GO:0051574	7	0.714285714285714
17	a1	-0.00057221413775197	0.999934084121356	-0.000572251858236012	0.999543409102343	-1.96040700592965	1.95926257765415	0	GO:0000212	7	0.714285714285714
18	a1	-0.00057221413775197	0.999934084121356	-0.000572251858236012	0.999543409102343	-1.96040700592965	1.95926257765415	0	GO:0017183	7	0.714285714285714
19	a1	-0.00057221413775197	0.999934084121356	-0.000572251858236012	0.999543409102343	-1.96040700592965	1.95926257765415	0	GO:0044528	7	0.714285714285714
20	a1	-0.00057221413775197	0.999934084121356	-0.000572251858236012	0.999543409102343	-1.96040700592965	1.95926257765415	0	GO:0000963	6	0.833333333333333
21	a1	-0.00057221413775197	0.999934084121356	-0.000572251858236012	0.999543409102343	-1.96040700592965	1.95926257765415	0	GO:0046600	7	0.714285714285714
22	a1	-0.00057221413775197	0.999934084121356	-0.000572251858236012	0.999543409102343	-1.96040700592965	1.95926257765415	0	GO:2000736	7	0.714285714285714
23	a1	-0.00057221413775197	0.999934084121356	-0.000572251858236012	0.999543409102343	-1.96040700592965	1.95926257765415	0	GO:0006207	6	0.833333333333333
