Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.10365356647475	0.780637234208775	2.69479019740447	0.00704329641231749	0.573632702434589	3.6336744305149	1	GO:1905098	4	0.75
2	a1	1.16576906459531	0.887847346792032	1.31302871919082	0.189173270990178	-0.574379758886518	2.90591788807714	1	GO:0061515	2	1
3	a1	0.00162449993876176	0.999946711042003	0.00162458651128412	0.998703768075145	-1.95823504016284	1.96148404004037	0	GO:0042023	1	1
4	a1	0.00162449993876176	0.999946711042003	0.00162458651128412	0.998703768075145	-1.95823504016284	1.96148404004037	0	GO:1990261	1	1
5	a1	0.00161361138741843	0.999946897413564	0.00161369707890704	0.998712456573725	-1.95824629399573	1.96147351677057	0	GO:0035822	1	1
6	a1	0.00161361138741843	0.999946897413564	0.00161369707890704	0.998712456573725	-1.95824629399573	1.96147351677057	0	GO:0060382	1	1
7	a1	0.00161361138741843	0.999946897413564	0.00161369707890704	0.998712456573725	-1.95824629399573	1.96147351677057	0	GO:1990968	1	1
8	a1	0.00161361138741843	0.999946897413564	0.00161369707890704	0.998712456573725	-1.95824629399573	1.96147351677057	0	GO:1990969	1	1
9	a1	0.00146546581826471	0.999951758210043	0.00146553651836961	0.99883067145728	-1.95840396655092	1.96133489818745	0	GO:2001136	1	1
10	a1	-0.000576569567518572	0.999946695687276	-0.00057660030280143	0.999539939546133	-1.96043607957441	1.95928294043938	0	GO:0090110	14	0.714285714285714
11	a1	-0.000576569567518572	0.999946695687276	-0.00057660030280143	0.999539939546133	-1.96043607957441	1.95928294043938	0	GO:0006390	10	1
12	a1	-0.000576569567518572	0.999946695687276	-0.00057660030280143	0.999539939546133	-1.96043607957441	1.95928294043938	0	GO:0051974	12	0.833333333333333
13	a1	-0.000552750170147121	0.999946696107054	-0.000552779635453632	0.999558945685807	-1.96041226099979	1.9593067606595	0	GO:0006734	11	0.727272727272727
14	a1	-0.000552750170147121	0.999946696107054	-0.000552779635453632	0.999558945685807	-1.96041226099979	1.9593067606595	0	GO:0006002	11	0.727272727272727
15	a1	-0.000538498650394742	0.999946696418921	-0.000538527355831317	0.999570317357981	-1.96039801009129	1.9593210127905	0	GO:1904903	10	0.7
16	a1	-0.000538498650394742	0.999946696418921	-0.000538527355831317	0.999570317357981	-1.96039801009129	1.9593210127905	0	GO:0046474	10	0.7
17	a1	-0.000538498650394742	0.999946696418921	-0.000538527355831317	0.999570317357981	-1.96039801009129	1.9593210127905	0	GO:0097345	9	0.777777777777778
18	a1	-0.000538498650394742	0.999946696418921	-0.000538527355831317	0.999570317357981	-1.96039801009129	1.9593210127905	0	GO:0030953	10	0.7
19	a1	-0.000538498650394742	0.999946696418921	-0.000538527355831317	0.999570317357981	-1.96039801009129	1.9593210127905	0	GO:0034551	9	0.777777777777778
20	a1	-0.000538498650394742	0.999946696418921	-0.000538527355831317	0.999570317357981	-1.96039801009129	1.9593210127905	0	GO:0005980	8	0.875
21	a1	-0.0005220484065419	0.99994669681938	-0.000522076234865745	0.999583443451562	-1.96038156063232	1.95933746381924	0	GO:0071340	8	0.75
22	a1	-0.0005220484065419	0.99994669681938	-0.000522076234865745	0.999583443451562	-1.96038156063232	1.95933746381924	0	GO:0040012	8	0.75
23	a1	-0.0005220484065419	0.99994669681938	-0.000522076234865745	0.999583443451562	-1.96038156063232	1.95933746381924	0	GO:1903546	7	0.857142857142857
24	a1	-0.0005220484065419	0.99994669681938	-0.000522076234865745	0.999583443451562	-1.96038156063232	1.95933746381924	0	GO:0045839	8	0.75
25	a1	-0.0005220484065419	0.99994669681938	-0.000522076234865745	0.999583443451562	-1.96038156063232	1.95933746381924	0	GO:0006975	8	0.75
26	a1	-0.0005220484065419	0.99994669681938	-0.000522076234865745	0.999583443451562	-1.96038156063232	1.95933746381924	0	GO:0060081	8	0.75
27	a1	-0.0005220484065419	0.99994669681938	-0.000522076234865745	0.999583443451562	-1.96038156063232	1.95933746381924	0	GO:1902570	8	0.75
