Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.41354112867091	0.86825854669925	1.62801867490345	0.103520926015891	-0.288214352128711	3.11529660947053	1	GO:0044843	2	1
2	a1	0.00148589133915266	0.999951815625275	0.00148596293934776	0.998814373549097	-1.95838365356182	1.96135543624013	0	GO:0042023	1	1
3	a1	0.00148589133915266	0.999951815625275	0.00148596293934776	0.998814373549097	-1.95838365356182	1.96135543624013	0	GO:1990261	1	1
4	a1	0.00148588896900595	0.999951815625725	0.00148596056908617	0.99881437544029	-1.95838365593285	1.96135543387086	0	GO:0090321	1	1
5	a1	-0.000585816434734163	0.999951802407425	-0.00058584467103693	0.999532563608689	-1.9604553354292	1.95928370255973	0	GO:0007094	25	0.76
6	a1	-0.000549163637127577	0.999951802745371	-0.000549190106582984	0.999561809715039	-1.96041868329395	1.9593203560197	0	GO:1904874	16	0.8125
7	a1	-0.000541435689161073	0.999951802834954	-0.000541461786084143	0.999567976021729	-1.96041095552157	1.95932808414325	0	GO:0090110	14	0.857142857142857
8	a1	-0.000541435689161073	0.999951802834954	-0.000541461786084143	0.999567976021729	-1.96041095552157	1.95932808414325	0	GO:0006488	17	0.705882352941177
9	a1	-0.000523835977884811	0.999951803065861	-0.000523861226389837	0.999582019234578	-1.96039335626286	1.95934568430709	0	GO:1904871	11	0.909090909090909
10	a1	-0.000523835977884811	0.999951803065861	-0.000523861226389837	0.999582019234578	-1.96039335626286	1.95934568430709	0	GO:0051561	11	0.909090909090909
11	a1	-0.000513667038515279	0.999951803222895	-0.00051369179680431	0.999590133264345	-1.96038318763127	1.95935585355424	0	GO:0009086	12	0.75
12	a1	-0.000513667038515279	0.999951803222895	-0.00051369179680431	0.999590133264345	-1.96038318763127	1.95935585355424	0	GO:0034629	11	0.818181818181818
13	a1	-0.000513667038515279	0.999951803222895	-0.00051369179680431	0.999590133264345	-1.96038318763127	1.95935585355424	0	GO:0034501	12	0.75
14	a1	-0.000502300395377926	0.999951803416283	-0.000502324605707838	0.99959920296945	-1.96037182136717	1.95936722057641	0	GO:1904851	10	0.8
15	a1	-0.000502300395377926	0.999951803416283	-0.000502324605707838	0.99959920296945	-1.96037182136717	1.95936722057641	0	GO:0051315	11	0.727272727272727
16	a1	-0.000502300395377926	0.999951803416283	-0.000502324605707838	0.99959920296945	-1.96037182136717	1.95936722057641	0	GO:0030203	11	0.727272727272727
17	a1	-0.000502300395377926	0.999951803416283	-0.000502324605707838	0.99959920296945	-1.96037182136717	1.95936722057641	0	GO:0006734	11	0.727272727272727
18	a1	-0.000502300395377926	0.999951803416283	-0.000502324605707838	0.99959920296945	-1.96037182136717	1.95936722057641	0	GO:0050687	11	0.727272727272727
19	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0030011	9	0.777777777777778
20	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:1904153	10	0.7
21	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0048312	9	0.777777777777778
22	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0030953	10	0.7
23	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0005980	8	0.875
24	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0009134	9	0.777777777777778
25	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0035455	10	0.7
26	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0032872	10	0.7
27	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0071243	9	0.777777777777778
28	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0051179	10	0.7
29	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0042770	10	0.7
30	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0006390	10	0.7
31	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0030518	10	0.7
32	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:1901985	10	0.7
33	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0030071	10	0.7
34	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:1902570	8	0.875
35	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0019217	8	0.875
36	a1	-0.000489415338953729	0.999951803663949	-0.000489438928116785	0.999609484251391	-1.96035893679616	1.95938010611825	0	GO:0043653	10	0.7
37	a1	-0.000474542162763594	0.99995180399475	-0.000474565034902508	0.999621351899767	-1.96034406426833	1.9593949799428	0	GO:0010606	6	1
38	a1	-0.000474542162763594	0.99995180399475	-0.000474565034902508	0.999621351899767	-1.96034406426833	1.9593949799428	0	GO:0034656	8	0.75
39	a1	-0.000474542162763594	0.99995180399475	-0.000474565034902508	0.999621351899767	-1.96034406426833	1.9593949799428	0	GO:0070997	7	0.857142857142857
40	a1	-0.000474542162763594	0.99995180399475	-0.000474565034902508	0.999621351899767	-1.96034406426833	1.9593949799428	0	GO:1905146	8	0.75
