Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.12462350528989	0.779624222738443	2.72518919156605	0.00642646507760289	0.596588107247506	3.65265890333227	1	GO:1905167	4	0.75
2	a1	2.00052740935216	0.745329944033209	2.68408296938493	0.00727290548106674	0.539707562447816	3.4613472562565	1	GO:0032483	7	0.857142857142857
3	a1	2.07762014262875	0.782795946632589	2.65410181486785	0.00795198292092461	0.543368279984942	3.61187200527257	1	GO:0021849	3	1
4	a1	1.96015337914168	0.760610040801779	2.57708059845677	0.00996387145842523	0.46938509289065	3.45092166539271	1	GO:0002318	6	0.833333333333333
5	a1	2.00362607361222	0.819823388187993	2.44397281473113	0.0145265210950241	0.396801759080153	3.61045038814429	1	GO:0099575	2	1
6	a1	1.99805859073691	0.819938834835298	2.43683858581751	0.0148162914178173	0.391008004933989	3.60510917653983	1	GO:1901299	2	1
7	a1	1.75339504788238	0.838861698325887	2.09020754122119	0.0365991604128463	0.109256331153539	3.39753376461122	1	GO:0006436	2	1
8	a1	1.35799156571424	0.871791669066243	1.55770193028887	0.119303922721719	-0.350688707677656	3.06667183910614	1	GO:0061771	2	1
9	a1	0.900584270847361	0.898629333362648	1.00217546591474	0.316258854898121	-0.860696857994668	2.66186539968939	1	GO:0097006	3	1
10	a1	0.621708718731719	0.936386420124783	0.663944612362992	0.50672576151829	-1.21357494032525	2.45699237778868	1	GO:0099044	2	1
11	a1	0.00601090765843446	0.99865202216197	0.00601902116557228	0.995197544938578	-1.95131108886712	1.96333290418399	1	GO:0006701	4	0.75
12	a1	0.00141348170451238	0.999954127598309	0.0014135465472874	0.998872153409537	-1.95846059458034	1.96128755798937	0	GO:0010189	1	1
13	a1	0.00141348167924024	0.999954127598969	0.00141354652201317	0.998872153429703	-1.95846059460691	1.96128755796539	0	GO:0042023	1	1
14	a1	0.00141348167924024	0.999954127598969	0.00141354652201317	0.998872153429703	-1.95846059460691	1.96128755796539	0	GO:1990261	1	1
15	a1	0.00141348143663248	0.999954127598759	0.00141354627939458	0.998872153623285	-1.9584605948491	1.96128755772237	0	GO:0090321	1	1
16	a1	0.00141347925672257	0.999954127598977	0.00141354409938436	0.99887215536268	-1.95846059702944	1.96128755554289	0	GO:0140367	1	1
17	a1	0.00140906999485814	0.999954151710651	0.00140913460126907	0.998875673629643	-1.95846505354932	1.96128319353904	0	GO:0060232	1	1
18	a1	0.00140906999485814	0.999954151710651	0.00140913460126907	0.998875673629643	-1.95846505354932	1.96128319353904	0	GO:0060234	1	1
19	a1	0.00139728893524612	0.999954526594503	0.00139735247762195	0.998885074394939	-1.95847756936778	1.96127214723827	0	GO:0035822	1	1
20	a1	0.00139728893524612	0.999954526594503	0.00139735247762195	0.998885074394939	-1.95847756936778	1.96127214723827	0	GO:0060382	1	1
21	a1	0.00139728893524612	0.999954526594503	0.00139735247762195	0.998885074394939	-1.95847756936778	1.96127214723827	0	GO:1990968	1	1
22	a1	0.00139728893524612	0.999954526594503	0.00139735247762195	0.998885074394939	-1.95847756936778	1.96127214723827	0	GO:1990969	1	1
23	a1	0.00118857368874814	0.999961275475308	0.00118861971748174	0.99905161890207	-1.95869951217759	1.96107665955509	0	GO:0010877	1	1
24	a1	0.00118857368874814	0.999961275475308	0.00118861971748174	0.99905161890207	-1.95869951217759	1.96107665955509	0	GO:0051651	1	1
25	a1	0.00118857368874814	0.999961275475308	0.00118861971748174	0.99905161890207	-1.95869951217759	1.96107665955509	0	GO:0071830	1	1
26	a1	0.00118857368874814	0.999961275475308	0.00118861971748174	0.99905161890207	-1.95869951217759	1.96107665955509	0	GO:0071831	1	1
27	a1	0.00118857368874814	0.999961275475308	0.00118861971748174	0.99905161890207	-1.95869951217759	1.96107665955509	0	GO:1903002	1	1
28	a1	0.00118857368874814	0.999961275475308	0.00118861971748174	0.99905161890207	-1.95869951217759	1.96107665955509	0	GO:1905855	1	1
29	a1	0.00118857368874814	0.999961275475308	0.00118861971748174	0.99905161890207	-1.95869951217759	1.96107665955509	0	GO:1905860	1	1
30	a1	0.00118857368874814	0.999961275475308	0.00118861971748174	0.99905161890207	-1.95869951217759	1.96107665955509	0	GO:1905890	1	1
31	a1	-0.000588627855673594	0.999954115484807	-0.000588654865816728	0.999530321398048	-1.9604626803985	1.95928542468715	0	GO:0042073	31	0.774193548387097
32	a1	-0.000576343020259514	0.999954115558837	-0.000576369466650395	0.999540123726703	-1.96045039570818	1.95929770966766	0	GO:0007288	28	0.75
33	a1	-0.000516897774370897	0.999954116104399	-0.000516921492742704	0.999587556340161	-1.96039095153158	1.95935715598283	0	GO:0090110	14	0.785714285714286
34	a1	-0.000508140328833534	0.999954116218713	-0.000508163645303093	0.999594544090502	-1.96038219431009	1.95936591365242	0	GO:0009086	12	0.833333333333333
35	a1	-0.000508140328833534	0.999954116218713	-0.000508163645303093	0.999594544090502	-1.96038219431009	1.95936591365242	0	GO:1903358	13	0.769230769230769
36	a1	-0.000508140328833534	0.999954116218713	-0.000508163645303093	0.999594544090502	-1.96038219431009	1.95936591365242	0	GO:2000781	14	0.714285714285714
37	a1	-0.000498460366219435	0.999954116361313	-0.00049848323844424	0.999602267936698	-1.96037251462697	1.95937559389453	0	GO:0051561	11	0.818181818181818
38	a1	-0.000498460366219435	0.999954116361313	-0.00049848323844424	0.999602267936698	-1.96037251462697	1.95937559389453	0	GO:0030203	11	0.818181818181818
39	a1	-0.000498460366219435	0.999954116361313	-0.00049848323844424	0.999602267936698	-1.96037251462697	1.95937559389453	0	GO:0018026	12	0.75
40	a1	-0.000498460366219435	0.999954116361313	-0.00049848323844424	0.999602267936698	-1.96037251462697	1.95937559389453	0	GO:0034501	12	0.75
41	a1	-0.000487640211643642	0.999954116534522	-0.000487662587293131	0.99961090156614	-1.96036169481187	1.95938641438859	0	GO:0001188	11	0.727272727272727
42	a1	-0.000487640211643642	0.999954116534522	-0.000487662587293131	0.99961090156614	-1.96036169481187	1.95938641438859	0	GO:0090309	11	0.727272727272727
43	a1	-0.000487640211643642	0.999954116534522	-0.000487662587293131	0.99961090156614	-1.96036169481187	1.95938641438859	0	GO:0030953	10	0.8
44	a1	-0.000487640211643642	0.999954116534522	-0.000487662587293131	0.99961090156614	-1.96036169481187	1.95938641438859	0	GO:0034551	9	0.888888888888889
45	a1	-0.000487640211643642	0.999954116534522	-0.000487662587293131	0.99961090156614	-1.96036169481187	1.95938641438859	0	GO:0036289	9	0.888888888888889
46	a1	-0.000487640211643642	0.999954116534522	-0.000487662587293131	0.99961090156614	-1.96036169481187	1.95938641438859	0	GO:0050650	9	0.888888888888889
47	a1	-0.000487640211643642	0.999954116534522	-0.000487662587293131	0.99961090156614	-1.96036169481187	1.95938641438859	0	GO:0018023	11	0.727272727272727
48	a1	-0.000487640211643642	0.999954116534522	-0.000487662587293131	0.99961090156614	-1.96036169481187	1.95938641438859	0	GO:0006734	11	0.727272727272727
49	a1	-0.000487640211643642	0.999954116534522	-0.000487662587293131	0.99961090156614	-1.96036169481187	1.95938641438859	0	GO:0090160	11	0.727272727272727
50	a1	-0.000487640211643642	0.999954116534522	-0.000487662587293131	0.99961090156614	-1.96036169481187	1.95938641438859	0	GO:0006309	10	0.8
51	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:1904153	10	0.7
52	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0014029	9	0.777777777777778
53	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0046474	10	0.7
54	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0016926	10	0.7
55	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0009134	9	0.777777777777778
56	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0034656	8	0.875
57	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0085020	9	0.777777777777778
58	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0043170	10	0.7
59	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0031401	9	0.777777777777778
60	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:2000234	10	0.7
61	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0006390	10	0.7
62	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0048280	9	0.777777777777778
63	a1	-0.000475374524744165	0.99995411675682	-0.000475396337469924	0.999620688616358	-1.96034942956067	1.95939868051118	0	GO:0043653	10	0.7
64	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:0007077	8	0.75
65	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:1902459	8	0.75
66	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:0010606	6	1
67	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:0045839	8	0.75
68	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:0061179	7	0.857142857142857
69	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:0010224	8	0.75
70	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:1901895	6	1
71	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:0044539	8	0.75
72	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:0042796	8	0.75
73	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:0048311	8	0.75
74	a1	-0.00046121600762384	0.999954117067972	-0.000461237170537584	0.999631985995808	-1.9603352716534	1.95941283963815	0	GO:0034243	7	0.857142857142857
75	a1	-0.000458184576283013	0.999954506669301	-0.000458205421573784	0.999634404981243	-1.96033300382663	1.95941663467406	0	GO:0051128	9	0.777777777777778
76	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0051096	7	0.714285714285714
77	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0008354	7	0.714285714285714
78	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0031062	7	0.714285714285714
79	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0019852	7	0.714285714285714
80	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0097300	6	0.833333333333333
81	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:1903599	7	0.714285714285714
82	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0045540	7	0.714285714285714
83	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0032364	7	0.714285714285714
84	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0033108	6	0.833333333333333
85	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0042306	6	0.833333333333333
86	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0060440	6	0.833333333333333
87	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0006004	7	0.714285714285714
88	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0042276	7	0.714285714285714
89	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0044206	6	0.833333333333333
90	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0051058	7	0.714285714285714
91	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0070997	7	0.714285714285714
92	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0060831	6	0.833333333333333
93	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0046683	5	1
94	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0034136	7	0.714285714285714
95	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0043305	7	0.714285714285714
96	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0046632	7	0.714285714285714
97	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:1902254	6	0.833333333333333
98	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:1903243	7	0.714285714285714
99	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0050856	6	0.833333333333333
100	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0060087	7	0.714285714285714
101	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0019919	6	0.833333333333333
102	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0048341	7	0.714285714285714
103	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0010989	7	0.714285714285714
104	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0031340	6	0.833333333333333
105	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0043270	7	0.714285714285714
106	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0030913	6	0.833333333333333
107	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0048729	6	0.833333333333333
108	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0006384	7	0.714285714285714
109	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:1902231	6	0.833333333333333
110	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0002735	6	0.833333333333333
111	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0015677	6	0.833333333333333
112	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0045162	6	0.833333333333333
113	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0032210	6	0.833333333333333
114	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0035754	6	0.833333333333333
115	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0018406	5	1
116	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0021532	7	0.714285714285714
117	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0051353	6	0.833333333333333
118	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0033135	7	0.714285714285714
119	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0032025	6	0.833333333333333
120	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0035520	6	0.833333333333333
121	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0046600	7	0.714285714285714
122	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0036101	5	1
123	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0033004	6	0.833333333333333
124	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0090166	7	0.714285714285714
125	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:0045589	7	0.714285714285714
126	a1	-0.000444471666752018	0.999954117487398	-0.000444492061164616	0.999645346658676	-1.96031852813459	1.95942958480108	0	GO:1901018	7	0.714285714285714
127	a1	-0.000423979963049456	0.999954118112331	-0.000423999416943076	0.999661697421568	-1.96029803765573	1.95945007772963	0	GO:0048210	5	0.8
128	a1	-0.000423979963049456	0.999954118112331	-0.000423999416943076	0.999661697421568	-1.96029803765573	1.95945007772963	0	GO:0051304	5	0.8
