Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.05180564871508	0.786119009231975	2.61004456655953	0.00905304277341283	0.511040703058097	3.59257059437206	1	GO:0048284	3	1
2	a1	2.00841901768033	0.820338145958811	2.44828187933756	0.0143539310440531	0.400585796456696	3.61625223890396	1	GO:0060887	2	1
3	a1	0.00230789112278988	0.999273055482311	0.00230957005207746	0.998157231351611	-1.95623130834384	1.96084709058942	1	GO:0033088	5	0.8
4	a1	0.0015821976187949	0.999948356751908	0.00158227933283904	0.998737524276241	-1.95828056801495	1.96144496325254	0	GO:0090321	1	1
5	a1	0.00157870604665596	0.999948357028472	0.001578787579938	0.998740310288491	-1.95828406012915	1.96144147222246	0	GO:0090085	1	1
6	a1	-0.000567327821021584	0.999948342184183	-0.00056735712945168	0.999547314530235	-1.96043006490256	1.95929540926051	0	GO:0090110	14	0.785714285714286
7	a1	-0.000534384034285731	0.999948342731931	-0.000534411640531105	0.999573601223203	-1.96039712218938	1.95932835412081	0	GO:0006264	10	0.8
8	a1	-0.000534384034285731	0.999948342731931	-0.000534411640531105	0.999573601223203	-1.96039712218938	1.95932835412081	0	GO:1904871	11	0.727272727272727
9	a1	-0.000534384034285731	0.999948342731931	-0.000534411640531105	0.999573601223203	-1.96039712218938	1.95932835412081	0	GO:0030953	10	0.8
10	a1	-0.000534384034285731	0.999948342731931	-0.000534411640531105	0.999573601223203	-1.96039712218938	1.95932835412081	0	GO:0034551	9	0.888888888888889
11	a1	-0.000520573382082176	0.999948343007078	-0.000520600274726883	0.999584621097209	-1.96038331207646	1.95934216531229	0	GO:0002084	10	0.7
12	a1	-0.000520573382082176	0.999948343007078	-0.000520600274726883	0.999584621097209	-1.96038331207646	1.95934216531229	0	GO:1904851	10	0.7
13	a1	-0.000520573382082176	0.999948343007078	-0.000520600274726883	0.999584621097209	-1.96038331207646	1.95934216531229	0	GO:0016926	10	0.7
14	a1	-0.000520573382082176	0.999948343007078	-0.000520600274726883	0.999584621097209	-1.96038331207646	1.95934216531229	0	GO:0046685	10	0.7
15	a1	-0.000520573382082176	0.999948343007078	-0.000520600274726883	0.999584621097209	-1.96038331207646	1.95934216531229	0	GO:0009142	9	0.777777777777778
16	a1	-0.000520573382082176	0.999948343007078	-0.000520600274726883	0.999584621097209	-1.96038331207646	1.95934216531229	0	GO:0044598	10	0.7
17	a1	-0.000520573382082176	0.999948343007078	-0.000520600274726883	0.999584621097209	-1.96038331207646	1.95934216531229	0	GO:0030497	10	0.7
18	a1	-0.000520573382082176	0.999948343007078	-0.000520600274726883	0.999584621097209	-1.96038331207646	1.95934216531229	0	GO:2000008	10	0.7
19	a1	-0.000504631644685477	0.999948343395111	-0.000504657713589592	0.999597341418928	-1.96036737109959	1.95935810781022	0	GO:0051096	7	0.857142857142857
20	a1	-0.000504631644685477	0.999948343395111	-0.000504657713589592	0.999597341418928	-1.96036737109959	1.95935810781022	0	GO:0005980	8	0.75
21	a1	-0.000504631644685477	0.999948343395111	-0.000504657713589592	0.999597341418928	-1.96036737109959	1.95935810781022	0	GO:0034656	8	0.75
22	a1	-0.000504631644685477	0.999948343395111	-0.000504657713589592	0.999597341418928	-1.96036737109959	1.95935810781022	0	GO:0045839	8	0.75
23	a1	-0.000504631644685477	0.999948343395111	-0.000504657713589592	0.999597341418928	-1.96036737109959	1.95935810781022	0	GO:0045542	7	0.857142857142857
24	a1	-0.000504631644685477	0.999948343395111	-0.000504657713589592	0.999597341418928	-1.96036737109959	1.95935810781022	0	GO:0003356	7	0.857142857142857
25	a1	-0.000504631644685477	0.999948343395111	-0.000504657713589592	0.999597341418928	-1.96036737109959	1.95935810781022	0	GO:0019674	8	0.75
26	a1	-0.000504631644685477	0.999948343395111	-0.000504657713589592	0.999597341418928	-1.96036737109959	1.95935810781022	0	GO:1903206	8	0.75
27	a1	-0.000504631644685477	0.999948343395111	-0.000504657713589592	0.999597341418928	-1.96036737109959	1.95935810781022	0	GO:1905146	8	0.75
28	a1	-0.000504631644685477	0.999948343395111	-0.000504657713589592	0.999597341418928	-1.96036737109959	1.95935810781022	0	GO:0042428	7	0.857142857142857
29	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:1901098	7	0.714285714285714
30	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0001561	7	0.714285714285714
31	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0072383	6	0.833333333333333
32	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0002686	7	0.714285714285714
33	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:1903599	7	0.714285714285714
34	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0033108	6	0.833333333333333
35	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0006729	7	0.714285714285714
36	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0071455	6	0.833333333333333
37	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0042276	7	0.714285714285714
38	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0070997	7	0.714285714285714
39	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0031204	7	0.714285714285714
40	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0009812	7	0.714285714285714
41	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0060087	7	0.714285714285714
42	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0033194	7	0.714285714285714
43	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:1902065	7	0.714285714285714
44	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:1901895	6	0.833333333333333
45	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:1990481	7	0.714285714285714
46	a1	-0.000485778553485072	0.999948343928779	-0.000485803648192922	0.999612384784772	-1.96034851905436	1.95937696194739	0	GO:0008611	7	0.714285714285714
