Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.99913480912231	0.779579897870826	2.56437449783186	0.0103361952314182	0.471186286224077	3.52708333202054	1	GO:0019626	3	1
2	a1	1.92402868562185	0.76612995622208	2.51136072933314	0.0120266730927915	0.422441563949328	3.42561580729438	1	GO:0022027	4	1
3	a1	1.90903401187317	0.819304349525417	2.33006698057807	0.019802611272011	0.303226994426334	3.51484102932	1	GO:0061515	2	1
4	a1	0.00154208189317426	0.999948537397832	0.00154216125680549	0.998769533830655	-1.95832103780008	1.96140520158643	0	GO:0060232	1	1
5	a1	0.00154208189317426	0.999948537397832	0.00154216125680549	0.998769533830655	-1.95832103780008	1.96140520158643	0	GO:0060234	1	1
6	a1	0.00153122022119371	0.999948792775675	0.0015312986347464	0.998778200938852	-1.95833240000343	1.96139484044582	0	GO:0035822	1	1
7	a1	0.00153122022119371	0.999948792775675	0.0015312986347464	0.998778200938852	-1.95833240000343	1.96139484044582	0	GO:0060382	1	1
8	a1	0.00153122022119371	0.999948792775675	0.0015312986347464	0.998778200938852	-1.95833240000343	1.96139484044582	0	GO:1990968	1	1
9	a1	0.00153122022119371	0.999948792775675	0.0015312986347464	0.998778200938852	-1.95833240000343	1.96139484044582	0	GO:1990969	1	1
10	a1	0.00141084059014327	0.999952810330378	0.0014109071703865	0.998874259325517	-1.95846065389701	1.9612823350773	0	GO:0021999	1	1
11	a1	-0.000630539517686196	0.999948522546416	-0.000630571977925921	0.99949687638768	-1.9604936301027	1.95923255106733	0	GO:0010824	21	0.714285714285714
12	a1	-0.00062342281078584	0.999948522623989	-0.000623454904608391	0.999502554989482	-1.96048651354784	1.95923966792627	0	GO:0070584	20	0.7
13	a1	-0.000607524961787891	0.999948522806203	-0.00060755623707805	0.999515240288439	-1.96047061605597	1.9592555661324	0	GO:0006900	16	0.75
