Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.16617433539844	0.761012687242296	2.84643655974787	0.00442115375914519	0.6746168766255	3.65773179417139	1	GO:1900738	5	0.8
2	a1	2.18368194784186	0.77892612272752	2.80345193738707	0.00505587672789643	0.657014800678499	3.71034909500523	1	GO:0032369	4	0.75
3	a1	2.18367858219049	0.778926224065054	2.80344725177479	0.00505595019191242	0.65701123640921	3.71034592797177	1	GO:0002158	4	0.75
4	a1	2.18367858219049	0.778926224065054	2.80344725177479	0.00505595019191242	0.65701123640921	3.71034592797177	1	GO:0060763	4	0.75
5	a1	2.06711426002239	0.744392259984628	2.77691530546688	0.00548774766639864	0.608132240082144	3.52609627996264	1	GO:0032411	8	0.75
6	a1	1.96713541629065	0.736520290476705	2.67085026947111	0.00756593877001181	0.523582173073326	3.41068865950797	1	GO:0048712	11	0.727272727272727
7	a1	1.96713495993787	0.736520324990617	2.67084952470651	0.00756595555621409	0.523581649074528	3.41068827080122	1	GO:0034145	11	0.727272727272727
8	a1	1.9671282943101	0.736520829153929	2.67083864630117	0.00756620074771069	0.523573995304819	3.41068259331538	1	GO:0060444	11	0.727272727272727
9	a1	1.98639520640648	0.752247487953273	2.64061394450262	0.008275595931181	0.512017222557336	3.46077319025562	1	GO:1903214	8	0.75
10	a1	2.02240597976125	0.792749767917134	2.55112781057622	0.0107374941031108	0.468644985891179	3.57616697363132	1	GO:2000646	4	0.75
11	a1	1.83983651789332	0.730287887473311	2.51933045782655	0.0117578249426053	0.408498560099794	3.27117447568685	1	GO:0097502	15	0.733333333333333
12	a1	2.0526786481203	0.819359861730507	2.50522236198511	0.012237443157269	0.446762828750785	3.65859446748981	1	GO:0061515	2	1
13	a1	2.052678644473	0.819359861783107	2.50522235737289	0.0122374433168585	0.446762825000391	3.6585944639456	1	GO:0090218	2	1
14	a1	2.03341716350179	0.820166148313815	2.47927467828598	0.0131649879747036	0.425921051467772	3.6409132755358	1	GO:0051446	2	1
15	a1	2.03341716350179	0.820166148313815	2.47927467828598	0.0131649879747036	0.425921051467772	3.6409132755358	1	GO:2000194	2	1
16	a1	1.80303953674374	0.728918562297006	2.47358159059897	0.0133766255915973	0.374385406978894	3.23169366650859	1	GO:0060236	17	0.705882352941177
17	a1	1.88452967641679	0.788698636730467	2.38941667786959	0.0168751511912525	0.338708753769235	3.43035059906435	1	GO:0022027	4	1
18	a1	1.89889209396436	0.830511391102675	2.28641306345382	0.022230104806789	0.271119678652856	3.52666450927586	1	GO:0036298	2	1
19	a1	1.68763797840559	0.74916457735731	2.25269323912612	0.0242784975323991	0.219302388292094	3.15597356851909	1	GO:0031167	15	0.733333333333333
20	a1	1.51675179505574	0.721853740122952	2.10118990974181	0.0356242988017677	0.101944462309214	2.93155912780226	1	GO:0044255	34	0.705882352941177
21	a1	1.52655090692846	0.805848728082053	1.89433928941193	0.0581799891508117	-0.0528835770997702	3.1059853909567	1	GO:0044829	8	0.75
22	a1	0.892557440171408	0.799839325952072	1.11592092462942	0.264455984173884	-0.675098832113446	2.46021371245626	1	GO:0034198	46	0.717391304347826
23	a1	0.825053264833342	0.823127482059101	1.00233959236718	0.316179606614702	-0.788246954687636	2.43835348435432	1	GO:0061025	39	0.717948717948718
24	a1	0.475147625371629	0.869326696365553	0.546569692795709	0.584674395388075	-1.22870139030404	2.1789966410473	1	GO:0032508	79	0.708860759493671
25	a1	0.00132807236423982	0.997671625314671	0.00133117183103302	0.998937878861926	-1.95407238165005	1.95672852637853	1	GO:0036297	36	0.722222222222222
26	a1	0.00112961785712684	0.999964231532449	0.00112965826327177	0.999098663304456	-1.95876426177475	1.961023497489	0	GO:0090341	1	1
27	a1	0.00112961745417767	0.999964231532015	0.00112965786030869	0.999098663625973	-1.95876426217684	1.9610234970852	0	GO:0010743	1	1
28	a1	0.00112961745417767	0.999964231532015	0.00112965786030869	0.999098663625973	-1.95876426217684	1.9610234970852	0	GO:0060611	1	1
29	a1	0.00112961745417767	0.999964231532015	0.00112965786030869	0.999098663625973	-1.95876426217684	1.9610234970852	0	GO:1902228	1	1
30	a1	0.00112961682119398	0.999964231532508	0.00112965722730179	0.999098664131039	-1.95876426281079	1.96102349645318	0	GO:0090321	1	1
31	a1	0.00112791270916512	0.999964231625153	0.00112795305421278	0.99910002386357	-1.9587659671044	1.96102179252273	0	GO:0060232	1	1
