Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.98851296566487	0.778276670080447	2.55502065282174	0.0106181497617423	0.463118722299436	3.51390720903031	1	GO:0007621	4	0.75
2	a1	1.84537757110804	0.743518198717654	2.48195346703115	0.0130664337294267	0.388108679771341	3.30264646244473	1	GO:0032483	7	0.857142857142857
3	a1	1.88937911040663	0.818928957418944	2.30713432867422	0.0210473327289521	0.284307847968567	3.4944503728447	1	GO:0061515	2	1
4	a1	1.88937911029836	0.818928957422757	2.30713432853126	0.0210473327369192	0.284307847852818	3.4944503727439	1	GO:0099575	2	1
5	a1	1.86381173203242	0.820433487958098	2.2717401951389	0.0231022069067802	0.255791643923968	3.47183182014087	1	GO:0008355	2	1
6	a1	0.771769050776944	0.888664304700604	0.868459604706366	0.38514277706938	-0.969980980782568	2.51351908233646	1	GO:0018119	5	1
7	a1	0.170138426185797	0.974870338978455	0.174524159145185	0.861453545857636	-1.74057232780833	2.08084918017992	1	GO:1904751	4	0.75
8	a1	0.00244657865254747	0.99991292318935	0.00244679171136602	0.998047744617958	-1.95734673847474	1.96223989577984	0	GO:1904744	1	1
9	a1	0.00155511176238105	0.999947828552127	0.00155519289904632	0.998759136096978	-1.95830661861882	1.96141684214358	0	GO:0010189	1	1
10	a1	0.00155441537770716	0.999947828564314	0.00155449647802019	0.998759691759891	-1.95830731502738	1.96141614578279	0	GO:0060232	1	1
11	a1	0.00155441537770716	0.999947828564314	0.00155449647802019	0.998759691759891	-1.95830731502738	1.96141614578279	0	GO:0060234	1	1
12	a1	0.00152486635478181	0.999948739285515	0.00152494452452769	0.998783270779374	-1.95833864903106	1.96138838174062	0	GO:0035822	1	1
13	a1	0.00152486635478181	0.999948739285515	0.00152494452452769	0.998783270779374	-1.95833864903106	1.96138838174062	0	GO:0060382	1	1
14	a1	0.00152486635478181	0.999948739285515	0.00152494452452769	0.998783270779374	-1.95833864903106	1.96138838174062	0	GO:1990968	1	1
15	a1	0.00152486635478181	0.999948739285515	0.00152494452452769	0.998783270779374	-1.95833864903106	1.96138838174062	0	GO:1990969	1	1
16	a1	-0.000644587258772812	0.999947813303183	-0.000644620899408251	0.999485666972412	-1.96050628775259	1.95921711323505	0	GO:0010824	21	0.714285714285714
17	a1	-0.000612163252630559	0.999947813700514	-0.000612195200832654	0.999511538931569	-1.9604738645252	1.95924953801994	0	GO:0080009	15	0.733333333333333
18	a1	-0.000612163252630559	0.999947813700514	-0.000612195200832654	0.999511538931569	-1.9604738645252	1.95924953801994	0	GO:0043928	13	0.846153846153846
19	a1	-0.000602202186864136	0.999947813832544	-0.000602233615128423	0.999519487125538	-1.96046390371821	1.95925949934448	0	GO:0090110	14	0.714285714285714
20	a1	-0.000602202186864136	0.999947813832544	-0.000602233615128423	0.999519487125538	-1.96046390371821	1.95925949934448	0	GO:0006734	11	0.909090909090909
21	a1	-0.000592037502671572	0.999947878263008	-0.000592068362303033	0.999527597822378	-1.96045386531541	1.95926979031007	0	GO:0006287	14	0.714285714285714
22	a1	-0.000591191515393127	0.999947814029225	-0.000591222368906392	0.99952827282733	-1.96045289343223	1.95927051040144	0	GO:0098911	12	0.75
23	a1	-0.000591191515393127	0.999947814029225	-0.000591222368906392	0.99952827282733	-1.96045289343223	1.95927051040144	0	GO:0051561	11	0.818181818181818
24	a1	-0.000591191515393127	0.999947814029225	-0.000591222368906392	0.99952827282733	-1.96045289343223	1.95927051040144	0	GO:0010762	12	0.75
25	a1	-0.000591191515393127	0.999947814029225	-0.000591222368906392	0.99952827282733	-1.96045289343223	1.95927051040144	0	GO:0000467	9	1
26	a1	-0.000578884086207878	0.999947814257316	-0.000578914297280432	0.999538093245973	-1.9604405864501	1.95928281827768	0	GO:0051013	11	0.727272727272727
27	a1	-0.000578884086207878	0.999947814257316	-0.000578914297280432	0.999538093245973	-1.9604405864501	1.95928281827768	0	GO:0030953	10	0.8
28	a1	-0.000578884086207878	0.999947814257316	-0.000578914297280432	0.999538093245973	-1.9604405864501	1.95928281827768	0	GO:0000012	11	0.727272727272727
29	a1	-0.000578884086207878	0.999947814257316	-0.000578914297280432	0.999538093245973	-1.9604405864501	1.95928281827768	0	GO:0090160	11	0.727272727272727
30	a1	-0.000578884086207878	0.999947814257316	-0.000578914297280432	0.999538093245973	-1.9604405864501	1.95928281827768	0	GO:0046755	9	0.888888888888889
31	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0006264	10	0.7
32	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:1904903	10	0.7
33	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0006108	9	0.777777777777778
34	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0016051	10	0.7
35	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0033146	10	0.7
36	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0010042	9	0.777777777777778
37	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0043457	8	0.875
38	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0060627	9	0.777777777777778
39	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:2000234	10	0.7
40	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0031468	8	0.875
41	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0006614	10	0.7
42	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0042058	10	0.7
43	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0006309	10	0.7
44	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0009437	8	0.875
45	a1	-0.000564932648236093	0.999947814534507	-0.000564962131047887	0.999549225462179	-1.96042663555541	1.95929677025894	0	GO:0034427	10	0.7
46	a1	-0.000548828064869466	0.999947814942259	-0.000548856706988412	0.999562075729388	-1.96041053177122	1.95931287564148	0	GO:0005980	8	0.75
