Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.95787242860704	0.751638571946731	2.60480568943685	0.00919263769959701	0.484687898200325	3.43105695901375	1	GO:0032483	7	0.714285714285714
2	a1	1.99833199460207	0.782251934840765	2.55458875280232	0.0106313322497207	0.4651463754774	3.53151761372674	1	GO:0046952	3	1
3	a1	1.84886781489424	0.740639149820225	2.49631391392558	0.0125491492414028	0.397241755706236	3.30049387408225	1	GO:0016254	9	0.777777777777778
4	a1	1.88613401741482	0.758490005760286	2.48669593942008	0.0128935545858621	0.39952092349108	3.37274711133856	1	GO:0045428	7	0.714285714285714
5	a1	1.90693757344487	0.820909434050182	2.32295731337435	0.0201814457101235	0.297984648137357	3.51589049875239	1	GO:0046950	2	1
6	a1	1.78075014883955	0.803558309277447	2.21608080991756	0.026685968254486	0.205804803177857	3.35569549450124	1	GO:0015770	4	0.75
7	a1	1.57968005347958	0.823869651867186	1.91739075459261	0.055188307910128	-0.0350747921356602	3.19443489909481	1	GO:0007621	4	0.75
8	a1	1.55756897154729	0.826116231812322	1.8854114125446	0.0593743143997652	-0.0615890898488025	3.17672703294339	1	GO:0034197	4	0.75
9	a1	1.08942507576394	0.853350798694443	1.27664388130962	0.201728002264141	-0.583111755855662	2.76196190738353	1	GO:2001140	7	0.714285714285714
10	a1	-0.000681840589134734	0.999942621040927	-0.000681879714682975	0.999455938745491	-1.96053336443594	1.95916968325767	0	GO:0010824	21	0.714285714285714
11	a1	-0.000656184365022523	0.999942621369524	-0.000656222018143212	0.999476410620843	-1.96050770885586	1.95919534012582	0	GO:0006488	17	0.705882352941177
12	a1	-0.000623120155177803	0.999942621922201	-0.000623155910666127	0.999502793552086	-1.96047464572924	1.95922840541889	0	GO:0009086	12	0.75
13	a1	-0.000623120155177803	0.999942621922201	-0.000623155910666127	0.999502793552086	-1.96047464572924	1.95922840541889	0	GO:0006734	11	0.818181818181818
14	a1	-0.000623120155177803	0.999942621922201	-0.000623155910666127	0.999502793552086	-1.96047464572924	1.95922840541889	0	GO:0010762	12	0.75
15	a1	-0.000609586243716826	0.999942622190734	-0.000609621222447052	0.9995135926688	-1.9604611123441	1.95924193985666	0	GO:0016926	10	0.8
16	a1	-0.000609586243716826	0.999942622190734	-0.000609621222447052	0.9995135926688	-1.9604611123441	1.95924193985666	0	GO:0033762	11	0.727272727272727
17	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0015949	9	0.777777777777778
18	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:1904903	10	0.7
19	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0016051	10	0.7
20	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0005980	8	0.875
21	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0042775	10	0.7
22	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0033146	10	0.7
23	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0006616	8	0.875
24	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0070493	9	0.777777777777778
25	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0032835	9	0.777777777777778
26	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0046755	9	0.777777777777778
27	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0006614	10	0.7
28	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0048280	9	0.777777777777778
29	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0009268	9	0.777777777777778
30	a1	-0.000594244439880597	0.999942622548196	-0.000594278538068773	0.999525834357568	-1.96044577124087	1.95925728236111	0	GO:0043653	10	0.7
